Date,APA Raw Price,ET Raw Price,APA Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,22.7603,19.0293,3.12502,2.94598,-0.0216532,3.73097,0.418021
2025-01-03,22.7992,18.9617,3.12673,2.94242,-0.0259256,3.8375,0.418021
2025-01-06,23.0328,18.9424,3.13692,2.9414,-0.0312064,4.09044,0.418021
2025-01-07,23.0328,18.8169,3.13692,2.93475,-0.0378544,4.21596,0.418021
2025-01-08,23.0523,19.0486,3.13777,2.94699,-0.0259687,4.00371,0.418021
2025-01-10,23.0523,18.7493,3.13777,2.93116,-0.0418056,4.30301,0.418021
2025-01-13,23.7337,18.7976,3.1669,2.93373,-0.0514121,4.93618,0.418021
2025-01-14,24.1913,19.2417,3.18599,2.95708,-0.0360427,4.94961,0.418021
2025-01-15,24.7754,19.3479,3.20985,2.96258,-0.0405117,5.4275,0.418021
2025-01-16,24.4833,19.5506,3.19799,2.97301,-0.0251304,4.9327,0.418021
2025-01-17,23.7532,19.5893,3.16772,2.97498,-0.0105016,4.16397,0.418021
2025-01-21,23.0718,20.1878,3.13861,3.00508,0.0317655,2.88394,0.418021
2025-01-22,22.9832,20.1975,3.13476,3.00556,0.0338512,2.78573,0.418021
2025-01-23,23.1308,20.3327,3.14117,3.01223,0.0378453,2.79815,0.418021
2025-01-24,22.9439,20.323,3.13305,3.01175,0.0407624,2.62087,0.418021
2025-01-27,23.0029,19.1258,3.13562,2.95104,-0.0210254,3.87708,0.418021
2025-01-28,22.9635,19.6472,3.13391,2.97793,0.00658455,3.31637,0.418021
2025-01-29,22.8061,19.821,3.12703,2.98674,0.0182663,2.98517,0.418021
2025-01-30,22.6192,20.352,3.1188,3.01318,0.0481443,2.26723,0.418021
2025-01-31,21.5763,19.7727,3.0716,2.9843,0.0390005,1.8036,0.418021
2025-02-03,21.1237,20.043,3.0504,2.99788,0.0614414,1.08069,0.418021
2025-02-04,22.0289,20.0527,3.09235,2.99836,0.0443837,1.9762,0.418021
2025-02-05,21.8321,20.072,3.08338,2.99932,0.049097,1.76011,0.418021
2025-02-06,21.291,19.6665,3.05828,2.97892,0.0391797,1.62448,0.418021
2025-02-07,21.3205,19.5537,3.05967,2.97316,0.0328469,1.76682,0.418021
2025-02-10,22.6192,19.7106,3.1188,2.98116,0.0161252,2.90856,0.418021
2025-02-11,22.934,19.4359,3.13262,2.96712,-0.00368851,3.49811,0.418021
2025-02-12,22.0092,19.2789,3.09146,2.95901,0.00540837,2.73025,0.418021
2025-02-13,22.1273,19.4457,3.09681,2.96763,0.0117862,2.68152,0.418021
2025-02-14,22.7668,19.6125,3.1253,2.97617,0.00841661,3.15425,0.418021
2025-02-18,23.1898,19.9167,3.14371,2.99156,0.0161087,3.27317,0.418021
2025-02-19,23.2095,19.7401,3.14456,2.98265,0.00684769,3.46944,0.418021
2025-02-20,23.239,19.5635,3.14583,2.97366,-0.00267018,3.67556,0.418021
2025-02-21,22.4224,19.0239,3.11006,2.94569,-0.0156871,3.39857,0.418021
2025-02-24,22.5011,18.6118,3.11357,2.9238,-0.0390507,3.88935,0.418021
2025-02-25,22.019,18.5627,3.09191,2.92116,-0.0326362,3.4563,0.418021
2025-02-26,21.655,18.7982,3.07524,2.93376,-0.0130623,2.8568,0.418021
2025-02-27,20.0906,18.5824,3.00025,2.92221,0.00673318,1.50829,0.418021
2025-02-28,20.3661,18.9257,3.01387,2.94052,0.0193509,1.44039,0.418021
2025-03-03,18.5853,18.6707,2.92237,2.92695,0.0440301,0.0853329,0.418021
2025-03-04,18.2705,18.1212,2.90529,2.89708,0.0213033,0.149254,0.418021
2025-03-05,18.241,17.8563,2.90367,2.88236,0.00725298,0.38464,0.418021
2025-03-06,18.4476,17.3658,2.91493,2.8545,-0.0253122,1.08181,0.418021
2025-03-07,18.5361,17.1303,2.91972,2.84085,-0.0409661,1.40583,0.418021
2025-03-10,18.7132,16.9341,2.92923,2.82933,-0.0564618,1.77915,0.418021
2025-03-11,18.8903,17.4933,2.93865,2.86182,-0.0279085,1.39701,0.418021
2025-03-12,19.3331,18.0526,2.96182,2.89329,-0.00612456,1.28051,0.418021
2025-03-13,18.7329,17.8269,2.93028,2.88071,-0.00552092,0.90601,0.418021
2025-03-14,19.2937,18.3763,2.95978,2.91106,0.012503,0.917393,0.418021
2025-03-17,19.7069,18.5431,2.98097,2.9201,0.0126799,1.16383,0.418021
2025-03-18,19.8447,18.3273,2.98794,2.90839,-0.00194012,1.51741,0.418021
2025-03-19,20.4744,18.5824,3.01917,2.92221,-0.00117527,1.892,0.418021
2025-03-20,20.2382,18.4941,3.00757,2.91745,-0.00108946,1.74417,0.418021
2025-03-21,20.2776,18.2488,3.00952,2.9041,-0.0152528,2.02881,0.418021
2025-03-24,20.5039,18.5235,3.02061,2.91904,-0.0049505,1.98039,0.418021
2025-03-25,20.5531,18.5235,3.02301,2.91904,-0.00595221,2.02958,0.418021
2025-03-26,20.7597,18.5725,3.03301,2.92168,-0.00748859,2.18714,0.418021
2025-03-27,20.8581,18.5235,3.03774,2.91904,-0.0121099,2.33458,0.418021
2025-03-28,20.5826,18.3567,3.02445,2.90999,-0.015597,2.22588,0.418021
2025-03-31,20.681,18.239,3.02921,2.90356,-0.0240248,2.44201,0.418021
2025-04-01,20.7892,18.3763,3.03443,2.91106,-0.018704,2.41287,0.418021
2025-04-02,20.8974,18.5725,3.03963,2.92168,-0.010253,2.32488,0.418021
2025-04-03,17.4539,17.3952,2.85956,2.85619,-0.000472241,0.0586681,0.418021
2025-04-04,14.9352,15.8548,2.70372,2.76348,-0.0280456,0.919687,0.418021
2025-04-07,14.7187,15.5703,2.68912,2.74537,-0.0400516,0.851615,0.418021
2025-04-08,13.8037,15.3545,2.62494,2.73141,-0.0271818,1.55077,0.418021
2025-04-09,16.4405,16.3552,2.79975,2.79455,-0.0371159,0.0852642,0.418021
2025-04-10,14.3645,15.6096,2.66476,2.74788,-0.0273519,1.24505,0.418021
2025-04-11,14.7974,16.0216,2.69445,2.77394,-0.0137076,1.22422,0.418021
2025-04-14,14.9548,16.5024,2.70503,2.8035,0.0114336,1.54755,0.418021
2025-04-15,14.6498,16.7869,2.68443,2.8206,0.0371416,2.13707,0.418021
2025-04-16,15.1221,16.6005,2.71616,2.80943,0.012712,1.4784,0.418021
2025-04-17,15.8502,16.9439,2.76318,2.82991,0.0135301,1.09373,0.418021
2025-04-21,15.25,16.2473,2.72458,2.78793,-0.012315,0.997295,0.418021
2025-04-22,15.86,16.6594,2.7638,2.81297,-0.00366401,0.799365,0.418021
2025-04-23,15.65,16.7771,2.75047,2.82001,0.00895025,1.1271,0.418021
2025-04-24,16.26,17.2578,2.78871,2.84827,0.0212184,0.997847,0.418021
2025-04-25,16.35,17.1205,2.79423,2.84028,0.0109201,0.770491,0.418021
2025-04-28,16.55,16.9537,2.80639,2.83049,-0.00395212,0.403702,0.418021
2025-04-29,16.24,16.7182,2.78748,2.8165,-0.0100341,0.478233,0.418021
2025-04-30,15.54,16.2277,2.74342,2.78672,-0.021398,0.687675,0.418021
