Date,APA Raw Price,SM Raw Price,APA Log Price,SM Log Price,Residual,Spread,Beta
2025-01-02,22.7603,39.607,3.12502,3.67901,0.0518658,16.8468,1.47555
2025-01-03,22.7992,40.0213,3.12673,3.68941,0.0597472,17.2221,1.47555
2025-01-06,23.0328,40.2974,3.13692,3.69629,0.0515796,17.2646,1.47555
2025-01-07,23.0328,42.0923,3.13692,3.73987,0.0951584,19.0595,1.47555
2025-01-08,23.0523,42.0628,3.13777,3.73916,0.0932085,19.0104,1.47555
2025-01-10,23.0523,42.7531,3.13777,3.75544,0.109488,19.7008,1.47555
2025-01-13,23.7337,43.118,3.1669,3.76394,0.0750006,19.3843,1.47555
2025-01-14,24.1913,43.3153,3.18599,3.76851,0.0513896,19.124,1.47555
2025-01-15,24.7754,44.0747,3.20985,3.78588,0.0335656,19.2993,1.47555
2025-01-16,24.4833,43.5125,3.19799,3.77305,0.0382261,19.0292,1.47555
2025-01-17,23.7532,42.615,3.16772,3.75221,0.0620569,18.8618,1.47555
2025-01-21,23.0718,41.3034,3.13861,3.72094,0.0737438,18.2316,1.47555
2025-01-22,22.9832,41.2047,3.13476,3.71855,0.0770272,18.2215,1.47555
2025-01-23,23.1308,40.6524,3.14117,3.70506,0.0540884,17.5216,1.47555
2025-01-24,22.9439,39.7308,3.13305,3.68213,0.043129,16.7869,1.47555
2025-01-27,23.0029,39.3344,3.13562,3.6721,0.0293098,16.3315,1.47555
2025-01-28,22.9635,39.3244,3.13391,3.67185,0.0315845,16.3609,1.47555
2025-01-29,22.8061,39.6911,3.12703,3.68113,0.0510158,16.885,1.47555
2025-01-30,22.6192,39.2551,3.1188,3.67008,0.0521133,16.6359,1.47555
2025-01-31,21.5763,37.6199,3.0716,3.62753,0.0792164,16.0436,1.47555
2025-02-03,21.1237,37.0451,3.0504,3.61213,0.0950995,15.9213,1.47555
2025-02-04,22.0289,37.9271,3.09235,3.63567,0.0567189,15.8982,1.47555
2025-02-05,21.8321,37.5108,3.08338,3.62463,0.0589232,15.6787,1.47555
2025-02-06,21.291,36.9063,3.05828,3.60838,0.0797097,15.6153,1.47555
2025-02-07,21.3205,37.0451,3.05967,3.61213,0.0814178,15.7246,1.47555
2025-02-10,22.6192,39.0569,3.1188,3.66502,0.0470513,16.4377,1.47555
2025-02-11,22.934,40.2461,3.13262,3.69501,0.0566493,17.3121,1.47555
2025-02-12,22.0092,38.5613,3.09146,3.65225,0.0746224,16.5521,1.47555
2025-02-13,22.1273,38.6208,3.09681,3.65379,0.0682692,16.4935,1.47555
2025-02-14,22.7668,38.1748,3.1253,3.64218,0.0146133,15.4081,1.47555
2025-02-18,23.1898,38.2739,3.14371,3.64477,-0.00996204,15.0841,1.47555
2025-02-19,23.2095,38.4821,3.14456,3.65019,-0.00579064,15.2725,1.47555
2025-02-20,23.239,36.7775,3.14583,3.60489,-0.0529727,13.5384,1.47555
2025-02-21,22.4224,34.0422,3.11006,3.5276,-0.0774738,11.6198,1.47555
2025-02-24,22.5011,33.517,3.11357,3.51205,-0.0981941,11.0158,1.47555
2025-02-25,22.019,32.7836,3.09191,3.48993,-0.0883592,10.7646,1.47555
2025-02-26,21.655,32.0799,3.07524,3.46823,-0.0854576,10.4249,1.47555
2025-02-27,20.0906,32.2286,3.00025,3.47285,0.0298059,12.138,1.47555
2025-02-28,20.3661,32.4169,3.01387,3.47868,0.0155359,12.0508,1.47555
2025-03-03,18.5853,29.7411,2.92237,3.39253,0.0644007,11.1558,1.47555
2025-03-04,18.2705,28.5915,2.90529,3.35311,0.0501902,10.321,1.47555
2025-03-05,18.241,27.2734,2.90367,3.30591,0.00537886,9.03244,1.47555
2025-03-06,18.4476,26.9067,2.91493,3.29238,-0.0247765,8.45914,1.47555
2025-03-07,18.5361,27.3428,2.91972,3.30845,-0.0157659,8.80665,1.47555
2025-03-10,18.7132,27.1248,2.92923,3.30045,-0.0378025,8.41152,1.47555
2025-03-11,18.8903,28.8095,2.93865,3.36071,0.00855804,9.91919,1.47555
2025-03-12,19.3331,29.5132,2.96182,3.38484,-0.00149585,10.1801,1.47555
2025-03-13,18.7329,28.5122,2.93028,3.35033,0.0105323,9.7793,1.47555
2025-03-14,19.2937,29.7213,2.95978,3.39186,0.00853782,10.4276,1.47555
2025-03-17,19.7069,29.9889,2.98097,3.40083,-0.0137687,10.2819,1.47555
2025-03-18,19.8447,30.0285,2.98794,3.40215,-0.0227252,10.1838,1.47555
2025-03-19,20.4744,30.9204,3.01917,3.43142,-0.039547,10.4461,1.47555
2025-03-20,20.2382,30.6529,3.00757,3.42273,-0.0311222,10.4146,1.47555
2025-03-21,20.2776,30.3952,3.00952,3.41428,-0.0424305,10.1176,1.47555
2025-03-24,20.5039,31.525,3.02061,3.45078,-0.0223102,11.0211,1.47555
2025-03-25,20.5531,30.2564,3.02301,3.40971,-0.0669169,9.70337,1.47555
2025-03-26,20.7597,30.5141,3.03301,3.41819,-0.073196,9.75443,1.47555
2025-03-27,20.8581,29.9789,3.03774,3.4005,-0.0978664,9.12088,1.47555
2025-03-28,20.5826,29.1366,3.02445,3.37199,-0.10675,8.55398,1.47555
2025-03-31,20.681,29.6816,3.02921,3.39053,-0.0952515,9.00066,1.47555
2025-04-01,20.7892,29.5032,3.03443,3.3845,-0.108981,8.71405,1.47555
2025-04-02,20.8974,30.2465,3.03963,3.40938,-0.0917618,9.34911,1.47555
2025-04-03,17.4539,25.103,2.85956,3.22299,-0.01246,7.64916,1.47555
2025-04-04,14.9352,22.0605,2.70372,3.09379,0.0882969,7.12538,1.47555
2025-04-07,14.7187,21.6146,2.68912,3.07337,0.0894154,6.89586,1.47555
2025-04-08,13.8037,20.2073,2.62494,3.00604,0.116796,6.40358,1.47555
2025-04-09,16.4405,24.3994,2.79975,3.19456,0.0473695,7.95891,1.47555
2025-04-10,14.3645,21.0497,2.66476,3.04689,0.0988752,6.68516,1.47555
2025-04-11,14.7974,21.4758,2.69445,3.06693,0.075106,6.6784,1.47555
2025-04-14,14.9548,21.7632,2.70503,3.08022,0.0727853,6.80839,1.47555
2025-04-15,14.6498,21.5254,2.68443,3.06923,0.0922008,6.87554,1.47555
2025-04-16,15.1221,22.12,2.71616,3.09648,0.0726346,6.9979,1.47555
2025-04-17,15.8502,23.03,2.76318,3.1368,0.0435656,7.17984,1.47555
2025-04-21,15.25,22.02,2.72458,3.09195,0.0556757,6.77,1.47555
2025-04-22,15.86,22.88,2.7638,3.13026,0.0361155,7.02,1.47555
2025-04-23,15.65,22.99,2.75047,3.13506,0.0605798,7.34,1.47555
2025-04-24,16.26,23.17,2.78871,3.14286,0.0119577,6.91,1.47555
2025-04-25,16.35,23.48,2.79423,3.15615,0.0171036,7.13,1.47555
2025-04-28,16.55,23.6,2.80639,3.16125,0.00426132,7.05,1.47555
2025-04-29,16.24,23.26,2.78748,3.14674,0.0176506,7.02,1.47555
2025-04-30,15.54,22.79,2.74342,3.12632,0.0622502,7.25,1.47555
2025-05-01,16.22,23.67,2.78625,3.16421,0.0369422,7.45,1.47555
2025-05-02,16.46,22.82,2.80093,3.12764,-0.021302,6.36,1.47555
2025-05-05,15.5,21,2.74084,3.04452,-0.0157463,5.5,1.47555
2025-05-06,15.73,21.52,2.75557,3.06898,-0.0130204,5.79,1.47555
2025-05-07,15.48,21.2,2.73955,3.054,-0.00436226,5.72,1.47555
2025-05-08,16.18,22.83,2.78378,3.12808,0.00445251,6.65,1.47555
2025-05-09,16.72,23.16,2.81661,3.14243,-0.0296382,6.44,1.47555
2025-05-12,17.71,24.79,2.87413,3.21044,-0.046504,7.08,1.47555
2025-05-13,18.46,25.63,2.91561,3.24376,-0.0743821,7.17,1.47555
2025-05-14,18.17,25.46,2.89977,3.23711,-0.0576727,7.29,1.47555
2025-05-15,17.76,24.56,2.87695,3.20112,-0.0599854,6.8,1.47555
2025-05-16,17.59,24.45,2.86733,3.19663,-0.0502821,6.86,1.47555
2025-05-19,17.32,23.92,2.85186,3.17471,-0.0493725,6.6,1.47555
2025-05-20,17.25,23.73,2.84781,3.16674,-0.0513718,6.48,1.47555
2025-05-21,16.71,23.1,2.81601,3.13983,-0.0313494,6.39,1.47555
2025-05-22,16.74,23.18,2.8178,3.14329,-0.030539,6.44,1.47555
2025-05-23,16.85,23.17,2.82435,3.14286,-0.0406348,6.32,1.47555
2025-05-27,17.31,23.83,2.85128,3.17095,-0.05229,6.52,1.47555
2025-05-28,17.18,23.66,2.84375,3.16379,-0.0483261,6.48,1.47555
2025-05-29,17.34,23.8,2.85302,3.16969,-0.0561048,6.46,1.47555
2025-05-30,17.01,23.42,2.8338,3.15359,-0.0438479,6.41,1.47555
2025-06-02,17.33,23.92,2.85244,3.17471,-0.0502242,6.59,1.47555
2025-06-03,18.27,25.24,2.90526,3.22843,-0.0744498,6.97,1.47555
2025-06-04,17.92,24.16,2.88592,3.1847,-0.0896399,6.24,1.47555
2025-06-05,17.85,24.01,2.882,3.17847,-0.0900927,6.16,1.47555
2025-06-06,18.5,24.92,2.91777,3.21567,-0.105669,6.42,1.47555
2025-06-09,18.63,25.59,2.92477,3.2422,-0.0894703,6.96,1.47555
2025-06-10,19.28,25.99,2.95907,3.25771,-0.124565,6.71,1.47555
2025-06-11,19.61,26.8,2.97604,3.2884,-0.118917,7.19,1.47555
2025-06-12,19.95,27.13,2.99323,3.30064,-0.132042,7.18,1.47555
2025-06-13,21.01,28.26,3.045,3.34145,-0.167624,7.25,1.47555
