Date,AR Raw Price,ENB Raw Price,AR Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,35.57,42.98,3.5715,3.76073,-0.0247486,7.41,0.118764
2025-01-03,34.94,43.09,3.55363,3.76329,-0.0200702,8.15,0.118764
2025-01-06,36.01,42.99,3.5838,3.76097,-0.025976,6.98,0.118764
2025-01-07,36.68,43.64,3.60223,3.77597,-0.0131588,6.96,0.118764
2025-01-08,37.86,44.02,3.6339,3.78464,-0.00824935,6.16,0.118764
2025-01-10,38.32,43.48,3.64597,3.7723,-0.0220267,5.16,0.118764
2025-01-13,38.3,43.4,3.64545,3.77046,-0.0238062,5.1,0.118764
2025-01-14,38.59,44.07,3.65299,3.78578,-0.00938232,5.48,0.118764
2025-01-15,40.23,44.33,3.69461,3.79166,-0.00844282,4.1,0.118764
2025-01-16,40.57,44.03,3.70303,3.78487,-0.0162328,3.46,0.118764
2025-01-17,40.46,44.51,3.70031,3.79571,-0.00506772,4.05,0.118764
2025-01-21,39.93,45.31,3.68713,3.81353,0.0143122,5.38,0.118764
2025-01-22,40.74,44.76,3.70721,3.80131,-0.000285793,4.02,0.118764
2025-01-23,40.55,44.86,3.70254,3.80355,0.00250109,4.31,0.118764
2025-01-24,40.15,45.06,3.69262,3.80799,0.00812685,4.91,0.118764
2025-01-27,36.35,44.7,3.59319,3.79997,0.0119139,8.35,0.118764
2025-01-28,37.22,44.46,3.61685,3.79459,0.00372124,7.24,0.118764
2025-01-29,37.35,44.26,3.62033,3.79008,-0.00120143,6.91,0.118764
2025-01-30,37.85,44.5,3.63363,3.79549,0.00262713,6.65,0.118764
2025-01-31,37.32,43.24,3.61953,3.76677,-0.0244213,5.92,0.118764
2025-02-03,38.33,42.92,3.64623,3.75934,-0.0350208,4.59,0.118764
2025-02-04,38.73,43.72,3.65661,3.77781,-0.017786,4.99,0.118764
2025-02-05,39.6,43.93,3.67883,3.7826,-0.0156325,4.33,0.118764
2025-02-06,38.3,44.2,3.64545,3.78872,-0.00554091,5.9,0.118764
2025-02-07,37.85,44.45,3.63363,3.79436,0.00150292,6.6,0.118764
2025-02-10,40.02,44.81,3.68938,3.80243,0.00294841,4.79,0.118764
2025-02-11,40.02,45.25,3.68938,3.8122,0.0127197,5.23,0.118764
2025-02-12,39.38,45.1,3.67326,3.80888,0.0113139,5.72,0.118764
2025-02-13,40.15,45.45,3.69262,3.81661,0.0167447,5.3,0.118764
2025-02-14,39.84,43.07,3.68487,3.76283,-0.0361209,3.23,0.118764
2025-02-18,39.74,42.75,3.68236,3.75537,-0.0432799,3.01,0.118764
