Date,AR Raw Price,OKE Raw Price,AR Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,35.57,99.4384,3.5715,4.59954,0.129004,63.8684,0.630426
2025-01-03,34.94,100.542,3.55363,4.61058,0.151312,65.6025,0.630426
2025-01-06,36.01,99.2918,3.5838,4.59806,0.119778,63.2818,0.630426
2025-01-07,36.68,99.282,3.60223,4.59796,0.108058,62.602,0.630426
2025-01-08,37.86,100.494,3.6339,4.61009,0.100226,62.6336,0.630426
2025-01-10,38.32,99.4188,3.64597,4.59934,0.0818599,61.0988,0.630426
2025-01-13,38.3,101.598,3.64545,4.62102,0.103869,63.2977,0.630426
2025-01-14,38.59,103.611,3.65299,4.64064,0.118731,65.0205,0.630426
2025-01-15,40.23,104.431,3.69461,4.64853,0.100383,64.2013,0.630426
2025-01-16,40.57,106.171,3.70303,4.66505,0.111595,65.6005,0.630426
2025-01-17,40.46,106.464,3.70031,4.6678,0.116063,66.0036,0.630426
2025-01-21,39.93,107.333,3.68713,4.67594,0.132511,67.4033,0.630426
2025-01-22,40.74,103.865,3.70721,4.64309,0.087,63.1246,0.630426
2025-01-23,40.55,102.487,3.70254,4.62973,0.0765939,61.9369,0.630426
2025-01-24,40.15,102.135,3.69262,4.6263,0.0794054,61.9851,0.630426
2025-01-27,36.35,98.1486,3.59319,4.58648,0.102274,61.7986,0.630426
2025-01-28,37.22,98.2952,3.61685,4.58798,0.0888548,61.0752,0.630426
2025-01-29,37.35,98.0802,3.62033,4.58579,0.0844675,60.7302,0.630426
2025-01-30,37.85,97.5819,3.63363,4.58069,0.0709905,59.7319,0.630426
2025-01-31,37.32,94.9438,3.61953,4.55328,0.0524732,57.6238,0.630426
2025-02-03,38.33,96.4152,3.64623,4.56866,0.0510179,58.0852,0.630426
2025-02-04,38.73,95.8128,3.65661,4.5624,0.0382054,57.0828,0.630426
2025-02-05,39.6,96.6917,3.67883,4.57153,0.0333323,57.0918,0.630426
2025-02-06,38.3,94.6278,3.64545,4.54995,0.0327982,56.3278,0.630426
2025-02-07,37.85,94.6179,3.63363,4.54985,0.0401447,56.7679,0.630426
2025-02-10,40.02,97.462,3.68938,4.57946,0.0346161,57.442,0.630426
2025-02-11,40.02,97.6991,3.68938,4.58189,0.037045,57.6791,0.630426
2025-02-12,39.38,96.4054,3.67326,4.56856,0.0338781,57.0254,0.630426
