Date,AR Raw Price,WMB Raw Price,AR Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,35.57,54.9218,3.5715,4.00591,-0.0274006,19.3518,0.227265
2025-01-03,34.94,55.6294,3.55363,4.01871,-0.0105369,20.6894,0.227265
2025-01-06,36.01,54.853,3.5838,4.00466,-0.0314481,18.843,0.227265
2025-01-07,36.68,54.5974,3.60223,3.99999,-0.0403073,17.9174,0.227265
2025-01-08,37.86,55.423,3.6339,4.01499,-0.0324949,17.563,0.227265
2025-01-10,38.32,54.5679,3.64597,3.99945,-0.0507881,16.2479,0.227265
2025-01-13,38.3,55.0692,3.64545,4.00859,-0.0415255,16.7692,0.227265
2025-01-14,38.59,57.0644,3.65299,4.04418,-0.00765015,18.4744,0.227265
2025-01-15,40.23,57.0152,3.69461,4.04332,-0.0179704,16.7852,0.227265
2025-01-16,40.57,58.1652,3.70303,4.06329,8.52329e-05,17.5952,0.227265
2025-01-17,40.46,58.1259,3.70031,4.06261,2.6134e-05,17.6659,0.227265
2025-01-21,39.93,59.5903,3.68713,4.08749,0.0279051,19.6603,0.227265
2025-01-22,40.74,58.1848,3.70721,4.06362,-0.000527196,17.4448,0.227265
2025-01-23,40.55,58.4699,3.70254,4.06851,0.00542188,17.9199,0.227265
2025-01-24,40.15,58.5485,3.69262,4.06986,0.00901868,18.3985,0.227265
2025-01-27,36.35,53.6146,3.59319,3.98182,-0.0564191,17.2646,0.227265
2025-01-28,37.22,54.2534,3.61685,3.99367,-0.0499492,17.0334,0.227265
2025-01-29,37.35,54.3812,3.62033,3.99602,-0.0483892,17.0312,0.227265
2025-01-30,37.85,55.6196,3.63363,4.01854,-0.0288944,17.7696,0.227265
2025-01-31,37.32,54.4795,3.61953,3.99782,-0.046401,17.1595,0.227265
2025-02-03,38.33,55.2363,3.64623,4.01162,-0.0386739,16.9063,0.227265
2025-02-04,38.73,54.7645,3.65661,4.00304,-0.0496109,16.0345,0.227265
2025-02-05,39.6,55.8751,3.67883,4.02312,-0.0345825,16.2751,0.227265
2025-02-06,38.3,55.0495,3.64545,4.00823,-0.0418825,16.7495,0.227265
2025-02-07,37.85,54.9807,3.63363,4.00698,-0.040447,17.1307,0.227265
2025-02-10,40.02,55.2068,3.68938,4.01109,-0.0490136,15.1868,0.227265
2025-02-11,40.02,54.2927,3.68938,3.99439,-0.065709,14.2727,0.227265
2025-02-12,39.38,53.8799,3.67326,3.98676,-0.0696775,14.4999,0.227265
2025-02-13,40.15,56.4747,3.69262,4.03379,-0.0270444,16.3247,0.227265
2025-02-14,39.84,56.0029,3.68487,4.0254,-0.0336716,16.1629,0.227265
2025-02-18,39.74,56.8088,3.68236,4.03969,-0.018812,17.0688,0.227265
2025-02-19,40.35,57.2708,3.69759,4.04779,-0.0141753,16.9208,0.227265
2025-02-20,39.51,57.4477,3.67655,4.05087,-0.00630983,17.9377,0.227265
2025-02-21,38.15,56.455,3.64153,4.03344,-0.01578,18.305,0.227265
2025-02-24,37.9,56.3469,3.63495,4.03153,-0.0162026,18.4469,0.227265
2025-02-25,37.35,55.2166,3.62033,4.01126,-0.0331437,17.8666,0.227265
2025-02-26,37.04,55.9243,3.612,4.024,-0.0185151,18.8843,0.227265
2025-02-27,35.58,55.2952,3.57178,4.01269,-0.0206873,19.7152,0.227265
2025-02-28,36.7,57.1823,3.60278,4.04624,0.00582704,20.4823,0.227265
2025-03-03,36.15,56.6123,3.58768,4.03623,-0.000760453,20.4623,0.227265
2025-03-04,36.52,55.826,3.59786,4.02224,-0.0170609,19.306,0.227265
2025-03-05,36.38,55.2559,3.59402,4.01198,-0.0264518,18.8759,0.227265
2025-03-06,33.78,53.6735,3.51987,3.98292,-0.0386556,19.8935,0.227265
2025-03-07,33.64,53.4475,3.51572,3.9787,-0.0419324,19.8075,0.227265
2025-03-10,34.69,53.0937,3.54645,3.97206,-0.0555596,18.4037,0.227265
2025-03-11,35.86,54.0077,3.57962,3.98913,-0.0460288,18.1477,0.227265
2025-03-12,36.01,55.3346,3.5838,4.0134,-0.0227066,19.3246,0.227265
2025-03-13,36.37,55.2166,3.59374,4.01126,-0.0271011,18.8466,0.227265
2025-03-14,37.57,56.7934,3.62621,4.03942,-0.00632253,19.2234,0.227265
2025-03-17,38.9,57.9041,3.66099,4.05879,0.00513901,19.0041,0.227265
2025-03-18,39.87,57.914,3.68562,4.05896,-0.000287206,18.044,0.227265
2025-03-19,41.02,58.8263,3.71406,4.07459,0.00888098,17.8063,0.227265
2025-03-20,40.97,59.2527,3.71284,4.08181,0.0163809,18.2827,0.227265
2025-03-21,40.77,59.104,3.70795,4.0793,0.0149793,18.334,0.227265
2025-03-24,41.21,60.5816,3.71868,4.10399,0.0372325,19.3716,0.227265
2025-03-25,41.42,60.4031,3.72376,4.10104,0.0331264,18.9831,0.227265
2025-03-26,40.97,59.4511,3.71284,4.08515,0.0197226,18.4811,0.227265
2025-03-27,39.53,58.9354,3.67706,4.07644,0.0191424,19.4054,0.227265
2025-03-28,39.69,58.6974,3.6811,4.0724,0.0141778,19.0074,0.227265
2025-03-31,40.44,59.2627,3.69982,4.08198,0.0195073,18.8227,0.227265
2025-04-01,40.92,60.0659,3.71162,4.09544,0.0302889,19.1459,0.227265
2025-04-02,42,61.0873,3.73767,4.1123,0.0412306,19.0873,0.227265
2025-04-03,38.79,58.5387,3.65816,4.06969,0.0166837,19.7487,0.227265
2025-04-04,33.46,54.1159,3.51035,3.99113,-0.0282854,20.6559,0.227265
2025-04-07,34.15,54.3935,3.53076,3.99625,-0.0278064,20.2435,0.227265
2025-04-08,32.24,53.8779,3.47321,3.98672,-0.0242519,21.6379,0.227265
2025-04-09,34.89,55.9505,3.5522,4.02447,-0.0044569,21.0605,0.227265
2025-04-10,31.92,54.6117,3.46323,4.00025,-0.00845634,22.6917,0.227265
2025-04-11,33.1,55.9207,3.49953,4.02393,0.00698057,22.8207,0.227265
