Date,BP Raw Price,APA Raw Price,BP Log Price,APA Log Price,Residual,Spread,Beta
2025-01-02,29.0449,22.7603,3.36884,3.12502,0.238892,6.28461,1.53917
2025-01-03,29.5689,22.7992,3.38672,3.12673,0.21308,6.7697,1.53917
2025-01-06,30.1026,23.0328,3.40461,3.13692,0.19574,7.06979,1.53917
2025-01-07,30.8887,23.0328,3.43039,3.13692,0.156064,7.85584,1.53917
2025-01-08,30.1997,23.0523,3.40783,3.13777,0.191631,7.14737,1.53917
2025-01-10,30.3646,23.0523,3.41328,3.13777,0.183246,7.31234,1.53917
2025-01-13,30.2967,23.7337,3.41104,3.1669,0.215825,6.56296,1.53917
2025-01-14,30.1706,24.1913,3.40687,3.18599,0.241342,5.97927,1.53917
2025-01-15,30.3743,24.7754,3.4136,3.20985,0.254839,5.59896,1.53917
2025-01-16,30.8402,24.4833,3.42882,3.19799,0.219556,6.35682,1.53917
2025-01-17,30.7528,23.7532,3.42598,3.16772,0.193646,6.99959,1.53917
2025-01-21,30.5878,23.0718,3.4206,3.13861,0.172817,7.51607,1.53917
2025-01-22,30.2094,22.9832,3.40815,3.13476,0.188135,7.22615,1.53917
2025-01-23,30.5587,23.1308,3.41965,3.14117,0.176838,7.42792,1.53917
2025-01-24,30.5199,22.9439,3.41838,3.13305,0.17068,7.57604,1.53917
2025-01-27,30.5199,23.0029,3.41838,3.13562,0.17325,7.51701,1.53917
2025-01-28,30.2385,22.9635,3.40912,3.13391,0.185796,7.27494,1.53917
2025-01-29,30.2094,22.8061,3.40815,3.12703,0.1804,7.40325,1.53917
2025-01-30,30.6752,22.6192,3.42345,3.1188,0.148618,8.05599,1.53917
2025-01-31,30.1414,21.5763,3.4059,3.0716,0.128431,8.56516,1.53917
2025-02-03,29.9571,21.1237,3.39977,3.0504,0.116676,8.83336,1.53917
2025-02-04,30.7043,22.0289,3.4244,3.09235,0.120713,8.67542,1.53917
2025-02-05,30.7334,21.8321,3.42535,3.08338,0.110281,8.90131,1.53917
2025-02-06,31.0148,21.291,3.43447,3.05828,0.071153,9.72386,1.53917
2025-02-07,31.3157,21.3205,3.44412,3.05967,0.0576808,9.99518,1.53917
2025-02-10,33.4021,22.6192,3.50862,3.1188,0.017535,10.7829,1.53917
2025-02-11,33.5282,22.934,3.51239,3.13262,0.0255558,10.5942,1.53917
2025-02-12,33.6544,22.0092,3.51614,3.09146,-0.0213864,11.6452,1.53917
2025-02-13,33.47,22.1273,3.51065,3.09681,-0.0075807,11.3428,1.53917
2025-02-14,33.9649,22.7668,3.52533,3.1253,-0.00168184,11.1982,1.53917
2025-02-18,34.2658,23.1898,3.53415,3.14371,0.00315758,11.0759,1.53917
2025-02-19,33.5185,23.2095,3.5121,3.14456,0.0379418,10.309,1.53917
2025-02-20,33.6253,23.239,3.51528,3.14583,0.0343185,10.3862,1.53917
2025-02-21,33.3497,22.4224,3.50705,3.11006,0.0112112,10.9273,1.53917
2025-02-24,33.2021,22.5011,3.50261,3.11357,0.0215429,10.701,1.53917
2025-02-25,32.7003,22.019,3.48738,3.09191,0.0233278,10.6812,1.53917
2025-02-26,32.159,21.655,3.47069,3.07524,0.0323454,10.504,1.53917
