Date,BP Raw Price,AR Raw Price,BP Log Price,AR Log Price,Residual,Spread,Beta
2025-01-02,29.0449,35.57,3.36884,3.5715,-0.0305403,6.52514,0.607083
2025-01-03,29.5689,34.94,3.38672,3.55363,-0.0592661,5.37111,0.607083
2025-01-06,30.1026,36.01,3.40461,3.5838,-0.0399622,5.90737,0.607083
2025-01-07,30.8887,36.68,3.43039,3.60223,-0.037176,5.79133,0.607083
2025-01-08,30.1997,37.86,3.40783,3.6339,0.00818246,7.66033,0.607083
2025-01-10,30.3646,38.32,3.41328,3.64597,0.0169519,7.95535,0.607083
2025-01-13,30.2967,38.3,3.41104,3.64545,0.0177895,8.00329,0.607083
2025-01-14,30.1706,38.59,3.40687,3.65299,0.027866,8.41944,0.607083
2025-01-15,30.3743,40.23,3.4136,3.69461,0.065399,9.85565,0.607083
2025-01-16,30.8402,40.57,3.42882,3.70303,0.0645756,9.72985,0.607083
2025-01-17,30.7528,40.46,3.42598,3.70031,0.0635823,9.70719,0.607083
2025-01-21,30.5878,39.93,3.4206,3.68713,0.0536618,9.34216,0.607083
2025-01-22,30.2094,40.74,3.40815,3.70721,0.0813027,10.5306,0.607083
2025-01-23,30.5587,40.55,3.41965,3.70254,0.0696477,9.99127,0.607083
2025-01-24,30.5199,40.15,3.41838,3.69262,0.0605061,9.63009,0.607083
2025-01-27,30.5199,36.35,3.41838,3.59319,-0.0389222,5.83009,0.607083
2025-01-28,30.2385,37.22,3.40912,3.61685,-0.00964622,6.98151,0.607083
2025-01-29,30.2094,37.35,3.40815,3.62033,-0.00557489,7.14062,0.607083
2025-01-30,30.6752,37.85,3.42345,3.63363,-0.00156613,7.17482,0.607083
2025-01-31,30.1414,37.32,3.4059,3.61953,-0.00501174,7.17855,0.607083
2025-02-03,29.9571,38.33,3.39977,3.64623,0.0254168,8.37294,0.607083
2025-02-04,30.7043,38.73,3.4244,3.65661,0.0208415,8.02571,0.607083
2025-02-05,30.7334,39.6,3.42535,3.67883,0.0424808,8.86659,0.607083
2025-02-06,31.0148,38.3,3.43447,3.64545,0.00356786,7.28517,0.607083
2025-02-07,31.3157,37.85,3.44412,3.63363,-0.0141112,6.53434,0.607083
2025-02-10,33.4021,40.02,3.50862,3.68938,0.00248055,6.61792,0.607083
2025-02-11,33.5282,40.02,3.51239,3.68938,0.00019199,6.49177,0.607083
2025-02-12,33.6544,39.38,3.51614,3.67326,-0.0182092,5.72561,0.607083
2025-02-13,33.47,40.15,3.51065,3.69262,0.00449028,6.67999,0.607083
2025-02-14,33.9649,39.84,3.52533,3.68487,-0.0121719,5.87507,0.607083
2025-02-18,34.2658,39.74,3.53415,3.68236,-0.0200384,5.47424,0.607083
2025-02-19,33.5185,40.35,3.5121,3.69759,0.00857975,6.83147,0.607083
2025-02-20,33.6253,39.51,3.51528,3.67655,-0.0143882,5.88472,0.607083
2025-02-21,33.3497,38.15,3.50705,3.64153,-0.044421,4.80026,0.607083
2025-02-24,33.2021,37.9,3.50261,3.63495,-0.0483027,4.69787,0.607083
2025-02-25,32.7003,37.35,3.48738,3.62033,-0.0536745,4.64974,0.607083
2025-02-26,32.159,37.04,3.47069,3.612,-0.0518769,4.88097,0.607083
2025-02-27,32.592,35.58,3.48407,3.57178,-0.100211,2.98799,0.607083
2025-02-28,32.592,36.7,3.48407,3.60278,-0.0692177,4.10799,0.607083
2025-03-03,31.3029,36.15,3.44371,3.58768,-0.0598176,4.8471,0.607083
2025-03-04,30.9388,36.52,3.43201,3.59786,-0.0425319,5.5812,0.607083
2025-03-05,31.3718,36.38,3.44591,3.59402,-0.0548099,5.00822,0.607083
2025-03-06,31.2045,33.78,3.44056,3.51987,-0.125714,2.57551,0.607083
2025-03-07,31.5588,33.64,3.45185,3.51572,-0.136721,2.08125,0.607083
2025-03-10,31.6965,34.69,3.45621,3.54645,-0.108629,2.99348,0.607083
2025-03-11,31.4702,35.86,3.44904,3.57962,-0.0711079,4.38981,0.607083
2025-03-12,31.6867,36.01,3.4559,3.5838,-0.0710958,4.32332,0.607083
2025-03-13,31.854,36.37,3.46116,3.59374,-0.0643448,4.51603,0.607083
2025-03-14,32.8577,37.57,3.49219,3.62621,-0.0507176,4.71229,0.607083
2025-03-17,33.2218,38.9,3.50321,3.66099,-0.0226193,5.67819,0.607083
2025-03-18,33.6745,39.87,3.51674,3.68562,-0.00620551,6.19552,0.607083
2025-03-19,34.0583,41.02,3.52807,3.71406,0.0153504,6.96174,0.607083
