Date,BP Raw Price,FANG Raw Price,BP Log Price,FANG Log Price,Residual,Spread,Beta
2025-01-02,29.0449,164.468,3.36884,5.10271,0.143421,135.423,0.885725
2025-01-03,29.5689,168.59,3.38672,5.12747,0.152337,139.021,0.885725
2025-01-06,30.1026,167.288,3.40461,5.11972,0.128741,137.185,0.885725
2025-01-07,30.8887,170.029,3.43039,5.13597,0.122164,139.141,0.885725
2025-01-08,30.1997,168.619,3.40783,5.12764,0.133817,138.42,0.885725
2025-01-10,30.3646,172.347,3.41328,5.14951,0.150857,141.982,0.885725
2025-01-13,30.2967,175.148,3.41104,5.16563,0.16896,144.851,0.885725
2025-01-14,30.1706,175.217,3.40687,5.16602,0.17305,145.046,0.885725
2025-01-15,30.3743,177.07,3.4136,5.17655,0.177613,146.696,0.885725
2025-01-16,30.8402,176.637,3.42882,5.17409,0.161679,145.796,0.885725
2025-01-17,30.7528,177.682,3.42598,5.17999,0.170092,146.929,0.885725
2025-01-21,30.5878,174.497,3.4206,5.16191,0.156767,143.909,0.885725
2025-01-22,30.2094,175.128,3.40815,5.16552,0.171405,144.918,0.885725
2025-01-23,30.5587,174.181,3.41965,5.1601,0.1558,143.622,0.885725
2025-01-24,30.5199,170.858,3.41838,5.14083,0.137662,140.338,0.885725
2025-01-27,30.5199,169.221,3.41838,5.1312,0.128035,138.701,0.885725
2025-01-28,30.2385,166.903,3.40912,5.11742,0.122451,136.665,0.885725
2025-01-29,30.2094,168.491,3.40815,5.12688,0.132772,138.282,0.885725
2025-01-30,30.6752,168.047,3.42345,5.12425,0.116581,137.372,0.885725
2025-01-31,30.1414,162.081,3.4059,5.0881,0.0959801,131.94,0.885725
2025-02-03,29.9571,162.2,3.39977,5.08883,0.102145,132.243,0.885725
2025-02-04,30.7043,163.994,3.4244,5.09983,0.0913272,133.29,0.885725
2025-02-05,30.7334,162.476,3.42535,5.09053,0.0811842,131.742,0.885725
2025-02-06,31.0148,157.811,3.43447,5.0614,0.0439821,126.796,0.885725
2025-02-07,31.3157,155.938,3.44412,5.04946,0.0234885,124.622,0.885725
2025-02-10,33.4021,159.419,3.50862,5.07153,-0.0115626,126.017,0.885725
2025-02-11,33.5282,159.764,3.51239,5.0737,-0.012739,126.236,0.885725
2025-02-12,33.6544,153.305,3.51614,5.03243,-0.0573349,119.65,0.885725
2025-02-13,33.47,154.005,3.51065,5.03698,-0.0479124,120.535,0.885725
2025-02-14,33.9649,154.813,3.52533,5.04222,-0.0556766,120.849,0.885725
2025-02-18,34.2658,154.587,3.53415,5.04075,-0.0649532,120.321,0.885725
2025-02-19,33.5185,158.038,3.5121,5.06284,-0.0233431,124.52,0.885725
2025-02-20,33.6253,159.843,3.51528,5.07419,-0.0148052,126.217,0.885725
2025-02-21,33.3497,153.955,3.50705,5.03666,-0.0450442,120.606,0.885725
2025-02-24,33.2021,153.078,3.50261,5.03095,-0.0468323,119.876,0.885725
2025-02-25,32.7003,149.814,3.48738,5.00939,-0.0548956,117.113,0.885725
2025-02-26,32.159,150.317,3.47069,5.01274,-0.0367617,118.158,0.885725
2025-02-27,32.592,153.433,3.48407,5.03326,-0.0280885,120.841,0.885725
2025-02-28,32.592,156.756,3.48407,5.05469,-0.00666019,124.164,0.885725
2025-03-03,31.3029,145.948,3.44371,4.98325,-0.0423557,114.645,0.885725
2025-03-04,30.9388,143.029,3.43201,4.96305,-0.0521957,112.09,0.885725
2025-03-05,31.3718,140.722,3.44591,4.94678,-0.0807705,109.35,0.885725
2025-03-06,31.2045,138.934,3.44056,4.934,-0.0888189,107.729,0.885725
2025-03-07,31.5588,139.143,3.45185,4.9355,-0.0973178,107.584,0.885725
2025-03-10,31.6965,139.609,3.45621,4.93885,-0.097827,107.913,0.885725
2025-03-11,31.4702,143.651,3.44904,4.96739,-0.0629395,112.181,0.885725
2025-03-12,31.6867,145.538,3.4559,4.98044,-0.0559621,113.851,0.885725
2025-03-13,31.854,144.793,3.46116,4.97531,-0.0657569,112.939,0.885725
2025-03-14,32.8577,149.163,3.49219,5.00504,-0.0635041,116.305,0.885725
2025-03-17,33.2218,151.973,3.50321,5.0237,-0.0545985,118.752,0.885725
2025-03-18,33.6745,153.93,3.51674,5.0365,-0.0537946,120.255,0.885725
2025-03-19,34.0583,156.512,3.52807,5.05313,-0.0471968,122.453,0.885725
2025-03-20,34.196,157.386,3.53211,5.0587,-0.0452043,123.19,0.885725
2025-03-21,33.9992,157.406,3.52634,5.05883,-0.0399656,123.406,0.885725
2025-03-24,33.5662,159.898,3.51352,5.07454,-0.0129015,126.332,0.885725
2025-03-25,33.7434,160.484,3.51878,5.0782,-0.0139055,126.741,0.885725
2025-03-26,33.8713,161.964,3.52257,5.08737,-0.00807899,128.093,0.885725
2025-03-27,33.8615,159.124,3.52228,5.06968,-0.0255136,125.262,0.885725
2025-03-28,33.3202,156.452,3.50616,5.05275,-0.028173,123.132,0.885725
2025-03-31,33.2513,158.776,3.50409,5.06749,-0.0115958,125.525,0.885725
2025-04-01,33.271,159.759,3.50469,5.07367,-0.00594694,126.488,0.885725
2025-04-02,33.271,160.375,3.50469,5.07751,-0.00210028,127.104,0.885725
2025-04-03,30.8404,140.304,3.42883,4.94381,-0.0686074,109.464,0.885725
2025-04-04,27.9276,122.518,3.32961,4.80826,-0.11629,94.5905,0.885725
2025-04-07,26.7369,123.67,3.28604,4.81762,-0.0683391,96.9332,0.885725
2025-04-08,25.6938,118.427,3.24625,4.77429,-0.0764162,92.7328,0.885725
2025-04-09,27.4552,133.998,3.31256,4.89783,-0.0116132,106.543,0.885725
2025-04-10,25.8119,122.31,3.25083,4.80656,-0.0482153,96.4977,0.885725
2025-04-11,26.1661,128.119,3.26447,4.85296,-0.0138836,101.953,0.885725
2025-04-14,26.481,126.759,3.27643,4.84228,-0.0351553,100.278,0.885725
2025-04-15,26.7762,126.262,3.28751,4.83836,-0.0488999,99.4858,0.885725
2025-04-16,27.2191,129.321,3.30392,4.8623,-0.0394918,102.102,0.885725
2025-04-17,27.8685,136.69,3.3275,4.91771,-0.00496174,108.821,0.885725
2025-04-21,27.6324,131.436,3.31899,4.87852,-0.0366152,103.804,0.885725
2025-04-22,28.4098,135.597,3.34673,4.90969,-0.0300224,107.187,0.885725
2025-04-23,28.1441,134.604,3.33734,4.90234,-0.0290508,106.46,0.885725
2025-04-24,28.5377,135.22,3.35123,4.9069,-0.0367887,106.682,0.885725
2025-04-25,28.7247,135.816,3.35776,4.9113,-0.0381761,107.091,0.885725
2025-04-28,28.6656,136.868,3.3557,4.91902,-0.0286324,108.203,0.885725
2025-04-29,27.6225,135.706,3.31863,4.91049,-0.00432687,108.084,0.885725
2025-04-30,27.0222,131.098,3.29666,4.87595,-0.0194118,104.076,0.885725
2025-05-01,27.4355,133.899,3.31184,4.89709,-0.0117193,106.463,0.885725
2025-05-02,27.6717,135.865,3.32041,4.91166,-0.00473294,108.194,0.885725
2025-05-05,28.7148,132.161,3.35741,4.88402,-0.0651495,103.446,0.885725
2025-05-06,27.9473,131.069,3.33032,4.87572,-0.0494515,103.121,0.885725
2025-05-07,27.6816,128.675,3.32077,4.85729,-0.0594196,100.994,0.885725
2025-05-08,28.1342,135.24,3.33699,4.90705,-0.0240303,107.105,0.885725
2025-05-09,29.2954,136.938,3.37743,4.91953,-0.0473739,107.642,0.885725
2025-05-12,29.7087,141.933,3.39144,4.95536,-0.0239537,112.224,0.885725
2025-05-13,30.0728,145.161,3.40362,4.97784,-0.0122576,115.088,0.885725
2025-05-14,29.876,143.82,3.39706,4.96856,-0.0157207,113.944,0.885725
2025-05-15,29.63,141.95,3.38879,4.95547,-0.0214847,112.32,0.885725
2025-05-16,29.76,141.13,3.39317,4.94968,-0.0311556,111.37,0.885725
2025-05-19,29.4,139.35,3.38099,4.93699,-0.0330685,109.95,0.885725
2025-05-20,29.2,138.35,3.37417,4.92979,-0.0342247,109.15,0.885725
2025-05-21,28.88,136.31,3.36315,4.91493,-0.0393195,107.43,0.885725
2025-05-22,28.94,136.29,3.36522,4.91478,-0.0413046,107.35,0.885725
