Date,BP Raw Price,KMI Raw Price,BP Log Price,KMI Log Price,Residual,Spread,Beta
2025-01-02,29.0449,27.5159,3.36884,3.31476,0.0149309,1.52898,0.0877356
2025-01-03,29.5689,27.6725,3.38672,3.32044,0.0190379,1.8964,0.0877356
2025-01-06,30.1026,27.2418,3.40461,3.30475,0.00178173,2.86083,0.0877356
2025-01-07,30.8887,27.2222,3.43039,3.30403,-0.00119881,3.66646,0.0877356
2025-01-08,30.1997,27.6921,3.40783,3.32115,0.0178931,2.5076,0.0877356
2025-01-10,30.3646,27.5648,3.41328,3.31654,0.0128093,2.79982,0.0877356
2025-01-13,30.2967,27.9172,3.41104,3.32924,0.0257089,2.3795,0.0877356
2025-01-14,30.1706,28.5045,3.40687,3.35006,0.0468946,1.66603,0.0877356
2025-01-15,30.3743,28.8178,3.4136,3.36099,0.0572331,1.55658,0.0877356
2025-01-16,30.8402,29.4247,3.42882,3.38183,0.0767388,1.41549,0.0877356
2025-01-17,30.7528,29.6694,3.42598,3.39012,0.08527,1.08344,0.0877356
2025-01-21,30.5878,30.5601,3.4206,3.4197,0.115323,0.0276947,0.0877356
2025-01-22,30.2094,30.1294,3.40815,3.4055,0.102222,0.0799274,0.0877356
2025-01-23,30.5587,29.8358,3.41965,3.39571,0.0914184,0.722944,0.0877356
2025-01-24,30.5199,29.6302,3.41838,3.38879,0.0846164,0.889687,0.0877356
2025-01-27,30.5199,26.8796,3.41838,3.29137,-0.0128103,3.6403,0.0877356
2025-01-28,30.2385,26.8796,3.40912,3.29137,-0.0119976,3.35887,0.0877356
2025-01-29,30.2094,26.723,3.40815,3.28552,-0.0177568,3.48638,0.0877356
2025-01-30,30.6752,27.5061,3.42345,3.31441,0.00978368,3.16909,0.0877356
2025-01-31,30.1414,26.8992,3.4059,3.2921,-0.0109875,3.24225,0.0877356
2025-02-03,29.9571,27.283,3.39977,3.30626,0.00371897,2.67405,0.0877356
2025-02-04,30.7043,27.2039,3.4244,3.30336,-0.00134751,3.50042,0.0877356
2025-02-05,30.7334,27.3424,3.42535,3.30844,0.00364734,3.39104,0.0877356
2025-02-06,31.0148,26.4916,3.43447,3.27683,-0.028761,4.5232,0.0877356
2025-02-07,31.3157,26.7488,3.44412,3.28649,-0.019946,4.56683,0.0877356
2025-02-10,33.4021,26.7785,3.50862,3.2876,-0.0244961,6.62357,0.0877356
2025-02-11,33.5282,26.5015,3.51239,3.2772,-0.0352242,7.02671,0.0877356
2025-02-12,33.6544,25.997,3.51614,3.25798,-0.0547742,7.65737,0.0877356
2025-02-13,33.47,26.274,3.51065,3.26858,-0.0436942,7.19601,0.0877356
2025-02-14,33.9649,26.2641,3.52533,3.2682,-0.0453586,7.70082,0.0877356
2025-02-18,34.2658,26.462,3.53415,3.27571,-0.0386275,7.80381,0.0877356
2025-02-19,33.5185,26.6004,3.5121,3.28093,-0.0314731,6.91808,0.0877356
2025-02-20,33.6253,26.3037,3.51528,3.26971,-0.0429713,7.3216,0.0877356
