Date,BP Raw Price,OKE Raw Price,BP Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,29.0449,99.4384,3.36884,4.59954,0.132831,70.3935,0.899306
2025-01-03,29.5689,100.542,3.38672,4.61058,0.127792,70.9736,0.899306
2025-01-06,30.1026,99.2918,3.40461,4.59806,0.0991867,69.1892,0.899306
2025-01-07,30.8887,99.282,3.43039,4.59796,0.0759068,68.3934,0.899306
2025-01-08,30.1997,100.494,3.40783,4.61009,0.108324,70.294,0.899306
2025-01-10,30.3646,99.4188,3.41328,4.59934,0.0926714,69.0542,0.899306
2025-01-13,30.2967,101.598,3.41104,4.62102,0.116365,71.301,0.899306
2025-01-14,30.1706,103.611,3.40687,4.64064,0.139736,73.44,0.899306
2025-01-15,30.3743,104.431,3.4136,4.64853,0.141572,74.057,0.899306
2025-01-16,30.8402,106.171,3.42882,4.66505,0.144402,75.3304,0.899306
2025-01-17,30.7528,106.464,3.42598,4.6678,0.14971,75.7108,0.899306
2025-01-21,30.5878,107.333,3.4206,4.67594,0.162682,76.7454,0.899306
2025-01-22,30.2094,103.865,3.40815,4.64309,0.141028,73.6552,0.899306
2025-01-23,30.5587,102.487,3.41965,4.62973,0.117335,71.9282,0.899306
2025-01-24,30.5199,102.135,3.41838,4.6263,0.11504,71.6152,0.899306
2025-01-27,30.5199,98.1486,3.41838,4.58648,0.0752258,67.6287,0.899306
2025-01-28,30.2385,98.2952,3.40912,4.58798,0.085049,68.0567,0.899306
2025-01-29,30.2094,98.0802,3.40815,4.58579,0.0837259,67.8708,0.899306
2025-01-30,30.6752,97.5819,3.42345,4.58069,0.0648716,66.9067,0.899306
2025-01-31,30.1414,94.9438,3.4059,4.55328,0.0532495,64.8023,0.899306
2025-02-03,29.9571,96.4152,3.39977,4.56866,0.0741469,66.4582,0.899306
2025-02-04,30.7043,95.8128,3.4244,4.5624,0.0457229,65.1085,0.899306
2025-02-05,30.7334,96.6917,3.42535,4.57153,0.0540021,65.9583,0.899306
2025-02-06,31.0148,94.6278,3.43447,4.54995,0.0242275,63.6129,0.899306
2025-02-07,31.3157,94.6179,3.44412,4.54985,0.0154421,63.3022,0.899306
2025-02-10,33.4021,97.462,3.50862,4.57946,-0.0129462,64.06,0.899306
2025-02-11,33.5282,97.6991,3.51239,4.58189,-0.0139075,64.1708,0.899306
2025-02-12,33.6544,96.4054,3.51614,4.56856,-0.0306151,62.751,0.899306
2025-02-13,33.47,97.7386,3.51065,4.5823,-0.0119402,64.2685,0.899306
2025-02-14,33.9649,96.6325,3.52533,4.57092,-0.0365219,62.6676,0.899306
2025-02-18,34.2658,97.4127,3.53415,4.57896,-0.036411,63.1469,0.899306
2025-02-19,33.5185,97.9657,3.5121,4.58462,-0.0109217,64.4472,0.899306
2025-02-20,33.6253,97.4028,3.51528,4.57885,-0.0195438,63.7775,0.899306
2025-02-21,33.3497,96.8794,3.50705,4.57347,-0.0175323,63.5296,0.899306
2025-02-24,33.2021,96.8991,3.50261,4.57367,-0.0133392,63.697,0.899306
2025-02-25,32.7003,94.5784,3.48738,4.54943,-0.0238836,61.8781,0.899306
2025-02-26,32.159,94.5685,3.47069,4.54932,-0.00897886,62.4095,0.899306
2025-02-27,32.592,95.4375,3.48407,4.55847,-0.0118585,62.8455,0.899306
2025-02-28,32.592,99.1409,3.48407,4.59654,0.0262113,66.5489,0.899306
2025-03-03,31.3029,95.5561,3.44371,4.55971,0.0256755,64.2532,0.899306
2025-03-04,30.9388,92.623,3.43201,4.52854,0.00502157,61.6842,0.899306
2025-03-05,31.3718,90.7269,3.44591,4.50785,-0.0281605,59.3551,0.899306
2025-03-06,31.2045,88.6234,3.44056,4.4844,-0.0468102,57.4189,0.899306
2025-03-07,31.5588,88.4555,3.45185,4.4825,-0.0588584,56.8968,0.899306
2025-03-10,31.6965,90.2825,3.45621,4.50294,-0.042332,58.586,0.899306
2025-03-11,31.4702,91.4676,3.44904,4.51598,-0.0228465,59.9974,0.899306
2025-03-12,31.6867,91.8132,3.4559,4.51976,-0.0252401,60.1265,0.899306
2025-03-13,31.854,92.3366,3.46116,4.52544,-0.024291,60.4826,0.899306
2025-03-14,32.8577,95.2302,3.49219,4.5563,-0.0213354,62.3725,0.899306
2025-03-17,33.2218,97.2152,3.50321,4.57693,-0.010616,63.9933,0.899306
2025-03-18,33.6745,96.7905,3.51674,4.57255,-0.0271647,63.116,0.899306
2025-03-19,34.0583,98.8051,3.52807,4.59315,-0.0167554,64.7469,0.899306
2025-03-20,34.196,99.3977,3.53211,4.59913,-0.0144067,65.2016,0.899306
2025-03-21,33.9992,98.104,3.52634,4.58603,-0.0223168,64.1047,0.899306
2025-03-24,33.5662,101.027,3.51352,4.61539,0.0185709,67.4609,0.899306
2025-03-25,33.7434,101.106,3.51878,4.61617,0.0146194,67.3628,0.899306
2025-03-26,33.8713,100,3.52257,4.60517,0.000216682,66.1288,0.899306
2025-03-27,33.8615,97.4522,3.52228,4.57936,-0.0253313,63.5907,0.899306
2025-03-28,33.3202,97.2547,3.50616,4.57733,-0.0128698,63.9344,0.899306
2025-03-31,33.2513,97.9855,3.50409,4.58482,-0.00352251,64.7341,0.899306
2025-04-01,33.271,98.262,3.50469,4.58764,-0.00123672,64.9909,0.899306
2025-04-02,33.271,99.1211,3.50469,4.59634,0.00746901,65.8501,0.899306
2025-04-03,30.8404,91.5466,3.42883,4.51685,-0.00380326,60.7062,0.899306
2025-04-04,27.9276,79.8539,3.32961,4.3802,-0.0512319,51.9263,0.899306
2025-04-07,26.7369,79.9033,3.28604,4.38082,-0.0114298,53.1664,0.899306
2025-04-08,25.6938,77.7306,3.24625,4.35325,-0.00320912,52.0369,0.899306
2025-04-09,27.4552,83.8041,3.31256,4.42848,0.0123921,56.3489,0.899306
2025-04-10,25.8119,80.2292,3.25083,4.38489,0.0243048,54.4173,0.899306
2025-04-11,26.1661,81.5327,3.26447,4.401,0.0281634,55.3666,0.899306
2025-04-14,26.481,82.3425,3.27643,4.41089,0.0272885,55.8615,0.899306
2025-04-15,26.7762,83.1128,3.28751,4.4202,0.0266296,56.3366,0.899306
2025-04-16,27.2191,83.7449,3.30392,4.42777,0.0194542,56.5258,0.899306
2025-04-17,27.8685,85.1571,3.3275,4.4445,0.0149704,57.2885,0.899306
2025-04-21,27.6324,80.8019,3.31899,4.392,-0.0298724,53.1696,0.899306
2025-04-22,28.4098,83.0042,3.34673,4.41889,-0.0279338,54.5944,0.899306
2025-04-23,28.1441,83.6066,3.33734,4.42612,-0.0122523,55.4625,0.899306
2025-04-24,28.5377,85.2065,3.35123,4.44508,-0.00578835,56.6688,0.899306
2025-04-25,28.7247,85.2361,3.35776,4.44542,-0.0113135,56.5114,0.899306
2025-04-28,28.6656,86.7767,3.3557,4.46334,0.00845002,58.1111,0.899306
2025-04-29,27.6225,86.7668,3.31863,4.46322,0.0416708,59.1443,0.899306
2025-04-30,27.0222,81.1377,3.29666,4.39615,-0.00564653,54.1155,0.899306
2025-05-01,27.4355,79.923,3.31184,4.38106,-0.0343813,52.4875,0.899306
2025-05-02,27.6717,81.75,3.32041,4.40367,-0.0194878,54.0783,0.899306
2025-05-05,28.7148,80.15,3.35741,4.3839,-0.0725302,51.4352,0.899306
2025-05-06,27.9473,79.29,3.33032,4.37311,-0.058952,51.3427,0.899306
2025-05-07,27.6816,80.25,3.32077,4.38515,-0.0383266,52.5684,0.899306
2025-05-08,28.1342,82.25,3.33699,4.40976,-0.0282971,54.1158,0.899306
2025-05-09,29.2954,82.3,3.37743,4.41037,-0.064061,53.0046,0.899306
2025-05-12,29.7087,85.04,3.39144,4.44312,-0.0439093,55.3313,0.899306
2025-05-13,30.0728,86.51,3.40362,4.46026,-0.0377256,56.4372,0.899306
2025-05-14,29.876,86.61,3.39706,4.46142,-0.0306655,56.734,0.899306
2025-05-15,29.63,86.03,3.38879,4.4547,-0.0299488,56.4,0.899306
2025-05-16,29.76,85.67,3.39317,4.4505,-0.0380791,55.91,0.899306
2025-05-19,29.4,84.73,3.38099,4.43947,-0.038167,55.33,0.899306
2025-05-20,29.2,83.71,3.37417,4.42736,-0.0441397,54.51,0.899306
2025-05-21,28.88,81.83,3.36315,4.40464,-0.0569444,52.95,0.899306
2025-05-22,28.94,81.37,3.36522,4.39901,-0.0644481,52.43,0.899306
2025-05-23,29.09,81.14,3.37039,4.39618,-0.0719279,52.05,0.899306
2025-05-27,29.15,81.74,3.37245,4.40354,-0.0664135,52.59,0.899306
2025-05-28,28.94,80.59,3.36522,4.38937,-0.0740803,51.65,0.899306
2025-05-29,29.17,80.68,3.37314,4.39049,-0.080083,51.51,0.899306
2025-05-30,29.1,80.84,3.37074,4.39247,-0.0759412,51.74,0.899306
2025-06-02,29.58,82.51,3.3871,4.41292,-0.0702064,52.93,0.899306
