Date,BP Raw Price,OXY Raw Price,BP Log Price,OXY Log Price,Residual,Spread,Beta
2025-01-02,29.0449,49.2819,3.36884,3.89756,0.142814,20.237,1.07675
2025-01-03,29.5689,49.9745,3.38672,3.91151,0.137516,20.4056,1.07675
2025-01-06,30.1026,50.2317,3.40461,3.91665,0.123388,20.1291,1.07675
2025-01-07,30.8887,51.0034,3.43039,3.93189,0.110879,20.1148,1.07675
2025-01-08,30.1997,50.6472,3.40783,3.92488,0.128161,20.4476,1.07675
2025-01-10,30.3646,50.7561,3.41328,3.92703,0.124441,20.3914,1.07675
2025-01-13,30.2967,52.1214,3.41104,3.95358,0.153398,21.8247,1.07675
2025-01-14,30.1706,51.5278,3.40687,3.94212,0.146436,21.3573,1.07675
2025-01-15,30.3743,52.1412,3.4136,3.95396,0.151022,21.7669,1.07675
2025-01-16,30.8402,51.7455,3.42882,3.94634,0.127016,20.9053,1.07675
2025-01-17,30.7528,51.419,3.42598,3.94001,0.12374,20.6662,1.07675
2025-01-21,30.5878,50.014,3.4206,3.9123,0.101828,19.4262,1.07675
2025-01-22,30.2094,49.6677,3.40815,3.90536,0.108286,19.4584,1.07675
2025-01-23,30.5587,49.8063,3.41965,3.90814,0.0986901,19.2475,1.07675
2025-01-24,30.5199,48.7674,3.41838,3.88706,0.0789799,18.2475,1.07675
2025-01-27,30.5199,49.0345,3.41838,3.89252,0.0844427,18.5146,1.07675
2025-01-28,30.2385,48.4805,3.40912,3.88116,0.0830536,18.242,1.07675
2025-01-29,30.2094,48.3123,3.40815,3.87769,0.0806155,18.1029,1.07675
2025-01-30,30.6752,48.4013,3.42345,3.87953,0.0659809,17.7261,1.07675
2025-01-31,30.1414,46.1554,3.4059,3.83201,0.0373674,16.0139,1.07675
2025-02-03,29.9571,45.8784,3.39977,3.82599,0.037954,15.9213,1.07675
2025-02-04,30.7043,47.0854,3.4244,3.85196,0.0373959,16.3811,1.07675
2025-02-05,30.7334,46.8579,3.42535,3.84712,0.0315307,16.1245,1.07675
2025-02-06,31.0148,46.4819,3.43447,3.83906,0.0136599,15.4671,1.07675
2025-02-07,31.3157,46.284,3.44412,3.8348,-0.00100012,14.9683,1.07675
2025-02-10,33.4021,47.867,3.50862,3.86843,-0.0368193,14.465,1.07675
2025-02-11,33.5282,48.0946,3.51239,3.87317,-0.0361356,14.5664,1.07675
2025-02-12,33.6544,47.3229,3.51614,3.85699,-0.0563557,13.6685,1.07675
