Date,BP Raw Price,VLO Raw Price,BP Log Price,VLO Log Price,Residual,Spread,Beta
2025-01-02,29.0449,121.125,3.36884,4.79682,-0.00874787,92.0799,0.752242
2025-01-03,29.5689,122.216,3.38672,4.80579,-0.0132259,92.6476,0.752242
2025-01-06,30.1026,120.112,3.40461,4.78842,-0.0440552,90.0091,0.752242
2025-01-07,30.8887,121.951,3.43039,4.80362,-0.048249,91.0622,0.752242
2025-01-08,30.1997,123.131,3.40783,4.81325,-0.0216478,92.9315,0.752242
2025-01-10,30.3646,125.059,3.41328,4.82879,-0.0102111,94.6943,0.752242
2025-01-13,30.2967,131.157,3.41104,4.8764,0.0390835,100.86,0.752242
2025-01-14,30.1706,131.855,3.40687,4.88171,0.0475325,101.685,0.752242
2025-01-15,30.3743,135.642,3.4136,4.91002,0.0707824,105.268,0.752242
2025-01-16,30.8402,137.078,3.42882,4.92055,0.0698649,106.238,0.752242
2025-01-17,30.7528,138.73,3.42598,4.93253,0.0839806,107.978,0.752242
2025-01-21,30.5878,137.235,3.4206,4.9217,0.0771919,106.648,0.752242
2025-01-22,30.2094,132.859,3.40815,4.88928,0.054145,102.649,0.752242
2025-01-23,30.5587,138.396,3.41965,4.93012,0.0863295,107.837,0.752242
2025-01-24,30.5199,137.334,3.41838,4.92241,0.0795808,106.814,0.752242
2025-01-27,30.5199,138.986,3.41838,4.93437,0.0915407,108.466,0.752242
2025-01-28,30.2385,135.858,3.40912,4.91161,0.0757486,105.62,0.752242
2025-01-29,30.2094,137.186,3.40815,4.92134,0.086199,106.977,0.752242
2025-01-30,30.6752,134.281,3.42345,4.89993,0.0532829,103.606,0.752242
2025-01-31,30.1414,131.881,3.4059,4.8819,0.048455,101.74,0.752242
2025-02-03,29.9571,135.034,3.39977,4.90553,0.0766989,105.077,0.752242
2025-02-04,30.7043,141.787,3.4244,4.95433,0.106963,111.083,0.752242
2025-02-05,30.7334,139.358,3.42535,4.93704,0.0889675,108.624,0.752242
2025-02-06,31.0148,133.16,3.43447,4.89155,0.0366201,102.145,0.752242
2025-02-07,31.3157,131.961,3.44412,4.8825,0.0203076,100.645,0.752242
2025-02-10,33.4021,135.659,3.50862,4.91015,-0.000569069,102.257,0.752242
2025-02-11,33.5282,135.738,3.51239,4.91073,-0.00282024,102.21,0.752242
2025-02-12,33.6544,129.809,3.51614,4.86606,-0.0503129,96.1544,0.752242
2025-02-13,33.47,129.888,3.51065,4.86667,-0.0455694,96.4181,0.752242
2025-02-14,33.9649,134.172,3.52533,4.89912,-0.024164,100.207,0.752242
2025-02-18,34.2658,137.028,3.53415,4.92018,-0.0097362,102.762,0.752242
2025-02-19,33.5185,135.996,3.5121,4.91263,-0.000704945,102.478,0.752242
2025-02-20,33.6253,137.97,3.51528,4.92703,0.0113086,104.344,0.752242
2025-02-21,33.3497,133.607,3.50705,4.8949,-0.0146355,100.257,0.752242
2025-02-24,33.2021,133.924,3.50261,4.89727,-0.0089266,100.722,0.752242
2025-02-25,32.7003,132.536,3.48738,4.88685,-0.00788894,99.8354,0.752242
2025-02-26,32.159,129.065,3.47069,4.86032,-0.0218691,96.906,0.752242
2025-02-27,32.592,128.54,3.48407,4.85624,-0.0360098,95.9475,0.752242
2025-02-28,32.592,129.63,3.48407,4.86469,-0.0275599,97.0383,0.752242
2025-03-03,31.3029,127.32,3.44371,4.8467,-0.0151858,96.017,0.752242
2025-03-04,30.9388,126.537,3.43201,4.84053,-0.0125564,95.5977,0.752242
2025-03-05,31.3718,120.736,3.44591,4.7936,-0.0699378,89.364,0.752242
2025-03-06,31.2045,124.94,3.44056,4.82783,-0.0316857,93.7356,0.752242
2025-03-07,31.5588,125.783,3.45185,4.83456,-0.0334543,94.2242,0.752242
2025-03-10,31.6965,125.733,3.45621,4.83416,-0.0371253,94.0368,0.752242
2025-03-11,31.4702,121.995,3.44904,4.80398,-0.0619173,90.5249,0.752242
2025-03-12,31.6867,124.127,3.4559,4.8213,-0.0497501,92.4403,0.752242
2025-03-13,31.854,124.742,3.46116,4.82625,-0.0487704,92.8878,0.752242
