Date,COP Raw Price,APA Raw Price,COP Log Price,APA Log Price,Residual,Spread,Beta
2025-01-02,98.4366,22.7603,4.58941,3.12502,0.0767502,75.6764,1.99097
2025-01-03,99.4301,22.7992,4.59945,3.12673,0.0584678,76.6309,1.99097
2025-01-06,98.3481,23.0328,4.58851,3.13692,0.0904464,75.3153,1.99097
2025-01-07,100.001,23.0328,4.60518,3.13692,0.0572727,76.9677,1.99097
2025-01-08,99.9514,23.0523,4.60468,3.13777,0.0590969,76.8991,1.99097
2025-01-10,100.246,23.0523,4.60763,3.13777,0.0532281,77.1941,1.99097
2025-01-13,102.519,23.7337,4.63004,3.1669,0.0377389,78.7848,1.99097
2025-01-14,103.158,24.1913,4.63626,3.18599,0.0444561,78.9665,1.99097
2025-01-15,103.748,24.7754,4.64196,3.20985,0.0569566,78.9726,1.99097
2025-01-16,103.876,24.4833,4.6432,3.19799,0.0426463,79.3925,1.99097
2025-01-17,104.112,23.7532,4.64547,3.16772,0.00785234,80.3587,1.99097
2025-01-21,102.568,23.0718,4.63052,3.13861,0.00849619,79.4959,1.99097
2025-01-22,101.368,22.9832,4.61875,3.13476,0.0280811,78.3845,1.99097
2025-01-23,102.282,23.1308,4.62774,3.14117,0.0165962,79.1516,1.99097
2025-01-24,100.158,22.9439,4.60675,3.13305,0.050272,77.214,1.99097
2025-01-27,101.004,23.0029,4.61516,3.13562,0.0360974,78.0009,1.99097
2025-01-28,99.7153,22.9635,4.60232,3.13391,0.0599471,76.7517,1.99097
2025-01-29,99.8923,22.8061,4.60409,3.12703,0.0495366,77.0862,1.99097
2025-01-30,99.794,22.6192,4.60311,3.1188,0.0432673,77.1748,1.99097
2025-01-31,97.2072,21.5763,4.57684,3.0716,0.0483533,75.6309,1.99097
2025-02-03,96.8629,21.1237,4.5733,3.0504,0.0342176,75.7392,1.99097
2025-02-04,98.9284,22.0289,4.5944,3.09235,0.0341661,76.8996,1.99097
2025-02-05,98.5645,21.8321,4.59071,3.08338,0.0325312,76.7324,1.99097
2025-02-06,98.2989,21.291,4.58801,3.05828,0.0128044,77.008,1.99097
2025-02-07,96.7449,21.3205,4.57208,3.05967,0.0459176,75.4244,1.99097
2025-02-10,97.8465,22.6192,4.5834,3.1188,0.0825053,75.2273,1.99097
2025-02-11,100.04,22.934,4.60557,3.13262,0.0521906,77.1058,1.99097
2025-02-12,96.7842,22.0092,4.57248,3.09146,0.0769001,74.775,1.99097
2025-02-13,95.3089,22.1273,4.55712,3.09681,0.112834,73.1816,1.99097
2025-02-14,95.4477,22.7668,4.55858,3.1253,0.138428,72.6809,1.99097
2025-02-18,96.6276,23.1898,4.57086,3.14371,0.132378,73.4378,1.99097
2025-02-19,98.7297,23.2095,4.59239,3.14456,0.0903774,75.5202,1.99097
2025-02-20,101.139,23.239,4.6165,3.14583,0.0436422,77.9002,1.99097
2025-02-21,97.1135,22.4224,4.57588,3.11006,0.088739,74.6911,1.99097
2025-02-24,97.9861,22.5011,4.58483,3.11357,0.074434,75.4849,1.99097
2025-02-25,96.2608,22.019,4.56706,3.09191,0.0881445,74.2417,1.99097
2025-02-26,95.3188,21.655,4.55723,3.07524,0.0910529,73.6638,1.99097
2025-02-27,96.5483,20.0906,4.57004,3.00025,-0.0094471,76.4577,1.99097
2025-02-28,98.3133,20.3661,4.58816,3.01387,-0.0318959,77.9472,1.99097
2025-03-03,91.8483,18.5853,4.52014,2.92237,0.0120305,73.263,1.99097
2025-03-04,89.8751,18.2705,4.49842,2.90529,0.038184,71.6046,1.99097
2025-03-05,88.13,18.241,4.47881,2.90367,0.0756074,69.889,1.99097
2025-03-06,87.8523,18.4476,4.47566,2.91493,0.0931525,69.4047,1.99097
2025-03-07,89.8652,18.5361,4.49831,2.91972,0.0528386,71.3291,1.99097
2025-03-10,92.116,18.7132,4.52305,2.92923,0.013094,73.4028,1.99097
2025-03-11,94.6049,18.8903,4.54971,2.93865,-0.0305657,75.7145,1.99097
2025-03-12,96.9251,19.3331,4.57394,2.96182,-0.0556393,77.592,1.99097
2025-03-13,95.3783,18.7329,4.55785,2.93028,-0.0551443,76.6454,1.99097
2025-03-14,98.115,19.2937,4.58614,2.95978,-0.0819697,78.8213,1.99097
2025-03-17,98.5215,19.7069,4.59028,2.98097,-0.069011,78.8146,1.99097
2025-03-18,99.6816,19.8447,4.60198,2.98794,-0.0853531,79.837,1.99097
2025-03-19,100.475,20.4744,4.60991,3.01917,-0.0698971,80.0005,1.99097
2025-03-20,101.447,20.2382,4.61953,3.00757,-0.10066,81.2084,1.99097
2025-03-21,101.06,20.2776,4.61571,3.00952,-0.0911131,80.7823,1.99097
2025-03-24,101.328,20.5039,4.61836,3.02061,-0.0852827,80.8238,1.99097
2025-03-25,101.685,20.5531,4.62188,3.02301,-0.089888,81.1315,1.99097
2025-03-26,102.329,20.7597,4.62819,3.03301,-0.0924651,81.5694,1.99097
2025-03-27,101.952,20.8581,4.62451,3.03774,-0.0803923,81.0943,1.99097
2025-03-28,101.506,20.5826,4.62012,3.02445,-0.0849552,80.9235,1.99097
2025-03-31,104.134,20.681,4.64568,3.02921,-0.13107,83.4528,1.99097
2025-04-01,104.501,20.7892,4.64919,3.03443,-0.132853,83.7114,1.99097
2025-04-02,105.205,20.8974,4.65591,3.03963,-0.141028,84.3072,1.99097
2025-04-03,94.4462,17.4539,4.54803,2.85956,-0.106312,76.9923,1.99097
2025-04-04,85.5618,14.9352,4.44924,2.70372,-0.0654647,70.6267,1.99097
2025-04-07,84.947,14.7187,4.44203,2.68912,-0.0657066,70.2283,1.99097
2025-04-08,81.9624,13.8037,4.40626,2.62494,-0.0586778,68.1587,1.99097
2025-04-09,90.7378,16.4405,4.50797,2.79975,-0.086375,74.2973,1.99097
2025-04-10,82.5871,14.3645,4.41385,2.66476,-0.0339709,68.2226,1.99097
2025-04-11,85.661,14.7974,4.4504,2.69445,-0.0770362,70.8636,1.99097
2025-04-14,85.7205,14.9548,4.45109,2.70503,-0.0678362,70.7656,1.99097
2025-04-15,84.9966,14.6498,4.44261,2.68443,-0.0715584,70.3468,1.99097
2025-04-16,85.6312,15.1221,4.45005,2.71616,-0.0546405,70.5091,1.99097
2025-04-17,88.2291,15.8502,4.47994,2.76318,-0.067122,72.379,1.99097
2025-04-21,86.8112,15.25,4.46374,2.72458,-0.0734653,71.5612,1.99097
2025-04-22,89.0025,15.86,4.48866,2.7638,-0.0838784,73.1425,1.99097
2025-04-23,89.1711,15.65,4.49056,2.75047,-0.100975,73.5211,1.99097
2025-04-24,91.0253,16.26,4.51114,2.78871,-0.103713,74.7653,1.99097
2025-04-25,90.946,16.35,4.51027,2.79423,-0.0964576,74.596,1.99097
2025-04-28,92.1458,16.55,4.52337,2.80639,-0.110393,75.5958,1.99097
2025-04-29,91.1046,16.24,4.51201,2.78748,-0.106678,74.8646,1.99097
2025-04-30,88.3679,15.54,4.48151,2.74342,-0.0900145,72.8279,1.99097
2025-05-01,89.885,16.22,4.49853,2.78625,-0.0810775,73.665,1.99097
2025-05-02,90.6386,16.46,4.50688,2.80093,-0.0830119,74.1786,1.99097
2025-05-05,86.8707,15.5,4.46442,2.74084,-0.0585688,71.3707,1.99097
2025-05-06,86.8905,15.73,4.46465,2.75557,-0.0442935,71.1605,1.99097
2025-05-07,86.9698,15.48,4.46556,2.73955,-0.0621313,71.4898,1.99097
2025-05-08,88.0705,16.18,4.47814,2.78378,-0.0429425,71.8905,1.99097
2025-05-09,87.8424,16.72,4.47554,2.81661,-0.00495037,71.1224,1.99097
2025-05-12,91.4913,17.71,4.51624,2.87413,-0.0284593,73.7813,1.99097
2025-05-13,93.3753,18.46,4.53663,2.91561,-0.0275637,74.9153,1.99097
2025-05-14,91.7888,18.17,4.51949,2.89977,-0.00927969,73.6188,1.99097
2025-05-15,92.1755,17.76,4.52369,2.87695,-0.0404733,74.4155,1.99097
2025-05-16,91.65,17.59,4.51798,2.86733,-0.0387077,74.06,1.99097
2025-05-19,90.41,17.32,4.50435,2.85186,-0.0270552,73.09,1.99097
2025-05-20,89.69,17.25,4.49636,2.84781,-0.0151859,72.44,1.99097
2025-05-21,87.15,16.71,4.46763,2.81601,0.0102069,70.44,1.99097
2025-05-22,86.13,16.74,4.45586,2.8178,0.0354405,69.39,1.99097
2025-05-23,85.19,16.85,4.44488,2.82435,0.0638384,68.34,1.99097
2025-05-27,85.55,17.31,4.4491,2.85128,0.0823762,68.24,1.99097
2025-05-28,84.58,17.18,4.4377,2.84375,0.0975412,67.4,1.99097
2025-05-29,85.6,17.34,4.44969,2.85302,0.0829447,68.26,1.99097
2025-05-30,85.35,17.01,4.44676,2.8338,0.0695534,68.34,1.99097
2025-06-02,86.72,17.33,4.46268,2.85244,0.0564866,69.39,1.99097
2025-06-03,87.91,18.27,4.47631,2.90526,0.0821728,69.64,1.99097
2025-06-04,85.95,17.92,4.45377,2.88592,0.107722,68.03,1.99097
2025-06-05,85.35,17.85,4.44676,2.882,0.117755,67.5,1.99097
2025-06-06,87.22,18.5,4.46843,2.91777,0.110372,68.72,1.99097
2025-06-09,88.04,18.63,4.47779,2.92477,0.0987435,69.41,1.99097
2025-06-10,91.18,19.28,4.51284,2.95907,0.0632665,71.9,1.99097
2025-06-11,93.35,19.61,4.53636,2.97604,0.0334096,73.74,1.99097
2025-06-12,94.69,19.95,4.55061,2.99323,0.0222227,74.74,1.99097
2025-06-13,96.96,21.01,4.5743,3.045,0.0268257,75.95,1.99097
