Date,COP Raw Price,BP Raw Price,COP Log Price,BP Log Price,Residual,Spread,Beta
2025-01-02,98.4366,29.0449,4.58941,3.36884,-0.0818423,69.3918,0.792425
2025-01-03,99.4301,29.5689,4.59945,3.38672,-0.071918,69.8612,0.792425
2025-01-06,98.3481,30.1026,4.58851,3.40461,-0.0453585,68.2455,0.792425
2025-01-07,100.001,30.8887,4.60518,3.43039,-0.0327849,69.1119,0.792425
2025-01-08,99.9514,30.1997,4.60468,3.40783,-0.0549537,69.7517,0.792425
2025-01-10,100.246,30.3646,4.60763,3.41328,-0.0518416,69.8818,0.792425
2025-01-13,102.519,30.2967,4.63004,3.41104,-0.071841,72.2218,0.792425
2025-01-14,103.158,30.1706,4.63626,3.40687,-0.0809401,72.9873,0.792425
2025-01-15,103.748,30.3743,4.64196,3.4136,-0.0787286,73.3736,0.792425
2025-01-16,103.876,30.8402,4.6432,3.42882,-0.0644856,73.0357,0.792425
2025-01-17,104.112,30.7528,4.64547,3.42598,-0.0691203,73.3591,0.792425
2025-01-21,102.568,30.5878,4.63052,3.4206,-0.0626577,71.9798,0.792425
2025-01-22,101.368,30.2094,4.61875,3.40815,-0.0657825,71.1583,0.792425
2025-01-23,102.282,30.5587,4.62774,3.41965,-0.0614031,71.7237,0.792425
2025-01-24,100.158,30.5199,4.60675,3.41838,-0.0460411,69.638,0.792425
2025-01-27,101.004,30.5199,4.61516,3.41838,-0.0527055,70.4839,0.792425
2025-01-28,99.7153,30.2385,4.60232,3.40912,-0.0517954,69.4768,0.792425
2025-01-29,99.8923,30.2094,4.60409,3.40815,-0.0541642,69.683,0.792425
2025-01-30,99.794,30.6752,4.60311,3.42345,-0.0380821,69.1188,0.792425
2025-01-31,97.2072,30.1414,4.57684,3.4059,-0.034823,67.0657,0.792425
2025-02-03,96.8629,29.9571,4.5733,3.39977,-0.0381477,66.9059,0.792425
2025-02-04,98.9284,30.7043,4.5944,3.4244,-0.0302306,68.2241,0.792425
2025-02-05,98.5645,30.7334,4.59071,3.42535,-0.0263623,67.8311,0.792425
2025-02-06,98.2989,31.0148,4.58801,3.43447,-0.0151092,67.2841,0.792425
2025-02-07,96.7449,31.3157,4.57208,3.44412,0.0071717,65.4292,0.792425
2025-02-10,97.8465,33.4021,4.5834,3.50862,0.0626991,64.4444,0.792425
2025-02-11,100.04,33.5282,4.60557,3.51239,0.0489017,66.5116,0.792425
2025-02-12,96.7842,33.6544,4.57248,3.51614,0.0788746,63.1298,0.792425
2025-02-13,95.3089,33.47,4.55712,3.51065,0.0855535,61.8389,0.792425
2025-02-14,95.4477,33.9649,4.55858,3.52533,0.0990789,61.4827,0.792425
2025-02-18,96.6276,34.2658,4.57086,3.53415,0.0981608,62.3619,0.792425
2025-02-19,98.7297,33.5185,4.59239,3.5121,0.0590585,65.2112,0.792425
2025-02-20,101.139,33.6253,4.6165,3.51528,0.0431314,67.514,0.792425
2025-02-21,97.1135,33.3497,4.57588,3.50705,0.0670897,63.7638,0.792425
2025-02-24,97.9861,33.2021,4.58483,3.50261,0.0555657,64.7839,0.792425
2025-02-25,96.2608,32.7003,4.56706,3.48738,0.0544117,63.5605,0.792425
2025-02-26,95.3188,32.159,4.55723,3.47069,0.0455147,63.1597,0.792425
2025-02-27,96.5483,32.592,4.57004,3.48407,0.0487323,63.9563,0.792425
2025-02-28,98.3133,32.592,4.58816,3.48407,0.034377,65.7213,0.792425
2025-03-03,91.8483,31.3029,4.52014,3.44371,0.0479218,60.5454,0.792425
2025-03-04,89.8751,30.9388,4.49842,3.43201,0.0534315,58.9363,0.792425
2025-03-05,88.13,31.3718,4.47881,3.44591,0.0828676,56.7582,0.792425
2025-03-06,87.8523,31.2045,4.47566,3.44056,0.0800212,56.6478,0.792425
2025-03-07,89.8652,31.5588,4.49831,3.45185,0.073359,58.3064,0.792425
2025-03-10,92.116,31.6965,4.52305,3.45621,0.0581116,60.4195,0.792425
2025-03-11,94.6049,31.4702,4.54971,3.44904,0.0298194,63.1347,0.792425
2025-03-12,96.9251,31.6867,4.57394,3.4559,0.017475,65.2384,0.792425
2025-03-13,95.3783,31.854,4.55785,3.46116,0.0354889,63.5243,0.792425
2025-03-14,98.115,32.8577,4.58614,3.49219,0.0440963,65.2573,0.792425
2025-03-17,98.5215,33.2218,4.59028,3.50321,0.0518397,65.2997,0.792425
2025-03-18,99.6816,33.6745,4.60198,3.51674,0.0560969,66.0072,0.792425
2025-03-19,100.475,34.0583,4.60991,3.52807,0.0611481,66.4166,0.792425
2025-03-20,101.447,34.196,4.61953,3.53211,0.0575581,67.2506,0.792425
2025-03-21,101.06,33.9992,4.61571,3.52634,0.0548125,67.0607,0.792425
2025-03-24,101.328,33.5662,4.61836,3.51352,0.0398991,67.7614,0.792425
2025-03-25,101.685,33.7434,4.62188,3.51878,0.0423756,67.9412,0.792425
2025-03-26,102.329,33.8713,4.62819,3.52257,0.0411527,68.4578,0.792425
2025-03-27,101.952,33.8615,4.62451,3.52228,0.0437855,68.0909,0.792425
2025-03-28,101.506,33.3202,4.62012,3.50616,0.0311484,68.1859,0.792425
2025-03-31,104.134,33.2513,4.64568,3.50409,0.0088268,70.8824,0.792425
2025-04-01,104.501,33.271,4.64919,3.50469,0.00663165,71.2296,0.792425
2025-04-02,105.205,33.271,4.65591,3.50469,0.00131112,71.9336,0.792425
2025-04-03,94.4462,30.8404,4.54803,3.42883,0.010934,63.6058,0.792425
2025-04-04,85.5618,27.9276,4.44924,3.32961,-0.00999186,57.6342,0.792425
2025-04-07,84.947,26.7369,4.44203,3.28604,-0.0478489,58.2102,0.792425
2025-04-08,81.9624,25.6938,4.40626,3.24625,-0.0593014,56.2687,0.792425
2025-04-09,90.7378,27.4552,4.50797,3.31256,-0.0735925,63.2825,0.792425
2025-04-10,82.5871,25.8119,4.41385,3.25083,-0.0607326,56.7753,0.792425
2025-04-11,85.661,26.1661,4.4504,3.26447,-0.0760591,59.4949,0.792425
2025-04-14,85.7205,26.481,4.45109,3.27643,-0.0646465,59.2394,0.792425
2025-04-15,84.9966,26.7762,4.44261,3.28751,-0.0468402,58.2204,0.792425
2025-04-16,85.6312,27.2191,4.45005,3.30392,-0.0363318,58.4122,0.792425
2025-04-17,88.2291,27.8685,4.47994,3.3275,-0.0364341,60.3606,0.792425
2025-04-21,86.8112,27.6324,4.46374,3.31899,-0.0321062,59.1788,0.792425
2025-04-22,89.0025,28.4098,4.48866,3.34673,-0.0241155,60.5928,0.792425
2025-04-23,89.1711,28.1441,4.49056,3.33734,-0.0350111,61.027,0.792425
2025-04-24,91.0253,28.5377,4.51114,3.35123,-0.0374307,62.4876,0.792425
2025-04-25,90.946,28.7247,4.51027,3.35776,-0.0302094,62.2213,0.792425
2025-04-28,92.1458,28.6656,4.52337,3.3557,-0.0426527,63.4802,0.792425
2025-04-29,91.1046,27.6225,4.51201,3.31863,-0.0707153,63.4821,0.792425
2025-04-30,88.3679,27.0222,4.48151,3.29666,-0.0685178,61.3457,0.792425
2025-05-01,89.885,27.4355,4.49853,3.31184,-0.0668274,62.4495,0.792425
2025-05-02,90.6386,27.6717,4.50688,3.32041,-0.0648717,62.9669,0.792425
2025-05-05,86.8707,28.7148,4.46442,3.35741,0.00577687,58.1558,0.792425
2025-05-06,86.8905,27.9473,4.46465,3.33032,-0.0214984,58.9432,0.792425
2025-05-07,86.9698,27.6816,4.46556,3.32077,-0.0317741,59.2883,0.792425
2025-05-08,88.0705,28.1342,4.47814,3.33699,-0.0255191,59.9362,0.792425
2025-05-09,87.8424,29.2954,4.47554,3.37743,0.0169798,58.547,0.792425
2025-05-12,91.4913,29.7087,4.51624,3.39144,-0.00126244,61.7826,0.792425
2025-05-13,93.3753,30.0728,4.53663,3.40362,-0.00523295,63.3025,0.792425
2025-05-14,91.7888,29.876,4.51949,3.39706,0.0017805,61.9128,0.792425
2025-05-15,92.1755,29.63,4.52369,3.38879,-0.00981959,62.5455,0.792425
2025-05-16,91.65,29.76,4.51798,3.39317,-0.000910929,61.89,0.792425
2025-05-19,90.41,29.4,4.50435,3.38099,-0.00228702,61.01,0.792425
2025-05-20,89.69,29.2,4.49636,3.37417,-0.00277702,60.49,0.792425
2025-05-21,87.15,28.88,4.46763,3.36315,0.00896872,58.27,0.792425
2025-05-22,86.13,28.94,4.45586,3.36522,0.0203734,57.19,0.792425
2025-05-23,85.19,29.09,4.44488,3.37039,0.034239,56.1,0.792425
2025-05-27,85.55,29.15,4.4491,3.37245,0.0329578,56.4,0.792425
2025-05-28,84.58,28.94,4.4377,3.36522,0.0347638,55.64,0.792425
2025-05-29,85.6,29.17,4.44969,3.37314,0.0331807,56.43,0.792425
2025-05-30,85.35,29.1,4.44676,3.37074,0.0330958,56.25,0.792425
2025-06-02,86.72,29.58,4.46268,3.3871,0.0368374,57.14,0.792425
2025-06-03,87.91,29.56,4.47631,3.38642,0.025361,58.35,0.792425
2025-06-04,85.95,28.92,4.45377,3.36453,0.0213399,57.03,0.792425
2025-06-05,85.35,29.05,4.44676,3.36902,0.0313761,56.3,0.792425
2025-06-06,87.22,29.29,4.46843,3.37725,0.0224294,57.93,0.792425
2025-06-09,88.04,29.46,4.47779,3.38303,0.0208014,58.58,0.792425
2025-06-10,91.18,30.23,4.51284,3.40883,0.0188328,60.95,0.792425
2025-06-11,93.35,30.81,4.53636,3.42784,0.0191993,62.54,0.792425
2025-06-12,94.69,30.92,4.55061,3.4314,0.0114691,63.77,0.792425
2025-06-13,96.96,31.72,4.5743,3.45695,0.0182407,65.24,0.792425
