Date,COP Raw Price,DVN Raw Price,COP Log Price,DVN Log Price,Residual,Spread,Beta
2025-01-02,98.4366,32.9309,4.58941,3.49441,-0.0592256,65.5057,1.06089
2025-01-03,99.4301,33.4535,4.59945,3.51016,-0.0541347,65.9766,1.06089
2025-01-06,98.3481,33.276,4.58851,3.50484,-0.0478467,65.0721,1.06089
2025-01-07,100.001,34.2028,4.60518,3.53231,-0.0380524,65.7977,1.06089
2025-01-08,99.9514,34.6564,4.60468,3.54548,-0.0243574,65.295,1.06089
2025-01-10,100.246,35.4846,4.60763,3.5691,-0.003868,64.7619,1.06089
2025-01-13,102.519,36.2536,4.63004,3.59054,-0.00620351,66.2649,1.06089
2025-01-14,103.158,36.6578,4.63626,3.60163,-0.00171011,66.5,1.06089
2025-01-15,103.748,37.8903,4.64196,3.63469,0.0253054,65.8577,1.06089
2025-01-16,103.876,37.8804,4.6432,3.63443,0.0237384,65.9954,1.06089
2025-01-17,104.112,37.417,4.64547,3.62213,0.00902168,66.6949,1.06089
2025-01-21,102.568,36.2142,4.63052,3.58945,-0.00780061,66.3535,1.06089
2025-01-22,101.368,35.948,4.61875,3.58207,-0.00269388,65.4198,1.06089
2025-01-23,102.282,35.9381,4.62774,3.5818,-0.0124985,66.3443,1.06089
2025-01-24,100.158,35.455,4.60675,3.56826,-0.00376486,64.7029,1.06089
2025-01-27,101.004,34.8338,4.61516,3.55059,-0.0303616,66.17,1.06089
2025-01-28,99.7153,34.3901,4.60232,3.53777,-0.0295597,65.3251,1.06089
2025-01-29,99.8923,34.5775,4.60409,3.5432,-0.0260092,65.3149,1.06089
2025-01-30,99.794,34.5578,4.60311,3.54263,-0.0255346,65.2362,1.06089
2025-01-31,97.2072,33.6211,4.57684,3.51515,-0.0251503,63.5861,1.06089
2025-02-03,96.8629,33.276,4.5733,3.50484,-0.0317035,63.5869,1.06089
2025-02-04,98.9284,33.9366,4.5944,3.52449,-0.0344308,64.9918,1.06089
2025-02-05,98.5645,33.6605,4.59071,3.51633,-0.038689,64.904,1.06089
2025-02-06,98.2989,32.9506,4.58801,3.49501,-0.057142,65.3483,1.06089
2025-02-07,96.7449,32.6844,4.57208,3.4869,-0.0483476,64.0604,1.06089
2025-02-10,97.8465,33.7789,4.5834,3.51983,-0.0274237,64.0676,1.06089
