Date,COP Raw Price,ENB Raw Price,COP Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,98.4366,42.98,4.58941,3.76073,-0.025401,55.4566,-0.132114
2025-01-03,99.4301,43.09,4.59945,3.76329,-0.0215183,56.3401,-0.132114
2025-01-06,98.3481,42.99,4.58851,3.76097,-0.0252871,55.3581,-0.132114
2025-01-07,100.001,43.64,4.60518,3.77597,-0.00807927,56.3605,-0.132114
2025-01-08,99.9514,44.02,4.60468,3.78464,0.000525696,55.9314,-0.132114
2025-01-10,100.246,43.48,4.60763,3.7723,-0.0114279,56.7664,-0.132114
2025-01-13,102.519,43.4,4.63004,3.77046,-0.0103086,59.1185,-0.132114
2025-01-14,103.158,44.07,4.63626,3.78578,0.00583257,59.0878,-0.132114
2025-01-15,103.748,44.33,4.64196,3.79166,0.0124686,59.418,-0.132114
2025-01-16,103.876,44.03,4.6432,3.78487,0.00584087,59.8458,-0.132114
2025-01-17,104.112,44.51,4.64547,3.79571,0.0169834,59.6019,-0.132114
2025-01-21,102.568,45.31,4.63052,3.81353,0.0328231,57.2577,-0.132114
2025-01-22,101.368,44.76,4.61875,3.80131,0.0190554,56.6077,-0.132114
2025-01-23,102.282,44.86,4.62774,3.80355,0.0224739,57.4224,-0.132114
2025-01-24,100.158,45.06,4.60675,3.80799,0.0241493,55.0979,-0.132114
2025-01-27,101.004,44.7,4.61516,3.79997,0.0172389,56.3038,-0.132114
2025-01-28,99.7153,44.46,4.60232,3.79459,0.0101591,55.2553,-0.132114
2025-01-29,99.8923,44.26,4.60409,3.79008,0.00588486,55.6323,-0.132114
2025-01-30,99.794,44.5,4.60311,3.79549,0.0111626,55.294,-0.132114
2025-01-31,97.2072,43.24,4.57684,3.76677,-0.0210303,53.9672,-0.132114
2025-02-03,96.8629,42.92,4.5733,3.75934,-0.0289272,53.9429,-0.132114
2025-02-04,98.9284,43.72,4.5944,3.77781,-0.00767176,55.2084,-0.132114
2025-02-05,98.5645,43.93,4.59071,3.7826,-0.00336689,54.6345,-0.132114
2025-02-06,98.2989,44.2,4.58801,3.78872,0.00240401,54.0989,-0.132114
2025-02-07,96.7449,44.45,4.57208,3.79436,0.00593883,52.2949,-0.132114
2025-02-10,97.8465,44.81,4.5834,3.80243,0.0155011,53.0365,-0.132114
2025-02-11,100.04,45.25,4.60557,3.8122,0.0282012,54.7899,-0.132114
2025-02-12,96.7842,45.1,4.57248,3.80888,0.0205098,51.6842,-0.132114
2025-02-13,95.3089,45.45,4.55712,3.81661,0.026211,49.8589,-0.132114
2025-02-14,95.4477,43.07,4.55858,3.76283,-0.0273829,52.3777,-0.132114
2025-02-18,96.6276,42.75,4.57086,3.75537,-0.0332172,53.8776,-0.132114
2025-02-19,98.7297,42.31,4.59239,3.74502,-0.0407196,56.4197,-0.132114
2025-02-20,101.139,41.98,4.6165,3.73719,-0.0453642,59.1592,-0.132114
2025-02-21,97.1135,41.78,4.57588,3.73242,-0.055506,55.3335,-0.132114
2025-02-24,97.9861,41.54,4.58483,3.72666,-0.0600851,56.4461,-0.132114
2025-02-25,96.2608,41.65,4.56706,3.7293,-0.0597875,54.6108,-0.132114
2025-02-26,95.3188,41.75,4.55723,3.7317,-0.0586887,53.5688,-0.132114
2025-02-27,96.5483,41.73,4.57004,3.73122,-0.0574746,54.8183,-0.132114
2025-02-28,98.3133,42.73,4.58816,3.7549,-0.0314003,55.5833,-0.132114
2025-03-03,91.8483,42.67,4.52014,3.7535,-0.041792,49.1783,-0.132114
2025-03-04,89.8751,41.55,4.49842,3.7269,-0.0712597,48.3251,-0.132114
2025-03-05,88.13,42.49,4.47881,3.74927,-0.051479,45.6399,-0.132114
2025-03-06,87.8523,41.6,4.47566,3.7281,-0.0730645,46.2523,-0.132114
2025-03-07,89.8652,42,4.49831,3.73767,-0.0605022,47.8652,-0.132114
2025-03-10,92.116,42.68,4.52305,3.75373,-0.0411731,49.436,-0.132114
2025-03-11,94.6049,42.3,4.54971,3.74479,-0.0465943,52.3049,-0.132114
2025-03-12,96.9251,42.54,4.57394,3.75044,-0.0377354,54.3851,-0.132114
2025-03-13,95.3783,42.55,4.55785,3.75068,-0.0396258,52.8283,-0.132114
2025-03-14,98.115,42.83,4.58614,3.75724,-0.0293294,55.285,-0.132114
2025-03-17,98.5215,43.5,4.59028,3.77276,-0.013261,55.0215,-0.132114
2025-03-18,99.6816,43.41,4.60198,3.77069,-0.0137856,56.2716,-0.132114
2025-03-19,100.475,43.75,4.60991,3.77849,-0.00493658,56.7249,-0.132114
2025-03-20,101.447,44.23,4.61953,3.7894,0.00724667,57.2166,-0.132114
2025-03-21,101.06,43.87,4.61571,3.78123,-0.0014305,57.1899,-0.132114
2025-03-24,101.328,44.26,4.61836,3.79008,0.00776964,57.0676,-0.132114
2025-03-25,101.685,44.42,4.62188,3.79369,0.0118427,57.2646,-0.132114
2025-03-26,102.329,44.52,4.62819,3.79594,0.0149262,57.8091,-0.132114
2025-03-27,101.952,44.36,4.62451,3.79234,0.0108385,57.5923,-0.132114
2025-03-28,101.506,44.46,4.62012,3.79459,0.0125107,57.0461,-0.132114
2025-03-31,104.134,44.31,4.64568,3.79121,0.0125077,59.8237,-0.132114
2025-04-01,104.501,44.57,4.64919,3.79706,0.0188229,59.9306,-0.132114
2025-04-02,105.205,45.14,4.65591,3.80977,0.0324177,60.0646,-0.132114
2025-04-03,94.4462,45.34,4.54803,3.81419,0.0225865,49.1062,-0.132114
2025-04-04,85.5618,43.35,4.44924,3.76931,-0.0353482,42.2118,-0.132114
2025-04-07,84.947,41.95,4.44203,3.73648,-0.0691291,42.997,-0.132114
2025-04-08,81.9624,41.09,4.40626,3.71576,-0.0945681,40.8724,-0.132114
2025-04-09,90.7378,41.77,4.50797,3.73218,-0.0647168,48.9678,-0.132114
2025-04-10,82.5871,41.82,4.41385,3.73337,-0.0759551,40.7671,-0.132114
2025-04-11,85.661,43.24,4.4504,3.76677,-0.0377358,42.421,-0.132114
2025-04-14,85.7205,44.02,4.45109,3.78464,-0.019766,41.7005,-0.132114
2025-04-15,84.9966,44.28,4.44261,3.79053,-0.0149974,40.7166,-0.132114
2025-04-16,85.6312,44.57,4.45005,3.79706,-0.00748673,41.0612,-0.132114
2025-04-17,88.2291,45.37,4.47994,3.81485,0.0142519,42.8591,-0.132114
2025-04-21,86.8112,44.99,4.46374,3.80644,0.00370061,41.8212,-0.132114
2025-04-22,89.0025,45.64,4.48866,3.82078,0.0213384,43.3625,-0.132114
2025-04-23,89.1711,45.61,4.49056,3.82013,0.0209308,43.5611,-0.132114
2025-04-24,91.0253,46.36,4.51114,3.83644,0.0399599,44.6653,-0.132114
2025-04-25,90.946,46.19,4.51027,3.83276,0.036171,44.756,-0.132114
2025-04-28,92.1458,46.64,4.52337,3.84246,0.0475977,45.5058,-0.132114
2025-04-29,91.1046,46.64,4.51201,3.84246,0.0460964,44.4646,-0.132114
2025-04-30,88.3679,46.69,4.48151,3.84353,0.0431385,41.6779,-0.132114
