Date,COP Raw Price,EOG Raw Price,COP Log Price,EOG Log Price,Residual,Spread,Beta
2025-01-02,98.4366,122.706,4.58941,4.80979,-0.0262343,24.2693,1.00432
2025-01-03,99.4301,124.536,4.59945,4.82459,-0.0215144,25.106,1.00432
2025-01-06,98.3481,124.359,4.58851,4.82317,-0.0119494,26.0108,1.00432
2025-01-07,100.001,125.51,4.60518,4.83239,-0.019469,25.5096,1.00432
2025-01-08,99.9514,126.396,4.60468,4.83942,-0.0119442,26.4443,1.00432
2025-01-10,100.246,129.298,4.60763,4.86212,0.00780003,29.0518,1.00432
2025-01-13,102.519,132.329,4.63004,4.88529,0.00845898,29.8102,1.00432
2025-01-14,103.158,133.588,4.63626,4.89476,0.0116879,30.4304,1.00432
2025-01-15,103.748,134.857,4.64196,4.90422,0.015415,31.1095,1.00432
2025-01-16,103.876,135.832,4.6432,4.91142,0.0213753,31.9557,1.00432
2025-01-17,104.112,135.341,4.64547,4.9078,0.0154779,31.2291,1.00432
2025-01-21,102.568,134.806,4.63052,4.90384,0.0265242,32.2382,1.00432
2025-01-22,101.368,132.804,4.61875,4.88888,0.0233834,31.4365,1.00432
2025-01-23,102.282,132.765,4.62774,4.88858,0.0140627,30.4822,1.00432
2025-01-24,100.158,130.624,4.60675,4.87232,0.0188901,30.4663,1.00432
2025-01-27,101.004,130.763,4.61516,4.87339,0.0115053,29.7591,1.00432
2025-01-28,99.7153,129.068,4.60232,4.86034,0.0113564,29.3531,1.00432
2025-01-29,99.8923,129.049,4.60409,4.86019,0.0094213,29.1563,1.00432
2025-01-30,99.794,128.603,4.60311,4.85673,0.00694927,28.8087,1.00432
2025-01-31,97.2072,124.649,4.57684,4.8255,0.00209925,27.4417,1.00432
2025-02-03,96.8629,125.253,4.5733,4.83034,0.0104998,28.3904,1.00432
2025-02-04,98.9284,126.958,4.5944,4.84385,0.0028246,28.0293,1.00432
2025-02-05,98.5645,126.542,4.59071,4.84057,0.0032425,27.9771,1.00432
2025-02-06,98.2989,125.531,4.58801,4.83255,-0.0020674,27.2319,1.00432
2025-02-07,96.7449,125.352,4.57208,4.83113,0.0125153,28.6076,1.00432
2025-02-10,97.8465,129.376,4.5834,4.86272,0.0327344,31.5291,1.00432
2025-02-11,100.04,131.09,4.60557,4.87588,0.0236334,31.0501,1.00432
2025-02-12,96.7842,127.671,4.57248,4.84946,0.0304359,30.887,1.00432
2025-02-13,95.3089,127.85,4.55712,4.85085,0.0472596,32.5407,1.00432
2025-02-14,95.4477,128.137,4.55858,4.8531,0.0480431,32.6893,1.00432
2025-02-18,96.6276,129.752,4.57086,4.86563,0.0482301,33.1245,1.00432
2025-02-19,98.7297,133.31,4.59239,4.89267,0.0536637,34.5799,1.00432
2025-02-20,101.139,134.439,4.6165,4.90111,0.0378859,33.3,1.00432
2025-02-21,97.1135,131.873,4.57588,4.88184,0.059404,34.7593,1.00432
2025-02-24,97.9861,132.418,4.58483,4.88596,0.0545448,34.4317,1.00432
2025-02-25,96.2608,130.129,4.56706,4.86852,0.0549485,33.868,1.00432
2025-02-26,95.3188,128.662,4.55723,4.85719,0.0534906,33.3434,1.00432
2025-02-27,96.5483,129.425,4.57004,4.8631,0.0465314,32.8769,1.00432
2025-02-28,98.3133,125.788,4.58816,4.8346,-0.000163737,27.4752,1.00432
2025-03-03,91.8483,119.447,4.52014,4.78287,0.0164179,27.5982,1.00432
2025-03-04,89.8751,121.002,4.49842,4.79581,0.0511697,31.1272,1.00432
2025-03-05,88.13,120.745,4.47881,4.79368,0.0687314,32.6147,1.00432
2025-03-06,87.8523,121.082,4.47566,4.79646,0.0746867,33.2292,1.00432
2025-03-07,89.8652,124.124,4.49831,4.82128,0.0767498,34.2585,1.00432
2025-03-10,92.116,124.748,4.52305,4.8263,0.0569216,32.632,1.00432
2025-03-11,94.6049,123.361,4.54971,4.81511,0.0189635,28.7558,1.00432
2025-03-12,96.9251,123.143,4.57394,4.81334,-0.00713957,26.2176,1.00432
2025-03-13,95.3783,119.992,4.55785,4.78742,-0.0169049,24.6133,1.00432
2025-03-14,98.115,122.796,4.58614,4.81052,-0.0222141,24.6809,1.00432
2025-03-17,98.5215,122.459,4.59028,4.80778,-0.0291145,23.9374,1.00432
2025-03-18,99.6816,121.458,4.60198,4.79957,-0.0490779,21.7765,1.00432
2025-03-19,100.475,123.807,4.60991,4.81872,-0.0378872,23.3317,1.00432
2025-03-20,101.447,123.172,4.61953,4.81359,-0.0526893,21.7258,1.00432
2025-03-21,101.06,124.035,4.61571,4.82056,-0.0418787,22.9746,1.00432
2025-03-24,101.328,127.106,4.61836,4.84502,-0.0200711,25.7788,1.00432
2025-03-25,101.685,126.224,4.62188,4.83806,-0.0305657,24.5399,1.00432
2025-03-26,102.329,128.008,4.62819,4.85209,-0.0228794,25.679,1.00432
2025-03-27,101.952,125.58,4.62451,4.83295,-0.0383223,23.6281,1.00432
2025-03-28,101.506,125.442,4.62012,4.83184,-0.0350226,23.9355,1.00432
2025-03-31,104.134,127.077,4.64568,4.84479,-0.0477399,22.9429,1.00432
2025-04-01,104.501,128.127,4.64919,4.85302,-0.0430404,23.6264,1.00432
2025-04-02,105.205,128.791,4.65591,4.85819,-0.0446152,23.5863,1.00432
2025-04-03,94.4462,118.802,4.54803,4.77746,-0.0170015,24.3562,1.00432
2025-04-04,85.5618,109.547,4.44924,4.69636,0.00110959,23.9853,1.00432
2025-04-07,84.947,108.041,4.44203,4.68251,-0.00549308,23.0939,1.00432
2025-04-08,81.9624,104.008,4.40626,4.64447,-0.00761557,22.0454,1.00432
2025-04-09,90.7378,113.015,4.50797,4.72752,-0.0267095,22.2776,1.00432
2025-04-10,82.5871,103.661,4.41385,4.64113,-0.0185812,21.0739,1.00432
2025-04-11,85.661,107.555,4.4504,4.67801,-0.0184028,21.8944,1.00432
2025-04-14,85.7205,106.664,4.45109,4.66968,-0.0274265,20.9431,1.00432
2025-04-15,84.9966,106.505,4.44261,4.66819,-0.0203974,21.5084,1.00432
2025-04-16,85.6312,108.24,4.45005,4.68435,-0.0117089,22.6088,1.00432
2025-04-17,88.2291,110.5,4.47994,4.70502,-0.0210604,22.2709,1.00432
2025-04-21,86.8112,109.11,4.46374,4.69236,-0.0174478,22.2988,1.00432
2025-04-22,89.0025,111.32,4.48866,4.71241,-0.0224325,22.3175,1.00432
2025-04-23,89.1711,111.57,4.49056,4.71465,-0.0220895,22.3989,1.00432
2025-04-24,91.0253,113.46,4.51114,4.73145,-0.025961,22.4347,1.00432
2025-04-25,90.946,113.07,4.51027,4.72801,-0.0285286,22.124,1.00432
2025-04-28,92.1458,114.14,4.52337,4.73743,-0.0322726,21.9942,1.00432
2025-04-29,91.1046,112.93,4.51201,4.72677,-0.0315179,21.8254,1.00432
2025-04-30,88.3679,110.33,4.48151,4.70348,-0.024179,21.9621,1.00432
2025-05-01,89.885,111.68,4.49853,4.71564,-0.0291129,21.795,1.00432
2025-05-02,90.6386,110.86,4.50688,4.70827,-0.0448674,20.2214,1.00432
2025-05-05,86.8707,108.52,4.46442,4.68693,-0.023558,21.6493,1.00432
2025-05-06,86.8905,108.72,4.46465,4.68878,-0.0219459,21.8295,1.00432
