Date,COP Raw Price,FANG Raw Price,COP Log Price,FANG Log Price,Residual,Spread,Beta
2025-01-02,98.4366,164.468,4.58941,5.10271,0.0399054,66.031,1.36342
2025-01-03,99.4301,168.59,4.59945,5.12747,0.050969,69.1597,1.36342
2025-01-06,98.3481,167.288,4.58851,5.11972,0.058135,68.9399,1.36342
2025-01-07,100.001,170.029,4.60518,5.13597,0.0516725,70.029,1.36342
2025-01-08,99.9514,168.619,4.60468,5.12764,0.0440148,68.668,1.36342
2025-01-10,100.246,172.347,4.60763,5.14951,0.0618615,72.1005,1.36342
2025-01-13,102.519,175.148,4.63004,5.16563,0.0474239,72.629,1.36342
2025-01-14,103.158,175.217,4.63626,5.16602,0.039342,72.0587,1.36342
2025-01-15,103.748,177.07,4.64196,5.17655,0.0420895,73.3225,1.36342
2025-01-16,103.876,176.637,4.6432,5.17409,0.0379567,72.7608,1.36342
2025-01-17,104.112,177.682,4.64547,5.17999,0.0407622,73.57,1.36342
2025-01-21,102.568,174.497,4.63052,5.16191,0.0430472,71.929,1.36342
2025-01-22,101.368,175.128,4.61875,5.16552,0.0627026,73.7601,1.36342
2025-01-23,102.282,174.181,4.62774,5.1601,0.0450342,71.8987,1.36342
2025-01-24,100.158,170.858,4.60675,5.14083,0.0543884,70.6999,1.36342
2025-01-27,101.004,169.221,4.61516,5.1312,0.0332949,68.2171,1.36342
2025-01-28,99.7153,166.903,4.60232,5.11742,0.0370105,67.1881,1.36342
2025-01-29,99.8923,168.491,4.60409,5.12688,0.0440596,68.5988,1.36342
2025-01-30,99.794,168.047,4.60311,5.12425,0.0427654,68.2534,1.36342
2025-01-31,97.2072,162.081,4.57684,5.0881,0.0424254,64.8741,1.36342
2025-02-03,96.8629,162.2,4.5733,5.08883,0.0479921,65.3366,1.36342
2025-02-04,98.9284,163.994,4.5944,5.09983,0.0302285,65.0659,1.36342
2025-02-05,98.5645,162.476,4.59071,5.09053,0.0259498,63.9112,1.36342
2025-02-06,98.2989,157.811,4.58801,5.0614,0.000499695,59.5123,1.36342
2025-02-07,96.7449,155.938,4.57208,5.04946,0.0102832,59.1927,1.36342
2025-02-10,97.8465,159.419,4.5834,5.07153,0.0169237,61.5722,1.36342
2025-02-11,100.04,159.764,4.60557,5.0737,-0.0111393,59.7239,1.36342
2025-02-12,96.7842,153.305,4.57248,5.03243,-0.00730013,56.5204,1.36342
2025-02-13,95.3089,154.005,4.55712,5.03698,0.0182003,58.6959,1.36342
2025-02-14,95.4477,154.813,4.55858,5.04222,0.021453,59.3658,1.36342
2025-02-18,96.6276,154.587,4.57086,5.04075,0.00323507,57.959,1.36342
2025-02-19,98.7297,158.038,4.59239,5.06284,-0.00402626,59.3083,1.36342
2025-02-20,101.139,159.843,4.6165,5.07419,-0.0255467,58.7035,1.36342
2025-02-21,97.1135,153.955,4.57588,5.03666,-0.00769449,56.842,1.36342
2025-02-24,97.9861,153.078,4.58483,5.03095,-0.0256073,55.0917,1.36342
2025-02-25,96.2608,149.814,4.56706,5.00939,-0.0229404,53.5529,1.36342
2025-02-26,95.3188,150.317,4.55723,5.01274,-0.00618117,54.9979,1.36342
2025-02-27,96.5483,153.433,4.57004,5.03326,-0.00313706,56.8845,1.36342
2025-02-28,98.3133,156.756,4.58816,5.05469,-0.00640801,58.4428,1.36342
2025-03-03,91.8483,145.948,4.52014,4.98325,0.0148926,54.0997,1.36342
2025-03-04,89.8751,143.029,4.49842,4.96305,0.0242998,53.154,1.36342
2025-03-05,88.13,140.722,4.47881,4.94678,0.0347695,52.5916,1.36342
2025-03-06,87.8523,138.934,4.47566,4.934,0.0262872,51.0816,1.36342
2025-03-07,89.8652,139.143,4.49831,4.9355,-0.00309899,49.2773,1.36342
2025-03-10,92.116,139.609,4.52305,4.93885,-0.0334788,47.4932,1.36342
2025-03-11,94.6049,143.651,4.54971,4.96739,-0.0412871,49.0463,1.36342
2025-03-12,96.9251,145.538,4.57394,4.98044,-0.0612727,48.613,1.36342
2025-03-13,95.3783,144.793,4.55785,4.97531,-0.0444693,49.415,1.36342
2025-03-14,98.115,149.163,4.58614,5.00504,-0.0533074,51.0479,1.36342
2025-03-17,98.5215,151.973,4.59028,5.0237,-0.0402789,53.4518,1.36342
2025-03-18,99.6816,153.93,4.60198,5.0365,-0.0434487,54.2481,1.36342
2025-03-19,100.475,156.512,4.60991,5.05313,-0.0376206,56.0368,1.36342
2025-03-20,101.447,157.386,4.61953,5.0587,-0.0451752,55.939,1.36342
2025-03-21,101.06,157.406,4.61571,5.05883,-0.0398417,56.3456,1.36342
2025-03-24,101.328,159.898,4.61836,5.07454,-0.027737,58.5706,1.36342
2025-03-25,101.685,160.484,4.62188,5.0782,-0.028874,58.7995,1.36342
2025-03-26,102.329,161.964,4.62819,5.08737,-0.0283105,59.6347,1.36342
2025-03-27,101.952,159.124,4.62451,5.06968,-0.0409728,57.1713,1.36342
2025-03-28,101.506,156.452,4.62012,5.05275,-0.0519235,54.946,1.36342
