Date,COP Raw Price,HES Raw Price,COP Log Price,HES Log Price,Residual,Spread,Beta
2025-01-02,98.4366,134.963,4.58941,4.905,-0.07742,36.5263,0.806105
2025-01-03,99.4301,135.93,4.59945,4.91214,-0.078377,36.4996,0.806105
2025-01-06,98.3481,135.461,4.58851,4.90869,-0.0730094,37.1131,0.806105
2025-01-07,100.001,138.142,4.60518,4.92828,-0.066843,38.1416,0.806105
2025-01-08,99.9514,139.338,4.60468,4.9369,-0.0578265,39.3867,0.806105
2025-01-10,100.246,141.929,4.60763,4.95533,-0.0417767,41.6829,0.806105
2025-01-13,102.519,144.341,4.63004,4.97218,-0.0429926,41.8226,0.806105
2025-01-14,103.158,146.185,4.63626,4.98487,-0.0353113,43.0271,0.806105
2025-01-15,103.748,148.417,4.64196,5.00003,-0.0247538,44.6694,0.806105
2025-01-16,103.876,149.225,4.6432,5.00545,-0.0203223,45.3488,0.806105
2025-01-17,104.112,150.839,4.64547,5.01621,-0.0113906,46.7272,0.806105
2025-01-21,102.568,148.158,4.63052,4.99828,-0.0172779,45.5905,0.806105
2025-01-22,101.368,145.099,4.61875,4.97741,-0.0286589,43.7309,0.806105
2025-01-23,102.282,144.371,4.62774,4.97239,-0.0409272,42.0886,0.806105
2025-01-24,100.158,143.913,4.60675,4.96921,-0.0271876,43.7547,0.806105
2025-01-27,101.004,145.617,4.61516,4.98098,-0.0221944,44.613,0.806105
2025-01-28,99.7153,144.56,4.60232,4.9737,-0.0191261,44.8451,0.806105
2025-01-29,99.8923,144.67,4.60409,4.97446,-0.0197979,44.7777,0.806105
2025-01-30,99.794,145.358,4.60311,4.9792,-0.0142618,45.5637,0.806105
2025-01-31,97.2072,138.561,4.57684,4.93131,-0.0409797,41.3535,0.806105
2025-02-03,96.8629,138.361,4.5733,4.92987,-0.0395595,41.4985,0.806105
2025-02-04,98.9284,142.298,4.5944,4.95792,-0.0285133,43.3696,0.806105
2025-02-05,98.5645,142.258,4.59071,4.95764,-0.0258227,43.6937,0.806105
2025-02-06,98.2989,141.451,4.58801,4.95195,-0.0293387,43.152,0.806105
2025-02-07,96.7449,142.458,4.57208,4.95904,-0.00940171,45.7126,0.806105
2025-02-10,97.8465,145.338,4.5834,4.97906,0.00148776,47.4913,0.806105
2025-02-11,100.04,146.504,4.60557,4.98705,-0.00839172,46.4639,0.806105
2025-02-12,96.7842,144.311,4.57248,4.97197,0.0031991,47.527,0.806105
2025-02-13,95.3089,145.358,4.55712,4.9792,0.022807,50.0488,0.806105
2025-02-14,95.4477,146.055,4.55858,4.98399,0.0264218,50.6077,0.806105
2025-02-18,96.6276,147.471,4.57086,4.99363,0.0261604,50.8429,0.806105
2025-02-19,98.7297,148.766,4.59239,5.00238,0.0175591,50.0364,0.806105
2025-02-20,101.139,150.45,4.6165,5.01363,0.00938052,49.3112,0.806105
2025-02-21,97.1135,147.61,4.57588,4.99457,0.0230629,50.4966,0.806105
2025-02-24,97.9861,148.248,4.58483,4.99889,0.0201642,50.2618,0.806105
2025-02-25,96.2608,146.454,4.56706,4.98671,0.0223097,50.1932,0.806105
2025-02-26,95.3188,144.979,4.55723,4.97659,0.0201143,49.6602,0.806105
2025-02-27,96.5483,146.414,4.57004,4.98644,0.019633,49.8658,0.806105
2025-02-28,98.3133,148.437,4.58816,5.00016,0.0187533,50.124,0.806105
2025-03-03,91.8483,143.604,4.52014,4.96706,0.0404797,51.7553,0.806105
2025-03-04,89.8751,141.909,4.49842,4.95519,0.0461179,52.0343,0.806105
2025-03-05,88.13,140.863,4.47881,4.94779,0.054523,52.733,0.806105
2025-03-06,87.8523,142.856,4.47566,4.96184,0.0711176,55.0039,0.806105
2025-03-07,89.8652,146.932,4.49831,4.98997,0.0809905,57.0672,0.806105
2025-03-10,92.116,147.74,4.52305,4.99545,0.066528,55.6236,0.806105
2025-03-11,94.6049,144.122,4.54971,4.97066,0.0202452,49.517,0.806105
2025-03-12,96.9251,143.544,4.57394,4.96664,-0.00330533,46.6187,0.806105
2025-03-13,95.3783,143.434,4.55785,4.96588,0.008899,48.0559,0.806105
2025-03-14,98.115,147.63,4.58614,4.99471,0.0149277,49.515,0.806105
2025-03-17,98.5215,150.45,4.59028,5.01363,0.0305161,51.9285,0.806105
2025-03-18,99.6816,152.82,4.60198,5.02926,0.0367094,53.1384,0.806105
2025-03-19,100.475,156.38,4.60991,5.05229,0.0533481,55.9051,0.806105
2025-03-20,101.447,157.37,4.61953,5.0586,0.0519001,55.9234,0.806105
