Date,COP Raw Price,OKE Raw Price,COP Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,98.4366,99.4384,4.58941,4.59954,0.0335412,1.00173,1.26037
2025-01-03,99.4301,100.542,4.59945,4.61058,0.0319278,1.11244,1.26037
2025-01-06,98.3481,99.2918,4.58851,4.59806,0.0332002,0.943695,1.26037
2025-01-07,100.001,99.282,4.60518,4.59796,0.0121013,0.718491,1.26037
2025-01-08,99.9514,100.494,4.60468,4.61009,0.0248509,0.542274,1.26037
2025-01-10,100.246,99.4188,4.60763,4.59934,0.010383,0.827583,1.26037
2025-01-13,102.519,101.598,4.63004,4.62102,0.0038154,0.920753,1.26037
2025-01-14,103.158,103.611,4.63626,4.64064,0.0155977,0.452728,1.26037
2025-01-15,103.748,104.431,4.64196,4.64853,0.0162982,0.683334,1.26037
2025-01-16,103.876,106.171,4.6432,4.66505,0.0312629,2.29469,1.26037
2025-01-17,104.112,106.464,4.64547,4.6678,0.031159,2.35175,1.26037
2025-01-21,102.568,107.333,4.63052,4.67594,0.0581282,4.76559,1.26037
2025-01-22,101.368,103.865,4.61875,4.64309,0.0401101,2.49689,1.26037
2025-01-23,102.282,102.487,4.62774,4.62973,0.0154346,0.204468,1.26037
2025-01-24,100.158,102.135,4.60675,4.6263,0.0384516,1.97724,1.26037
2025-01-27,101.004,98.1486,4.61516,4.58648,-0.0119622,2.85517,1.26037
2025-01-28,99.7153,98.2952,4.60232,4.58798,0.00571182,1.42011,1.26037
2025-01-29,99.8923,98.0802,4.60409,4.58579,0.00128681,1.81211,1.26037
2025-01-30,99.794,97.5819,4.60311,4.58069,-0.00256521,2.21207,1.26037
2025-01-31,97.2072,94.9438,4.57684,4.55328,0.00312908,2.2634,1.26037
2025-02-03,96.8629,96.4152,4.5733,4.56866,0.0229798,0.447693,1.26037
2025-02-04,98.9284,95.8128,4.5944,4.5624,-0.0098816,3.11562,1.26037
2025-02-05,98.5645,96.6917,4.59071,4.57153,0.00389507,1.87276,1.26037
2025-02-06,98.2989,94.6278,4.58801,4.54995,-0.0142818,3.67119,1.26037
2025-02-07,96.7449,94.6179,4.57208,4.54985,0.00569888,2.12701,1.26037
2025-02-10,97.8465,97.462,4.5834,4.57946,0.0210449,0.38446,1.26037
2025-02-11,100.04,97.6991,4.60557,4.58189,-0.00446726,2.34082,1.26037
2025-02-12,96.7842,96.4054,4.57248,4.56856,0.0239018,0.378868,1.26037
2025-02-13,95.3089,97.7386,4.55712,4.5823,0.056997,2.4297,1.26037
2025-02-14,95.4477,96.6325,4.55858,4.57092,0.0437815,1.18481,1.26037
2025-02-18,96.6276,97.4127,4.57086,4.57896,0.0363371,0.785027,1.26037
2025-02-19,98.7297,97.9657,4.59239,4.58462,0.0148731,0.764053,1.26037
2025-02-20,101.139,97.4028,4.6165,4.57885,-0.0212793,3.73645,1.26037
2025-02-21,97.1135,96.8794,4.57588,4.57347,0.024526,0.234123,1.26037
2025-02-24,97.9861,96.8991,4.58483,4.57367,0.013456,1.08694,1.26037
2025-02-25,96.2608,94.5784,4.56706,4.54943,0.0116042,1.68239,1.26037
2025-02-26,95.3188,94.5685,4.55723,4.54932,0.0238942,0.750275,1.26037
2025-02-27,96.5483,95.4375,4.57004,4.55847,0.0168879,1.11077,1.26037
2025-02-28,98.3133,99.1409,4.58816,4.59654,0.0321253,0.827591,1.26037
2025-03-03,91.8483,95.5561,4.52014,4.55971,0.0810279,3.70775,1.26037
2025-03-04,89.8751,92.623,4.49842,4.52854,0.0772244,2.7479,1.26037
2025-03-05,88.13,90.7269,4.47881,4.50785,0.0812548,2.59695,1.26037
2025-03-06,87.8523,88.6234,4.47566,4.4844,0.0617736,0.77108,1.26037
2025-03-07,89.8652,88.4555,4.49831,4.4825,0.0313258,1.40967,1.26037
2025-03-10,92.116,90.2825,4.52305,4.50294,0.02059,1.83354,1.26037
2025-03-11,94.6049,91.4676,4.54971,4.51598,2.96337e-05,3.13729,1.26037
2025-03-12,96.9251,91.8132,4.57394,4.51976,-0.026737,5.11189,1.26037
2025-03-13,95.3783,92.3366,4.55785,4.52544,-0.000775948,3.04166,1.26037
2025-03-14,98.115,95.2302,4.58614,4.5563,-0.00557485,2.88481,1.26037
2025-03-17,98.5215,97.2152,4.59028,4.57693,0.00984339,1.30637,1.26037
2025-03-18,99.6816,96.7905,4.60198,4.57255,-0.00928885,2.89114,1.26037
2025-03-19,100.475,98.8051,4.60991,4.59315,0.00132147,1.66978,1.26037
2025-03-20,101.447,99.3977,4.61953,4.59913,-0.00483037,2.04897,1.26037
2025-03-21,101.06,98.104,4.61571,4.58603,-0.0131176,2.95596,1.26037
