Date,COP Raw Price,OXY Raw Price,COP Log Price,OXY Log Price,Residual,Spread,Beta
2025-01-02,98.4366,49.2819,4.58941,3.89756,0.033051,49.1548,1.31465
2025-01-03,99.4301,49.9745,4.59945,3.91151,0.0338058,49.4556,1.31465
2025-01-06,98.3481,50.2317,4.58851,3.91665,0.0533236,48.1164,1.31465
2025-01-07,100.001,51.0034,4.60518,3.93189,0.0466654,48.9971,1.31465
2025-01-08,99.9514,50.6472,4.60468,3.92488,0.040304,49.3041,1.31465
2025-01-10,100.246,50.7561,4.60763,3.92703,0.0385754,49.4903,1.31465
2025-01-13,102.519,52.1214,4.63004,3.95358,0.0356567,50.3971,1.31465
2025-01-14,103.158,51.5278,4.63626,3.94212,0.0160289,51.63,1.31465
2025-01-15,103.748,52.1412,4.64196,3.95396,0.0203639,51.6067,1.31465
2025-01-16,103.876,51.7455,4.6432,3.94634,0.0111255,52.1304,1.31465
2025-01-17,104.112,51.419,4.64547,3.94001,0.00181172,52.6929,1.31465
2025-01-21,102.568,50.014,4.63052,3.9123,-0.00624663,52.5536,1.31465
2025-01-22,101.368,49.6677,4.61875,3.90536,0.00227654,51.7,1.31465
2025-01-23,102.282,49.8063,4.62774,3.90814,-0.00674842,52.4762,1.31465
2025-01-24,100.158,48.7674,4.60675,3.88706,-0.000232778,51.3905,1.31465
2025-01-27,101.004,49.0345,4.61516,3.89252,-0.00582627,51.9693,1.31465
2025-01-28,99.7153,48.4805,4.60232,3.88116,-0.000311304,51.2348,1.31465
2025-01-29,99.8923,48.3123,4.60409,3.87769,-0.0061186,51.5801,1.31465
2025-01-30,99.794,48.4013,4.60311,3.87953,-0.00298232,51.3927,1.31465
2025-01-31,97.2072,46.1554,4.57684,3.83201,-0.0159684,51.0518,1.31465
2025-02-03,96.8629,45.8784,4.5733,3.82599,-0.0173247,50.9846,1.31465
2025-02-04,98.9284,47.0854,4.5944,3.85196,-0.0190938,51.843,1.31465
2025-02-05,98.5645,46.8579,4.59071,3.84712,-0.0190933,51.7066,1.31465
2025-02-06,98.2989,46.4819,4.58801,3.83906,-0.0236025,51.8171,1.31465
2025-02-07,96.7449,46.284,4.57208,3.8348,-0.00691863,50.4609,1.31465
2025-02-10,97.8465,47.867,4.5834,3.86843,0.011827,49.9795,1.31465
2025-02-11,100.04,48.0946,4.60557,3.87317,-0.0125746,51.9453,1.31465
2025-02-12,96.7842,47.3229,4.57248,3.85699,0.0147441,49.4614,1.31465
2025-02-13,95.3089,47.3723,4.55712,3.85804,0.0359837,47.9365,1.31465
2025-02-14,95.4477,47.5504,4.55858,3.86179,0.0378226,47.8972,1.31465
2025-02-18,96.6276,48.3222,4.57086,3.87789,0.0377695,48.3055,1.31465
2025-02-19,98.7297,50.4494,4.59239,3.92097,0.0525562,48.2804,1.31465
2025-02-20,101.139,51.5377,4.6165,3.94231,0.0422009,49.6015,1.31465
2025-02-21,97.1135,49.8854,4.57588,3.90973,0.0630139,47.2281,1.31465
2025-02-24,97.9861,49.3313,4.58483,3.89856,0.0400856,48.6547,1.31465
2025-02-25,96.2608,48.3716,4.56706,3.87891,0.0437937,47.8891,1.31465
2025-02-26,95.3188,48.0352,4.55723,3.87193,0.0497433,47.2835,1.31465
2025-02-27,96.5483,48.1342,4.57004,3.87399,0.0349512,48.4141,1.31465
2025-02-28,98.3133,48.3222,4.58816,3.87789,0.0150333,49.9911,1.31465
2025-03-03,91.8483,45.9575,4.52014,3.82772,0.0542837,45.8908,1.31465
2025-03-04,89.8751,46.0367,4.49842,3.82944,0.0845553,43.8385,1.31465
2025-03-05,88.13,45.0275,4.47881,3.80727,0.0881685,43.1025,1.31465
2025-03-06,87.8523,45.2253,4.47566,3.81166,0.0967016,42.627,1.31465
2025-03-07,89.8652,46.7391,4.49831,3.84458,0.0998441,43.1261,1.31465
2025-03-10,92.116,47.0971,4.52305,3.85221,0.0749522,45.0189,1.31465
2025-03-11,94.6049,46.0231,4.54971,3.82914,0.0168358,48.5817,1.31465
2025-03-12,96.9251,45.8441,4.57394,3.82525,-0.0189147,51.081,1.31465
2025-03-13,95.3783,45.1977,4.55785,3.81105,-0.0119651,50.1805,1.31465
2025-03-14,98.115,46.2717,4.58614,3.83453,-0.0256711,51.8432,1.31465
2025-03-17,98.5215,46.9977,4.59028,3.8501,-0.0155402,51.5238,1.31465
2025-03-18,99.6816,47.3855,4.60198,3.85832,-0.0227117,52.2961,1.31465
2025-03-19,100.475,47.6938,4.60991,3.8648,-0.0266476,52.7811,1.31465
2025-03-20,101.447,47.6938,4.61953,3.8648,-0.0393009,53.7528,1.31465
2025-03-21,101.06,47.6739,4.61571,3.86438,-0.034697,53.386,1.31465
2025-03-24,101.328,47.654,4.61836,3.86397,-0.0385924,53.6736,1.31465
2025-03-25,101.685,48.738,4.62188,3.88646,-0.0207242,52.9466,1.31465
2025-03-26,102.329,49.4739,4.62819,3.90144,-0.0140444,52.8552,1.31465
2025-03-27,101.952,49.2352,4.62451,3.89661,-0.0140305,52.7171,1.31465
2025-03-28,101.506,48.559,4.62012,3.88278,-0.022094,52.9471,1.31465
2025-03-31,104.134,49.086,4.64568,3.89357,-0.0448972,55.0477,1.31465
2025-04-01,104.501,48.917,4.64919,3.89012,-0.0529708,55.5837,1.31465
2025-04-02,105.205,49.0562,4.65591,3.89297,-0.0589556,56.1484,1.31465
2025-04-03,94.4462,43.6563,4.54803,3.77635,-0.0337532,50.7899,1.31465
2025-04-04,85.5618,40.315,4.44924,3.69672,0.0164977,45.2468,1.31465
2025-04-07,84.947,38.5349,4.44203,3.65156,-0.0191808,46.4121,1.31465
2025-04-08,81.9624,35.9096,4.40626,3.581,-0.0427208,46.0529,1.31465
2025-04-09,90.7378,40.0067,4.50797,3.68905,-0.0683939,50.7311,1.31465
2025-04-10,82.5871,36.2676,4.41385,3.59092,-0.0427822,46.3195,1.31465
2025-04-11,85.661,37.4609,4.4504,3.6233,-0.0584502,48.2001,1.31465
2025-04-14,85.7205,37.6896,4.45109,3.62939,-0.0532757,48.0308,1.31465
2025-04-15,84.9966,37.5902,4.44261,3.62674,-0.0447696,47.4064,1.31465
2025-04-16,85.6312,38.2366,4.45005,3.64379,-0.0374988,47.3946,1.31465
2025-04-17,88.2291,39.4896,4.47994,3.67604,-0.0445456,48.7395,1.31465
2025-04-21,86.8112,38.8034,4.46374,3.65851,-0.0407748,48.0078,1.31465
2025-04-22,89.0025,39.7481,4.48866,3.68256,-0.0494934,49.2544,1.31465
2025-04-23,89.1711,39.6089,4.49056,3.67905,-0.0554896,49.5622,1.31465
2025-04-24,91.0253,40.1459,4.51114,3.69252,-0.0690797,50.8794,1.31465
2025-04-25,90.946,40.136,4.51027,3.69227,-0.0681811,50.81,1.31465
2025-04-28,92.1458,40.2851,4.52337,3.69598,-0.0817015,51.8606,1.31465
2025-04-29,91.1046,40.126,4.51201,3.69203,-0.0707203,50.9786,1.31465
2025-04-30,88.3679,39.1913,4.48151,3.66845,-0.0541958,49.1767,1.31465
2025-05-01,89.885,40.2155,4.49853,3.69425,-0.0507743,49.6695,1.31465
2025-05-02,90.6386,40.3846,4.50688,3.69845,-0.0575552,50.254,1.31465
2025-05-05,86.8707,38.5946,4.46442,3.65311,-0.0470718,48.2761,1.31465
2025-05-06,86.8905,39.062,4.46465,3.66515,-0.0353344,47.8285,1.31465
2025-05-07,86.9698,38.7935,4.46556,3.65825,-0.0434315,48.1764,1.31465
2025-05-08,88.0705,41.21,4.47814,3.71868,0.000464077,46.8605,1.31465
2025-05-09,87.8424,41.926,4.47554,3.73591,0.0210983,45.9164,1.31465
2025-05-12,91.4913,43.6166,4.51624,3.77544,0.00712267,47.8748,1.31465
2025-05-13,93.3753,44.1436,4.53663,3.78745,-0.00766183,49.2317,1.31465
2025-05-14,91.7888,43.5768,4.51949,3.77452,0.00194277,48.212,1.31465
2025-05-15,92.1755,43.1293,4.52369,3.7642,-0.0139067,49.0463,1.31465
2025-05-16,91.65,42.8011,4.51798,3.75656,-0.0140279,48.8489,1.31465
2025-05-19,90.41,42.0752,4.50435,3.73946,-0.0132261,48.3348,1.31465
2025-05-20,89.69,41.6674,4.49636,3.72972,-0.0124522,48.0226,1.31465
2025-05-21,87.15,40.9017,4.46763,3.71117,0.00676761,46.2483,1.31465
