Date,COP Raw Price,SHEL Raw Price,COP Log Price,SHEL Log Price,Residual,Spread,Beta
2025-01-02,98.4366,61.7661,4.58941,4.12335,-0.077911,36.6706,0.23846
2025-01-03,99.4301,63.1561,4.59945,4.14561,-0.058051,36.274,0.23846
2025-01-06,98.3481,63.3812,4.58851,4.14917,-0.0518836,34.9669,0.23846
2025-01-07,100.001,64.5363,4.60518,4.16723,-0.0377969,35.4643,0.23846
2025-01-08,99.9514,63.3518,4.60468,4.1487,-0.0562029,36.5995,0.23846
2025-01-10,100.246,63.5672,4.60763,4.1521,-0.0535124,36.6792,0.23846
2025-01-13,102.519,63.5868,4.63004,4.15241,-0.0585488,38.9317,0.23846
2025-01-14,103.158,64.5167,4.63626,4.16692,-0.0455126,38.6411,0.23846
2025-01-15,103.748,64.9572,4.64196,4.17373,-0.0400687,38.7908,0.23846
2025-01-16,103.876,65.0453,4.6432,4.17508,-0.0390071,38.8306,0.23846
2025-01-17,104.112,65.3096,4.64547,4.17914,-0.0354935,38.8023,0.23846
2025-01-21,102.568,65.3585,4.63052,4.17989,-0.0311809,37.2092,0.23846
2025-01-22,101.368,64.5558,4.61875,4.16753,-0.0407317,36.8119,0.23846
2025-01-23,102.282,65.2508,4.62774,4.17824,-0.0321656,37.0316,0.23846
2025-01-24,100.158,64.0077,4.60675,4.159,-0.0463961,36.1502,0.23846
2025-01-27,101.004,63.763,4.61516,4.15517,-0.0522321,37.2408,0.23846
2025-01-28,99.7153,63.2148,4.60232,4.14654,-0.0578045,36.5005,0.23846
2025-01-29,99.8923,63.4106,4.60409,4.14963,-0.0551355,36.4818,0.23846
2025-01-30,99.794,65.241,4.60311,4.17809,-0.0264424,34.5529,0.23846
2025-01-31,97.2072,64.458,4.57684,4.16601,-0.0322552,32.7492,0.23846
2025-02-03,96.8629,63.7923,4.5733,4.15563,-0.0417895,33.0706,0.23846
2025-02-04,98.9284,65.2215,4.5944,4.17779,-0.0246652,33.707,0.23846
2025-02-05,98.5645,65.1236,4.59071,4.17629,-0.0252884,33.4409,0.23846
2025-02-06,98.2989,64.7614,4.58801,4.17071,-0.030222,33.5375,0.23846
2025-02-07,96.7449,64.4971,4.57208,4.16662,-0.0305113,32.2478,0.23846
2025-02-10,97.8465,64.732,4.5834,4.17026,-0.0295754,33.1145,0.23846
2025-02-11,100.04,65.9556,4.60557,4.18898,-0.016136,34.0843,0.23846
2025-02-12,96.7842,65.3487,4.57248,4.17974,-0.0174908,31.4355,0.23846
2025-02-13,95.3089,65.9458,4.55712,4.18883,-0.00473198,29.363,0.23846
2025-02-14,95.4477,66.4168,4.55858,4.19595,0.00203689,29.0309,0.23846
2025-02-18,96.6276,67.0994,4.57086,4.20618,0.00933316,29.5282,0.23846
2025-02-19,98.7297,66.8818,4.59239,4.20293,0.000951924,31.848,0.23846
2025-02-20,101.139,67.6535,4.6165,4.2144,0.00667461,33.4858,0.23846
2025-02-21,97.1135,65.9913,4.57588,4.18952,-0.00851518,31.1222,0.23846
2025-02-24,97.9861,66.1793,4.58483,4.19237,-0.00780357,31.8068,0.23846
2025-02-25,96.2608,66.1892,4.56706,4.19252,-0.0034179,30.0715,0.23846
2025-02-26,95.3188,66.6839,4.55723,4.19996,0.0063732,28.6349,0.23846
2025-02-27,96.5483,66.5553,4.57004,4.19803,0.00138618,29.993,0.23846
2025-02-28,98.3133,66.7433,4.58816,4.20085,-0.000113244,31.57,0.23846
2025-03-03,91.8483,65.7539,4.52014,4.18592,0.00117249,26.0944,0.23846
2025-03-04,89.8751,65.4966,4.49842,4.182,0.00243139,24.3785,0.23846
2025-03-05,88.13,65.3977,4.47881,4.18049,0.00559553,22.7322,0.23846
2025-03-06,87.8523,65.3087,4.47566,4.17912,0.00498545,22.5437,0.23846
2025-03-07,89.8652,66.0804,4.49831,4.19087,0.0113306,23.7848,0.23846
2025-03-10,92.116,66.0804,4.52305,4.19087,0.00543151,26.0357,0.23846
2025-03-11,94.6049,66.1002,4.54971,4.19117,-0.000626454,28.5047,0.23846
2025-03-12,96.9251,66.6641,4.57394,4.19967,0.00209128,30.261,0.23846
2025-03-13,95.3783,67.0203,4.55785,4.205,0.0112561,28.358,0.23846
2025-03-14,98.115,68.0393,4.58614,4.22009,0.019601,30.0756,0.23846
2025-03-17,98.5215,69.3552,4.59028,4.23924,0.0377702,29.1663,0.23846
2025-03-18,99.6816,70.216,4.60198,4.25158,0.0473132,29.4657,0.23846
2025-03-19,100.475,70.7601,4.60991,4.2593,0.0531428,29.7148,0.23846
2025-03-20,101.447,71.1855,4.61953,4.26529,0.056842,30.2611,0.23846
2025-03-21,101.06,70.2555,4.61571,4.25214,0.0446021,30.8044,0.23846
2025-03-24,101.328,70.5227,4.61836,4.25593,0.0477662,30.805,0.23846
2025-03-25,101.685,71.2647,4.62188,4.2664,0.0573946,30.4199,0.23846
2025-03-26,102.329,72.2541,4.62819,4.28019,0.0696755,30.075,0.23846
2025-03-27,101.952,72.5113,4.62451,4.28374,0.074109,29.441,0.23846
2025-03-28,101.506,71.9573,4.62012,4.27607,0.0674848,29.5489,0.23846
2025-03-31,104.134,72.5014,4.64568,4.28361,0.0689242,31.6323,0.23846
2025-04-01,104.501,72.2739,4.64919,4.28046,0.0649419,32.2268,0.23846
2025-04-02,105.205,71.9474,4.65591,4.27593,0.0588132,33.2573,0.23846
2025-04-03,94.4462,69.0287,4.54803,4.23452,0.0431251,25.4175,0.23846
2025-04-04,85.5618,63.4486,4.44924,4.15023,-0.0176089,22.1132,0.23846
2025-04-07,84.947,61.6579,4.44203,4.1216,-0.0445192,23.2892,0.23846
2025-04-08,81.9624,59.1152,4.40626,4.07949,-0.0781034,22.8473,0.23846
2025-04-09,90.7378,63.2112,4.50797,4.14648,-0.0353641,27.5266,0.23846
2025-04-10,82.5871,59.1449,4.41385,4.07999,-0.079412,23.4423,0.23846
2025-04-11,85.661,61.4303,4.4504,4.1179,-0.0502123,24.2307,0.23846
2025-04-14,85.7205,61.8755,4.45109,4.12512,-0.0431565,23.8449,0.23846
2025-04-15,84.9966,62.113,4.44261,4.12895,-0.0373042,22.8836,0.23846
2025-04-16,85.6312,63.3497,4.45005,4.14867,-0.0193628,22.2815,0.23846
2025-04-17,88.2291,64.349,4.47994,4.16432,-0.0108389,23.8801,0.23846
2025-04-21,86.8112,63.9631,4.46374,4.15831,-0.0129898,22.8481,0.23846
2025-04-22,89.0025,64.4776,4.48866,4.16632,-0.0109234,24.5249,0.23846
2025-04-23,89.1711,63.8246,4.49056,4.15614,-0.0215535,25.3465,0.23846
2025-04-24,91.0253,64.3589,4.51114,4.16447,-0.0181253,26.6665,0.23846
2025-04-25,90.946,65.1603,4.51027,4.17685,-0.00554231,25.7857,0.23846
2025-04-28,92.1458,65.3186,4.52337,4.17928,-0.00624122,26.8272,0.23846
2025-04-29,91.1046,64.814,4.51201,4.17152,-0.0112863,26.2907,0.23846
2025-04-30,88.3679,63.7949,4.48151,4.15567,-0.0198611,24.573,0.23846
2025-05-01,89.885,64.1115,4.49853,4.16062,-0.0189698,25.7735,0.23846
2025-05-02,90.6386,65.932,4.50688,4.18862,0.00703873,24.7066,0.23846
2025-05-05,86.8707,64.4281,4.46442,4.16555,-0.00590949,22.4426,0.23846
2025-05-06,86.8905,64.4083,4.46465,4.16524,-0.00627114,22.4822,0.23846
2025-05-07,86.9698,64.3589,4.46556,4.16447,-0.0072571,22.611,0.23846
2025-05-08,88.0705,64.3885,4.47814,4.16494,-0.00979492,23.6819,0.23846
2025-05-09,87.8424,65.4472,4.47554,4.18124,0.007131,22.3952,0.23846
2025-05-12,91.4913,65.6747,4.51624,4.18471,0.00089653,25.8166,0.23846
2025-05-13,93.3753,66.8917,4.53663,4.20307,0.0143962,26.4837,0.23846
2025-05-14,91.7888,66.3772,4.51949,4.19535,0.0107616,25.4116,0.23846
2025-05-15,92.1755,66.674,4.52369,4.19982,0.0142209,25.5015,0.23846
2025-05-16,91.65,66.62,4.51798,4.199,0.0147741,25.03,0.23846
2025-05-19,90.41,66.67,4.50435,4.19976,0.0187725,23.74,0.23846
2025-05-20,89.69,66.62,4.49636,4.199,0.019929,23.07,0.23846
2025-05-21,87.15,66.36,4.46763,4.19509,0.0228692,20.79,0.23846
2025-05-22,86.13,65.95,4.45586,4.1889,0.019479,20.18,0.23846
2025-05-23,85.19,66.3,4.44488,4.19419,0.0273889,18.89,0.23846
2025-05-27,85.55,66.69,4.4491,4.20006,0.0322484,18.86,0.23846
2025-05-28,84.58,66.04,4.4377,4.19026,0.0251732,18.54,0.23846
2025-05-29,85.6,66.44,4.44969,4.1963,0.0283534,19.16,0.23846
2025-05-30,85.35,66.22,4.44676,4.19298,0.025734,19.13,0.23846
2025-06-02,86.72,67.45,4.46268,4.21139,0.0403408,19.27,0.23846
2025-06-03,87.91,67.83,4.47631,4.217,0.0427088,20.08,0.23846
2025-06-04,85.95,67.27,4.45377,4.20871,0.0397953,18.68,0.23846
2025-06-05,85.35,67.53,4.44676,4.21257,0.0453234,17.82,0.23846
2025-06-06,87.22,68.02,4.46843,4.2198,0.047385,19.2,0.23846
2025-06-09,88.04,68.26,4.47779,4.22332,0.0486758,19.78,0.23846
2025-06-10,91.18,70.05,4.51284,4.24921,0.0662045,21.13,0.23846
2025-06-11,93.35,71.02,4.53636,4.26296,0.074348,22.33,0.23846
2025-06-12,94.69,71.44,4.55061,4.26886,0.0768459,23.25,0.23846
2025-06-13,96.96,72.54,4.5743,4.28414,0.0864769,24.42,0.23846
