Date,CVX Raw Price,AR Raw Price,CVX Log Price,AR Log Price,Residual,Spread,Beta
2025-01-02,143.354,35.57,4.96532,3.5715,-0.0451045,107.784,0.554474
2025-01-03,144.468,34.94,4.97306,3.55363,-0.0672667,109.528,0.554474
2025-01-06,143.892,36.01,4.96906,3.5838,-0.0348852,107.882,0.554474
2025-01-07,146.169,36.68,4.98476,3.60223,-0.0251546,109.489,0.554474
2025-01-08,146.862,37.86,4.9895,3.6339,0.00388342,109.002,0.554474
2025-01-10,149.637,38.32,5.00822,3.64597,0.0055809,111.317,0.554474
2025-01-13,151.797,38.3,5.02254,3.64545,-0.00288572,113.497,0.554474
2025-01-14,153.311,38.59,5.03247,3.65299,-0.000847223,114.721,0.554474
2025-01-15,154.709,40.23,5.04154,3.69461,0.0357419,114.479,0.554474
2025-01-16,155.735,40.57,5.04815,3.70303,0.0404928,115.165,0.554474
2025-01-17,157.777,40.46,5.06118,3.70031,0.030554,117.317,0.554474
2025-01-21,154.621,39.93,5.04098,3.68713,0.0285721,114.691,0.554474
2025-01-22,152.833,40.74,5.02934,3.70721,0.0551044,112.093,0.554474
2025-01-23,152.442,40.55,5.02678,3.70254,0.0518495,111.892,0.554474
2025-01-24,152.09,40.15,5.02447,3.69262,0.0432172,111.94,0.554474
2025-01-27,153.634,36.35,5.03457,3.59319,-0.0618113,117.284,0.554474
2025-01-28,152.637,37.22,5.02806,3.61685,-0.0345504,115.417,0.554474
2025-01-29,152.129,37.35,5.02473,3.62033,-0.029215,114.779,0.554474
2025-01-30,152.745,37.85,5.02877,3.63363,-0.018156,114.895,0.554474
2025-01-31,145.778,37.32,4.98208,3.61953,-0.00637227,108.458,0.554474
2025-02-03,145.924,38.33,4.98309,3.64623,0.0197741,107.594,0.554474
2025-02-04,149.716,38.73,5.00874,3.65661,0.0159339,110.986,0.554474
2025-02-05,149.491,39.6,5.00724,3.67883,0.0389814,109.891,0.554474
2025-02-06,148.426,38.3,5.00009,3.64545,0.00956677,110.126,0.554474
2025-02-07,149.129,37.85,5.00481,3.63363,-0.0048741,111.279,0.554474
2025-02-10,152.207,40.02,5.02524,3.68938,0.0395467,112.187,0.554474
2025-02-11,153.839,40.02,5.03591,3.68938,0.0336338,113.819,0.554474
2025-02-12,151.357,39.38,5.01964,3.67326,0.026531,111.977,0.554474
2025-02-13,152.315,40.15,5.02595,3.69262,0.0423984,112.165,0.554474
2025-02-14,153.471,39.84,5.03351,3.68487,0.0304554,113.631,0.554474
2025-02-18,154.281,39.74,5.03877,3.68236,0.025023,114.541,0.554474
2025-02-19,155.338,40.35,5.0456,3.69759,0.0364698,114.988,0.554474
2025-02-20,156.879,39.51,5.05548,3.67655,0.00995797,117.369,0.554474
2025-02-21,155.032,38.15,5.04363,3.64153,-0.0185015,116.882,0.554474
2025-02-24,155.99,37.9,5.04979,3.63495,-0.0284931,118.09,0.554474
2025-02-25,154.538,37.35,5.04044,3.62033,-0.0379248,117.188,0.554474
2025-02-26,153.273,37.04,5.03222,3.612,-0.0417033,116.233,0.554474
2025-02-27,154.785,35.58,5.04203,3.57178,-0.0873595,119.205,0.554474
2025-02-28,156.711,36.7,5.0544,3.60278,-0.0632251,120.011,0.554474
2025-03-03,151.248,36.15,5.01892,3.58768,-0.0586491,115.098,0.554474
2025-03-04,150.171,36.52,5.01177,3.59786,-0.0445041,113.651,0.554474
2025-03-05,148.995,36.38,5.00391,3.59402,-0.043987,112.615,0.554474
2025-03-06,151.109,33.78,5.018,3.51987,-0.12595,117.329,0.554474
2025-03-07,154.459,33.64,5.03993,3.51572,-0.142258,120.819,0.554474
2025-03-10,155.674,34.69,5.04776,3.54645,-0.115868,120.984,0.554474
2025-03-11,152.226,35.86,5.02537,3.57962,-0.0702778,116.366,0.554474
2025-03-12,150.833,36.01,5.01617,3.5838,-0.0610063,114.823,0.554474
2025-03-13,151.761,36.37,5.02231,3.59374,-0.0544621,115.391,0.554474
2025-03-14,155.13,37.57,5.04427,3.62621,-0.0341747,117.56,0.554474
2025-03-17,156.81,38.9,5.05503,3.66099,-0.00535704,117.91,0.554474
2025-03-18,158.875,39.87,5.06812,3.68562,0.0120192,119.005,0.554474
2025-03-19,162.076,41.02,5.08806,3.71406,0.0293944,121.056,0.554474
2025-03-20,162.787,40.97,5.09244,3.71284,0.0257465,121.817,0.554474
2025-03-21,162.767,40.77,5.09232,3.70795,0.0209202,121.997,0.554474
2025-03-24,163.034,41.21,5.09396,3.71868,0.0307467,121.824,0.554474
2025-03-25,163.943,41.42,5.09952,3.72376,0.0327469,122.523,0.554474
2025-03-26,165.949,40.97,5.11168,3.71284,0.0150813,124.979,0.554474
2025-03-27,164.645,39.53,5.10379,3.67706,-0.0163243,125.115,0.554474
2025-03-28,164.091,39.69,5.10042,3.6811,-0.0104186,124.401,0.554474
2025-03-31,165.277,40.44,5.10762,3.69982,0.00430982,124.837,0.554474
2025-04-01,166.482,40.92,5.11489,3.71162,0.0120804,125.562,0.554474
