Date,CVX Raw Price,EOG Raw Price,CVX Log Price,EOG Log Price,Residual,Spread,Beta
2025-01-02,143.354,122.706,4.96532,4.80979,0.0427488,20.6486,0.966042
2025-01-03,144.468,124.536,4.97306,4.82459,0.0500758,19.9324,0.966042
2025-01-06,143.892,124.359,4.96906,4.82317,0.0525155,19.533,0.966042
2025-01-07,146.169,125.51,4.98476,4.83239,0.0465644,20.6585,0.966042
2025-01-08,146.862,126.396,4.9895,4.83942,0.0490209,20.4667,0.966042
2025-01-10,149.637,129.298,5.00822,4.86212,0.053642,20.3392,0.966042
2025-01-13,151.797,132.329,5.02254,4.88529,0.062968,19.4681,0.966042
2025-01-14,153.311,133.588,5.03247,4.89476,0.0628497,19.7232,0.966042
2025-01-15,154.709,134.857,5.04154,4.90422,0.0635412,19.8513,0.966042
2025-01-16,155.735,135.832,5.04815,4.91142,0.0643531,19.9032,0.966042
2025-01-17,157.777,135.341,5.06118,4.9078,0.0481498,22.4359,0.966042
2025-01-21,154.621,134.806,5.04098,4.90384,0.0637084,19.8149,0.966042
2025-01-22,152.833,132.804,5.02934,4.88888,0.0599858,20.0284,0.966042
2025-01-23,152.442,132.765,5.02678,4.88858,0.062161,19.6772,0.966042
2025-01-24,152.09,130.624,5.02447,4.87232,0.0481396,21.4658,0.966042
2025-01-27,153.634,130.763,5.03457,4.87339,0.0394442,22.8709,0.966042
2025-01-28,152.637,129.068,5.02806,4.86034,0.0326884,23.5688,0.966042
2025-01-29,152.129,129.049,5.02473,4.86019,0.035756,23.0805,0.966042
2025-01-30,152.745,128.603,5.02877,4.85673,0.0283935,24.142,0.966042
2025-01-31,145.778,124.649,4.98208,4.8255,0.0422658,21.1289,0.966042
2025-02-03,145.924,125.253,4.98309,4.83034,0.0461327,20.671,0.966042
2025-02-04,149.716,126.958,5.00874,4.84385,0.0348702,22.7578,0.966042
2025-02-05,149.491,126.542,5.00724,4.84057,0.0330379,22.9493,0.966042
2025-02-06,148.426,125.531,5.00009,4.83255,0.0319258,22.895,0.966042
2025-02-07,149.129,125.352,5.00481,4.83113,0.0259357,23.7768,0.966042
2025-02-10,152.207,129.376,5.02524,4.86272,0.0377906,22.8316,0.966042
2025-02-11,153.839,131.09,5.03591,4.87588,0.0406524,22.7491,0.966042
2025-02-12,151.357,127.671,5.01964,4.84946,0.0299396,23.6859,0.966042
2025-02-13,152.315,127.85,5.02595,4.85085,0.0252431,24.4652,0.966042
2025-02-14,153.471,128.137,5.03351,4.8531,0.0201847,25.3337,0.966042
2025-02-18,154.281,129.752,5.03877,4.86563,0.0276252,24.5286,0.966042
