Date,CVX Raw Price,MPC Raw Price,CVX Log Price,MPC Log Price,Residual,Spread,Beta
2025-01-02,143.354,139.888,4.96532,4.94084,-0.0370574,3.46666,0.231496
2025-01-03,144.468,141.124,4.97306,4.94964,-0.0300536,3.34474,0.231496
2025-01-06,143.892,138.939,4.96906,4.93403,-0.0447318,4.9532,0.231496
2025-01-07,146.169,140.056,4.98476,4.94204,-0.040357,6.1127,0.231496
2025-01-08,146.862,140.718,4.9895,4.94676,-0.0367347,6.14406,0.231496
2025-01-10,149.637,140.659,5.00822,4.94634,-0.0414898,8.97842,0.231496
2025-01-13,151.797,145.088,5.02254,4.97734,-0.0138028,6.7086,0.231496
2025-01-14,153.311,147.728,5.03247,4.99537,0.00192948,5.58339,0.231496
2025-01-15,154.709,150.229,5.04154,5.01216,0.0166196,4.47934,0.231496
2025-01-16,155.735,149.982,5.04815,5.01052,0.0134427,5.7525,0.231496
2025-01-17,157.777,150.971,5.06118,5.01709,0.0169971,6.80602,0.231496
2025-01-21,154.621,149.112,5.04098,5.0047,0.00928675,5.50861,0.231496
2025-01-22,152.833,145.939,5.02934,4.98319,-0.00953391,6.8941,0.231496
2025-01-23,152.442,152.563,5.02678,5.02758,0.0354489,0.120895,0.231496
2025-01-24,152.09,149.893,5.02447,5.00992,0.0183315,2.19678,0.231496
2025-01-27,153.634,150.872,5.03457,5.01643,0.0225021,2.76186,0.231496
2025-01-28,152.637,148.934,5.02806,5.0035,0.0110816,3.70299,0.231496
2025-01-29,152.129,149.676,5.02473,5.00847,0.0168198,2.45338,0.231496
2025-01-30,152.745,148.262,5.02877,4.99898,0.00639439,4.48276,0.231496
2025-01-31,145.778,144.06,4.98208,4.97023,-0.0115487,1.71773,0.231496
2025-02-03,145.924,145.335,4.98309,4.97904,-0.00296709,0.588898,0.231496
2025-02-04,149.716,155.133,5.00874,5.04428,0.0563351,5.41763,0.231496
2025-02-05,149.491,155.529,5.00724,5.04683,0.0592288,6.03783,0.231496
2025-02-06,148.426,150.21,5.00009,5.01203,0.0260854,1.78381,0.231496
2025-02-07,149.129,148.42,5.00481,5.00005,0.0130059,0.709198,0.231496
2025-02-10,152.207,152.039,5.02524,5.02413,0.0323646,0.16861,0.231496
2025-02-11,153.839,153.541,5.03591,5.03397,0.0397317,0.297638,0.231496
2025-02-12,151.357,147.52,5.01964,4.99397,0.00349296,3.83675,0.231496
2025-02-13,152.315,152.345,5.02595,5.02615,0.0342151,0.0303955,0.231496
2025-02-14,153.471,154.293,5.03351,5.03885,0.0451686,0.822174,0.231496
2025-02-18,154.281,157.229,5.03877,5.0577,0.062802,2.94839,0.231496
2025-02-19,155.338,155.758,5.0456,5.0483,0.0518172,0.419617,0.231496
2025-02-20,156.879,157.378,5.05548,5.05865,0.059884,0.499222,0.231496
2025-02-21,155.032,152.874,5.04363,5.02961,0.0335868,2.15778,0.231496
2025-02-24,155.99,151.84,5.04979,5.02283,0.0253725,4.15025,0.231496
2025-02-25,154.538,149.742,5.04044,5.00891,0.0136236,4.79605,0.231496
2025-02-26,153.273,145.476,5.03222,4.98001,-0.0133758,7.79729,0.231496
2025-02-27,154.785,147.146,5.04203,4.99143,-0.00422985,7.63834,0.231496
2025-02-28,156.711,149.334,5.0544,5.00618,0.00766397,7.37727,0.231496
2025-03-03,151.248,144.999,5.01892,4.97672,-0.0135828,6.24924,0.231496
2025-03-04,150.171,141.817,5.01177,4.95453,-0.0341179,8.35434,0.231496
2025-03-05,148.995,134.359,5.00391,4.90051,-0.0863189,14.6364,0.231496
2025-03-06,151.109,136.785,5.018,4.91841,-0.0716838,14.3244,0.231496
2025-03-07,154.459,136.775,5.03993,4.91834,-0.0768313,17.6835,0.231496
2025-03-10,155.674,135.492,5.04776,4.90892,-0.0880682,20.1815,0.231496
2025-03-11,152.226,133.961,5.02537,4.89755,-0.0942495,18.2648,0.231496
2025-03-12,150.833,136.348,5.01617,4.91521,-0.0744634,14.4853,0.231496
2025-03-13,151.761,136.248,5.02231,4.91448,-0.0766139,15.5134,0.231496
2025-03-14,155.13,140.355,5.04427,4.94417,-0.0520005,14.7757,0.231496
2025-03-17,156.81,145.337,5.05503,4.97905,-0.0196144,11.4734,0.231496
2025-03-18,158.875,145.177,5.06812,4.97796,-0.0237382,13.6974,0.231496
2025-03-19,162.076,148.727,5.08806,5.00212,-0.00419805,13.3485,0.231496
2025-03-20,162.787,151.094,5.09244,5.0179,0.0105751,11.6932,0.231496
2025-03-21,162.767,149.115,5.09232,5.00472,-0.00257966,13.6523,0.231496
2025-03-24,163.034,147.842,5.09396,4.99615,-0.0115311,15.1918,0.231496
2025-03-25,163.943,148.25,5.09952,4.9989,-0.0100643,15.693,0.231496
2025-03-26,165.949,148.966,5.11168,5.00372,-0.00806139,16.9827,0.231496
2025-03-27,164.645,146.52,5.10379,4.98716,-0.0227921,18.1247,0.231496
2025-03-28,164.091,143.288,5.10042,4.96486,-0.0443161,20.8031,0.231496
2025-03-31,165.277,144.869,5.10762,4.97583,-0.0350091,20.4076,0.231496
2025-04-01,166.482,145.804,5.11489,4.98226,-0.0302598,20.6783,0.231496
2025-04-02,164.467,147.067,5.10271,4.99089,-0.0188163,17.4,0.231496
