Date,CVX Raw Price,WMB Raw Price,CVX Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,143.354,54.9218,4.96532,4.00591,-0.0415387,88.4327,-0.0456107
2025-01-03,144.468,55.6294,4.97306,4.01871,-0.0283832,88.839,-0.0456107
2025-01-06,143.892,54.853,4.96906,4.00466,-0.0426215,89.0389,-0.0456107
2025-01-07,146.169,54.5974,4.98476,3.99999,-0.0465751,91.5712,-0.0456107
2025-01-08,146.862,55.423,4.9895,4.01499,-0.0313508,91.4394,-0.0456107
2025-01-10,149.637,54.5679,5.00822,3.99945,-0.0460455,95.0695,-0.0456107
2025-01-13,151.797,55.0692,5.02254,4.00859,-0.036248,96.7277,-0.0456107
2025-01-14,153.311,57.0644,5.03247,4.04418,-0.000205521,96.247,-0.0456107
2025-01-15,154.709,57.0152,5.04154,4.04332,-0.000653287,97.6935,-0.0456107
2025-01-16,155.735,58.1652,5.04815,4.06329,0.0196165,97.5695,-0.0456107
2025-01-17,157.777,58.1259,5.06118,4.06261,0.0195346,99.651,-0.0456107
2025-01-21,154.621,59.5903,5.04098,4.08749,0.0434952,95.0305,-0.0456107
2025-01-22,152.833,58.1848,5.02934,4.06362,0.0190964,94.6478,-0.0456107
2025-01-23,152.442,58.4699,5.02678,4.06851,0.0238663,93.9719,-0.0456107
2025-01-24,152.09,58.5485,5.02447,4.06986,0.0251048,93.5415,-0.0456107
2025-01-27,153.634,53.6146,5.03457,3.98182,-0.0624689,100.019,-0.0456107
2025-01-28,152.637,54.2534,5.02806,3.99367,-0.0509205,98.3838,-0.0456107
2025-01-29,152.129,54.3812,5.02473,3.99602,-0.0487203,97.7479,-0.0456107
2025-01-30,152.745,55.6196,5.02877,4.01854,-0.0260191,97.1251,-0.0456107
2025-01-31,145.778,54.4795,4.98208,3.99782,-0.0488597,91.2983,-0.0456107
2025-02-03,145.924,55.2363,4.98309,4.01162,-0.0350181,90.6881,-0.0456107
2025-02-04,149.716,54.7645,5.00874,4.00304,-0.0424258,94.9511,-0.0456107
2025-02-05,149.491,55.8751,5.00724,4.02312,-0.0224173,93.6157,-0.0456107
2025-02-06,148.426,55.0495,5.00009,4.00823,-0.0376294,93.3763,-0.0456107
2025-02-07,149.129,54.9807,5.00481,4.00698,-0.0386643,94.1486,-0.0456107
2025-02-10,152.207,55.2068,5.02524,4.01109,-0.0336293,97.0005,-0.0456107
2025-02-11,153.839,54.2927,5.03591,3.99439,-0.0498383,99.5463,-0.0456107
2025-02-12,151.357,53.8799,5.01964,3.98676,-0.0582125,97.4772,-0.0456107
2025-02-13,152.315,56.4747,5.02595,4.03379,-0.0108909,95.8401,-0.0456107
2025-02-14,153.471,56.0029,5.03351,4.0254,-0.0189348,97.4678,-0.0456107
2025-02-18,154.281,56.8088,5.03877,4.03969,-0.00440624,97.472,-0.0456107
2025-02-19,155.338,57.2708,5.0456,4.04779,0.0040039,98.0671,-0.0456107
2025-02-20,156.879,57.4477,5.05548,4.05087,0.00753853,99.4315,-0.0456107
2025-02-21,155.032,56.455,5.04363,4.03344,-0.0104326,98.5767,-0.0456107
2025-02-24,155.99,56.3469,5.04979,4.03153,-0.0120683,99.6431,-0.0456107
2025-02-25,154.538,55.2166,5.04044,4.01126,-0.0327583,99.3211,-0.0456107
2025-02-26,153.273,55.9243,5.03222,4.024,-0.0203985,97.3488,-0.0456107
2025-02-27,154.785,55.2952,5.04203,4.01269,-0.0312625,99.4894,-0.0456107
2025-02-28,156.711,57.1823,5.0544,4.04624,0.00285965,99.5289,-0.0456107
2025-03-03,151.248,56.6123,5.01892,4.03623,-0.00877801,94.6355,-0.0456107
2025-03-04,150.171,55.826,5.01177,4.02224,-0.0230902,94.3449,-0.0456107
2025-03-05,148.995,55.2559,5.00391,4.01198,-0.0337124,93.7393,-0.0456107
2025-03-06,151.109,53.6735,5.018,3.98292,-0.0621252,97.4359,-0.0456107
2025-03-07,154.459,53.4475,5.03993,3.9787,-0.065346,101.011,-0.0456107
2025-03-10,155.674,53.0937,5.04776,3.97206,-0.0716307,102.58,-0.0456107
2025-03-11,152.226,54.0077,5.02537,3.98913,-0.0555829,98.2181,-0.0456107
