Date,DVN Raw Price,APA Raw Price,DVN Log Price,APA Log Price,Residual,Spread,Beta
2025-01-02,32.9309,22.7603,3.49441,3.12502,0.185926,10.1707,1.66847
2025-01-03,33.4535,22.7992,3.51016,3.12673,0.161368,10.6543,1.66847
2025-01-06,33.276,23.0328,3.50484,3.13692,0.180439,10.2432,1.66847
2025-01-07,34.2028,23.0328,3.53231,3.13692,0.134604,11.17,1.66847
2025-01-08,34.6564,23.0523,3.54548,3.13777,0.11347,11.604,1.66847
2025-01-10,35.4846,23.0523,3.5691,3.13777,0.0740668,12.4323,1.66847
2025-01-13,36.2536,23.7337,3.59054,3.1669,0.0674254,12.5199,1.66847
2025-01-14,36.6578,24.1913,3.60163,3.18599,0.0680188,12.4666,1.66847
2025-01-15,37.8903,24.7754,3.63469,3.20985,0.036705,13.1149,1.66847
2025-01-16,37.8804,24.4833,3.63443,3.19799,0.0252814,13.3971,1.66847
2025-01-17,37.417,23.7532,3.62213,3.16772,0.0155432,13.6638,1.66847
2025-01-21,36.2142,23.0718,3.58945,3.13861,0.0409533,13.1424,1.66847
2025-01-22,35.948,22.9832,3.58207,3.13476,0.049418,12.9647,1.66847
2025-01-23,35.9381,23.1308,3.5818,3.14117,0.0562763,12.8073,1.66847
2025-01-24,35.455,22.9439,3.56826,3.13305,0.0707434,12.5111,1.66847
2025-01-27,34.8338,23.0029,3.55059,3.13562,0.102802,11.8309,1.66847
2025-01-28,34.3901,22.9635,3.53777,3.13391,0.122478,11.4266,1.66847
2025-01-29,34.5775,22.8061,3.5432,3.12703,0.106535,11.7713,1.66847
2025-01-30,34.5578,22.6192,3.54263,3.1188,0.0992567,11.9386,1.66847
2025-01-31,33.6211,21.5763,3.51515,3.0716,0.0978995,12.0448,1.66847
2025-02-03,33.276,21.1237,3.50484,3.0504,0.0939139,12.1523,1.66847
2025-02-04,33.9366,22.0289,3.52449,3.09235,0.103074,11.9077,1.66847
2025-02-05,33.6605,21.8321,3.51633,3.08338,0.10773,11.8284,1.66847
2025-02-06,32.9506,21.291,3.49501,3.05828,0.118195,11.6597,1.66847
2025-02-07,32.6844,21.3205,3.4869,3.05967,0.133115,11.364,1.66847
2025-02-10,33.7789,22.6192,3.51983,3.1188,0.137293,11.1597,1.66847
2025-02-11,34.6268,22.934,3.54463,3.13262,0.109751,11.6927,1.66847
2025-02-12,33.4929,22.0092,3.51133,3.09146,0.124137,11.4837,1.66847
2025-02-13,33.7394,22.1273,3.51867,3.09681,0.117254,11.6122,1.66847
2025-02-14,34.1535,22.7668,3.53087,3.1253,0.125392,11.3867,1.66847
2025-02-18,34.3901,23.1898,3.53777,3.14371,0.132284,11.2003,1.66847
2025-02-19,37.0424,23.2095,3.61206,3.14456,0.0091782,13.8329,1.66847
2025-02-20,38.0086,23.239,3.63781,3.14583,-0.0325141,14.7696,1.66847
2025-02-21,36.9635,22.4224,3.60993,3.11006,-0.0217663,14.5411,1.66847
2025-02-24,36.786,22.5011,3.60512,3.11357,-0.010232,14.2849,1.66847
2025-02-25,35.3761,22.019,3.56604,3.09191,0.0333155,13.3571,1.66847
2025-02-26,34.962,21.655,3.55426,3.07524,0.0362907,13.307,1.66847
2025-02-27,35.3761,20.0906,3.56604,3.00025,-0.0583373,15.2855,1.66847
2025-02-28,35.7113,20.3661,3.57547,3.01387,-0.0604543,15.3452,1.66847
2025-03-03,33.9267,18.5853,3.5242,2.92237,-0.0664229,15.3414,1.66847
2025-03-04,33.769,18.2705,3.51954,2.90529,-0.075732,15.4985,1.66847
2025-03-05,33.1873,18.241,3.50217,2.90367,-0.0483568,14.9463,1.66847
2025-03-06,33.3943,18.4476,3.50839,2.91493,-0.0474707,14.9467,1.66847
2025-03-07,34.2225,18.5361,3.53288,2.91972,-0.0835566,15.6864,1.66847
2025-03-10,33.7296,18.7132,3.51837,2.92923,-0.0498386,15.0163,1.66847
2025-03-11,33.9267,18.8903,3.5242,2.93865,-0.0501452,15.0364,1.66847
2025-03-12,34.262,19.3331,3.53404,2.96182,-0.043383,14.9289,1.66847
2025-03-13,33.3155,18.7329,3.50602,2.93028,-0.028177,14.5826,1.66847
2025-03-14,34.3085,19.2937,3.53539,2.95978,-0.0476831,15.0147,1.66847
2025-03-17,34.8645,19.7069,3.55147,2.98097,-0.053318,15.1576,1.66847
2025-03-18,35.1227,19.8447,3.55885,2.98794,-0.0586629,15.2781,1.66847
2025-03-19,35.798,20.4744,3.57789,3.01917,-0.0591978,15.3236,1.66847
2025-03-20,35.8774,20.2382,3.58011,3.00757,-0.0744964,15.6392,1.66847
2025-03-21,35.8973,20.2776,3.58066,3.00952,-0.0734769,15.6197,1.66847
2025-03-24,36.7016,20.5039,3.60282,3.02061,-0.0993511,16.1977,1.66847
2025-03-25,36.7115,20.5531,3.60309,3.02301,-0.0974061,16.1585,1.66847
2025-03-26,37.208,20.7597,3.61653,3.03301,-0.109818,16.4484,1.66847
2025-03-27,36.6222,20.8581,3.60065,3.03774,-0.0786088,15.7641,1.66847
2025-03-28,36.503,20.5826,3.59739,3.02445,-0.0864666,15.9204,1.66847
2025-03-31,37.1385,20.681,3.61466,3.02921,-0.110496,16.4576,1.66847
2025-04-01,37.3074,20.7892,3.61919,3.03443,-0.112844,16.5182,1.66847
2025-04-02,37.6549,20.8974,3.62846,3.03963,-0.123123,16.7575,1.66847
2025-04-03,32.9282,17.4539,3.49433,2.85956,-0.0793884,15.4743,1.66847
2025-04-04,29.1051,14.9352,3.37091,2.70372,-0.0293169,14.1699,1.66847
2025-04-07,28.41,14.7187,3.34674,2.68912,-0.00358479,13.6913,1.66847
2025-04-08,26.6126,13.8037,3.28139,2.62494,0.0412748,12.8089,1.66847
2025-04-09,30.8528,16.4405,3.42923,2.79975,-0.0305832,14.4123,1.66847
2025-04-10,27.556,14.3645,3.31622,2.66476,0.0229792,13.1915,1.66847
2025-04-11,28.0326,14.7974,3.33337,2.69445,0.0240577,13.2352,1.66847
2025-04-14,28.5291,14.9548,3.35093,2.70503,0.00534726,13.5743,1.66847
2025-04-15,28.3305,14.6498,3.34394,2.68443,-0.00360304,13.6807,1.66847
2025-04-16,29.0952,15.1221,3.37057,2.71616,-0.0163087,13.9731,1.66847
