Date,DVN Raw Price,ENB Raw Price,DVN Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,32.9309,42.98,3.49441,3.76073,-0.0326583,10.0491,-0.112063
2025-01-03,33.4535,43.09,3.51016,3.76329,-0.028338,9.63651,-0.112063
2025-01-06,33.276,42.99,3.50484,3.76097,-0.0312574,9.71399,-0.112063
2025-01-07,34.2028,43.64,3.53231,3.77597,-0.0131724,9.43719,-0.112063
2025-01-08,34.6564,44.02,3.54548,3.78464,-0.00302621,9.36365,-0.112063
2025-01-10,35.4846,43.48,3.5691,3.7723,-0.0127227,7.99544,-0.112063
2025-01-13,36.2536,43.4,3.59054,3.77046,-0.0121615,7.1464,-0.112063
2025-01-14,36.6578,44.07,3.60163,3.78578,0.00440091,7.41216,-0.112063
2025-01-15,37.8903,44.33,3.63469,3.79166,0.013989,6.43971,-0.112063
2025-01-16,37.8804,44.03,3.63443,3.78487,0.00716929,6.14957,-0.112063
2025-01-17,37.417,44.51,3.62213,3.79571,0.0166326,7.09297,-0.112063
2025-01-21,36.2142,45.31,3.58945,3.81353,0.0307848,9.09584,-0.112063
2025-01-22,35.948,44.76,3.58207,3.80131,0.0177451,8.81204,-0.112063
2025-01-23,35.9381,44.86,3.5818,3.80355,0.019946,8.9219,-0.112063
2025-01-24,35.455,45.06,3.56826,3.80799,0.0228777,9.60503,-0.112063
2025-01-27,34.8338,44.7,3.55059,3.79997,0.0128756,9.86617,-0.112063
2025-01-28,34.3901,44.46,3.53777,3.79459,0.00605548,10.0699,-0.112063
2025-01-29,34.5775,44.26,3.5432,3.79008,0.00215565,9.68252,-0.112063
2025-01-30,34.5578,44.5,3.54263,3.79549,0.00749962,9.94224,-0.112063
2025-01-31,33.6211,43.24,3.51515,3.76677,-0.0243028,9.6189,-0.112063
2025-02-03,33.276,42.92,3.50484,3.75934,-0.0328871,9.64398,-0.112063
2025-02-04,33.9366,43.72,3.52449,3.77781,-0.0122165,9.78339,-0.112063
2025-02-05,33.6605,43.93,3.51633,3.7826,-0.00834002,10.2695,-0.112063
2025-02-06,32.9506,44.2,3.49501,3.78872,-0.00460133,11.2494,-0.112063
2025-02-07,32.6844,44.45,3.4869,3.79436,0.00012981,11.7656,-0.112063
2025-02-10,33.7789,44.81,3.51983,3.80243,0.0118871,11.0311,-0.112063
2025-02-11,34.6268,45.25,3.54463,3.8122,0.0244367,10.6232,-0.112063
2025-02-12,33.4929,45.1,3.51133,3.80888,0.0173853,11.6071,-0.112063
2025-02-13,33.7394,45.45,3.51867,3.81661,0.0259376,11.7106,-0.112063
2025-02-14,34.1535,43.07,3.53087,3.76283,-0.0264815,8.91648,-0.112063
2025-02-18,34.3901,42.75,3.53777,3.75537,-0.0331652,8.35985,-0.112063
2025-02-19,37.0424,42.31,3.61206,3.74502,-0.0351855,5.26763,-0.112063
2025-02-20,38.0086,41.98,3.63781,3.73719,-0.0401301,3.9714,-0.112063
2025-02-21,36.9635,41.78,3.60993,3.73242,-0.0480301,4.81651,-0.112063
2025-02-24,36.786,41.54,3.60512,3.72666,-0.0543304,4.75398,-0.112063
2025-02-25,35.3761,41.65,3.56604,3.7293,-0.0560654,6.2739,-0.112063
2025-02-26,34.962,41.75,3.55426,3.7317,-0.0549869,6.788,-0.112063
2025-02-27,35.3761,41.73,3.56604,3.73122,-0.0541465,6.3539,-0.112063
2025-02-28,35.7113,42.73,3.57547,3.7549,-0.0294086,7.01867,-0.112063
2025-03-03,33.9267,42.67,3.5242,3.7535,-0.0365587,8.74325,-0.112063
2025-03-04,33.769,41.55,3.51954,3.7269,-0.0636795,7.78101,-0.112063
2025-03-05,33.1873,42.49,3.50217,3.74927,-0.0432555,9.30272,-0.112063
2025-03-06,33.3943,41.6,3.50839,3.7281,-0.0637271,8.20567,-0.112063
2025-03-07,34.2225,42,3.53288,3.73767,-0.0514123,7.77747,-0.112063
2025-03-10,33.7296,42.68,3.51837,3.75373,-0.0369775,8.95044,-0.112063
2025-03-11,33.9267,42.3,3.5242,3.74479,-0.0452676,8.37325,-0.112063
2025-03-12,34.262,42.54,3.53404,3.75044,-0.038508,8.27803,-0.112063
2025-03-13,33.3155,42.55,3.50602,3.75068,-0.0414124,9.23454,-0.112063
2025-03-14,34.3085,42.83,3.53539,3.75724,-0.0315621,8.52154,-0.112063
2025-03-17,34.8645,43.5,3.55147,3.77276,-0.0142382,8.63545,-0.112063
2025-03-18,35.1227,43.41,3.55885,3.77069,-0.0154825,8.28727,-0.112063
2025-03-19,35.798,43.75,3.57789,3.77849,-0.0055467,7.95203,-0.112063
2025-03-20,35.8774,44.23,3.58011,3.7894,0.00561339,8.35258,-0.112063
2025-03-21,35.8973,43.87,3.58066,3.78123,-0.00249719,7.97272,-0.112063
2025-03-24,36.7016,44.26,3.60282,3.79008,0.00883666,7.55838,-0.112063
2025-03-25,36.7115,44.42,3.60309,3.79369,0.0124755,7.70845,-0.112063
2025-03-26,37.208,44.52,3.61653,3.79594,0.0162297,7.31195,-0.112063
2025-03-27,36.6222,44.36,3.60065,3.79234,0.0108507,7.73783,-0.112063
2025-03-28,36.503,44.46,3.59739,3.79459,0.0127372,7.95699,-0.112063
2025-03-31,37.1385,44.31,3.61466,3.79121,0.011292,7.17146,-0.112063
