Date,DVN Raw Price,KMI Raw Price,DVN Log Price,KMI Log Price,Residual,Spread,Beta
2025-01-02,32.9309,27.5159,3.49441,3.31476,0.0130074,5.41506,0.210784
2025-01-03,33.4535,27.6725,3.51016,3.32044,0.0153647,5.78099,0.210784
2025-01-06,33.276,27.2418,3.50484,3.30475,0.000799251,6.03422,0.210784
2025-01-07,34.2028,27.2222,3.53231,3.30403,-0.00571017,6.98059,0.210784
2025-01-08,34.6564,27.6921,3.54548,3.32115,0.00862589,6.96428,0.210784
2025-01-10,35.4846,27.5648,3.5691,3.31654,-0.000957974,7.91974,0.210784
2025-01-13,36.2536,27.9172,3.59054,3.32924,0.00722568,8.33639,0.210784
2025-01-14,36.6578,28.5045,3.60163,3.35006,0.025708,8.15331,0.210784
2025-01-15,37.8903,28.8178,3.63469,3.36099,0.0296669,9.07252,0.210784
2025-01-16,37.8804,29.4247,3.63443,3.38183,0.0505628,8.45577,0.210784
2025-01-17,37.417,29.6694,3.62213,3.39012,0.0614396,7.74765,0.210784
2025-01-21,36.2142,30.5601,3.58945,3.4197,0.0979084,5.65402,0.210784
2025-01-22,35.948,30.1294,3.58207,3.4055,0.0852698,5.81851,0.210784
2025-01-23,35.9381,29.8358,3.5818,3.39571,0.0755331,6.10231,0.210784
2025-01-24,35.455,29.6302,3.56826,3.38879,0.0714725,5.82475,0.210784
2025-01-27,34.8338,26.8796,3.55059,3.29137,-0.0222288,7.95421,0.210784
2025-01-28,34.3901,26.8796,3.53777,3.29137,-0.0195268,7.51053,0.210784
2025-01-29,34.5775,26.723,3.5432,3.28552,-0.0265156,7.85448,0.210784
2025-01-30,34.5578,27.5061,3.54263,3.31441,0.00248763,7.05167,0.210784
2025-01-31,33.6211,26.8992,3.51515,3.2921,-0.0140315,6.7219,0.210784
2025-02-03,33.276,27.283,3.50484,3.30626,0.00231121,5.993,0.210784
2025-02-04,33.9366,27.2039,3.52449,3.30336,-0.00473717,6.73273,0.210784
2025-02-05,33.6605,27.3424,3.51633,3.30844,0.00206254,6.31817,0.210784
2025-02-06,32.9506,26.4916,3.49501,3.27683,-0.0250532,6.45902,0.210784
2025-02-07,32.6844,26.7488,3.4869,3.28649,-0.0136814,5.93561,0.210784
2025-02-10,33.7789,26.7785,3.51983,3.2876,-0.0195149,7.00035,0.210784
2025-02-11,34.6268,26.5015,3.54463,3.2772,-0.0351381,8.12525,0.210784
2025-02-12,33.4929,25.997,3.51133,3.25798,-0.047341,7.49591,0.210784
2025-02-13,33.7394,26.274,3.51867,3.26858,-0.0382885,7.46542,0.210784
2025-02-14,34.1535,26.2641,3.53087,3.2682,-0.0412364,7.88941,0.210784
2025-02-18,34.3901,26.462,3.53777,3.27571,-0.0351871,7.9282,0.210784
2025-02-19,37.0424,26.6004,3.61206,3.28093,-0.0456267,10.4419,0.210784
2025-02-20,38.0086,26.3037,3.63781,3.26971,-0.0622736,11.7049,0.210784
2025-02-21,36.9635,26.1256,3.60993,3.26292,-0.0631891,10.8379,0.210784
2025-02-24,36.786,26.185,3.60512,3.26519,-0.0599054,10.6011,0.210784
2025-02-25,35.3761,25.819,3.56604,3.25111,-0.0657443,9.55715,0.210784
2025-02-26,34.962,25.8882,3.55426,3.25379,-0.0605839,9.0738,0.210784
2025-02-27,35.3761,25.9278,3.56604,3.25531,-0.0615386,9.44834,0.210784
2025-02-28,35.7113,26.8082,3.57547,3.28871,-0.0301339,8.90314,0.210784
2025-03-03,33.9267,26.8478,3.5242,3.29018,-0.0178532,7.07899,0.210784
2025-03-04,33.769,26.6994,3.51954,3.28464,-0.0224131,7.06963,0.210784
2025-03-05,33.1873,26.4422,3.50217,3.27496,-0.0284303,6.74511,0.210784
2025-03-06,33.3943,26.0267,3.50839,3.25912,-0.0455788,7.36764,0.210784
2025-03-07,34.2225,25.8585,3.53288,3.25264,-0.057225,8.36401,0.210784
2025-03-10,33.7296,25.8585,3.51837,3.25264,-0.0541665,7.87104,0.210784
2025-03-11,33.9267,26.1256,3.5242,3.26292,-0.0451192,7.80113,0.210784
2025-03-12,34.262,26.2344,3.53404,3.26707,-0.0430352,8.02754,0.210784
2025-03-13,33.3155,26.2542,3.50602,3.26783,-0.0363763,7.06124,0.210784
2025-03-14,34.3085,26.8082,3.53539,3.28871,-0.0216865,7.50028,0.210784
2025-03-17,34.8645,27.4908,3.55147,3.31385,6.69541e-05,7.37379,0.210784
2025-03-18,35.1227,27.2237,3.55885,3.30409,-0.0112515,7.89907,0.210784
2025-03-19,35.798,27.5501,3.57789,3.31601,-0.00334546,8.24787,0.210784
2025-03-20,35.8774,27.7578,3.58011,3.32352,0.00369939,8.11957,0.210784
2025-03-21,35.8973,27.6292,3.58066,3.31887,-0.00106091,8.26803,0.210784
2025-03-24,36.7016,28.4008,3.60282,3.34642,0.0218123,8.30077,0.210784
2025-03-25,36.7115,28.5196,3.60309,3.35059,0.0259264,8.19199,0.210784
