Date,DVN Raw Price,MTDR Raw Price,DVN Log Price,MTDR Log Price,Residual,Spread,Beta
2025-01-02,32.9309,57.3103,3.49441,4.04848,0.177903,24.3794,1.55216
2025-01-03,33.4535,58.2872,3.51016,4.06538,0.170369,24.8337,1.55216
2025-01-06,33.276,57.5767,3.50484,4.05312,0.166361,24.3007,1.55216
2025-01-07,34.2028,58.9286,3.53231,4.07633,0.14693,24.7258,1.55216
2025-01-08,34.6564,59.2838,3.54548,4.08234,0.132493,24.6274,1.55216
2025-01-10,35.4846,60.4383,3.5691,4.10162,0.115123,24.9537,1.55216
2025-01-13,36.2536,61.1389,3.59054,4.11315,0.0933682,24.8853,1.55216
2025-01-14,36.6578,61.8987,3.60163,4.1255,0.0885074,25.2408,1.55216
2025-01-15,37.8903,62.7769,3.63469,4.13959,0.0512697,24.8866,1.55216
2025-01-16,37.8804,62.5401,3.63443,4.13581,0.0478943,24.6596,1.55216
2025-01-17,37.417,62.9249,3.62213,4.14194,0.0731336,25.5079,1.55216
2025-01-21,36.2142,61.8888,3.58945,4.12534,0.107249,25.6746,1.55216
2025-01-22,35.948,62.2046,3.58207,4.13043,0.12379,26.2566,1.55216
2025-01-23,35.9381,61.3757,3.5818,4.11701,0.110801,25.4376,1.55216
2025-01-24,35.455,60.31,3.56826,4.0995,0.114293,24.855,1.55216
2025-01-27,34.8338,58.8102,3.55059,4.07431,0.116543,23.9763,1.55216
2025-01-28,34.3901,59.4811,3.53777,4.08566,0.147785,25.091,1.55216
2025-01-29,34.5775,59.4614,3.5432,4.08533,0.139021,24.8839,1.55216
2025-01-30,34.5578,58.751,3.54263,4.07331,0.127886,24.1932,1.55216
2025-01-31,33.6211,57.2314,3.51515,4.0471,0.144331,23.6103,1.55216
2025-02-03,33.276,56.7775,3.50484,4.03914,0.152382,23.5014,1.55216
2025-02-04,33.9366,57.5965,3.52449,4.05346,0.136192,23.6598,1.55216
2025-02-05,33.6605,57.2018,3.51633,4.04658,0.141994,23.5412,1.55216
2025-02-06,32.9506,55.7216,3.49501,4.02037,0.148863,22.771,1.55216
2025-02-07,32.6844,55.9289,3.4869,4.02408,0.165165,23.2444,1.55216
2025-02-10,33.7789,58.4747,3.51983,4.06859,0.158557,24.6958,1.55216
2025-02-11,34.6268,58.5832,3.54463,4.07045,0.12193,23.9564,1.55216
2025-02-12,33.4929,55.6723,3.51133,4.01948,0.12264,22.1794,1.55216
2025-02-13,33.7394,56.363,3.51867,4.03181,0.12359,22.6236,1.55216
2025-02-14,34.1535,56.4321,3.53087,4.03304,0.10588,22.2786,1.55216
2025-02-18,34.3901,57.034,3.53777,4.04365,0.105773,22.6439,1.55216
2025-02-19,37.0424,55.8795,3.61206,4.0232,-0.0299901,18.8371,1.55216
2025-02-20,38.0086,55.7315,3.63781,4.02055,-0.0726106,17.7229,1.55216
2025-02-21,36.9635,52.4062,3.60993,3.95902,-0.0908552,15.4427,1.55216
2025-02-24,36.786,52.6923,3.60512,3.96447,-0.0779394,15.9063,1.55216
2025-02-25,35.3761,51.7648,3.56604,3.94671,-0.0350387,16.3887,1.55216
2025-02-26,34.962,51.4392,3.55426,3.9404,-0.0230726,16.4772,1.55216
2025-02-27,35.3761,51.8141,3.56604,3.94766,-0.034086,16.438,1.55216
2025-02-28,35.7113,51.9561,3.57547,3.9504,-0.0459891,16.2447,1.55216
2025-03-03,33.9267,47.3898,3.5242,3.85841,-0.0584102,13.4631,1.55216
2025-03-04,33.769,46.0894,3.51954,3.83058,-0.079,12.3204,1.55216
2025-03-05,33.1873,45.3846,3.50217,3.81517,-0.0674391,12.1973,1.55216
2025-03-06,33.3943,44.4614,3.50839,3.79462,-0.0976436,11.0671,1.55216
2025-03-07,34.2225,44.9379,3.53288,3.80528,-0.125009,10.7154,1.55216
2025-03-10,33.7296,44.6898,3.51837,3.79974,-0.108025,10.9602,1.55216
2025-03-11,33.9267,46.6552,3.5242,3.84279,-0.0740323,12.7285,1.55216
2025-03-12,34.262,47.9258,3.53404,3.86965,-0.0624239,13.6639,1.55216
