Date,EOG Raw Price,DVN Raw Price,EOG Log Price,DVN Log Price,Residual,Spread,Beta
2025-01-02,122.706,32.9309,4.80979,3.49441,-0.0299539,89.775,0.981589
2025-01-03,124.536,33.4535,4.82459,3.51016,-0.0287422,91.0825,0.981589
2025-01-06,124.359,33.276,4.82317,3.50484,-0.0326644,91.0829,0.981589
2025-01-07,125.51,34.2028,4.83239,3.53231,-0.0142382,91.3073,0.981589
2025-01-08,126.396,34.6564,4.83942,3.54548,-0.0079664,91.7393,0.981589
2025-01-10,129.298,35.4846,4.86212,3.5691,-0.00663641,93.8137,0.981589
2025-01-13,132.329,36.2536,4.88529,3.59054,-0.00793639,96.0751,0.981589
2025-01-14,133.588,36.6578,4.89476,3.60163,-0.0061458,96.9303,0.981589
2025-01-15,134.857,37.8903,4.90422,3.63469,0.0176394,96.9671,0.981589
2025-01-16,135.832,37.8804,4.91142,3.63443,0.0103144,97.9511,0.981589
2025-01-17,135.341,37.417,4.9078,3.62213,0.00155685,97.924,0.981589
2025-01-21,134.806,36.2142,4.90384,3.58945,-0.0272301,98.5917,0.981589
2025-01-22,132.804,35.948,4.88888,3.58207,-0.0199238,96.8563,0.981589
2025-01-23,132.765,35.9381,4.88858,3.5818,-0.019905,96.8265,0.981589
2025-01-24,130.624,35.455,4.87232,3.56826,-0.0174855,95.1692,0.981589
2025-01-27,130.763,34.8338,4.87339,3.55059,-0.0362021,95.9291,0.981589
2025-01-28,129.068,34.3901,4.86034,3.53777,-0.0362178,94.6783,0.981589
2025-01-29,129.049,34.5775,4.86019,3.5432,-0.0306347,94.4711,0.981589
2025-01-30,128.603,34.5578,4.85673,3.54263,-0.0278075,94.0449,0.981589
2025-01-31,124.649,33.6211,4.8255,3.51515,-0.0246339,91.0278,0.981589
2025-02-03,125.253,33.276,4.83034,3.50484,-0.0396993,91.9773,0.981589
2025-02-04,126.958,33.9366,4.84385,3.52449,-0.0333088,93.0211,0.981589
2025-02-05,126.542,33.6605,4.84057,3.51633,-0.0382539,92.881,0.981589
2025-02-06,125.531,32.9506,4.83255,3.49501,-0.0516973,92.5802,0.981589
2025-02-07,125.352,32.6844,4.83113,3.4869,-0.0584133,92.668,0.981589
2025-02-10,129.376,33.7789,4.86272,3.51983,-0.0564864,95.5968,0.981589
2025-02-11,131.09,34.6268,4.87588,3.54463,-0.0446155,96.4632,0.981589
2025-02-12,127.671,33.4929,4.84946,3.51133,-0.0519697,94.1783,0.981589
2025-02-13,127.85,33.7394,4.85085,3.51867,-0.0460077,94.1102,0.981589
2025-02-14,128.137,34.1535,4.8531,3.53087,-0.0360127,93.9834,0.981589
2025-02-18,129.752,34.3901,4.86563,3.53777,-0.0414041,95.362,0.981589
2025-02-19,133.31,37.0424,4.89267,3.61206,0.00633813,96.2672,0.981589
2025-02-20,134.439,38.0086,4.90111,3.63781,0.0238054,96.4307,0.981589
2025-02-21,131.873,36.9635,4.88184,3.60993,0.0148437,94.9093,0.981589
2025-02-24,132.418,36.786,4.88596,3.60512,0.0059825,95.6318,0.981589
2025-02-25,130.129,35.3761,4.86852,3.56604,-0.0159823,94.7526,0.981589
2025-02-26,128.662,34.962,4.85719,3.55426,-0.0166315,93.7002,0.981589
2025-02-27,129.425,35.3761,4.8631,3.56604,-0.0106607,94.0491,0.981589
2025-02-28,125.788,35.7113,4.8346,3.57547,0.0267472,90.0771,0.981589
2025-03-03,119.447,33.9267,4.78287,3.5242,0.0262633,85.5198,0.981589
2025-03-04,121.002,33.769,4.79581,3.51954,0.00890033,87.2333,0.981589
2025-03-05,120.745,33.1873,4.79368,3.50217,-0.00638378,87.5574,0.981589
2025-03-06,121.082,33.3943,4.79646,3.50839,-0.00289949,87.6872,0.981589
2025-03-07,124.124,34.2225,4.82128,3.53288,-0.00275879,89.9012,0.981589
2025-03-10,124.748,33.7296,4.8263,3.51837,-0.0221931,91.0184,0.981589
2025-03-11,123.361,33.9267,4.81511,3.5242,-0.0053867,89.4339,0.981589
2025-03-12,123.143,34.262,4.81334,3.53404,0.00618182,88.8807,0.981589
2025-03-13,119.992,33.3155,4.78742,3.50602,0.00361255,86.6761,0.981589
2025-03-14,122.796,34.3085,4.81052,3.53539,0.0103063,88.4874,0.981589
2025-03-17,122.459,34.8645,4.80778,3.55147,0.0290817,87.5944,0.981589
2025-03-18,121.458,35.1227,4.79957,3.55885,0.044515,86.3354,0.981589
2025-03-19,123.807,35.798,4.81872,3.57789,0.0447591,88.0086,0.981589
2025-03-20,123.172,35.8774,4.81359,3.58011,0.0520169,87.295,0.981589
2025-03-21,124.035,35.8973,4.82056,3.58066,0.0457239,88.1372,0.981589
2025-03-24,127.106,36.7016,4.84502,3.60282,0.043869,90.4048,0.981589
2025-03-25,126.224,36.7115,4.83806,3.60309,0.050974,89.5129,0.981589
2025-03-26,128.008,37.208,4.85209,3.61653,0.0506343,90.8001,0.981589
2025-03-27,125.58,36.6222,4.83295,3.60065,0.0535583,88.9582,0.981589
2025-03-28,125.442,36.503,4.83184,3.59739,0.0513842,88.9386,0.981589
2025-03-31,127.077,37.1385,4.84479,3.61466,0.055933,89.9381,0.981589
2025-04-01,128.127,37.3074,4.85302,3.61919,0.052388,90.8197,0.981589
2025-04-02,128.791,37.6549,4.85819,3.62846,0.0565875,91.1361,0.981589
2025-04-03,118.802,32.9282,4.77746,3.49433,0.00169596,85.8742,0.981589
2025-04-04,109.547,29.1051,4.69636,3.37091,-0.0421062,80.4421,0.981589
2025-04-07,108.041,28.41,4.68251,3.34674,-0.0526887,79.631,0.981589
2025-04-08,104.008,26.6126,4.64447,3.28139,-0.0806999,77.3952,0.981589
2025-04-09,113.015,30.8528,4.72752,3.42923,-0.0143874,82.1626,0.981589
2025-04-10,103.661,27.556,4.64113,3.31622,-0.0425872,76.105,0.981589
2025-04-11,107.555,28.0326,4.67801,3.33337,-0.0616384,79.5227,0.981589
2025-04-14,106.664,28.5291,4.66968,3.35093,-0.0359086,78.1344,0.981589
2025-04-15,106.505,28.3305,4.66819,3.34394,-0.0414342,78.1745,0.981589
2025-04-16,108.24,29.0952,4.68435,3.37057,-0.0306644,79.1448,0.981589
2025-04-17,110.5,30.0981,4.70502,3.40446,-0.0170583,80.4019,0.981589
2025-04-21,109.11,29.2739,4.69236,3.3767,-0.032398,79.8361,0.981589
2025-04-22,111.32,30.9819,4.71241,3.4334,0.00462485,80.3381,0.981589
2025-04-23,111.57,30.8627,4.71465,3.42955,-0.00143069,80.7073,0.981589
2025-04-24,113.46,31.25,4.73145,3.44202,-0.00544937,82.21,0.981589
2025-04-25,113.07,31.1308,4.72801,3.4382,-0.00588998,81.9392,0.981589
2025-04-28,114.14,31.3294,4.73743,3.44456,-0.00877595,82.8106,0.981589
2025-04-29,112.93,31.0812,4.72677,3.4366,-0.00627002,81.8488,0.981589
2025-04-30,110.33,30.1974,4.70348,3.40776,-0.0122532,80.1326,0.981589
2025-05-01,111.68,30.9422,4.71564,3.43212,0.000172711,80.7378,0.981589
2025-05-02,110.86,31.2202,4.70827,3.44107,0.0163523,79.6398,0.981589
2025-05-05,108.52,30.4059,4.68693,3.41464,0.0108656,78.1141,0.981589
2025-05-06,108.72,30.3761,4.68878,3.41366,0.00807795,78.3439,0.981589
2025-05-07,107.97,30.0782,4.68185,3.4038,0.00501737,77.8918,0.981589
2025-05-08,109.71,31.7068,4.69784,3.45653,0.042053,78.0032,0.981589
2025-05-09,111.12,32.3026,4.71061,3.47515,0.0481345,78.8174,0.981589
2025-05-12,114.06,33.3155,4.73672,3.50602,0.0533756,80.7445,0.981589
2025-05-13,116.65,34.0503,4.75918,3.52784,0.0531526,82.5997,0.981589
2025-05-14,115.59,33.7226,4.75005,3.51817,0.0524427,81.8674,0.981589
2025-05-15,115.86,33.1665,4.75238,3.50154,0.033525,82.6935,0.981589
2025-05-16,115.5,33.0275,4.74927,3.49734,0.0323792,82.4725,0.981589
2025-05-19,113.95,32.4615,4.73576,3.48005,0.0283551,81.4885,0.981589
2025-05-20,112.58,31.9451,4.72366,3.46402,0.0241931,80.6349,0.981589
2025-05-21,111.38,31.2798,4.71295,3.44297,0.0136654,80.1002,0.981589
2025-05-22,110.79,30.9223,4.70764,3.43148,0.00738443,79.8677,0.981589
2025-05-23,110.18,30.9422,4.70212,3.43212,0.013446,79.2378,0.981589
2025-05-27,111.23,31.1308,4.7116,3.4382,0.0102149,80.0992,0.981589
2025-05-28,110.45,30.6443,4.70456,3.42245,0.00136917,79.8057,0.981589
2025-05-29,109.88,30.8925,4.69939,3.43051,0.0145165,78.9875,0.981589
2025-05-30,108.57,30.0485,4.6874,3.40281,-0.00141323,78.5215,0.981589
2025-06-02,111.34,30.9223,4.71259,3.43148,0.00252358,80.4177,0.981589
2025-06-03,112.82,31.7862,4.72579,3.45903,0.0171168,81.0338,0.981589
2025-06-04,110.77,31.3394,4.70746,3.44487,0.020959,79.4306,0.981589
2025-06-05,111.03,31.2003,4.7098,3.44043,0.0142119,79.8297,0.981589
2025-06-06,114.05,32.0643,4.73664,3.46774,0.0151824,81.9857,0.981589
2025-06-09,114.33,32.4217,4.73909,3.47883,0.0238627,81.9083,0.981589
2025-06-10,117.88,33.236,4.76967,3.50363,0.0186523,84.644,0.981589
2025-06-11,119.92,34.229,4.78682,3.53307,0.0312504,85.691,0.981589
2025-06-12,120.59,34.09,4.7924,3.529,0.0217116,86.5,0.981589
2025-06-13,125.28,35.11,4.83055,3.55849,0.0137411,90.17,0.981589
