Date,EOG Raw Price,ET Raw Price,EOG Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,122.706,19.0293,4.80979,2.94598,0.0326821,103.677,0.804152
2025-01-03,124.536,18.9617,4.82459,2.94242,0.0172193,105.574,0.804152
2025-01-06,124.359,18.9424,4.82317,2.9414,0.0173448,105.417,0.804152
2025-01-07,125.51,18.8169,4.83239,2.93475,0.00328701,106.693,0.804152
2025-01-08,126.396,19.0486,4.83942,2.94699,0.00987201,107.347,0.804152
2025-01-10,129.298,18.7493,4.86212,2.93116,-0.0242228,110.549,0.804152
2025-01-13,132.329,18.7976,4.88529,2.93373,-0.0402817,113.531,0.804152
2025-01-14,133.588,19.2417,4.89476,2.95708,-0.0245478,114.346,0.804152
2025-01-15,134.857,19.3479,4.90422,2.96258,-0.0266479,115.51,0.804152
2025-01-16,135.832,19.5506,4.91142,2.97301,-0.0220111,116.281,0.804152
2025-01-17,135.341,19.5893,4.9078,2.97498,-0.0171286,115.752,0.804152
2025-01-21,134.806,20.1878,4.90384,3.00508,0.0161565,114.618,0.804152
2025-01-22,132.804,20.1975,4.88888,3.00556,0.0286647,112.607,0.804152
2025-01-23,132.765,20.3327,4.88858,3.01223,0.0355745,112.432,0.804152
2025-01-24,130.624,20.323,4.87232,3.01175,0.0481695,110.301,0.804152
2025-01-27,130.763,19.1258,4.87339,2.95104,-0.0133978,111.637,0.804152
2025-01-28,129.068,19.6472,4.86034,2.97793,0.0239852,109.421,0.804152
2025-01-29,129.049,19.821,4.86019,2.98674,0.032915,109.228,0.804152
2025-01-30,128.603,20.352,4.85673,3.01318,0.0621359,108.251,0.804152
2025-01-31,124.649,19.7727,4.8255,2.9843,0.058371,104.876,0.804152
2025-02-03,125.253,20.043,4.83034,2.99788,0.0680602,105.21,0.804152
2025-02-04,126.958,20.0527,4.84385,2.99836,0.057673,106.905,0.804152
2025-02-05,126.542,20.072,4.84057,2.99932,0.0612759,106.47,0.804152
2025-02-06,125.531,19.6665,4.83255,2.97892,0.047316,105.864,0.804152
2025-02-07,125.352,19.5537,4.83113,2.97316,0.0427058,105.799,0.804152
2025-02-10,129.376,19.7106,4.86272,2.98116,0.0252982,109.665,0.804152
2025-02-11,131.09,19.4359,4.87588,2.96712,0.00067728,111.654,0.804152
2025-02-12,127.671,19.2789,4.84946,2.95901,0.0138176,108.392,0.804152
2025-02-13,127.85,19.4457,4.85085,2.96763,0.0213091,108.404,0.804152
2025-02-14,128.137,19.6125,4.8531,2.97617,0.0280443,108.524,0.804152
2025-02-18,129.752,19.9167,4.86563,2.99156,0.0333597,109.836,0.804152
