Date,EOG Raw Price,HES Raw Price,EOG Log Price,HES Log Price,Residual,Spread,Beta
2025-01-02,122.706,134.963,4.80979,4.905,-0.0545886,12.257,0.717591
2025-01-03,124.536,135.93,4.82459,4.91214,-0.0580749,11.3936,0.717591
2025-01-06,124.359,135.461,4.82317,4.90869,-0.0605056,11.1023,0.717591
2025-01-07,125.51,138.142,4.83239,4.92828,-0.04752,12.632,0.717591
2025-01-08,126.396,139.338,4.83942,4.9369,-0.0439452,12.9424,0.717591
2025-01-10,129.298,141.929,4.86212,4.95533,-0.0418119,12.6311,0.717591
2025-01-13,132.329,144.341,4.88529,4.97218,-0.0415863,12.0124,0.717591
2025-01-14,133.588,146.185,4.89476,4.98487,-0.0356911,12.5967,0.717591
2025-01-15,134.857,148.417,4.90422,5.00003,-0.0273209,13.5599,0.717591
2025-01-16,135.832,149.225,4.91142,5.00545,-0.0270612,13.3931,0.717591
2025-01-17,135.341,150.839,4.9078,5.01621,-0.0137037,15.4981,0.717591
2025-01-21,134.806,148.158,4.90384,4.99828,-0.0287941,13.3523,0.717591
2025-01-22,132.804,145.099,4.88888,4.97741,-0.0389265,12.2943,0.717591
2025-01-23,132.765,144.371,4.88858,4.97239,-0.043739,11.6064,0.717591
2025-01-24,130.624,143.913,4.87232,4.96921,-0.0352565,13.2884,0.717591
2025-01-27,130.763,145.617,4.87339,4.98098,-0.0242456,14.8539,0.717591
2025-01-28,129.068,144.56,4.86034,4.9737,-0.0221671,15.492,0.717591
2025-01-29,129.049,144.67,4.86019,4.97446,-0.0212988,15.6214,0.717591
2025-01-30,128.603,145.358,4.85673,4.9792,-0.0140729,16.755,0.717591
2025-01-31,124.649,138.561,4.8255,4.93131,-0.0395538,13.9118,0.717591
2025-02-03,125.253,138.361,4.83034,4.92987,-0.0444647,13.108,0.717591
2025-02-04,126.958,142.298,4.84385,4.95792,-0.0261087,15.3403,0.717591
2025-02-05,126.542,142.258,4.84057,4.95764,-0.0240327,15.7166,0.717591
2025-02-06,125.531,141.451,4.83255,4.95195,-0.0239688,15.9201,0.717591
2025-02-07,125.352,142.458,4.83113,4.95904,-0.0158574,17.1051,0.717591
2025-02-10,129.376,145.338,4.86272,4.97906,-0.0185099,15.9621,0.717591
2025-02-11,131.09,146.504,4.87588,4.98705,-0.019965,15.4139,0.717591
2025-02-12,127.671,144.311,4.84946,4.97197,-0.0160816,16.64,0.717591
2025-02-13,127.85,145.358,4.85085,4.9792,-0.00985828,17.5081,0.717591
2025-02-14,128.137,146.055,4.8531,4.98399,-0.00668132,17.9184,0.717591
2025-02-18,129.752,147.471,4.86563,4.99363,-0.00602753,17.7184,0.717591
2025-02-19,133.31,148.766,4.89267,5.00238,-0.0166897,15.4565,0.717591
2025-02-20,134.439,150.45,4.90111,5.01363,-0.0114867,16.0112,0.717591
2025-02-21,131.873,147.61,4.88184,4.99457,-0.0167149,15.7373,0.717591
2025-02-24,132.418,148.248,4.88596,4.99889,-0.0153626,15.8301,0.717591
2025-02-25,130.129,146.454,4.86852,4.98671,-0.0150242,16.3252,0.717591
2025-02-26,128.662,144.979,4.85719,4.97659,-0.0170134,16.3168,0.717591
2025-02-27,129.425,146.414,4.8631,4.98644,-0.011406,16.989,0.717591
2025-02-28,125.788,148.437,4.8346,5.00016,0.0227695,22.6488,0.717591
2025-03-03,119.447,143.604,4.78287,4.96706,0.0267871,24.1571,0.717591
2025-03-04,121.002,141.909,4.79581,4.95519,0.00563273,20.9071,0.717591
2025-03-05,120.745,140.863,4.79368,4.94779,-0.00023919,20.1183,0.717591
2025-03-06,121.082,142.856,4.79646,4.96184,0.0118124,21.7746,0.717591
2025-03-07,124.124,146.932,4.82128,4.98997,0.0221398,22.8086,0.717591
