Date,EOG Raw Price,MPC Raw Price,EOG Log Price,MPC Log Price,Residual,Spread,Beta
2025-01-02,122.706,139.888,4.80979,4.94084,-0.0494314,17.1819,0.341704
2025-01-03,124.536,141.124,4.82459,4.94964,-0.0456944,16.5877,0.341704
2025-01-06,124.359,138.939,4.82317,4.93403,-0.060812,14.5798,0.341704
2025-01-07,125.51,140.056,4.83239,4.94204,-0.0559517,14.5458,0.341704
2025-01-08,126.396,140.718,4.83942,4.94676,-0.0536356,14.3227,0.341704
2025-01-10,129.298,140.659,4.86212,4.94634,-0.0618156,11.3608,0.341704
2025-01-13,132.329,145.088,4.88529,4.97734,-0.0387282,12.7595,0.341704
2025-01-14,133.588,147.728,4.89476,4.99537,-0.0239344,14.1398,0.341704
2025-01-15,134.857,150.229,4.90422,5.01216,-0.0103753,15.372,0.341704
2025-01-16,135.832,149.982,4.91142,5.01052,-0.0144813,14.1507,0.341704
2025-01-17,135.341,150.971,4.9078,5.01709,-0.00667476,15.6299,0.341704
2025-01-21,134.806,149.112,4.90384,5.0047,-0.0177091,14.3063,0.341704
2025-01-22,132.804,145.939,4.88888,4.98319,-0.0341108,13.1343,0.341704
2025-01-23,132.765,152.563,4.88858,5.02758,0.0103812,19.7981,0.341704
2025-01-24,130.624,149.893,4.87232,5.00992,-0.00171719,19.269,0.341704
2025-01-27,130.763,150.872,4.87339,5.01643,0.00442877,20.1091,0.341704
2025-01-28,129.068,148.934,4.86034,5.0035,-0.00404151,19.8658,0.341704
2025-01-29,129.049,149.676,4.86019,5.00847,0.000977328,20.6271,0.341704
2025-01-30,128.603,148.262,4.85673,4.99898,-0.00733049,19.6592,0.341704
2025-01-31,124.649,144.06,4.8255,4.97023,-0.0254105,19.4111,0.341704
2025-02-03,125.253,145.335,4.83034,4.97904,-0.0182493,20.0821,0.341704
2025-02-04,126.958,155.133,4.84385,5.04428,0.0423722,28.1755,0.341704
2025-02-05,126.542,155.529,4.84057,5.04683,0.0460401,28.9871,0.341704
2025-02-06,125.531,150.21,4.83255,5.01203,0.0139818,24.6788,0.341704
2025-02-07,125.352,148.42,4.83113,5.00005,0.00248287,23.0676,0.341704
2025-02-10,129.376,152.039,4.86272,5.02413,0.0157762,22.663,0.341704
2025-02-11,131.09,153.541,4.87588,5.03397,0.0211139,22.4515,0.341704
2025-02-12,127.671,147.52,4.84946,4.99397,-0.00986043,19.8492,0.341704
2025-02-13,127.85,152.345,4.85085,5.02615,0.0218446,24.4956,0.341704
2025-02-14,128.137,154.293,4.8531,5.03885,0.0337811,26.1559,0.341704
2025-02-18,129.752,157.229,4.86563,5.0577,0.048353,27.477,0.341704
2025-02-19,133.31,155.758,4.89267,5.0483,0.0297065,22.4479,0.341704
2025-02-20,134.439,157.378,4.90111,5.05865,0.0371755,22.9391,0.341704
2025-02-21,131.873,152.874,4.88184,5.02961,0.0147222,21.0011,0.341704
2025-02-24,132.418,151.84,4.88596,5.02283,0.00652518,19.422,0.341704
2025-02-25,130.129,149.742,4.86852,5.00891,-0.00143059,19.6129,0.341704
2025-02-26,128.662,145.476,4.85719,4.98001,-0.0264592,16.8136,0.341704
2025-02-27,129.425,147.146,4.8631,4.99143,-0.0170618,17.7212,0.341704
2025-02-28,125.788,149.334,4.8346,5.00618,0.0074345,23.5455,0.341704
2025-03-03,119.447,144.999,4.78287,4.97672,-0.00434963,25.552,0.341704
2025-03-04,121.002,141.817,4.79581,4.95453,-0.0309608,20.8142,0.341704
2025-03-05,120.745,134.359,4.79368,4.90051,-0.0842529,13.6141,0.341704
2025-03-06,121.082,136.785,4.79646,4.91841,-0.0673081,15.7035,0.341704
2025-03-07,124.124,136.775,4.82128,4.91834,-0.0758599,12.6514,0.341704
2025-03-10,124.748,135.492,4.8263,4.90892,-0.086997,10.7444,0.341704
2025-03-11,123.361,133.961,4.81511,4.89755,-0.0945419,10.6003,0.341704
2025-03-12,123.143,136.348,4.81334,4.91521,-0.0762797,13.2048,0.341704
2025-03-13,119.992,136.248,4.78742,4.91448,-0.0681513,16.2565,0.341704
2025-03-14,122.796,140.355,4.81052,4.94417,-0.0463492,17.5589,0.341704
2025-03-17,122.459,145.337,4.80778,4.97905,-0.0105315,22.8776,0.341704
