Date,EOG Raw Price,VLO Raw Price,EOG Log Price,VLO Log Price,Residual,Spread,Beta
2025-01-02,122.706,121.125,4.80979,4.79682,-0.0579776,1.58116,0.748584
2025-01-03,124.536,122.216,4.82459,4.80579,-0.060087,2.31953,0.748584
2025-01-06,124.359,120.112,4.82317,4.78842,-0.0763936,4.24722,0.748584
2025-01-07,125.51,121.951,4.83239,4.80362,-0.0680947,3.55917,0.748584
2025-01-08,126.396,123.131,4.83942,4.81325,-0.0637261,3.26445,0.748584
2025-01-10,129.298,125.059,4.86212,4.82879,-0.0651875,4.23927,0.748584
2025-01-13,132.329,131.157,4.88529,4.8764,-0.0349207,1.17174,0.748584
2025-01-14,133.588,131.855,4.89476,4.88171,-0.0367015,1.73286,0.748584
2025-01-15,134.857,135.642,4.90422,4.91002,-0.0154664,0.784592,0.748584
2025-01-16,135.832,137.078,4.91142,4.92055,-0.0103234,1.24646,0.748584
2025-01-17,135.341,138.73,4.9078,4.93253,0.0043671,3.38936,0.748584
2025-01-21,134.806,137.235,4.90384,4.9217,-0.00350215,2.42946,0.748584
2025-01-22,132.804,132.859,4.88888,4.88928,-0.024716,0.0542908,0.748584
2025-01-23,132.765,138.396,4.88858,4.93012,0.0163414,5.63135,0.748584
2025-01-24,130.624,137.334,4.87232,4.92241,0.0208033,6.70952,0.748584
2025-01-27,130.763,138.986,4.87339,4.93437,0.0319686,8.22314,0.748584
2025-01-28,129.068,135.858,4.86034,4.91161,0.0189718,6.78995,0.748584
2025-01-29,129.049,137.186,4.86019,4.92134,0.0288127,8.13756,0.748584
2025-01-30,128.603,134.281,4.85673,4.89993,0.00999813,5.67812,0.748584
2025-01-31,124.649,131.881,4.8255,4.8819,0.0153422,7.23229,0.748584
2025-02-03,125.253,135.034,4.83034,4.90553,0.0353492,9.78106,0.748584
2025-02-04,126.958,141.787,4.84385,4.95433,0.0740287,14.8294,0.748584
2025-02-05,126.542,139.358,4.84057,4.93704,0.0592041,12.8162,0.748584
2025-02-06,125.531,133.16,4.83255,4.89155,0.0197168,7.62949,0.748584
2025-02-07,125.352,131.961,4.83113,4.8825,0.0117301,6.60805,0.748584
2025-02-10,129.376,135.659,4.86272,4.91015,0.0157246,6.28351,0.748584
2025-02-11,131.09,135.738,4.87588,4.91073,0.00645511,4.64853,0.748584
2025-02-12,127.671,129.809,4.84946,4.86606,-0.018431,2.13755,0.748584
2025-02-13,127.85,129.888,4.85085,4.86667,-0.0188652,2.03851,0.748584
2025-02-14,128.137,134.172,4.8531,4.89912,0.0119015,6.03479,0.748584
2025-02-18,129.752,137.028,4.86563,4.92018,0.0235854,7.27534,0.748584
2025-02-19,133.31,135.996,4.89267,4.91263,-0.00421665,2.68666,0.748584
2025-02-20,134.439,137.97,4.90111,4.92703,0.00387209,3.53027,0.748584
2025-02-21,131.873,133.607,4.88184,4.8949,-0.0138326,1.73378,0.748584
2025-02-24,132.418,133.924,4.88596,4.89727,-0.0145479,1.50607,0.748584
2025-02-25,130.129,132.536,4.86852,4.88685,-0.0119141,2.40691,0.748584
2025-02-26,128.662,129.065,4.85719,4.86032,-0.0299644,0.402924,0.748584
2025-02-27,129.425,128.54,4.8631,4.85624,-0.0384709,0.885635,0.748584
2025-02-28,125.788,129.63,4.8346,4.86469,-0.00868545,3.84181,0.748584
2025-03-03,119.447,127.32,4.78287,4.8467,0.0120572,7.87335,0.748584
2025-03-04,121.002,126.537,4.79581,4.84053,-0.00380152,5.53425,0.748584
2025-03-05,120.745,120.736,4.79368,4.7936,-0.0491327,0.00889587,0.748584
2025-03-06,121.082,124.94,4.79646,4.82783,-0.0169887,3.85851,0.748584
2025-03-07,124.124,125.783,4.82128,4.83456,-0.0288409,1.65921,0.748584
2025-03-10,124.748,125.733,4.8263,4.83416,-0.0329907,0.985352,0.748584
2025-03-11,123.361,121.995,4.81511,4.80398,-0.054802,1.36563,0.748584
2025-03-12,123.143,124.127,4.81334,4.8213,-0.0361535,0.984283,0.748584
2025-03-13,119.992,124.742,4.78742,4.82625,-0.0118076,4.75023,0.748584
2025-03-14,122.796,128.054,4.81052,4.85245,-0.00289772,5.2578,0.748584
2025-03-17,122.459,131.832,4.80778,4.88153,0.0282349,9.37266,0.748584
2025-03-18,121.458,130.919,4.79957,4.87458,0.0274342,9.46124,0.748584
2025-03-19,123.807,132.714,4.81872,4.8882,0.0267136,8.9075,0.748584
2025-03-20,123.172,133.696,4.81359,4.89557,0.0379279,10.5234,0.748584
2025-03-21,124.035,130.404,4.82056,4.87064,0.00777473,6.36919,0.748584
2025-03-24,127.106,130.84,4.84502,4.87398,-0.00719899,3.7336,0.748584
2025-03-25,126.224,130.89,4.83806,4.87435,-0.00160784,4.66513,0.748584
