Date,FANG Raw Price,ET Raw Price,FANG Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,164.468,19.0293,5.10271,2.94598,-0.0154803,145.438,0.625361
2025-01-03,168.59,18.9617,5.12747,2.94242,-0.0345183,149.628,0.625361
2025-01-06,167.288,18.9424,5.11972,2.9414,-0.0306899,148.346,0.625361
2025-01-07,170.029,18.8169,5.13597,2.93475,-0.0475031,151.213,0.625361
2025-01-08,168.619,19.0486,5.12764,2.94699,-0.030056,149.571,0.625361
2025-01-10,172.347,18.7493,5.14951,2.93116,-0.0595668,153.598,0.625361
2025-01-13,175.148,18.7976,5.16563,2.93373,-0.0670758,156.35,0.625361
2025-01-14,175.217,19.2417,5.16602,2.95708,-0.043971,155.975,0.625361
2025-01-15,177.07,19.3479,5.17655,2.96258,-0.0450488,157.723,0.625361
2025-01-16,176.637,19.5506,5.17409,2.97301,-0.0330901,157.086,0.625361
2025-01-17,177.682,19.5893,5.17999,2.97498,-0.0348066,158.093,0.625361
2025-01-21,174.497,20.1878,5.16191,3.00508,0.006605,154.309,0.625361
2025-01-22,175.128,20.1975,5.16552,3.00556,0.00482546,154.93,0.625361
2025-01-23,174.181,20.3327,5.1601,3.01223,0.0148849,153.848,0.625361
2025-01-24,170.858,20.323,5.14083,3.01175,0.0264568,150.535,0.625361
2025-01-27,169.221,19.1258,5.1312,2.95104,-0.0282365,150.095,0.625361
2025-01-28,166.903,19.6472,5.11742,2.97793,0.00728103,147.256,0.625361
2025-01-29,168.491,19.821,5.12688,2.98674,0.0101666,148.67,0.625361
2025-01-30,168.047,20.352,5.12425,3.01318,0.0382533,147.695,0.625361
2025-01-31,162.081,19.7727,5.0881,2.9843,0.0319829,142.309,0.625361
2025-02-03,162.2,20.043,5.08883,2.99788,0.0451058,142.157,0.625361
2025-02-04,163.994,20.0527,5.09983,2.99836,0.0387057,143.942,0.625361
2025-02-05,162.476,20.072,5.09053,2.99932,0.0454863,142.404,0.625361
2025-02-06,157.811,19.6665,5.0614,2.97892,0.0432932,138.145,0.625361
2025-02-07,155.938,19.5537,5.04946,2.97316,0.0450087,136.384,0.625361
2025-02-10,159.419,19.7106,5.07153,2.98116,0.0391982,139.708,0.625361
2025-02-11,159.764,19.4359,5.0737,2.96712,0.0238104,140.328,0.625361
2025-02-12,153.305,19.2789,5.03243,2.95901,0.0415092,134.026,0.625361
2025-02-13,154.005,19.4457,5.03698,2.96763,0.0472738,134.559,0.625361
2025-02-14,154.813,19.6125,5.04222,2.97617,0.0525394,135.201,0.625361
2025-02-18,154.587,19.9167,5.04075,2.99156,0.0688451,134.67,0.625361
2025-02-19,158.038,19.7401,5.06284,2.98265,0.0461297,138.298,0.625361
2025-02-20,159.843,19.5635,5.07419,2.97366,0.0300426,140.279,0.625361
2025-02-21,153.955,19.0239,5.03666,2.94569,0.02554,134.932,0.625361
2025-02-24,153.078,18.6118,5.03095,2.9238,0.00721653,134.466,0.625361
2025-02-25,149.814,18.5627,5.00939,2.92116,0.0180563,131.251,0.625361
2025-02-26,150.317,18.7982,5.01274,2.93376,0.0285657,131.518,0.625361
2025-02-27,153.433,18.5824,5.03326,2.92221,0.00418533,134.85,0.625361
2025-02-28,156.756,18.9257,5.05469,2.94052,0.00909565,137.83,0.625361
2025-03-03,145.948,18.6707,4.98325,2.92695,0.0402015,127.277,0.625361
2025-03-04,143.029,18.1212,4.96305,2.89708,0.0229667,124.908,0.625361
2025-03-05,140.722,17.8563,4.94678,2.88236,0.0184121,122.865,0.625361
2025-03-06,138.934,17.3658,4.934,2.8545,-0.00145013,121.568,0.625361
2025-03-07,139.143,17.1303,4.9355,2.84085,-0.0160404,122.012,0.625361
2025-03-10,139.609,16.9341,4.93885,2.82933,-0.0296555,122.675,0.625361
2025-03-11,143.651,17.4933,4.96739,2.86182,-0.0150127,126.158,0.625361
2025-03-12,145.538,18.0526,4.98044,2.89329,0.00829476,127.486,0.625361
2025-03-13,144.793,17.8269,4.97531,2.88071,-0.00107534,126.966,0.625361
2025-03-14,149.163,18.3763,5.00504,2.91106,0.010686,130.787,0.625361
2025-03-17,151.973,18.5431,5.0237,2.9201,0.00804823,133.43,0.625361
2025-03-18,153.93,18.3273,5.0365,2.90839,-0.0116593,135.602,0.625361
2025-03-19,156.512,18.5824,5.05313,2.92221,-0.00823953,137.929,0.625361
2025-03-20,157.386,18.4941,5.0587,2.91745,-0.0164848,138.892,0.625361
2025-03-21,157.406,18.2488,5.05883,2.9041,-0.029915,139.157,0.625361
2025-03-24,159.898,18.5235,5.07454,2.91904,-0.0247992,141.375,0.625361
2025-03-25,160.484,18.5235,5.0782,2.91904,-0.0270866,141.961,0.625361
2025-03-26,161.964,18.5725,5.08737,2.92168,-0.0301813,143.391,0.625361
2025-03-27,159.124,18.5235,5.06968,2.91904,-0.0217623,140.6,0.625361
2025-03-28,156.452,18.3567,5.05275,2.90999,-0.0202193,138.095,0.625361
2025-03-31,158.776,18.239,5.06749,2.90356,-0.0358741,140.537,0.625361
2025-04-01,159.759,18.3763,5.07367,2.91106,-0.0322318,141.383,0.625361
2025-04-02,160.375,18.5725,5.07751,2.92168,-0.0240159,141.802,0.625361
2025-04-03,140.304,17.3952,4.94381,2.85619,-0.00589523,122.909,0.625361
2025-04-04,122.518,15.8548,4.80826,2.76348,-0.013843,106.663,0.625361
2025-04-07,123.67,15.5703,4.81762,2.74537,-0.0378041,108.1,0.625361
2025-04-08,118.427,15.3545,4.77429,2.73141,-0.0246702,103.072,0.625361
2025-04-09,133.998,16.3552,4.89783,2.79455,-0.0387837,117.643,0.625361
2025-04-10,122.31,15.6096,4.80656,2.74788,-0.0283689,106.7,0.625361
2025-04-11,128.119,16.0216,4.85296,2.77394,-0.0313329,112.098,0.625361
2025-04-14,126.759,16.5024,4.84228,2.8035,0.00490816,110.256,0.625361
2025-04-15,126.262,16.7869,4.83836,2.8206,0.0244572,109.475,0.625361
2025-04-16,129.321,16.6005,4.8623,2.80943,-0.00167855,112.72,0.625361
2025-04-17,136.69,16.9439,4.91771,2.82991,-0.0158591,119.746,0.625361
2025-04-21,131.436,16.2473,4.87852,2.78793,-0.0333311,115.189,0.625361
2025-04-22,135.597,16.6594,4.90969,2.81297,-0.027776,118.938,0.625361
2025-04-23,134.604,16.7771,4.90234,2.82001,-0.0161367,117.827,0.625361
2025-04-24,135.22,17.2578,4.9069,2.84827,0.00926121,117.962,0.625361
2025-04-25,135.816,17.1205,4.9113,2.84028,-0.00147924,118.695,0.625361
2025-04-28,136.868,16.9537,4.91902,2.83049,-0.0160976,119.915,0.625361
2025-04-29,135.706,16.7182,4.91049,2.8165,-0.0247522,118.988,0.625361
2025-04-30,131.098,16.2277,4.87595,2.78672,-0.0329308,114.871,0.625361
2025-05-01,133.899,16.2179,4.89709,2.78611,-0.0467539,117.681,0.625361
2025-05-02,135.865,16.3552,4.91166,2.79455,-0.0474369,119.51,0.625361
2025-05-05,132.161,15.8843,4.88402,2.76533,-0.0593672,116.277,0.625361
2025-05-06,131.069,15.5115,4.87572,2.74158,-0.0779277,115.557,0.625361
2025-05-07,128.675,16.5711,4.85729,2.80766,-0.000323898,112.104,0.625361
2025-05-08,135.24,17.042,4.90705,2.83568,-0.00341653,118.198,0.625361
2025-05-09,136.938,17.21,4.91953,2.84549,-0.00141069,119.728,0.625361
2025-05-12,141.933,17.44,4.95536,2.85877,-0.0105407,124.493,0.625361
2025-05-13,145.161,18,4.97784,2.89037,0.00700317,127.161,0.625361
2025-05-14,143.82,18.16,4.96856,2.89922,0.0216553,125.66,0.625361
2025-05-15,141.95,17.97,4.95547,2.8887,0.0193221,123.98,0.625361
2025-05-16,141.13,17.95,4.94968,2.88759,0.0218316,123.18,0.625361
2025-05-19,139.35,18,4.93699,2.89037,0.0325507,121.35,0.625361
2025-05-20,138.35,18.14,4.92979,2.89812,0.0448022,120.21,0.625361
2025-05-21,136.31,17.76,4.91493,2.87695,0.0329213,118.55,0.625361
2025-05-22,136.29,17.88,4.91478,2.88368,0.0397471,118.41,0.625361
2025-05-23,135.86,17.85,4.91162,2.882,0.040044,118.01,0.625361
2025-05-27,137.49,17.95,4.92355,2.88759,0.0381724,119.54,0.625361
2025-05-28,136.28,17.76,4.91471,2.87695,0.033059,118.52,0.625361
2025-05-29,137.81,17.68,4.92588,2.87243,0.0215626,120.13,0.625361
2025-05-30,134.55,17.48,4.90194,2.86106,0.025157,117.07,0.625361
2025-06-02,137.59,17.48,4.92428,2.86106,0.011185,120.11,0.625361
2025-06-03,142.28,17.9,4.9578,2.8848,0.013967,124.38,0.625361
2025-06-04,139.35,17.53,4.93699,2.86391,0.00609267,121.82,0.625361
2025-06-05,137.45,17.67,4.92326,2.87187,0.0226326,119.78,0.625361
2025-06-06,140.56,17.93,4.94563,2.88648,0.0232476,122.63,0.625361
2025-06-09,142.13,17.71,4.95674,2.87413,0.00395535,124.42,0.625361
2025-06-10,145.57,17.99,4.98066,2.88982,0.0046865,127.58,0.625361
2025-06-11,148.92,18.25,5.00341,2.90417,0.00480726,130.67,0.625361
2025-06-12,149.33,18.45,5.00616,2.91506,0.0139872,130.88,0.625361
2025-06-13,154.91,18.32,5.04284,2.90799,-0.0160256,136.59,0.625361
