Date,FANG Raw Price,MTDR Raw Price,FANG Log Price,MTDR Log Price,Residual,Spread,Beta
2025-01-02,164.468,57.3103,5.10271,4.04848,0.00868039,107.157,1.48797
2025-01-03,168.59,58.2872,5.12747,4.06538,-0.011251,110.303,1.48797
2025-01-06,167.288,57.5767,5.11972,4.05312,-0.0119814,109.711,1.48797
2025-01-07,170.029,58.9286,5.13597,4.07633,-0.0129605,111.101,1.48797
2025-01-08,168.619,59.2838,5.12764,4.08234,0.00544167,109.336,1.48797
2025-01-10,172.347,60.4383,5.14951,4.10162,-0.00780692,111.909,1.48797
2025-01-13,175.148,61.1389,5.16563,4.11315,-0.0202666,114.009,1.48797
2025-01-14,175.217,61.8987,5.16602,4.1255,-0.00850237,113.318,1.48797
2025-01-15,177.07,62.7769,5.17655,4.13959,-0.0100754,114.294,1.48797
2025-01-16,176.637,62.5401,5.17409,4.13581,-0.0102042,114.097,1.48797
2025-01-17,177.682,62.9249,5.17999,4.14194,-0.0128492,114.757,1.48797
2025-01-21,174.497,61.8888,5.16191,4.12534,-0.0025357,112.608,1.48797
2025-01-22,175.128,62.2046,5.16552,4.13043,-0.00281868,112.923,1.48797
2025-01-23,174.181,61.3757,5.1601,4.11701,-0.00816784,112.805,1.48797
2025-01-24,170.858,60.31,5.14083,4.0995,0.00298025,110.548,1.48797
2025-01-27,169.221,58.8102,5.1312,4.07431,-0.00787865,110.411,1.48797
2025-01-28,166.903,59.4811,5.11742,4.08566,0.0239844,107.422,1.48797
2025-01-29,168.491,59.4614,5.12688,4.08533,0.00956492,109.03,1.48797
2025-01-30,168.047,58.751,5.12425,4.07331,0.001469,109.296,1.48797
2025-01-31,162.081,57.2314,5.0881,4.0471,0.0290507,104.85,1.48797
2025-02-03,162.2,56.7775,5.08883,4.03914,0.0200022,105.422,1.48797
2025-02-04,163.994,57.5965,5.09983,4.05346,0.0179496,106.398,1.48797
2025-02-05,162.476,57.2018,5.09053,4.04658,0.0249167,105.274,1.48797
2025-02-06,157.811,55.7216,5.0614,4.02037,0.0420429,102.09,1.48797
2025-02-07,155.938,55.9289,5.04946,4.02408,0.0635266,100.009,1.48797
2025-02-10,159.419,58.4747,5.07153,4.06859,0.0751887,100.944,1.48797
2025-02-11,159.764,58.5832,5.0737,4.07045,0.0738253,101.181,1.48797
2025-02-12,153.305,55.6723,5.03243,4.01948,0.0842674,97.6323,1.48797
2025-02-13,154.005,56.363,5.03698,4.03181,0.089818,97.6418,1.48797
2025-02-14,154.813,56.4321,5.04222,4.03304,0.0832502,98.3813,1.48797
2025-02-18,154.587,57.034,5.04075,4.04365,0.0960416,97.5526,1.48797
2025-02-19,158.038,55.8795,5.06284,4.0232,0.0427351,102.159,1.48797
2025-02-20,159.843,55.7315,5.07419,4.02055,0.0231881,104.111,1.48797
2025-02-21,153.955,52.4062,5.03666,3.95902,0.0175054,101.549,1.48797
2025-02-24,153.078,52.6923,5.03095,3.96447,0.0314577,100.385,1.48797
2025-02-25,149.814,51.7648,5.00939,3.94671,0.0457693,98.0489,1.48797
2025-02-26,150.317,51.4392,5.01274,3.9404,0.0344722,98.8775,1.48797
2025-02-27,153.433,51.8141,5.03326,3.94766,0.0112038,101.619,1.48797
2025-02-28,156.756,51.9561,5.05469,3.9504,-0.0179449,104.8,1.48797
2025-03-03,145.948,47.3898,4.98325,3.85841,-0.00363528,98.5582,1.48797
2025-03-04,143.029,46.0894,4.96305,3.83058,-0.00139802,96.9397,1.48797
2025-03-05,140.722,45.3846,4.94678,3.81517,0.00739385,95.3369,1.48797
2025-03-06,138.934,44.4614,4.934,3.79462,0.0058654,94.4725,1.48797
2025-03-07,139.143,44.9379,4.9355,3.80528,0.0142931,94.2046,1.48797
2025-03-10,139.609,44.6898,4.93885,3.79974,0.00377223,94.9195,1.48797
2025-03-11,143.651,46.6552,4.96739,3.84279,0.0043461,96.9959,1.48797
2025-03-12,145.538,47.9258,4.98044,3.86965,0.0117983,97.6122,1.48797
2025-03-13,144.793,46.5858,4.97531,3.84129,-0.00892731,98.2075,1.48797
2025-03-14,149.163,48.2634,5.00504,3.87667,-0.0177895,100.899,1.48797
2025-03-17,151.973,49.9906,5.0237,3.91183,-0.0104021,101.983,1.48797
2025-03-18,153.93,50.1891,5.0365,3.9158,-0.0254713,103.741,1.48797
2025-03-19,156.512,52.234,5.05313,3.95573,-0.0102882,104.278,1.48797
2025-03-20,157.386,51.9263,5.0587,3.94983,-0.0244822,105.459,1.48797
2025-03-21,157.406,51.1322,5.05883,3.93441,-0.0400817,106.273,1.48797
2025-03-24,159.898,52.5814,5.07454,3.96236,-0.0355105,107.317,1.48797
