Date,FANG Raw Price,OKE Raw Price,FANG Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,164.468,99.4384,5.10271,4.59954,0.0054479,65.0293,0.839717
2025-01-03,168.59,100.542,5.12747,4.61058,-0.00429618,68.0472,0.839717
2025-01-06,167.288,99.2918,5.11972,4.59806,-0.0103047,67.9962,0.839717
2025-01-07,170.029,99.282,5.13597,4.59796,-0.0240527,70.7475,0.839717
2025-01-08,168.619,100.494,5.12764,4.61009,-0.0049296,68.1257,0.839717
2025-01-10,172.347,99.4188,5.14951,4.59934,-0.0340434,72.9281,0.839717
2025-01-13,175.148,101.598,5.16563,4.62102,-0.0258993,73.5498,0.839717
2025-01-14,175.217,103.611,5.16602,4.64064,-0.00661245,71.606,0.839717
2025-01-15,177.07,104.431,5.17655,4.64853,-0.00756031,72.6392,0.839717
2025-01-16,176.637,106.171,5.17409,4.66505,0.011017,70.4661,0.839717
2025-01-17,177.682,106.464,5.17999,4.6678,0.00881939,71.2182,0.839717
2025-01-21,174.497,107.333,5.16191,4.67594,0.0321441,67.1634,0.839717
2025-01-22,175.128,103.865,5.16552,4.64309,-0.00373798,71.2632,0.839717
2025-01-23,174.181,102.487,5.1601,4.62973,-0.0125396,71.6942,0.839717
2025-01-24,170.858,102.135,5.14083,4.6263,0.000198549,68.7227,0.839717
2025-01-27,169.221,98.1486,5.1312,4.58648,-0.0315315,71.0723,0.839717
2025-01-28,166.903,98.2952,5.11742,4.58798,-0.0184601,68.6082,0.839717
2025-01-29,168.491,98.0802,5.12688,4.58579,-0.0285996,70.4109,0.839717
2025-01-30,168.047,97.5819,5.12425,4.58069,-0.0314786,70.4654,0.839717
2025-01-31,162.081,94.9438,5.0881,4.55328,-0.0285317,67.1375,0.839717
2025-02-03,162.2,96.4152,5.08883,4.56866,-0.0137652,65.7843,0.839717
2025-02-04,163.994,95.8128,5.09983,4.5624,-0.0292735,68.1815,0.839717
2025-02-05,162.476,96.6917,5.09053,4.57153,-0.0123295,65.7839,0.839717
2025-02-06,157.811,94.6278,5.0614,4.54995,-0.00944707,63.1835,0.839717
2025-02-07,155.938,94.6179,5.04946,4.54985,0.000477869,61.3197,0.839717
2025-02-10,159.419,97.462,5.07153,4.57946,0.0115553,61.9566,0.839717
2025-02-11,159.764,97.6991,5.0737,4.58189,0.0121682,62.0648,0.839717
2025-02-12,153.305,96.4054,5.03243,4.56856,0.0334928,56.8993,0.839717
2025-02-13,154.005,97.7386,5.03698,4.5823,0.0434008,56.2662,0.839717
2025-02-14,154.813,96.6325,5.04222,4.57092,0.0276222,58.1809,0.839717
2025-02-18,154.587,97.4127,5.04075,4.57896,0.0368945,57.174,0.839717
2025-02-19,158.038,97.9657,5.06284,4.58462,0.0240134,60.0724,0.839717
2025-02-20,159.843,97.4028,5.07419,4.57885,0.00871653,62.4399,0.839717
2025-02-21,153.955,96.8794,5.03666,4.57347,0.0348404,57.0761,0.839717
2025-02-24,153.078,96.8991,5.03095,4.57367,0.039845,56.1787,0.839717
2025-02-25,149.814,94.5784,5.00939,4.54943,0.0337023,55.2353,0.839717
2025-02-26,150.317,94.5685,5.01274,4.54932,0.0307837,55.7481,0.839717
2025-02-27,153.433,95.4375,5.03326,4.55847,0.0227013,57.9953,0.839717
2025-02-28,156.756,99.1409,5.05469,4.59654,0.0427774,57.6152,0.839717
2025-03-03,145.948,95.5561,4.98325,4.55971,0.0659383,50.392,0.839717
2025-03-04,143.029,92.623,4.96305,4.52854,0.0517274,50.4061,0.839717
2025-03-05,140.722,90.7269,4.94678,4.50785,0.0447018,49.9946,0.839717
2025-03-06,138.934,88.6234,4.934,4.4844,0.0319789,50.3106,0.839717
2025-03-07,139.143,88.4555,4.9355,4.4825,0.0288233,50.687,0.839717
2025-03-10,139.609,90.2825,4.93885,4.50294,0.0464548,49.3268,0.839717
2025-03-11,143.651,91.4676,4.96739,4.51598,0.03553,52.1836,0.839717
2025-03-12,145.538,91.8132,4.98044,4.51976,0.0283437,53.7248,0.839717
2025-03-13,144.793,92.3366,4.97531,4.52544,0.0383368,52.4566,0.839717
2025-03-14,149.163,95.2302,5.00504,4.5563,0.0442263,53.9327,0.839717
2025-03-17,151.973,97.2152,5.0237,4.57693,0.0491818,54.7582,0.839717
2025-03-18,153.93,96.7905,5.0365,4.57255,0.0340631,57.1392,0.839717
2025-03-19,156.512,98.8051,5.05313,4.59315,0.0406949,57.7066,0.839717
2025-03-20,157.386,99.3977,5.0587,4.59913,0.0419983,57.988,0.839717
2025-03-21,157.406,98.104,5.05883,4.58603,0.0287914,59.3016,0.839717
2025-03-24,159.898,101.027,5.07454,4.61539,0.0449593,58.8711,0.839717
2025-03-25,160.484,101.106,5.0782,4.61617,0.0426695,59.378,0.839717
2025-03-26,161.964,100,5.08737,4.60517,0.0239628,61.9638,0.839717
2025-03-27,159.124,97.4522,5.06968,4.57936,0.0130097,61.6714,0.839717
2025-03-28,156.452,97.2547,5.05275,4.57733,0.0251981,59.1975,0.839717
2025-03-31,158.776,97.9855,5.06749,4.58482,0.0203033,60.7906,0.839717
2025-04-01,159.759,98.262,5.07367,4.58764,0.0179377,61.4972,0.839717
2025-04-02,160.375,99.1211,5.07751,4.59634,0.0234133,61.2538,0.839717
2025-04-03,140.304,91.5466,4.94381,4.51685,0.0561882,48.7579,0.839717
2025-04-04,122.518,79.8539,4.80826,4.3802,0.0333676,42.6642,0.839717
2025-04-07,123.67,79.9033,4.81762,4.38082,0.0261271,43.7668,0.839717
2025-04-08,118.427,77.7306,4.77429,4.35325,0.0349403,40.6959,0.839717
2025-04-09,133.998,83.8041,4.89783,4.42848,0.00643931,50.1942,0.839717
2025-04-10,122.31,80.2292,4.80656,4.38489,0.0394866,42.0804,0.839717
2025-04-11,128.119,81.5327,4.85296,4.401,0.0166367,46.5864,0.839717
2025-04-14,126.759,82.3425,4.84228,4.41089,0.0354847,44.4161,0.839717
2025-04-15,126.262,83.1128,4.83836,4.4202,0.0480919,43.1492,0.839717
2025-04-16,129.321,83.7449,4.8623,4.42777,0.0355678,45.5759,0.839717
2025-04-17,136.69,85.1571,4.91771,4.4445,0.00575643,51.5325,0.839717
2025-04-21,131.436,80.8019,4.87852,4.392,-0.0138302,50.6342,0.839717
2025-04-22,135.597,83.0042,4.90969,4.41889,-0.013112,52.593,0.839717
2025-04-23,134.604,83.6066,4.90234,4.42612,0.000292026,50.9975,0.839717
