Date,HES Raw Price,AR Raw Price,HES Log Price,AR Log Price,Residual,Spread,Beta
2025-01-02,134.963,35.57,4.905,3.5715,-0.0328366,99.3929,0.626719
2025-01-03,135.93,34.94,4.91214,3.55363,-0.05518,100.99,0.626719
2025-01-06,135.461,36.01,4.90869,3.5838,-0.0228523,99.4512,0.626719
2025-01-07,138.142,36.68,4.92828,3.60223,-0.0166996,101.462,0.626719
2025-01-08,139.338,37.86,4.9369,3.6339,0.00956161,101.478,0.626719
2025-01-10,141.929,38.32,4.95533,3.64597,0.0100905,103.609,0.626719
2025-01-13,144.341,38.3,4.97218,3.64545,-0.000992056,106.041,0.626719
2025-01-14,146.185,38.59,4.98487,3.65299,-0.00140349,107.595,0.626719
2025-01-15,148.417,40.23,5.00003,3.69461,0.0307178,108.187,0.626719
2025-01-16,149.225,40.57,5.00545,3.70303,0.0357341,108.655,0.626719
2025-01-17,150.839,40.46,5.01621,3.70031,0.0262746,110.379,0.626719
2025-01-21,148.158,39.93,4.99828,3.68713,0.0243279,108.228,0.626719
2025-01-22,145.099,40.74,4.97741,3.70721,0.0574884,104.359,0.626719
2025-01-23,144.371,40.55,4.97239,3.70254,0.0559641,103.821,0.626719
2025-01-24,143.913,40.15,4.96921,3.69262,0.0480441,103.763,0.626719
2025-01-27,145.617,36.35,4.98098,3.59319,-0.0587624,109.267,0.626719
2025-01-28,144.56,37.22,4.9737,3.61685,-0.0305469,107.34,0.626719
2025-01-29,144.67,37.35,4.97446,3.62033,-0.0275354,107.32,0.626719
2025-01-30,145.358,37.85,4.9792,3.63363,-0.0172093,107.508,0.626719
2025-01-31,138.561,37.32,4.93131,3.61953,-0.00129797,101.241,0.626719
2025-02-03,138.361,38.33,4.92987,3.64623,0.0263078,100.031,0.626719
2025-02-04,142.298,38.73,4.95792,3.65661,0.0191068,103.568,0.626719
2025-02-05,142.258,39.6,4.95764,3.67883,0.041497,102.658,0.626719
2025-02-06,141.451,38.3,4.95195,3.64545,0.0116844,103.151,0.626719
2025-02-07,142.458,37.85,4.95904,3.63363,-0.00457861,104.608,0.626719
2025-02-10,145.338,40.02,4.97906,3.68938,0.038625,105.318,0.626719
2025-02-11,146.504,40.02,4.98705,3.68938,0.0336169,106.484,0.626719
2025-02-12,144.311,39.38,4.97197,3.67326,0.026946,104.931,0.626719
2025-02-13,145.358,40.15,4.9792,3.69262,0.0417822,105.208,0.626719
2025-02-14,146.055,39.84,4.98399,3.68487,0.0310304,106.215,0.626719
2025-02-18,147.471,39.74,4.99363,3.68236,0.0224739,107.731,0.626719
2025-02-19,148.766,40.35,5.00238,3.69759,0.0322249,108.416,0.626719
2025-02-20,150.45,39.51,5.01363,3.67655,0.00413162,110.94,0.626719
2025-02-21,147.61,38.15,4.99457,3.64153,-0.0189512,109.46,0.626719
2025-02-24,148.248,37.9,4.99889,3.63495,-0.0282282,110.348,0.626719
2025-02-25,146.454,37.35,4.98671,3.62033,-0.0352164,109.104,0.626719
2025-02-26,144.979,37.04,4.97659,3.612,-0.0372068,107.939,0.626719
2025-02-27,146.414,35.58,4.98644,3.57178,-0.0835949,110.834,0.626719
2025-02-28,148.437,36.7,5.00016,3.60278,-0.0612026,111.737,0.626719
2025-03-03,143.604,36.15,4.96706,3.58768,-0.0555545,107.454,0.626719
2025-03-04,141.909,36.52,4.95519,3.59786,-0.0379334,105.389,0.626719
2025-03-05,140.863,36.38,4.94779,3.59402,-0.0371356,104.483,0.626719
2025-03-06,142.856,33.78,4.96184,3.51987,-0.120092,109.076,0.626719
2025-03-07,146.932,33.64,4.98997,3.51572,-0.141877,113.292,0.626719
2025-03-10,147.74,34.69,4.99545,3.54645,-0.114576,113.05,0.626719
2025-03-11,144.122,35.86,4.97066,3.57962,-0.0658667,108.262,0.626719
2025-03-12,143.544,36.01,4.96664,3.5838,-0.0591739,107.534,0.626719
2025-03-13,143.434,36.37,4.96588,3.59374,-0.0487474,107.064,0.626719
2025-03-14,147.63,37.57,4.99471,3.62621,-0.0343558,110.06,0.626719
2025-03-17,150.45,38.9,5.01363,3.66099,-0.0114259,111.55,0.626719
2025-03-18,152.82,39.87,5.02926,3.68562,0.00340827,112.95,0.626719
2025-03-19,156.38,41.02,5.05229,3.71406,0.0174117,115.36,0.626719
2025-03-20,157.37,40.97,5.0586,3.71284,0.012237,116.4,0.626719
2025-03-21,156.58,40.77,5.05357,3.70795,0.0104975,115.81,0.626719
2025-03-24,157.35,41.21,5.05847,3.71868,0.0181574,116.14,0.626719
2025-03-25,158.29,41.42,5.06443,3.72376,0.0195075,116.87,0.626719
2025-03-26,160.52,40.97,5.07842,3.71284,-0.000183866,119.55,0.626719
2025-03-27,159.07,39.53,5.06934,3.67706,-0.0302772,119.54,0.626719
2025-03-28,158.45,39.69,5.06544,3.6811,-0.0237902,118.76,0.626719
2025-03-31,159.73,40.44,5.07348,3.69982,-0.0101126,119.29,0.626719
2025-04-01,161.29,40.92,5.0832,3.71162,-0.00440418,120.37,0.626719
2025-04-02,160.02,42,5.0753,3.73767,0.0266008,118.02,0.626719
2025-04-03,148.38,38.79,4.99978,3.65816,-0.00557503,109.59,0.626719
2025-04-04,133.56,33.46,4.89455,3.51035,-0.0874398,100.1,0.626719
2025-04-07,130.59,34.15,4.87206,3.53076,-0.0529341,96.44,0.626719
2025-04-08,127.51,32.24,4.84819,3.47321,-0.0955303,95.27,0.626719
2025-04-09,137.97,34.89,4.92704,3.5522,-0.0659495,103.08,0.626719
2025-04-10,127.16,31.92,4.84545,3.46323,-0.103783,95.24,0.626719
2025-04-11,128.5,33.1,4.85593,3.49953,-0.0740522,95.4,0.626719
2025-04-14,127.91,33.23,4.85133,3.50345,-0.0672482,94.68,0.626719
2025-04-15,127.21,33.1,4.84584,3.49953,-0.0677288,94.11,0.626719
2025-04-16,127.95,34.3,4.85164,3.53515,-0.0357519,93.65,0.626719
2025-04-17,130.64,34.42,4.87245,3.53864,-0.0452989,96.22,0.626719
2025-04-21,126.32,32.06,4.83882,3.46761,-0.0952527,94.26,0.626719
2025-04-22,130.38,32.83,4.87045,3.49134,-0.0913454,97.55,0.626719
2025-04-23,130.03,34.29,4.86777,3.53485,-0.0461497,95.74,0.626719
2025-04-24,132.38,34.54,4.88568,3.54212,-0.0501108,97.84,0.626719
2025-04-25,132.34,35.33,4.88537,3.56473,-0.0273069,97.01,0.626719
2025-04-28,133.84,35.93,4.89665,3.58157,-0.0175304,97.91,0.626719
2025-04-29,132.54,36.18,4.88688,3.58851,-0.00447936,96.36,0.626719
2025-04-30,129.05,34.83,4.8602,3.55048,-0.025783,94.22,0.626719
2025-05-01,129.79,34.65,4.86592,3.5453,-0.0345478,95.14,0.626719
2025-05-02,132.31,35.76,4.88515,3.57683,-0.0150675,96.55,0.626719
2025-05-05,128.8,35.49,4.85826,3.56925,-0.00579588,93.31,0.626719
2025-05-06,128.87,35.5,4.8588,3.56953,-0.00585467,93.37,0.626719
2025-05-07,129.09,36.71,4.86051,3.60305,0.0265928,92.38,0.626719
2025-05-08,130.88,37.39,4.87428,3.6214,0.0363163,93.49,0.626719
2025-05-09,132.37,38.71,4.8856,3.6561,0.0639164,93.66,0.626719
2025-05-12,135.21,39.4,4.90683,3.67377,0.0682803,95.81,0.626719
2025-05-13,135.7,41.04,4.91045,3.71455,0.106795,94.66,0.626719
2025-05-14,134.79,40.5,4.90372,3.7013,0.0977662,94.29,0.626719
2025-05-15,135.07,40.23,4.90579,3.69461,0.0897766,94.84,0.626719
2025-05-16,134.93,39.8,4.90476,3.68387,0.0796805,95.13,0.626719
2025-05-19,132.79,39.42,4.88877,3.67427,0.0801064,93.37,0.626719
2025-05-20,132.05,39.77,4.88318,3.68311,0.0924482,92.28,0.626719
2025-05-21,130.16,39.11,4.86876,3.66638,0.0847485,91.05,0.626719
2025-05-22,130.02,39.05,4.86769,3.66484,0.0838876,90.97,0.626719
2025-05-23,131.36,39.49,4.87794,3.67605,0.0886663,91.87,0.626719
2025-05-27,132.58,40.17,4.88719,3.69312,0.0999454,92.41,0.626719
2025-05-28,131.07,38.97,4.87573,3.66279,0.076796,92.1,0.626719
2025-05-29,133.62,38.84,4.895,3.65945,0.0613787,94.78,0.626719
2025-05-30,132.19,37.45,4.88424,3.62301,0.031678,94.74,0.626719
2025-06-02,133.75,38.65,4.89597,3.65455,0.0558654,95.1,0.626719
2025-06-03,135.96,38.36,4.91236,3.64702,0.0380629,97.6,0.626719
2025-06-04,133.45,37.3,4.89373,3.61899,0.0217192,96.15,0.626719
2025-06-05,133.05,37.19,4.89073,3.61604,0.0206471,95.86,0.626719
2025-06-06,136.13,38.65,4.91361,3.65455,0.0448113,97.48,0.626719
2025-06-09,136.63,38.92,4.91728,3.66151,0.049475,97.71,0.626719
2025-06-10,138.66,38.39,4.93202,3.6478,0.0265207,100.27,0.626719
2025-06-11,140.58,39.22,4.94578,3.66919,0.0392921,101.36,0.626719
2025-06-12,141.14,40.04,4.94975,3.68988,0.0574926,101.1,0.626719
2025-06-13,142.26,41.66,4.95766,3.72954,0.0922015,100.6,0.626719
