Date,HES Raw Price,ENB Raw Price,HES Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,134.963,42.98,4.905,3.76073,-0.0390141,91.9829,-0.187233
2025-01-03,135.93,43.09,4.91214,3.76329,-0.0351217,92.8396,-0.187233
2025-01-06,135.461,42.99,4.90869,3.76097,-0.0380914,92.4712,-0.187233
2025-01-07,138.142,43.64,4.92828,3.77597,-0.0194155,94.5021,-0.187233
2025-01-08,139.338,44.02,4.9369,3.78464,-0.0091316,95.3181,-0.187233
2025-01-10,141.929,43.48,4.95533,3.7723,-0.0180247,98.4493,-0.187233
2025-01-13,144.341,43.4,4.97218,3.77046,-0.0167113,100.941,-0.187233
2025-01-14,146.185,44.07,4.98487,3.78578,0.000984958,102.115,-0.187233
2025-01-15,148.417,44.33,5.00003,3.79166,0.00970506,104.087,-0.187233
2025-01-16,149.225,44.03,5.00545,3.78487,0.00393019,105.195,-0.187233
2025-01-17,150.839,44.51,5.01621,3.79571,0.0167877,106.329,-0.187233
2025-01-21,148.158,45.31,4.99828,3.81353,0.031244,102.848,-0.187233
2025-01-22,145.099,44.76,4.97741,3.80131,0.015124,100.339,-0.187233
2025-01-23,144.371,44.86,4.97239,3.80355,0.0164145,99.511,-0.187233
2025-01-24,143.913,45.06,4.96921,3.80799,0.0202674,98.8526,-0.187233
2025-01-27,145.617,44.7,4.98098,3.79997,0.0144502,100.917,-0.187233
2025-01-28,144.56,44.46,4.9737,3.79459,0.00770328,100.1,-0.187233
2025-01-29,144.67,44.26,4.97446,3.79008,0.00333663,100.41,-0.187233
2025-01-30,145.358,44.5,4.9792,3.79549,0.0096324,100.858,-0.187233
2025-01-31,138.561,43.24,4.93131,3.76677,-0.0280571,95.3207,-0.187233
2025-02-03,138.361,42.92,4.92987,3.75934,-0.0357548,95.4414,-0.187233
2025-02-04,142.298,43.72,4.95792,3.77781,-0.0120342,98.5781,-0.187233
2025-02-05,142.258,43.93,4.95764,3.7826,-0.00729492,98.3282,-0.187233
2025-02-06,141.451,44.2,4.95195,3.78872,-0.00223309,97.2509,-0.187233
2025-02-07,142.458,44.45,4.95904,3.79436,0.00473475,98.0075,-0.187233
2025-02-10,145.338,44.81,4.97906,3.80243,0.0165489,100.528,-0.187233
2025-02-11,146.504,45.25,4.98705,3.8122,0.0278164,101.254,-0.187233
2025-02-12,144.311,45.1,4.97197,3.80888,0.0216726,99.2113,-0.187233
2025-02-13,145.358,45.45,4.9792,3.81661,0.030756,99.9077,-0.187233
2025-02-14,146.055,43.07,4.98399,3.76283,-0.0221336,102.985,-0.187233
2025-02-18,147.471,42.75,4.99363,3.75537,-0.0277857,104.721,-0.187233
2025-02-19,148.766,42.31,5.00238,3.74502,-0.0364936,106.456,-0.187233
2025-02-20,150.45,41.98,5.01363,3.73719,-0.0422159,108.47,-0.187233
2025-02-21,147.61,41.78,4.99457,3.73242,-0.0505601,105.83,-0.187233
2025-02-24,148.248,41.54,4.99889,3.72666,-0.0555136,106.708,-0.187233
2025-02-25,146.454,41.65,4.98671,3.7293,-0.0551486,104.804,-0.187233
2025-02-26,144.979,41.75,4.97659,3.7317,-0.0546458,103.229,-0.187233
2025-02-27,146.414,41.73,4.98644,3.73122,-0.0532807,104.684,-0.187233
2025-02-28,148.437,42.73,5.00016,3.7549,-0.0270302,105.707,-0.187233
2025-03-03,143.604,42.67,4.96706,3.7535,-0.0346339,100.934,-0.187233
2025-03-04,141.909,41.55,4.95519,3.7269,-0.0634545,100.359,-0.187233
2025-03-05,140.863,42.49,4.94779,3.74927,-0.0424691,98.3729,-0.187233
2025-03-06,142.856,41.6,4.96184,3.7281,-0.0610069,101.256,-0.187233
2025-03-07,146.932,42,4.98997,3.73767,-0.0461698,104.932,-0.187233
2025-03-10,147.74,42.68,4.99545,3.75373,-0.0290831,105.06,-0.187233
2025-03-11,144.122,42.3,4.97066,3.74479,-0.0426684,101.822,-0.187233
2025-03-12,143.544,42.54,4.96664,3.75044,-0.0377631,101.004,-0.187233
2025-03-13,143.434,42.55,4.96588,3.75068,-0.0376711,100.884,-0.187233
2025-03-14,147.63,42.83,4.99471,3.75724,-0.0257137,104.8,-0.187233
2025-03-17,150.45,43.5,5.01363,3.77276,-0.00664882,106.95,-0.187233
2025-03-18,152.82,43.41,5.02926,3.77069,-0.00579348,109.41,-0.187233
2025-03-19,156.38,43.75,5.05229,3.77849,0.00631993,112.63,-0.187233
2025-03-20,157.37,44.23,5.0586,3.7894,0.0184132,113.14,-0.187233
2025-03-21,156.58,43.87,5.05357,3.78123,0.00929831,112.71,-0.187233
2025-03-24,157.35,44.26,5.05847,3.79008,0.0190674,113.09,-0.187233
2025-03-25,158.29,44.42,5.06443,3.79369,0.0237911,113.87,-0.187233
2025-03-26,160.52,44.52,5.07842,3.79594,0.0286592,116,-0.187233
2025-03-27,159.07,44.36,5.06934,3.79234,0.0233598,114.71,-0.187233
2025-03-28,158.45,44.46,5.06544,3.79459,0.0248803,113.99,-0.187233
2025-03-31,159.73,44.31,5.07348,3.79121,0.0230073,115.42,-0.187233
2025-04-01,161.29,44.57,5.0832,3.79706,0.0306776,116.72,-0.187233
2025-04-02,160.02,45.14,5.0753,3.80977,0.0419053,114.88,-0.187233
2025-04-03,148.38,45.34,4.99978,3.81419,0.0321859,103.04,-0.187233
2025-04-04,133.56,43.35,4.89455,3.76931,-0.0323988,90.21,-0.187233
2025-04-07,130.59,41.95,4.87206,3.73648,-0.0694375,88.64,-0.187233
2025-04-08,127.51,41.09,4.84819,3.71576,-0.09462,86.42,-0.187233
2025-04-09,137.97,41.77,4.92704,3.73218,-0.0634447,96.2,-0.187233
2025-04-10,127.16,41.82,4.84545,3.73337,-0.0775248,85.34,-0.187233
2025-04-11,128.5,43.24,4.85593,3.76677,-0.0421707,85.26,-0.187233
2025-04-14,127.91,44.02,4.85133,3.78464,-0.0251543,83.89,-0.187233
2025-04-15,127.21,44.28,4.84584,3.79053,-0.0202928,82.93,-0.187233
2025-04-16,127.95,44.57,4.85164,3.79706,-0.0126789,83.38,-0.187233
2025-04-17,130.64,45.37,4.87245,3.81485,0.00900678,85.27,-0.187233
2025-04-21,126.32,44.99,4.83882,3.80644,-0.0057001,81.33,-0.187233
2025-04-22,130.38,45.64,4.87045,3.82078,0.0145672,84.74,-0.187233
2025-04-23,130.03,45.61,4.86777,3.82013,0.0134064,84.42,-0.187233
2025-04-24,132.38,46.36,4.88568,3.83644,0.0330701,86.02,-0.187233
2025-04-25,132.34,46.19,4.88537,3.83276,0.0293397,86.15,-0.187233
2025-04-28,133.84,46.64,4.89665,3.84246,0.0411452,87.2,-0.187233
2025-04-29,132.54,46.64,4.88688,3.84246,0.0393177,85.9,-0.187233
2025-04-30,129.05,46.69,4.8602,3.84353,0.0353929,82.36,-0.187233
2025-05-01,129.79,46.48,4.86592,3.83902,0.0319556,83.31,-0.187233
2025-05-02,132.31,46.86,4.88515,3.84716,0.0436984,85.45,-0.187233
2025-05-05,128.8,46.59,4.85826,3.84139,0.0328858,82.21,-0.187233
2025-05-06,128.87,46.16,4.8588,3.83211,0.0237152,82.71,-0.187233
2025-05-07,129.09,46.69,4.86051,3.84353,0.0354509,82.4,-0.187233
2025-05-08,130.88,45.78,4.87428,3.82385,0.0183467,85.1,-0.187233
2025-05-09,132.37,46.1,4.8856,3.83081,0.0274318,86.27,-0.187233
2025-05-12,135.21,44.55,4.90683,3.79661,-0.00279439,90.66,-0.187233
2025-05-13,135.7,44.57,4.91045,3.79706,-0.00166826,91.13,-0.187233
2025-05-14,134.79,44.87,4.90372,3.80377,0.00378035,89.92,-0.187233
2025-05-15,135.07,44.92,4.90579,3.80488,0.0052826,90.15,-0.187233
2025-05-16,134.93,44.85,4.90476,3.80332,0.00352887,90.08,-0.187233
2025-05-19,132.79,44.94,4.88877,3.80533,0.00254023,87.85,-0.187233
2025-05-20,132.05,45.61,4.88318,3.82013,0.0162927,86.44,-0.187233
2025-05-21,130.16,45.57,4.86876,3.81925,0.0127161,84.59,-0.187233
2025-05-22,130.02,45.17,4.86769,3.81043,0.00369813,84.85,-0.187233
2025-05-23,131.36,46.06,4.87794,3.82994,0.0251297,85.3,-0.187233
2025-05-27,132.58,46.04,4.88719,3.82951,0.0264263,86.54,-0.187233
2025-05-28,131.07,45.57,4.87573,3.81925,0.0140206,85.5,-0.187233
2025-05-29,133.62,45.85,4.895,3.82538,0.0237538,87.77,-0.187233
2025-05-30,132.19,46.48,4.88424,3.83902,0.0353862,85.71,-0.187233
2025-06-02,133.75,47.16,4.89597,3.85355,0.0521068,86.59,-0.187233
2025-06-03,135.96,47.07,4.91236,3.85164,0.053265,88.89,-0.187233
2025-06-04,133.45,46.66,4.89373,3.84289,0.0410276,86.79,-0.187233
2025-06-05,133.05,46.87,4.89073,3.84738,0.044956,86.18,-0.187233
2025-06-06,136.13,46.52,4.91361,3.83988,0.0417455,89.61,-0.187233
2025-06-09,136.63,45.82,4.91728,3.82472,0.0272702,90.81,-0.187233
2025-06-10,138.66,45.85,4.93202,3.82538,0.0306861,92.81,-0.187233
2025-06-11,140.58,45.87,4.94578,3.82581,0.033697,94.71,-0.187233
2025-06-12,141.14,46.81,4.94975,3.8461,0.054727,94.33,-0.187233
2025-06-13,142.26,46.67,4.95766,3.8431,0.0532115,95.59,-0.187233
