Date,HES Raw Price,KMI Raw Price,HES Log Price,KMI Log Price,Residual,Spread,Beta
2025-01-02,134.963,27.5159,4.905,3.31476,0.0176668,107.447,0.168012
2025-01-03,135.93,27.6725,4.91214,3.32044,0.0221434,108.257,0.168012
2025-01-06,135.461,27.2418,4.90869,3.30475,0.00703678,108.219,0.168012
2025-01-07,138.142,27.2222,4.92828,3.30403,0.00302514,110.92,0.168012
2025-01-08,139.338,27.6921,4.9369,3.32115,0.0186896,111.646,0.168012
2025-01-10,141.929,27.5648,4.95533,3.31654,0.010988,114.364,0.168012
2025-01-13,144.341,27.9172,4.97218,3.32924,0.02086,116.424,0.168012
2025-01-14,146.185,28.5045,4.98487,3.35006,0.0395471,117.68,0.168012
2025-01-15,148.417,28.8178,5.00003,3.36099,0.0479298,119.6,0.168012
2025-01-16,149.225,29.4247,5.00545,3.38183,0.0678594,119.8,0.168012
2025-01-17,150.839,29.6694,5.01621,3.39012,0.0743337,121.17,0.168012
2025-01-21,148.158,30.5601,4.99828,3.4197,0.106928,117.598,0.168012
2025-01-22,145.099,30.1294,4.97741,3.4055,0.0962402,114.969,0.168012
2025-01-23,144.371,29.8358,4.97239,3.39571,0.0872903,114.535,0.168012
2025-01-24,143.913,29.6302,4.96921,3.38879,0.0809111,114.282,0.168012
2025-01-27,145.617,26.8796,4.98098,3.29137,-0.0184936,118.737,0.168012
2025-01-28,144.56,26.8796,4.9737,3.29137,-0.0172703,117.681,0.168012
2025-01-29,144.67,26.723,4.97446,3.28552,-0.0232414,117.947,0.168012
2025-01-30,145.358,27.5061,4.9792,3.31441,0.00484486,117.852,0.168012
2025-01-31,138.561,26.8992,4.93131,3.2921,-0.00942036,111.662,0.168012
2025-02-03,138.361,27.283,4.92987,3.30626,0.00498962,111.078,0.168012
2025-02-04,142.298,27.2039,4.95792,3.30336,-0.00262886,115.094,0.168012
2025-02-05,142.258,27.3424,4.95764,3.30844,0.00249622,114.916,0.168012
2025-02-06,141.451,26.4916,4.95195,3.27683,-0.0281563,114.959,0.168012
2025-02-07,142.458,26.7488,4.95904,3.28649,-0.0196857,115.709,0.168012
2025-02-10,145.338,26.7785,4.97906,3.2876,-0.02194,118.559,0.168012
2025-02-11,146.504,26.5015,4.98705,3.2772,-0.0336799,120.002,0.168012
2025-02-12,144.311,25.997,4.97197,3.25798,-0.0503669,118.314,0.168012
2025-02-13,145.358,26.274,4.9792,3.26858,-0.0409828,119.084,0.168012
2025-02-14,146.055,26.2641,4.98399,3.2682,-0.0421639,119.791,0.168012
2025-02-18,147.471,26.462,4.99363,3.27571,-0.0362792,121.009,0.168012
2025-02-19,148.766,26.6004,5.00238,3.28093,-0.0325289,122.166,0.168012
2025-02-20,150.45,26.3037,5.01363,3.26971,-0.0456396,124.147,0.168012
2025-02-21,147.61,26.1256,4.99457,3.26292,-0.0492298,121.484,0.168012
2025-02-24,148.248,26.185,4.99889,3.26519,-0.047685,122.063,0.168012
2025-02-25,146.454,25.819,4.98671,3.25111,-0.0597162,120.635,0.168012
2025-02-26,144.979,25.8882,4.97659,3.25379,-0.055337,119.091,0.168012
2025-02-27,146.414,25.9278,4.98644,3.25531,-0.0554648,120.486,0.168012
2025-02-28,148.437,26.8082,5.00016,3.28871,-0.0243777,121.629,0.168012
2025-03-03,143.604,26.8478,4.96706,3.29018,-0.0173407,116.756,0.168012
2025-03-04,141.909,26.6994,4.95519,3.28464,-0.0208889,115.21,0.168012
2025-03-05,140.863,26.4422,4.94779,3.27496,-0.0293253,114.421,0.168012
2025-03-06,142.856,26.0267,4.96184,3.25912,-0.0475235,116.829,0.168012
2025-03-07,146.932,25.8585,4.98997,3.25264,-0.0587327,121.074,0.168012
2025-03-10,147.74,25.8585,4.99545,3.25264,-0.0596533,121.881,0.168012
2025-03-11,144.122,26.1256,4.97066,3.26292,-0.0452118,117.996,0.168012
2025-03-12,143.544,26.2344,4.96664,3.26707,-0.0403802,117.309,0.168012
2025-03-13,143.434,26.2542,4.96588,3.26783,-0.0394979,117.18,0.168012
2025-03-14,147.63,26.8082,4.99471,3.28871,-0.0234615,120.822,0.168012
2025-03-17,150.45,27.4908,5.01363,3.31385,-0.00149802,122.959,0.168012
2025-03-18,152.82,27.2237,5.02926,3.30409,-0.0138873,125.596,0.168012
2025-03-19,156.38,27.5501,5.05229,3.31601,-0.0058364,128.83,0.168012
2025-03-20,157.37,27.7578,5.0586,3.32352,0.000615441,129.612,0.168012
2025-03-21,156.58,27.6292,5.05357,3.31887,-0.00318268,128.951,0.168012
2025-03-24,157.35,28.4008,5.05847,3.34642,0.0235372,128.949,0.168012
2025-03-25,158.29,28.5196,5.06443,3.35059,0.0267075,129.77,0.168012
2025-03-26,160.52,28.1733,5.07842,3.33838,0.0121426,132.347,0.168012
2025-03-27,159.07,27.926,5.06934,3.32956,0.00485035,131.144,0.168012
2025-03-28,158.45,28.0645,5.06544,3.33451,0.0104536,130.385,0.168012
2025-03-31,159.73,28.2228,5.07348,3.34013,0.0147256,131.507,0.168012
2025-04-01,161.29,28.3217,5.0832,3.34363,0.0165917,132.968,0.168012
