Date,KMI Raw Price,ENB Raw Price,KMI Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,27.5159,42.98,3.31476,3.76073,-0.0362166,15.4641,0.41955
2025-01-03,27.6725,43.09,3.32044,3.76329,-0.0360418,15.4175,0.41955
2025-01-06,27.2418,42.99,3.30475,3.76097,-0.0317839,15.7482,0.41955
2025-01-07,27.2222,43.64,3.30403,3.77597,-0.0164757,16.4178,0.41955
2025-01-08,27.6921,44.02,3.32115,3.78464,-0.0149854,16.3279,0.41955
2025-01-10,27.5648,43.48,3.31654,3.7723,-0.0253961,15.9152,0.41955
2025-01-13,27.9172,43.4,3.32924,3.77046,-0.0325672,15.4828,0.41955
2025-01-14,28.5045,44.07,3.35006,3.78578,-0.0259823,15.5655,0.41955
2025-01-15,28.8178,44.33,3.36099,3.79166,-0.0246852,15.5122,0.41955
2025-01-16,29.4247,44.03,3.38183,3.78487,-0.0402195,14.6053,0.41955
2025-01-17,29.6694,44.51,3.39012,3.79571,-0.0328517,14.8406,0.41955
2025-01-21,30.5601,45.31,3.4197,3.81353,-0.0274486,14.7499,0.41955
2025-01-22,30.1294,44.76,3.4055,3.80131,-0.0337065,14.6306,0.41955
2025-01-23,29.8358,44.86,3.39571,3.80355,-0.0273656,15.0242,0.41955
2025-01-24,29.6302,45.06,3.38879,3.80799,-0.0200166,15.4298,0.41955
2025-01-27,26.8796,44.7,3.29137,3.79997,0.0128374,17.8204,0.41955
2025-01-28,26.8796,44.46,3.29137,3.79459,0.00745375,17.5804,0.41955
2025-01-29,26.723,44.26,3.28552,3.79008,0.00539691,17.537,0.41955
2025-01-30,27.5061,44.5,3.31441,3.79549,-0.00131305,16.9939,0.41955
2025-01-31,26.8992,43.24,3.2921,3.76677,-0.0206756,16.3408,0.41955
2025-02-03,27.283,42.92,3.30626,3.75934,-0.0340479,15.637,0.41955
2025-02-04,27.2039,43.72,3.30336,3.77781,-0.0143614,16.5161,0.41955
2025-02-05,27.3424,43.93,3.30844,3.7826,-0.0117001,16.5876,0.41955
2025-02-06,26.4916,44.2,3.27683,3.78872,0.00768866,17.7084,0.41955
2025-02-07,26.7488,44.45,3.28649,3.79436,0.00927518,17.7012,0.41955
2025-02-10,26.7785,44.81,3.2876,3.80243,0.0168763,18.0315,0.41955
2025-02-11,26.5015,45.25,3.2772,3.8122,0.0310099,18.7485,0.41955
2025-02-12,25.997,45.1,3.25798,3.80888,0.0357534,19.103,0.41955
2025-02-13,26.274,45.45,3.26858,3.81661,0.0390376,19.176,0.41955
2025-02-14,26.2641,43.07,3.2682,3.76283,-0.0145906,16.8059,0.41955
2025-02-18,26.462,42.75,3.27571,3.75537,-0.0251967,16.288,0.41955
2025-02-19,26.6004,42.31,3.28093,3.74502,-0.0377324,15.7096,0.41955
2025-02-20,26.3037,41.98,3.26971,3.73719,-0.0408556,15.6763,0.41955
2025-02-21,26.1256,41.78,3.26292,3.73242,-0.0427814,15.6544,0.41955
2025-02-24,26.185,41.54,3.26519,3.72666,-0.0494943,15.355,0.41955
2025-02-25,25.819,41.65,3.25111,3.7293,-0.0409439,15.831,0.41955
2025-02-26,25.8882,41.75,3.25379,3.7317,-0.0396696,15.8618,0.41955
