Date,MPC Raw Price,APA Raw Price,MPC Log Price,APA Log Price,Residual,Spread,Beta
2025-01-02,139.888,22.7603,4.94084,3.12502,0.205573,117.128,0.838011
2025-01-03,141.124,22.7992,4.94964,3.12673,0.199912,118.324,0.838011
2025-01-06,138.939,23.0328,4.93403,3.13692,0.223183,115.906,0.838011
2025-01-07,140.056,23.0328,4.94204,3.13692,0.216472,117.023,0.838011
2025-01-08,140.718,23.0523,4.94676,3.13777,0.213363,117.666,0.838011
2025-01-10,140.659,23.0523,4.94634,3.13777,0.213716,117.607,0.838011
2025-01-13,145.088,23.7337,4.97734,3.1669,0.216867,121.355,0.838011
2025-01-14,147.728,24.1913,4.99537,3.18599,0.220851,123.537,0.838011
2025-01-15,150.229,24.7754,5.01216,3.20985,0.230639,125.454,0.838011
2025-01-16,149.982,24.4833,5.01052,3.19799,0.220161,125.499,0.838011
2025-01-17,150.971,23.7532,5.01709,3.16772,0.18438,127.218,0.838011
2025-01-21,149.112,23.0718,5.0047,3.13861,0.165654,126.04,0.838011
2025-01-22,145.939,22.9832,4.98319,3.13476,0.179837,122.955,0.838011
2025-01-23,152.563,23.1308,5.02758,3.14117,0.149038,129.432,0.838011
2025-01-24,149.893,22.9439,5.00992,3.13305,0.155716,126.949,0.838011
2025-01-27,150.872,23.0029,5.01643,3.13562,0.152832,127.869,0.838011
2025-01-28,148.934,22.9635,5.0035,3.13391,0.161952,125.971,0.838011
2025-01-29,149.676,22.8061,5.00847,3.12703,0.150912,126.87,0.838011
2025-01-30,148.262,22.6192,4.99898,3.1188,0.150634,125.643,0.838011
2025-01-31,144.06,21.5763,4.97023,3.0716,0.127524,122.484,0.838011
2025-02-03,145.335,21.1237,4.97904,3.0504,0.0989383,124.212,0.838011
2025-02-04,155.133,22.0289,5.04428,3.09235,0.0862245,133.104,0.838011
2025-02-05,155.529,21.8321,5.04683,3.08338,0.0751183,133.697,0.838011
2025-02-06,150.21,21.291,5.01203,3.05828,0.0791816,128.919,0.838011
2025-02-07,148.42,21.3205,5.00005,3.05967,0.0906103,127.1,0.838011
2025-02-10,152.039,22.6192,5.02413,3.1188,0.129555,129.419,0.838011
