Date,MPC Raw Price,MTDR Raw Price,MPC Log Price,MTDR Log Price,Residual,Spread,Beta
2025-01-02,139.888,57.3103,4.94084,4.04848,0.195783,82.5775,0.770184
2025-01-03,141.124,58.2872,4.94964,4.06538,0.20591,82.8365,0.770184
2025-01-06,138.939,57.5767,4.93403,4.05312,0.205664,81.362,0.770184
2025-01-07,140.056,58.9286,4.94204,4.07633,0.222703,81.1273,0.770184
2025-01-08,140.718,59.2838,4.94676,4.08234,0.225079,81.4345,0.770184
2025-01-10,140.659,60.4383,4.94634,4.10162,0.244691,80.2207,0.770184
2025-01-13,145.088,61.1389,4.97734,4.11315,0.232337,83.9494,0.770184
2025-01-14,147.728,61.8987,4.99537,4.1255,0.230801,85.8294,0.770184
2025-01-15,150.229,62.7769,5.01216,4.13959,0.231958,87.4525,0.770184
2025-01-16,149.982,62.5401,5.01052,4.13581,0.229446,87.4421,0.770184
2025-01-17,150.971,62.9249,5.01709,4.14194,0.23052,88.046,0.770184
2025-01-21,149.112,61.8888,5.0047,4.12534,0.223459,87.2234,0.770184
2025-01-22,145.939,62.2046,4.98319,4.13043,0.245118,83.734,0.770184
2025-01-23,152.563,61.3757,5.02758,4.11701,0.197515,91.187,0.770184
2025-01-24,149.893,60.31,5.00992,4.0995,0.193594,89.5832,0.770184
2025-01-27,150.872,58.8102,5.01643,4.07431,0.163398,92.0619,0.770184
2025-01-28,148.934,59.4811,5.0035,4.08566,0.184699,89.4531,0.770184
2025-01-29,149.676,59.4614,5.00847,4.08533,0.180542,90.2143,0.770184
2025-01-30,148.262,58.751,4.99898,4.07331,0.175831,89.511,0.770184
2025-01-31,144.06,57.2314,4.97023,4.0471,0.171769,86.8287,0.770184
2025-02-03,145.335,56.7775,4.97904,4.03914,0.157018,88.558,0.770184
2025-02-04,155.133,57.5965,5.04428,4.05346,0.121093,97.5368,0.770184
2025-02-05,155.529,57.2018,5.04683,4.04658,0.112256,98.3269,0.770184
2025-02-06,150.21,55.7216,5.01203,4.02037,0.112841,94.488,0.770184
2025-02-07,148.42,55.9289,5.00005,4.02408,0.125783,92.4913,0.770184
2025-02-10,152.039,58.4747,5.02413,4.06859,0.151744,93.564,0.770184
2025-02-11,153.541,58.5832,5.03397,4.07045,0.146023,94.9582,0.770184
2025-02-12,147.52,55.6723,4.99397,4.01948,0.125868,91.8481,0.770184
2025-02-13,152.345,56.363,5.02615,4.03181,0.113413,95.9821,0.770184
2025-02-14,154.293,56.4321,5.03885,4.03304,0.104853,97.8608,0.770184
2025-02-18,157.229,57.034,5.0577,4.04365,0.100943,100.195,0.770184
2025-02-19,155.758,55.8795,5.0483,4.0232,0.0877363,99.878,0.770184
2025-02-20,157.378,55.7315,5.05865,4.02055,0.0771108,101.647,0.770184
2025-02-21,152.874,52.4062,5.02961,3.95902,0.0379553,100.468,0.770184
2025-02-24,151.84,52.6923,5.02283,3.96447,0.0486286,99.1474,0.770184
2025-02-25,149.742,51.7648,5.00891,3.94671,0.0415854,97.9768,0.770184
2025-02-26,145.476,51.4392,4.98001,3.9404,0.0575346,94.0366,0.770184
2025-02-27,147.146,51.8141,4.99143,3.94766,0.0560037,95.3322,0.770184
2025-02-28,149.334,51.9561,5.00618,3.9504,0.0473737,97.3779,0.770184
2025-03-03,144.999,47.3898,4.97672,3.85841,-0.0219267,97.6087,0.770184
2025-03-04,141.817,46.0894,4.95453,3.83058,-0.0326607,95.7271,0.770184
2025-03-05,134.359,45.3846,4.90051,3.81517,-0.00646495,88.9742,0.770184
2025-03-06,136.785,44.4614,4.91841,3.79462,-0.0407999,92.3236,0.770184
2025-03-07,136.775,44.9379,4.91834,3.80528,-0.0300843,91.8372,0.770184
2025-03-10,135.492,44.6898,4.90892,3.79974,-0.0283647,90.8026,0.770184
2025-03-11,133.961,46.6552,4.89755,3.84279,0.0234302,87.3058,0.770184
2025-03-12,136.348,47.9258,4.91521,3.86965,0.0367001,88.4217,0.770184
2025-03-13,136.248,46.5858,4.91448,3.84129,0.00890172,89.6623,0.770184
2025-03-14,140.355,48.2634,4.94417,3.87667,0.0214081,92.0914,0.770184
2025-03-17,145.337,49.9906,4.97905,3.91183,0.0297071,95.346,0.770184
2025-03-18,145.177,50.1891,4.97796,3.9158,0.0345143,94.9884,0.770184
2025-03-19,148.727,52.234,5.00212,3.95573,0.0558437,96.4934,0.770184
2025-03-20,151.094,51.9263,5.0179,3.94983,0.0377762,99.1677,0.770184
2025-03-21,149.115,51.1322,5.00472,3.93441,0.0325177,97.983,0.770184
2025-03-24,147.842,52.5814,4.99615,3.96236,0.0670699,95.2609,0.770184
2025-03-25,148.25,51.9362,4.9989,3.95002,0.0526019,96.3139,0.770184
2025-03-26,148.966,51.8568,5.00372,3.94849,0.0473612,97.1092,0.770184
2025-03-27,146.52,51.1222,4.98716,3.93422,0.0458465,95.3977,0.770184
2025-03-28,143.288,50.1395,4.96486,3.91481,0.0436135,93.1487,0.770184
2025-03-31,144.869,50.7152,4.97583,3.92623,0.0465794,94.154,0.770184
2025-04-01,145.804,50.7351,4.98226,3.92662,0.0420174,95.0689,0.770184
2025-04-02,147.067,51.8469,4.99089,3.94829,0.0570523,95.2199,0.770184
2025-04-03,127.866,44.2431,4.85098,3.7897,0.00621065,83.6225,0.770184
2025-04-04,120.388,38.0985,4.79072,3.64017,-0.0969024,82.2895,0.770184
2025-04-07,120.975,38.0488,4.79558,3.63887,-0.10195,82.9258,0.770184
2025-04-08,117.882,36.401,4.76969,3.5946,-0.12628,81.4811,0.770184
2025-04-09,130.68,42.1882,4.87275,3.74214,-0.0581126,88.4914,0.770184
2025-04-10,120.845,37.5624,4.79451,3.626,-0.113993,83.2829,0.770184
2025-04-11,122.735,39.1209,4.81002,3.66666,-0.085288,83.6137,0.770184
2025-04-14,124.147,38.9422,4.82146,3.66208,-0.0986758,85.2044,0.770184
2025-04-15,121.541,38.6643,4.80025,3.65492,-0.0895044,82.8771,0.770184
2025-04-16,123.371,39.8356,4.8152,3.68476,-0.0711665,83.5354,0.770184
2025-04-17,127,41.1658,4.84419,3.71761,-0.0606516,85.8347,0.770184
2025-04-21,126.006,39.7364,4.83633,3.68227,-0.0899387,86.2697,0.770184
2025-04-22,130.65,40.7191,4.87252,3.7067,-0.0933811,89.9307,0.770184
2025-04-23,133.543,40.5404,4.89443,3.7023,-0.114651,93.003,0.770184
2025-04-24,136.765,40.4511,4.91827,3.70009,-0.135217,96.3141,0.770184
2025-04-25,136.666,40.7687,4.91754,3.70792,-0.126835,95.897,0.770184
2025-04-28,136.805,41.2353,4.91856,3.71929,-0.11624,95.5696,0.770184
2025-04-29,137.531,40.7191,4.92385,3.7067,-0.132913,96.8117,0.770184
2025-04-30,136.636,39.25,4.91732,3.66995,-0.164632,97.3859,0.770184
2025-05-01,136.944,40.193,4.91957,3.69369,-0.142625,96.7511,0.770184
2025-05-02,140.753,40.7886,4.947,3.7084,-0.149042,99.964,0.770184
2025-05-05,142.523,39.3592,4.9595,3.67273,-0.19434,103.163,0.770184
2025-05-06,143.736,40.0342,4.96798,3.68973,-0.183863,103.701,0.770184
2025-05-07,143.875,39.7463,4.96894,3.68252,-0.191826,104.129,0.770184
2025-05-08,149.125,42.357,5.00479,3.74613,-0.155813,106.768,0.770184
2025-05-09,150.04,42.75,5.0109,3.75537,-0.151288,107.29,0.770184
2025-05-12,157.249,44.69,5.05783,3.79975,-0.143052,112.559,0.770184
2025-05-13,161.923,46.36,5.08712,3.83644,-0.128921,115.563,0.770184
2025-05-14,162.599,45.89,5.09129,3.82625,-0.142321,116.709,0.770184
2025-05-15,164.359,44.59,5.10205,3.79751,-0.17935,119.769,0.770184
