Date,MPC Raw Price,PSX Raw Price,MPC Log Price,PSX Log Price,Residual,Spread,Beta
2025-01-02,139.888,112.306,4.94084,4.72123,0.0021269,27.5817,0.716661
2025-01-03,141.124,113.955,4.94964,4.73581,0.0104005,27.1685,0.716661
2025-01-06,138.939,113.052,4.93403,4.72785,0.0136268,25.8866,0.716661
2025-01-07,140.056,113.072,4.94204,4.72802,0.00806079,26.9841,0.716661
2025-01-08,140.718,114.112,4.94676,4.73718,0.0138393,26.606,0.716661
2025-01-10,140.659,111.835,4.94634,4.71702,-0.00601736,28.8241,0.716661
2025-01-13,145.088,113.847,4.97734,4.73486,-0.010403,31.241,0.716661
2025-01-14,147.728,115.114,4.99537,4.74592,-0.0122637,32.6145,0.716661
2025-01-15,150.229,116.812,5.01216,4.76056,-0.0096522,33.4177,0.716661
2025-01-16,149.982,117.43,5.01052,4.76584,-0.00319192,32.5521,0.716661
2025-01-17,150.971,118.314,5.01709,4.77334,-0.000405622,32.6573,0.716661
2025-01-21,149.112,118.274,5.0047,4.77301,0.00814054,30.8379,0.716661
2025-01-22,145.939,116.37,4.98319,4.75677,0.00732651,29.5685,0.716661
2025-01-23,152.563,120.365,5.02758,4.79053,0.00926925,32.1975,0.716661
2025-01-24,149.893,119.619,5.00992,4.78431,0.0157026,30.2741,0.716661
2025-01-27,150.872,120.817,5.01643,4.79427,0.0209998,30.0553,0.716661
2025-01-28,148.934,118.952,5.0035,4.77872,0.0147067,29.9826,0.716661
2025-01-29,149.676,119.914,5.00847,4.78677,0.0192021,29.7621,0.716661
2025-01-30,148.262,118.618,4.99898,4.77591,0.0151393,29.6441,0.716661
2025-01-31,144.06,115.702,4.97023,4.75102,0.0108586,28.3576,0.716661
2025-02-03,145.335,115.693,4.97904,4.75094,0.00445694,29.6428,0.716661
2025-02-04,155.133,121.337,5.04428,4.79857,0.00533599,33.7963,0.716661
2025-02-05,155.529,121.052,5.04683,4.79622,0.00116257,34.4764,0.716661
2025-02-06,150.21,118.598,5.01203,4.77574,0.0056206,31.6114,0.716661
2025-02-07,148.42,118.088,5.00005,4.77143,0.00989645,30.3323,0.716661
2025-02-10,152.039,121.435,5.02413,4.79938,0.020585,30.6036,0.716661
2025-02-11,153.541,127.168,5.03397,4.84551,0.0596629,26.3737,0.716661
2025-02-12,147.52,122.741,4.99397,4.81007,0.052899,24.7798,0.716661
2025-02-13,152.345,123.231,5.02615,4.81406,0.033826,29.1137,0.716661
2025-02-14,154.293,125.685,5.03885,4.83378,0.04444,28.6074,0.716661
2025-02-18,157.229,127.884,5.0577,4.85113,0.0482727,29.3449,0.716661
2025-02-19,155.758,127.57,5.0483,4.84867,0.052553,28.1874,0.716661
2025-02-20,157.378,129.131,5.05865,4.86083,0.057294,28.2475,0.716661
2025-02-21,152.874,126.412,5.02961,4.83955,0.0568242,26.462,0.716661
2025-02-24,151.84,125.867,5.02283,4.83523,0.05737,25.9726,0.716661
2025-02-25,149.742,125.055,5.00891,4.82875,0.0608684,24.6867,0.716661
2025-02-26,145.476,124.243,4.98001,4.82224,0.0750653,21.233,0.716661
2025-02-27,147.146,126.194,4.99143,4.83782,0.0824652,20.9524,0.716661
2025-02-28,149.334,128.452,5.00618,4.85556,0.089626,20.8817,0.716661
2025-03-03,144.999,123.797,4.97672,4.81864,0.0738265,21.2014,0.716661
2025-03-04,141.817,121.123,4.95453,4.79681,0.0678903,20.6937,0.716661
2025-03-05,134.359,118.597,4.90051,4.77573,0.0855321,15.7616,0.716661
2025-03-06,136.785,121.618,4.91841,4.80089,0.097859,15.167,0.716661
2025-03-07,136.775,124.976,4.91834,4.82812,0.125145,11.7994,0.716661
2025-03-10,135.492,124.926,4.90892,4.82772,0.131501,10.5662,0.716661
2025-03-11,133.961,122.371,4.89755,4.80706,0.11898,11.5902,0.716661
2025-03-12,136.348,122.797,4.91521,4.81053,0.1098,13.5508,0.716661
2025-03-13,136.248,121.331,4.91448,4.79852,0.0983132,14.9173,0.716661
2025-03-14,140.355,125.52,4.94417,4.83247,0.110979,14.8343,0.716661
2025-03-17,145.337,127.957,4.97905,4.85169,0.105208,17.3796,0.716661
2025-03-18,145.177,127.184,4.97796,4.84564,0.099937,17.9931,0.716661
2025-03-19,148.727,127.769,5.00212,4.85022,0.0872081,20.9586,0.716661
2025-03-20,151.094,127.591,5.0179,4.84883,0.0744979,23.5034,0.716661
2025-03-21,149.115,124.292,5.00472,4.82264,0.0577555,24.8229,0.716661
2025-03-24,147.842,125.263,4.99615,4.83042,0.0716781,22.5794,0.716661
2025-03-25,148.25,124.292,4.9989,4.82264,0.0619254,23.9578,0.716661
2025-03-26,148.966,125.362,5.00372,4.83121,0.0670422,23.604,0.716661
2025-03-27,146.52,123.53,4.98716,4.81648,0.0641838,22.9902,0.716661
2025-03-28,143.288,120.598,4.96486,4.79246,0.0561483,22.6903,0.716661
2025-03-31,144.869,122.301,4.97583,4.80649,0.0623113,22.5678,0.716661
2025-04-01,145.804,123.163,4.98226,4.81351,0.0647231,22.6408,0.716661
2025-04-02,147.067,122.876,4.99089,4.81118,0.0562079,24.1908,0.716661
2025-04-03,127.866,106.157,4.85098,4.66492,0.0102183,21.7085,0.716661
2025-04-04,120.388,97.8669,4.79072,4.58361,-0.0279065,22.521,0.716661
2025-04-07,120.975,95.6681,4.79558,4.56089,-0.0541141,25.3065,0.716661
2025-04-08,117.882,91.9836,4.76969,4.52161,-0.0748303,25.8985,0.716661
2025-04-09,130.68,102.146,4.87275,4.6264,-0.0439023,28.5339,0.716661
2025-04-10,120.845,96.0643,4.79451,4.56502,-0.0492152,24.781,0.716661
2025-04-11,122.735,96.4506,4.81002,4.56903,-0.0563198,26.2841,0.716661
2025-04-14,124.147,96.8864,4.82146,4.57354,-0.0600093,27.2603,0.716661
2025-04-15,121.541,95.2917,4.80025,4.55694,-0.0614058,26.2497,0.716661
2025-04-16,123.371,95.6483,4.8152,4.56068,-0.0683789,27.7227,0.716661
2025-04-17,127,98.1542,4.84419,4.58654,-0.0632968,28.8463,0.716661
2025-04-21,126.006,96.0841,4.83633,4.56522,-0.0789788,29.922,0.716661
2025-04-22,130.65,99.937,4.87252,4.60454,-0.065599,30.7128,0.716661
2025-04-23,133.543,101.799,4.89443,4.623,-0.0628374,31.7444,0.716661
2025-04-24,136.765,103.691,4.91827,4.64141,-0.0615088,33.0743,0.716661
2025-04-25,136.666,102.978,4.91754,4.63451,-0.0678888,33.688,0.716661
2025-04-28,136.805,104.77,4.91856,4.65177,-0.0513593,32.0345,0.716661
2025-04-29,137.531,104.988,4.92385,4.65385,-0.0530743,32.5425,0.716661
2025-04-30,136.636,103.067,4.91732,4.63538,-0.0668671,33.5691,0.716661
2025-05-01,136.944,102.473,4.91957,4.62959,-0.0742647,34.4716,0.716661
2025-05-02,140.753,106.127,4.947,4.66464,-0.0588783,34.6252,0.716661
2025-05-05,142.523,105.88,4.9595,4.6623,-0.0701701,36.6428,0.716661
2025-05-06,143.736,104.384,4.96798,4.64808,-0.0904704,39.3515,0.716661
2025-05-07,143.875,104.543,4.96894,4.64959,-0.0896471,39.3323,0.716661
2025-05-08,149.125,108.148,5.00479,4.6835,-0.0814288,40.9773,0.716661
2025-05-09,150.04,109.861,5.0109,4.69922,-0.070092,40.1786,0.716661
2025-05-12,157.249,117.547,5.05783,4.76684,-0.0361031,39.7018,0.716661
2025-05-13,161.923,124.372,5.08712,4.82327,-0.00065962,37.5511,0.716661
2025-05-14,162.599,123.51,5.09129,4.81632,-0.0105987,39.089,0.716661
2025-05-15,164.359,123.579,5.10205,4.81688,-0.0177532,40.7796,0.716661
2025-05-16,163.195,124.53,5.09495,4.82455,-0.00499751,38.6654,0.716661
2025-05-19,161.356,122.18,5.08361,4.8055,-0.0159246,39.1758,0.716661
2025-05-20,160.62,120.9,5.07904,4.79496,-0.0231805,39.72,0.716661
2025-05-21,156.7,111.78,5.05433,4.71653,-0.0839043,44.92,0.716661
2025-05-22,158.89,112.98,5.06821,4.72721,-0.0831726,45.91,0.716661
2025-05-23,159.11,113.13,5.0696,4.72854,-0.0828375,45.98,0.716661
2025-05-27,162.33,114.33,5.08963,4.73909,-0.0866447,48,0.716661
2025-05-28,158.61,112.77,5.06645,4.72535,-0.0837691,45.84,0.716661
2025-05-29,159.92,114.68,5.07467,4.74215,-0.0728686,45.24,0.716661
2025-05-30,160.74,113.48,5.07979,4.73163,-0.0870529,47.26,0.716661
2025-06-02,158.75,114.28,5.06733,4.73865,-0.0711002,44.47,0.716661
2025-06-03,161.97,115.97,5.08741,4.75333,-0.0708111,46,0.716661
2025-06-04,156.95,112.48,5.05593,4.72278,-0.0788039,44.47,0.716661
2025-06-05,158.21,112.23,5.06392,4.72055,-0.0867595,45.98,0.716661
2025-06-06,160.12,114.29,5.07592,4.73874,-0.0771708,45.83,0.716661
2025-06-09,160.27,116.1,5.07686,4.75445,-0.0621291,44.17,0.716661
2025-06-10,162.64,118.7,5.09154,4.7766,-0.0505018,43.94,0.716661
2025-06-11,164.66,120.95,5.10388,4.79538,-0.04057,43.71,0.716661
2025-06-12,165.07,121.52,5.10637,4.80008,-0.0376506,43.55,0.716661
2025-06-13,166.15,122.15,5.11289,4.80525,-0.0371532,44,0.716661
