Date,MPC Raw Price,RRC Raw Price,MPC Log Price,RRC Log Price,Residual,Spread,Beta
2025-01-02,139.888,35.8827,4.94084,3.58026,-0.0189256,104.005,0.630147
2025-01-03,141.124,35.7434,4.94964,3.57636,-0.0283593,105.38,0.630147
2025-01-06,138.939,36.6392,4.93403,3.60112,0.00622733,102.3,0.630147
2025-01-07,140.056,36.6093,4.94204,3.6003,0.000365077,103.447,0.630147
2025-01-08,140.718,37.3459,4.94676,3.62022,0.0173117,103.372,0.630147
2025-01-10,140.659,37.9929,4.94634,3.6374,0.0347532,102.666,0.630147
2025-01-13,145.088,38.3114,4.97734,3.64575,0.0235649,106.777,0.630147
2025-01-14,147.728,39.4361,4.99537,3.67468,0.0411384,108.292,0.630147
2025-01-15,150.229,40.1429,5.01216,3.69244,0.0483196,110.087,0.630147
2025-01-16,149.982,41.0984,5.01052,3.71597,0.072882,108.884,0.630147
2025-01-17,150.971,40.8794,5.01709,3.71063,0.0633993,110.091,0.630147
2025-01-21,149.112,40.7799,5.0047,3.70819,0.0687678,108.332,0.630147
2025-01-22,145.939,40.8097,4.98319,3.70892,0.0830564,105.129,0.630147
2025-01-23,152.563,40.3718,5.02758,3.69813,0.0442945,112.191,0.630147
2025-01-24,149.893,39.9836,5.00992,3.68847,0.0457559,109.91,0.630147
2025-01-27,150.872,37.0971,5.01643,3.61354,-0.0332771,113.775,0.630147
2025-01-28,148.934,37.2264,5.0035,3.61702,-0.0216491,111.708,0.630147
2025-01-29,149.676,37.4156,5.00847,3.62209,-0.0197113,112.26,0.630147
2025-01-30,148.262,37.3957,4.99898,3.62155,-0.014263,110.866,0.630147
2025-01-31,144.06,36.8681,4.97023,3.60735,-0.0103535,107.192,0.630147
2025-02-03,145.335,37.2663,4.97904,3.61809,-0.00516657,108.069,0.630147
2025-02-04,155.133,37.5649,5.04428,3.62607,-0.0382963,117.568,0.630147
2025-02-05,155.529,38.7593,5.04683,3.65737,-0.00859927,116.769,0.630147
2025-02-06,150.21,37.4554,5.01203,3.62315,-0.0208914,112.754,0.630147
2025-02-07,148.42,37.0771,5.00005,3.613,-0.0234889,111.343,0.630147
2025-02-10,152.039,39.5257,5.02413,3.67695,0.0252832,112.513,0.630147
2025-02-11,153.541,39.3864,5.03397,3.67342,0.0155534,114.155,0.630147
2025-02-12,147.52,38.3014,4.99397,3.64549,0.0128293,109.219,0.630147
2025-02-13,152.345,38.6199,5.02615,3.65377,0.000831351,113.725,0.630147
2025-02-14,154.293,38.4906,5.03885,3.65041,-0.01053,115.802,0.630147
2025-02-18,157.229,38.7394,5.0577,3.65686,-0.0159655,118.49,0.630147
2025-02-19,155.758,39.7148,5.0483,3.68173,0.0148286,116.043,0.630147
2025-02-20,157.378,39.4859,5.05865,3.67594,0.0025239,117.892,0.630147
2025-02-21,152.874,38.3014,5.02961,3.64549,-0.00963341,114.572,0.630147
2025-02-24,151.84,37.8137,5.02283,3.63267,-0.0181719,114.026,0.630147
2025-02-25,149.742,37.326,5.00891,3.61969,-0.0223858,112.416,0.630147
2025-02-26,145.476,38.3711,4.98001,3.6473,0.0234416,107.105,0.630147
2025-02-27,147.146,36.2311,4.99143,3.58992,-0.0411406,110.915,0.630147
2025-02-28,149.334,36.9477,5.00618,3.6095,-0.0308528,112.386,0.630147
2025-03-03,144.999,36.6292,4.97672,3.60085,-0.0209459,108.369,0.630147
2025-03-04,141.817,37.6843,4.95453,3.62924,0.0214339,104.132,0.630147
2025-03-05,134.359,37.3558,4.90051,3.62049,0.0467203,97.0029,0.630147
2025-03-06,136.785,35.2158,4.91841,3.5615,-0.0235513,101.569,0.630147
2025-03-07,136.775,35.0566,4.91834,3.55696,-0.0280381,101.719,0.630147
2025-03-10,135.492,36.2908,4.90892,3.59156,0.0125013,99.2015,0.630147
2025-03-11,133.961,37.2762,4.89755,3.61836,0.0464547,96.6848,0.630147
2025-03-12,136.348,37.4255,4.91521,3.62235,0.0393249,98.922,0.630147
2025-03-13,136.248,37.2862,4.91448,3.61862,0.0360542,98.9619,0.630147
2025-03-14,140.355,38.234,4.94417,3.64373,0.0424449,102.121,0.630147
2025-03-17,145.337,38.8826,4.97905,3.66055,0.0372863,106.454,0.630147
