Date,MPC Raw Price,VLO Raw Price,MPC Log Price,VLO Log Price,Residual,Spread,Beta
2025-01-02,139.888,121.125,4.94084,4.79682,-0.00932206,18.7631,0.780947
2025-01-03,141.124,122.216,4.94964,4.80579,-0.00721804,18.9072,0.780947
2025-01-06,138.939,120.112,4.93403,4.78842,-0.0124042,18.827,0.780947
2025-01-07,140.056,121.951,4.94204,4.80362,-0.00346207,18.105,0.780947
2025-01-08,140.718,123.131,4.94676,4.81325,0.00248479,17.5871,0.780947
2025-01-10,140.659,125.059,4.94634,4.82879,0.018349,15.6,0.780947
2025-01-13,145.088,131.157,4.97734,4.8764,0.0417464,13.9313,0.780947
2025-01-14,147.728,131.855,4.99537,4.88171,0.0329756,15.8727,0.780947
2025-01-15,150.229,135.642,5.01216,4.91002,0.0481771,14.5874,0.780947
2025-01-16,149.982,137.078,5.01052,4.92055,0.059994,12.9042,0.780947
2025-01-17,150.971,138.73,5.01709,4.93253,0.0668452,12.2405,0.780947
2025-01-21,149.112,137.235,5.0047,4.9217,0.0656848,11.8768,0.780947
2025-01-22,145.939,132.859,4.98319,4.88928,0.0500731,13.08,0.780947
2025-01-23,152.563,138.396,5.02758,4.93012,0.0562407,14.1667,0.780947
2025-01-24,149.893,137.334,5.00992,4.92241,0.0623213,12.5595,0.780947
2025-01-27,150.872,138.986,5.01643,4.93437,0.0691982,11.8859,0.780947
2025-01-28,148.934,135.858,5.0035,4.91161,0.056533,13.0758,0.780947
2025-01-29,149.676,137.186,5.00847,4.92134,0.0623804,12.4895,0.780947
2025-01-30,148.262,134.281,4.99898,4.89993,0.0483864,13.9811,0.780947
2025-01-31,144.06,131.881,4.97023,4.8819,0.052807,12.1788,0.780947
2025-02-03,145.335,135.034,4.97904,4.90553,0.0695519,10.301,0.780947
2025-02-04,155.133,141.787,5.04428,4.95433,0.0674003,13.3461,0.780947
2025-02-05,155.529,139.358,5.04683,4.93704,0.0481295,16.1709,0.780947
2025-02-06,150.21,133.16,5.01203,4.89155,0.0298147,17.0493,0.780947
2025-02-07,148.42,131.961,5.00005,4.8825,0.0301231,16.4596,0.780947
2025-02-10,152.039,135.659,5.02413,4.91015,0.0389543,16.3795,0.780947
2025-02-11,153.541,135.738,5.03397,4.91073,0.0318577,17.803,0.780947
2025-02-12,147.52,129.809,4.99397,4.86606,0.0184311,17.7116,0.780947
2025-02-13,152.345,129.888,5.02615,4.86667,-0.00609045,22.457,0.780947
