Date,MTDR Raw Price,OKE Raw Price,MTDR Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,57.3103,99.4384,4.04848,4.59954,0.00498235,42.1281,0.537176
2025-01-03,58.2872,100.542,4.06538,4.61058,0.00694544,42.2553,0.537176
2025-01-06,57.5767,99.2918,4.05312,4.59806,0.00101596,41.7151,0.537176
2025-01-07,58.9286,99.282,4.07633,4.59796,-0.0115491,40.3535,0.537176
2025-01-08,59.2838,100.494,4.08234,4.61009,-0.00264779,41.2098,0.537176
2025-01-10,60.4383,99.4188,4.10162,4.59934,-0.023761,38.9805,0.537176
2025-01-13,61.1389,101.598,4.11315,4.62102,-0.00827231,40.4589,0.537176
2025-01-14,61.8987,103.611,4.1255,4.64064,0.00471096,41.7119,0.537176
2025-01-15,62.7769,104.431,4.13959,4.64853,0.00503349,41.6544,0.537176
2025-01-16,62.5401,106.171,4.13581,4.66505,0.0235808,43.6305,0.537176
2025-01-17,62.9249,106.464,4.14194,4.6678,0.0230426,43.5388,0.537176
2025-01-21,61.8888,107.333,4.12534,4.67594,0.040096,45.4445,0.537176
2025-01-22,62.2046,103.865,4.13043,4.64309,0.00451182,41.66,0.537176
2025-01-23,61.3757,102.487,4.11701,4.62973,-0.00163541,41.1112,0.537176
2025-01-24,60.31,102.135,4.0995,4.6263,0.00433561,41.8251,0.537176
2025-01-27,58.8102,98.1486,4.07431,4.58648,-0.0219504,39.3385,0.537176
2025-01-28,59.4811,98.2952,4.08566,4.58798,-0.0265524,38.814,0.537176
2025-01-29,59.4614,98.0802,4.08533,4.58579,-0.0285634,38.6188,0.537176
2025-01-30,58.751,97.5819,4.07331,4.58069,-0.0272001,38.831,0.537176
2025-01-31,57.2314,94.9438,4.0471,4.55328,-0.0405305,37.7124,0.537176
2025-02-03,56.7775,96.4152,4.03914,4.56866,-0.0208739,39.6378,0.537176
2025-02-04,57.5965,95.8128,4.05346,4.5624,-0.0348348,38.2164,0.537176
2025-02-05,57.2018,96.6917,4.04658,4.57153,-0.0220094,39.49,0.537176
2025-02-06,55.7216,94.6278,4.02037,4.54995,-0.029504,38.9061,0.537176
2025-02-07,55.9289,94.6179,4.02408,4.54985,-0.0316023,38.689,0.537176
2025-02-10,58.4747,97.462,4.06859,4.57946,-0.0258971,38.9874,0.537176
2025-02-11,58.5832,97.6991,4.07045,4.58189,-0.0244644,39.1159,0.537176
2025-02-12,55.6723,96.4054,4.01948,4.56856,-0.0104171,40.7331,0.537176
2025-02-13,56.363,97.7386,4.03181,4.5823,-0.00330653,41.3755,0.537176
