Date,MTDR Raw Price,SM Raw Price,MTDR Log Price,SM Log Price,Residual,Spread,Beta
2025-01-02,57.3103,39.607,4.04848,3.67901,0.0561871,17.7033,1.51165
2025-01-03,58.2872,40.0213,4.06538,3.68941,0.0410412,18.2659,1.51165
2025-01-06,57.5767,40.2974,4.05312,3.69629,0.0664562,17.2793,1.51165
2025-01-07,58.9286,42.0923,4.07633,3.73987,0.0749531,16.8362,1.51165
2025-01-08,59.2838,42.0628,4.08234,3.73916,0.0651649,17.221,1.51165
2025-01-10,60.4383,42.7531,4.10162,3.75544,0.0522892,17.6852,1.51165
2025-01-13,61.1389,43.118,4.11315,3.76394,0.0433662,18.0209,1.51165
2025-01-14,61.8987,43.3153,4.1255,3.76851,0.0292602,18.5834,1.51165
2025-01-15,62.7769,44.0747,4.13959,3.78588,0.0253437,18.7022,1.51165
2025-01-16,62.5401,43.5125,4.13581,3.77305,0.0182205,19.0276,1.51165
2025-01-17,62.9249,42.615,4.14194,3.75221,-0.0118939,20.3099,1.51165
2025-01-21,61.8888,41.3034,4.12534,3.72094,-0.0180603,20.5855,1.51165
2025-01-22,62.2046,41.2047,4.13043,3.71855,-0.0281439,20.9998,1.51165
2025-01-23,61.3757,40.6524,4.11701,3.70506,-0.02136,20.7233,1.51165
2025-01-24,60.31,39.7308,4.0995,3.68213,-0.017815,20.5792,1.51165
2025-01-27,58.8102,39.3344,4.07431,3.6721,0.0102263,19.4758,1.51165
2025-01-28,59.4811,39.3244,4.08566,3.67185,-0.00717504,20.1567,1.51165
2025-01-29,59.4614,39.6911,4.08533,3.68113,0.00260792,19.7703,1.51165
2025-01-30,58.751,39.2551,4.07331,3.67008,0.00973116,19.4959,1.51165
2025-01-31,57.2314,37.6199,4.0471,3.62753,0.00679605,19.6115,1.51165
2025-02-03,56.7775,37.0451,4.03914,3.61213,0.00343555,19.7324,1.51165
2025-02-04,57.5965,37.9271,4.05346,3.63567,0.00531674,19.6694,1.51165
2025-02-05,57.2018,37.5108,4.04658,3.62463,0.00467598,19.6909,1.51165
2025-02-06,55.7216,36.9063,4.02037,3.60838,0.0280583,18.8153,1.51165
2025-02-07,55.9289,37.0451,4.02408,3.61213,0.0261996,18.8838,1.51165
2025-02-10,58.4747,39.0569,4.06859,3.66502,0.0117948,19.4178,1.51165
2025-02-11,58.5832,40.2461,4.07045,3.69501,0.0389862,18.3371,1.51165
2025-02-12,55.6723,38.5613,4.01948,3.65225,0.0732652,17.111,1.51165
2025-02-13,56.363,38.6208,4.03181,3.65379,0.0561664,17.7422,1.51165
2025-02-14,56.4321,38.1748,4.03304,3.64218,0.0427004,18.2573,1.51165
2025-02-18,57.034,38.2739,4.04365,3.64477,0.0292548,18.7601,1.51165
2025-02-19,55.8795,38.4821,4.0232,3.65019,0.0655909,17.3975,1.51165
2025-02-20,55.7315,36.7775,4.02055,3.60489,0.0242935,18.954,1.51165
2025-02-21,52.4062,34.0422,3.95902,3.5276,0.0400081,18.364,1.51165
2025-02-24,52.6923,33.517,3.96447,3.51205,0.0162267,19.1754,1.51165
2025-02-25,51.7648,32.7836,3.94671,3.48993,0.02095,18.9812,1.51165
2025-02-26,51.4392,32.0799,3.9404,3.46823,0.00879204,19.3592,1.51165
2025-02-27,51.8141,32.2286,3.94766,3.47285,0.00243634,19.5855,1.51165
2025-02-28,51.9561,32.4169,3.9504,3.47868,0.00412615,19.5392,1.51165
2025-03-03,47.3898,29.7411,3.85841,3.39253,0.0570349,17.6487,1.51165
2025-03-04,46.0894,28.5915,3.83058,3.35311,0.0596742,17.4979,1.51165
2025-03-05,45.3846,27.2734,3.81517,3.30591,0.0357718,18.1112,1.51165
2025-03-06,44.4614,26.9067,3.79462,3.29238,0.0533018,17.5547,1.51165
2025-03-07,44.9379,27.3428,3.80528,3.30845,0.0532644,17.5951,1.51165
2025-03-10,44.6898,27.1248,3.79974,3.30045,0.0536297,17.565,1.51165
2025-03-11,46.6552,28.8095,3.84279,3.36071,0.0488261,17.8457,1.51165
2025-03-12,47.9258,29.5132,3.86965,3.38484,0.0323386,18.4127,1.51165
2025-03-13,46.5858,28.5122,3.84129,3.35033,0.0407057,18.0735,1.51165
2025-03-14,48.2634,29.7213,3.87667,3.39186,0.0287574,18.5421,1.51165
2025-03-17,49.9906,29.9889,3.91183,3.40083,-0.0154331,20.0017,1.51165
2025-03-18,50.1891,30.0285,3.9158,3.40215,-0.0201036,20.1606,1.51165
2025-03-19,52.234,30.9204,3.95573,3.43142,-0.0512019,21.3136,1.51165
2025-03-20,51.9263,30.6529,3.94983,3.42273,-0.0509615,21.2734,1.51165
2025-03-21,51.1322,30.3952,3.93441,3.41428,-0.036106,20.737,1.51165
2025-03-24,52.5814,31.525,3.96236,3.45078,-0.0418607,21.0565,1.51165
2025-03-25,51.9362,30.2564,3.95002,3.40971,-0.0642672,21.6798,1.51165
2025-03-26,51.8568,30.5141,3.94849,3.41819,-0.053474,21.3427,1.51165
2025-03-27,51.1222,29.9789,3.93422,3.4005,-0.0496014,21.1433,1.51165
2025-03-28,50.1395,29.1366,3.91481,3.37199,-0.0487608,21.0029,1.51165
2025-03-31,50.7152,29.6816,3.92623,3.39053,-0.0474855,21.0336,1.51165
2025-04-01,50.7351,29.5032,3.92662,3.3845,-0.0541053,21.2318,1.51165
2025-04-02,51.8469,30.2465,3.94829,3.40938,-0.0619922,21.6003,1.51165
2025-04-03,44.2431,25.103,3.7897,3.22299,-0.0086425,19.14,1.51165
2025-04-04,38.0985,22.0605,3.64017,3.09379,0.0881887,16.0379,1.51165
2025-04-07,38.0488,21.6146,3.63887,3.07337,0.0697365,16.4343,1.51165
2025-04-08,36.401,20.2073,3.5946,3.00604,0.0693395,16.1937,1.51165
2025-04-09,42.1882,24.3994,3.74214,3.19456,0.0348168,17.7889,1.51165
2025-04-10,37.5624,21.0497,3.626,3.04689,0.0627032,16.5128,1.51165
2025-04-11,39.1209,21.4758,3.66666,3.06693,0.0212928,17.6451,1.51165
2025-04-14,38.9422,21.7632,3.66208,3.08022,0.0415067,17.179,1.51165
2025-04-15,38.6643,21.5254,3.65492,3.06923,0.0413455,17.1389,1.51165
2025-04-16,39.8356,22.12,3.68476,3.09648,0.0234793,17.7156,1.51165
2025-04-17,41.1658,23.03,3.71761,3.1368,0.0141429,18.1358,1.51165
2025-04-21,39.7364,22.02,3.68227,3.09195,0.0227199,17.7164,1.51165
2025-04-22,40.7191,22.88,3.7067,3.13026,0.0241012,17.8391,1.51165
2025-04-23,40.5404,22.99,3.7023,3.13506,0.0355453,17.5504,1.51165
2025-04-24,40.4511,23.17,3.70009,3.14286,0.0466793,17.2811,1.51165
2025-04-25,40.7687,23.48,3.70792,3.15615,0.0481456,17.2887,1.51165
2025-04-28,41.2353,23.6,3.71929,3.16125,0.0360424,17.6353,1.51165
2025-04-29,40.7191,23.26,3.7067,3.14674,0.0405732,17.4591,1.51165
2025-04-30,39.25,22.79,3.66995,3.12632,0.0757086,16.46,1.51165
2025-05-01,40.193,23.67,3.69369,3.16421,0.0777051,16.523,1.51165
2025-05-02,40.7886,22.82,3.7084,3.12764,0.018898,17.9686,1.51165
2025-05-05,39.3592,21,3.67273,3.04452,-0.0102904,18.3592,1.51165
2025-05-06,40.0342,21.52,3.68973,3.06898,-0.0115354,18.5142,1.51165
