Date,MTDR Raw Price,WMB Raw Price,MTDR Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,57.3103,54.9218,4.04848,4.00591,-0.0324667,2.38853,-0.0492569
2025-01-03,58.2872,55.6294,4.06538,4.01871,-0.0188317,2.65777,-0.0492569
2025-01-06,57.5767,54.853,4.05312,4.00466,-0.0334917,2.72376,-0.0492569
2025-01-07,58.9286,54.5974,4.07633,3.99999,-0.0370181,4.33115,-0.0492569
2025-01-08,59.2838,55.423,4.08234,4.01499,-0.0217138,3.86078,-0.0492569
2025-01-10,60.4383,54.5679,4.10162,3.99945,-0.0363123,5.87035,-0.0492569
2025-01-13,61.1389,55.0692,4.11315,4.00859,-0.0266007,6.06969,-0.0492569
2025-01-14,61.8987,57.0644,4.1255,4.04418,0.00959738,4.8343,-0.0492569
2025-01-15,62.7769,57.0152,4.13959,4.04332,0.00942973,5.76165,-0.0492569
2025-01-16,62.5401,58.1652,4.13581,4.06329,0.0292119,4.37489,-0.0492569
2025-01-17,62.9249,58.1259,4.14194,4.06261,0.0288379,4.79903,-0.0492569
2025-01-21,61.8888,59.5903,4.12534,4.08749,0.0529024,2.2985,-0.0492569
2025-01-22,62.2046,58.1848,4.13043,4.06362,0.0292848,4.01974,-0.0492569
2025-01-23,61.3757,58.4699,4.11701,4.06851,0.0335107,2.90585,-0.0492569
2025-01-24,60.31,58.5485,4.0995,4.06986,0.0339918,1.76153,-0.0492569
2025-01-27,58.8102,53.6146,4.07431,3.98182,-0.055283,5.19558,-0.0492569
2025-01-28,59.4811,54.2534,4.08566,3.99367,-0.042879,5.22772,-0.0492569
2025-01-29,59.4614,54.3812,4.08533,3.99602,-0.040543,5.08021,-0.0492569
2025-01-30,58.751,55.6196,4.07331,4.01854,-0.018618,3.13137,-0.0492569
2025-01-31,57.2314,54.4795,4.0471,3.99782,-0.0406202,2.75188,-0.0492569
2025-02-03,56.7775,55.2363,4.03914,4.01162,-0.0272166,1.54118,-0.0492569
2025-02-04,57.5965,54.7645,4.05346,4.00304,-0.0350887,2.83195,-0.0492569
2025-02-05,57.2018,55.8751,4.04658,4.02312,-0.0153504,1.32663,-0.0492569
2025-02-06,55.7216,55.0495,4.02037,4.00823,-0.0315277,0.672108,-0.0492569
2025-02-07,55.9289,54.9807,4.02408,4.00698,-0.0325954,0.94812,-0.0492569
2025-02-10,58.4747,55.2068,4.06859,4.01109,-0.0262997,3.26788,-0.0492569
2025-02-11,58.5832,54.2927,4.07045,3.99439,-0.0429038,4.29047,-0.0492569
2025-02-12,55.6723,53.8799,4.01948,3.98676,-0.0530465,1.79235,-0.0492569
2025-02-13,56.363,56.4747,4.03181,4.03379,-0.00540517,0.111645,-0.0492569
2025-02-14,56.4321,56.0029,4.03304,4.0254,-0.0137336,0.429199,-0.0492569
2025-02-18,57.034,56.8088,4.04365,4.03969,0.00107745,0.225178,-0.0492569
2025-02-19,55.8795,57.2708,4.0232,4.04779,0.00816883,1.39126,-0.0492569
2025-02-20,55.7315,57.4477,4.02055,4.05087,0.0111225,1.71619,-0.0492569
2025-02-21,52.4062,56.455,3.95902,4.03344,-0.00933867,4.04885,-0.0492569
2025-02-24,52.6923,56.3469,3.96447,4.03153,-0.0109872,3.65458,-0.0492569
2025-02-25,51.7648,55.2166,3.94671,4.01126,-0.0321253,3.45184,-0.0492569
2025-02-26,51.4392,55.9243,3.9404,4.024,-0.0197016,4.48512,-0.0492569
2025-02-27,51.8141,55.2952,3.94766,4.01269,-0.0306555,3.48113,-0.0492569
2025-02-28,51.9561,57.1823,3.9504,4.04624,0.00303725,5.22626,-0.0492569
2025-03-03,47.3898,56.6123,3.85841,4.03623,-0.0115131,9.22245,-0.0492569
2025-03-04,46.0894,55.826,3.83058,4.02224,-0.0268698,9.73656,-0.0492569
2025-03-05,45.3846,55.2559,3.81517,4.01198,-0.0378926,9.8713,-0.0492569
2025-03-06,44.4614,53.6735,3.79462,3.98292,-0.0679604,9.21209,-0.0492569
2025-03-07,44.9379,53.4475,3.80528,3.9787,-0.071656,8.50956,-0.0492569
2025-03-10,44.6898,53.0937,3.79974,3.97206,-0.0785709,8.40389,-0.0492569
2025-03-11,46.6552,54.0077,3.84279,3.98913,-0.0593815,7.35247,-0.0492569
2025-03-12,47.9258,55.3346,3.86965,4.0134,-0.0337871,7.40871,-0.0492569
2025-03-13,46.5858,55.2166,3.84129,4.01126,-0.0373177,8.63087,-0.0492569
2025-03-14,48.2634,56.7934,3.87667,4.03942,-0.00741923,8.53003,-0.0492569
2025-03-17,49.9906,57.9041,3.91183,4.05879,0.0136805,7.91347,-0.0492569
2025-03-18,50.1891,57.914,3.9158,4.05896,0.014047,7.72486,-0.0492569
2025-03-19,52.234,58.8263,3.95573,4.07459,0.0316447,6.59231,-0.0492569
2025-03-20,51.9263,59.2527,3.94983,4.08181,0.0385763,7.32646,-0.0492569
2025-03-21,51.1322,59.104,3.93441,4.0793,0.0353035,7.97184,-0.0492569
2025-03-24,52.5814,60.5816,3.96236,4.10399,0.0613729,8.00015,-0.0492569
2025-03-25,51.9362,60.4031,3.95002,4.10104,0.0578139,8.46688,-0.0492569
2025-03-26,51.8568,59.4511,3.94849,4.08515,0.0418521,7.59428,-0.0492569
2025-03-27,51.1222,58.9354,3.93422,4.07644,0.0324376,7.81318,-0.0492569
2025-03-28,50.1395,58.6974,3.91481,4.0724,0.0274349,8.55792,-0.0492569
2025-03-31,50.7152,59.2627,3.92623,4.08198,0.0375812,8.54742,-0.0492569
2025-04-01,50.7351,60.0659,3.92662,4.09544,0.0510637,9.33083,-0.0492569
2025-04-02,51.8469,61.0873,3.94829,4.1123,0.0689936,9.24047,-0.0492569
2025-04-03,44.2431,58.5387,3.7897,4.06969,0.0185656,14.2957,-0.0492569
2025-04-04,38.0985,54.1159,3.64017,3.99113,-0.067361,16.0174,-0.0492569
2025-04-07,38.0488,54.3935,3.63887,3.99625,-0.0623074,16.3447,-0.0492569
2025-04-08,36.401,53.8779,3.5946,3.98672,-0.0740138,17.4768,-0.0492569
2025-04-09,42.1882,55.9505,3.74214,4.02447,-0.028999,13.7622,-0.0492569
2025-04-10,37.5624,54.6117,3.626,4.00025,-0.0589382,17.0493,-0.0492569
2025-04-11,39.1209,55.9207,3.66666,4.02393,-0.033249,16.7998,-0.0492569
2025-04-14,38.9422,56.8826,3.66208,4.04099,-0.0164191,17.9404,-0.0492569
2025-04-15,38.6643,58.0528,3.65492,4.06135,0.00359115,19.3885,-0.0492569
2025-04-16,39.8356,57.7751,3.68476,4.05656,0.000266676,17.9395,-0.0492569
2025-04-17,41.1658,58.1321,3.71761,4.06272,0.00804473,16.9663,-0.0492569
2025-04-21,39.7364,55.9703,3.68227,4.02482,-0.0315939,16.2339,-0.0492569
2025-04-22,40.7191,57.7156,3.7067,4.05553,0.000316742,16.9965,-0.0492569
2025-04-23,40.5404,57.9933,3.7023,4.06033,0.00489962,17.4529,-0.0492569
2025-04-24,40.4511,59.1139,3.70009,4.07947,0.0239294,18.6628,-0.0492569
2025-04-25,40.7687,58.5387,3.70792,4.06969,0.0145372,17.77,-0.0492569
2025-04-28,41.2353,59.1635,3.71929,4.0803,0.0257137,17.9282,-0.0492569
2025-04-29,40.7191,59.1734,3.7067,4.08047,0.0252607,18.4543,-0.0492569
2025-04-30,39.25,58.0826,3.66995,4.06187,0.00484396,18.8326,-0.0492569
2025-05-01,40.193,58.3106,3.69369,4.06578,0.00993264,18.1177,-0.0492569
2025-05-02,40.7886,59.5007,3.7084,4.08599,0.0308599,18.7121,-0.0492569
2025-05-05,39.3592,59.6693,3.67273,4.08882,0.0319321,20.3101,-0.0492569
2025-05-06,40.0342,58.2115,3.68973,4.06408,0.00803557,18.1773,-0.0492569
2025-05-07,39.7463,58.4495,3.68252,4.06816,0.0117603,18.7032,-0.0492569
2025-05-08,42.357,56.5851,3.74613,4.03575,-0.0175228,14.2281,-0.0492569
2025-05-09,42.75,57.1801,3.75537,4.04621,-0.00660745,14.4301,-0.0492569
2025-05-12,44.69,56.6546,3.79975,4.03697,-0.0136557,11.9646,-0.0492569
2025-05-13,46.36,57.5867,3.83644,4.05329,0.00447115,11.2267,-0.0492569
2025-05-14,45.89,57.7156,3.82625,4.05553,0.0062054,11.8256,-0.0492569
2025-05-15,44.59,58.2809,3.79751,4.06527,0.0145361,13.6909,-0.0492569
2025-05-16,44.54,58.3007,3.79639,4.06561,0.014821,13.7607,-0.0492569
2025-05-19,44.29,58.0528,3.79076,4.06135,0.0102823,13.7628,-0.0492569
2025-05-20,44.28,58.2809,3.79053,4.06527,0.0141924,14.0009,-0.0492569
2025-05-21,43.55,57.4479,3.77391,4.05088,-0.00102257,13.8979,-0.0492569
2025-05-22,43.6,57.2694,3.77506,4.04777,-0.00407807,13.6694,-0.0492569
2025-05-23,43.4,58.4991,3.77046,4.06901,0.0169401,15.0991,-0.0492569
2025-05-27,44.16,59.5998,3.78782,4.08765,0.036437,15.4398,-0.0492569
2025-05-28,43.83,60.1155,3.78032,4.09627,0.0446826,16.2855,-0.0492569
2025-05-29,44.04,59.7684,3.7851,4.09048,0.0391276,15.7284,-0.0492569
2025-05-30,43.01,60.0064,3.76143,4.09445,0.0419361,16.9964,-0.0492569
2025-06-02,43.51,60.7601,3.77299,4.10693,0.0549872,17.2501,-0.0492569
2025-06-03,45.8,60.6014,3.82428,4.10432,0.0548989,14.8014,-0.0492569
2025-06-04,45.01,59.6197,3.80688,4.08799,0.0377089,14.6097,-0.0492569
2025-06-05,44.77,60.056,3.80154,4.09528,0.0447376,15.286,-0.0492569
2025-06-06,45.79,60.056,3.82407,4.09528,0.0458473,14.266,-0.0492569
2025-06-09,46.66,59.1635,3.84289,4.0803,0.0318015,12.5035,-0.0492569
2025-06-10,47.93,58.4693,3.86974,4.0685,0.0213217,10.5393,-0.0492569
2025-06-11,49.02,58.9255,3.89223,4.07627,0.0302009,9.90549,-0.0492569
2025-06-12,49.5,59.58,3.90197,4.08732,0.0417271,10.08,-0.0492569
2025-06-13,51.64,59.78,3.9443,4.09067,0.047163,8.14,-0.0492569
