Date,MUR Raw Price,APA Raw Price,MUR Log Price,APA Log Price,Residual,Spread,Beta
2025-01-02,30.1631,22.7603,3.40662,3.12502,-0.028431,7.40281,0.98879
2025-01-03,30.0559,22.7992,3.40306,3.12673,-0.0232022,7.2567,0.98879
2025-01-06,29.9682,23.0328,3.40014,3.13692,-0.0101179,6.93538,0.98879
2025-01-07,30.8256,23.0328,3.42834,3.13692,-0.0380086,7.79273,0.98879
2025-01-08,31.9265,23.0523,3.46344,3.13777,-0.0718617,8.87417,0.98879
2025-01-10,32.3746,23.0523,3.47738,3.13777,-0.0856451,9.32233,0.98879
2025-01-13,32.9592,23.7337,3.49527,3.1669,-0.0742071,9.22544,0.98879
2025-01-14,33.0274,24.1913,3.49734,3.18599,-0.0571564,8.8361,0.98879
2025-01-15,32.5987,24.7754,3.48427,3.20985,-0.0203803,7.82333,0.98879
2025-01-16,32.1993,24.4833,3.47194,3.19799,-0.0200475,7.71593,0.98879
2025-01-17,31.4101,23.7532,3.44713,3.16772,-0.0257867,7.6569,0.98879
2025-01-21,30.6794,23.0718,3.42359,3.13861,-0.0316206,7.60765,0.98879
2025-01-22,30.0656,22.9832,3.40338,3.13476,-0.0154834,7.08242,0.98879
2025-01-23,29.6175,23.1308,3.38836,3.14117,0.00576736,6.48667,0.98879
2025-01-24,28.9745,22.9439,3.36642,3.13305,0.0193563,6.0306,0.98879
2025-01-27,28.7894,23.0029,3.36001,3.13562,0.0282634,5.78646,0.98879
2025-01-28,28.4484,22.9635,3.34809,3.13391,0.0383325,5.48482,0.98879
2025-01-29,28.4289,22.8061,3.34741,3.12703,0.0321312,5.62276,0.98879
2025-01-30,26.7629,22.6192,3.28702,3.1188,0.0836128,4.14371,0.98879
2025-01-31,25.9445,21.5763,3.25596,3.0716,0.067117,4.36823,0.98879
2025-02-03,24.8923,21.1237,3.21456,3.0504,0.086855,3.76862,0.98879
2025-02-04,25.7886,22.0289,3.24993,3.09235,0.0938347,3.75977,0.98879
2025-02-05,25.9932,21.8321,3.25784,3.08338,0.0770484,4.16114,0.98879
2025-02-06,25.623,21.291,3.24349,3.05828,0.0661346,4.33205,0.98879
2025-02-07,26.1296,21.3205,3.26307,3.05967,0.0481604,4.80915,0.98879
2025-02-10,27.3085,22.6192,3.3072,3.1188,0.0636581,4.68929,0.98879
2025-02-11,27.9905,22.934,3.33186,3.13262,0.0530913,5.05644,0.98879
2025-02-12,26.9675,22.0092,3.29463,3.09146,0.048744,4.9583,0.98879
2025-02-13,27.2013,22.1273,3.30327,3.09681,0.0455576,5.07406,0.98879
2025-02-14,27.5326,22.7668,3.31537,3.1253,0.062081,4.76579,0.98879
2025-02-18,27.7839,23.1898,3.32446,3.14371,0.071508,4.59406,0.98879
2025-02-19,27.981,23.2095,3.33153,3.14456,0.0653658,4.7715,0.98879
2025-02-20,27.7938,23.239,3.32481,3.14583,0.0732764,4.55472,0.98879
2025-02-21,26.9166,22.4224,3.29274,3.11006,0.0692141,4.49415,0.98879
2025-02-24,27.3108,22.5011,3.30728,3.11357,0.0583409,4.80968,0.98879
2025-02-25,27.2615,22.019,3.30548,3.09191,0.0384682,5.2425,0.98879
2025-02-26,26.542,21.655,3.27873,3.07524,0.0482441,4.88704,0.98879
2025-02-27,26.3351,20.0906,3.2709,3.00025,-0.0189972,6.24442,0.98879
2025-02-28,26.1084,20.3661,3.26226,3.01387,0.00316985,5.74225,0.98879
2025-03-03,24.1076,18.5853,3.18253,2.92237,-0.00949681,5.52231,0.98879
2025-03-04,24.0781,18.2705,3.1813,2.90529,-0.0253686,5.80758,0.98879
2025-03-05,23.674,18.241,3.16438,2.90367,-0.01025,5.433,0.98879
2025-03-06,23.812,18.4476,3.17019,2.91493,-0.00473331,5.36437,0.98879
2025-03-07,24.9947,18.5361,3.21866,2.91972,-0.0478761,6.45853,0.98879
2025-03-10,25.2805,18.7132,3.23003,2.92923,-0.0496103,6.56726,0.98879
2025-03-11,24.8862,18.8903,3.21432,2.93865,-0.0246498,5.99592,0.98879
2025-03-12,24.768,19.3331,3.20955,2.96182,0.00322767,5.43491,0.98879
2025-03-13,24.5216,18.7329,3.19955,2.93028,-0.0184216,5.78867,0.98879
2025-03-14,25.6649,19.2937,3.24512,2.95978,-0.0339828,6.37116,0.98879
2025-03-17,26.2759,19.7069,3.26865,2.98097,-0.0360581,6.569,0.98879
2025-03-18,25.724,19.8447,3.24742,2.98794,-0.00810186,5.87933,0.98879
2025-03-19,26.7096,20.4744,3.28502,3.01917,-0.0140415,6.23524,0.98879
2025-03-20,26.4435,20.2382,3.27501,3.00757,-0.0157406,6.20526,0.98879
2025-03-21,26.3154,20.2776,3.27015,3.00952,-0.0089952,6.03778,0.98879
2025-03-24,26.8673,20.5039,3.29091,3.02061,-0.0184216,6.36342,0.98879
2025-03-25,27.3404,20.5531,3.30836,3.02301,-0.0332846,6.78731,0.98879
2025-03-26,27.9416,20.7597,3.33012,3.03301,-0.0447899,7.18191,0.98879
2025-03-27,28.0894,20.8581,3.33539,3.03774,-0.0452797,7.23136,0.98879
2025-03-28,27.9613,20.5826,3.33082,3.02445,-0.0540547,7.37872,0.98879
2025-03-31,27.9909,20.681,3.33188,3.02921,-0.0503308,7.3099,0.98879
2025-04-01,28.3358,20.7892,3.34413,3.03443,-0.0572229,7.54663,0.98879
2025-04-02,28.7892,20.8974,3.36,3.03963,-0.0677259,7.89178,0.98879
2025-04-03,25.0439,17.4539,3.22063,2.85956,-0.109984,7.59007,0.98879
2025-04-04,21.9985,14.9352,3.09097,2.70372,-0.137621,7.0633,0.98879
2025-04-07,21.1508,14.7187,3.05168,2.68912,-0.113368,6.43214,0.98879
2025-04-08,19.3374,13.8037,2.96204,2.62494,-0.0889135,5.53364,0.98879
2025-04-09,22.8461,16.4405,3.12878,2.79975,-0.0789754,6.40559,0.98879
2025-04-10,19.6823,14.3645,2.97972,2.66476,-0.0665732,5.31779,0.98879
2025-04-11,20.5693,14.7974,3.0238,2.69445,-0.080469,5.77193,0.98879
2025-04-14,20.2342,14.9548,3.00738,2.70503,-0.0536455,5.27941,0.98879
2025-04-15,19.8302,14.6498,2.9872,2.68443,-0.0543044,5.18031,0.98879
2025-04-16,20.2934,15.1221,3.01029,2.71616,-0.045409,5.17128,0.98879
2025-04-17,21.0621,15.8502,3.04748,2.76318,-0.035152,5.21198,0.98879
2025-04-21,20.5299,15.25,3.02188,2.72458,-0.0484453,5.27992,0.98879
2025-04-22,21.0819,15.86,3.04841,2.7638,-0.0354564,5.22185,0.98879
2025-04-23,20.2934,15.65,3.01029,2.75047,-0.0110951,4.64338,0.98879
2025-04-24,20.5299,16.26,3.02188,2.78871,0.0156833,4.26992,0.98879
2025-04-25,20.7665,16.35,3.03334,2.79423,0.00987559,4.41646,0.98879
2025-04-28,20.9044,16.55,3.03996,2.80639,0.0154854,4.35445,0.98879
2025-04-29,20.9143,16.24,3.04043,2.78748,-0.00388937,4.6743,0.98879
2025-04-30,20.2342,15.54,3.00738,2.74342,-0.0152631,4.69425,0.98879
2025-05-01,20.8059,16.22,3.03524,2.78625,1.72459e-05,4.58589,0.98879
2025-05-02,21.4662,16.46,3.06648,2.80093,-0.0161897,5.00624,0.98879
2025-05-05,20.3131,15.5,3.01127,2.74084,-0.021686,4.81309,0.98879
2025-05-06,20.6975,15.73,3.03001,2.75557,-0.0254922,4.96747,0.98879
2025-05-07,20.6975,15.48,3.03001,2.73955,-0.041513,5.21747,0.98879
2025-05-08,21.072,16.18,3.04795,2.78378,-0.0150184,4.892,0.98879
2025-05-09,21.5451,16.72,3.07015,2.81661,-0.00414244,4.82508,0.98879
2025-05-12,22.6489,17.71,3.12011,2.87413,0.00397572,4.93895,0.98879
2025-05-13,22.9939,18.46,3.13523,2.91561,0.0305061,4.53391,0.98879
2025-05-14,22.6489,18.17,3.12011,2.89977,0.0296182,4.47895,0.98879
2025-05-15,22.235,17.76,3.10167,2.87695,0.0250342,4.475,0.98879
2025-05-16,22.08,17.59,3.09467,2.86733,0.0223329,4.49,0.98879
2025-05-19,21.62,17.32,3.07362,2.85186,0.0276816,4.3,0.98879
2025-05-20,21.61,17.25,3.07316,2.84781,0.0240893,4.36,0.98879
2025-05-21,20.93,16.71,3.04118,2.81601,0.0238987,4.22,0.98879
2025-05-22,21,16.74,3.04452,2.8178,0.022391,4.26,0.98879
2025-05-23,20.89,16.85,3.03927,2.82435,0.0341337,4.04,0.98879
2025-05-27,21.43,17.31,3.06479,2.85128,0.0358321,4.12,0.98879
2025-05-28,21.23,17.18,3.05542,2.84375,0.0375652,4.05,0.98879
2025-05-29,21.25,17.34,3.05636,2.85302,0.0459042,3.91,0.98879
2025-05-30,20.93,17.01,3.04118,2.8338,0.0416929,3.92,0.98879
2025-06-02,21.27,17.33,3.0573,2.85244,0.0443971,3.94,0.98879
2025-06-03,22.03,18.27,3.09241,2.90526,0.0625044,3.76,0.98879
2025-06-04,21.67,17.92,3.07593,2.88592,0.0594531,3.75,0.98879
2025-06-05,21.54,17.85,3.06991,2.882,0.0614888,3.69,0.98879
2025-06-06,22.5,18.5,3.11352,2.91777,0.0541412,4,0.98879
2025-06-09,23.02,18.63,3.13636,2.92477,0.0385516,4.39,0.98879
2025-06-10,23.79,19.28,3.16927,2.95907,0.0403137,4.51,0.98879
2025-06-11,24.32,19.61,3.1913,2.97604,0.0354983,4.71,0.98879
2025-06-12,24.41,19.95,3.19499,2.99323,0.0490354,4.46,0.98879
2025-06-13,25.43,21.01,3.23593,3.045,0.0603269,4.42,0.98879
