Date,MUR Raw Price,AR Raw Price,MUR Log Price,AR Log Price,Residual,Spread,Beta
2025-01-02,30.1631,35.57,3.40662,3.5715,-0.10385,5.40693,0.230002
2025-01-03,30.0559,34.94,3.40306,3.55363,-0.120901,4.8841,0.230002
2025-01-06,29.9682,36.01,3.40014,3.5838,-0.0900651,6.04178,0.230002
2025-01-07,30.8256,36.68,3.42834,3.60223,-0.0781178,5.85444,0.230002
2025-01-08,31.9265,37.86,3.46344,3.6339,-0.0545254,5.93352,0.230002
2025-01-10,32.3746,38.32,3.47738,3.64597,-0.0456547,5.94536,0.230002
2025-01-13,32.9592,38.3,3.49527,3.64545,-0.0502926,5.34081,0.230002
2025-01-14,33.0274,38.59,3.49734,3.65299,-0.0432248,5.56261,0.230002
2025-01-15,32.5987,40.23,3.48427,3.69461,0.00139989,7.63129,0.230002
2025-01-16,32.1993,40.57,3.47194,3.70303,0.0126515,8.37073,0.230002
2025-01-17,31.4101,40.46,3.44713,3.70031,0.0156436,9.04988,0.230002
2025-01-21,30.6794,39.93,3.42359,3.68713,0.00787151,9.25058,0.230002
2025-01-22,30.0656,40.74,3.40338,3.70721,0.0326022,10.6744,0.230002
2025-01-23,29.6175,40.55,3.38836,3.70254,0.0313817,10.9325,0.230002
2025-01-24,28.9745,40.15,3.36642,3.69262,0.0265169,11.1755,0.230002
2025-01-27,28.7894,36.35,3.36001,3.59319,-0.0714373,7.56064,0.230002
2025-01-28,28.4484,37.22,3.34809,3.61685,-0.0450447,8.77163,0.230002
2025-01-29,28.4289,37.35,3.34741,3.62033,-0.0414005,8.92111,0.230002
2025-01-30,26.7629,37.85,3.28702,3.63363,-0.0142128,11.0871,0.230002
2025-01-31,25.9445,37.32,3.25596,3.61953,-0.0211714,11.3755,0.230002
2025-02-03,24.8923,38.33,3.21456,3.64623,0.0150545,13.4377,0.230002
2025-02-04,25.7886,38.73,3.24993,3.65661,0.0172998,12.9414,0.230002
2025-02-05,25.9932,39.6,3.25784,3.67883,0.0376968,13.6068,0.230002
2025-02-06,25.623,38.3,3.24349,3.64545,0.00761709,12.677,0.230002
2025-02-07,26.1296,37.85,3.26307,3.63363,-0.00870506,11.7204,0.230002
2025-02-10,27.3085,40.02,3.3072,3.68938,0.0368939,12.7115,0.230002
2025-02-11,27.9905,40.02,3.33186,3.68938,0.0312206,12.0295,0.230002
2025-02-12,26.9675,39.38,3.29463,3.67326,0.0236627,12.4125,0.230002
2025-02-13,27.2013,40.15,3.30327,3.69262,0.0410415,12.9487,0.230002
2025-02-14,27.5326,39.84,3.31537,3.68487,0.0305064,12.3074,0.230002
2025-02-18,27.7839,39.74,3.32446,3.68236,0.0259033,11.9561,0.230002
2025-02-19,27.981,40.35,3.33153,3.69759,0.0395103,12.369,0.230002
2025-02-20,27.7938,39.51,3.32481,3.67655,0.0200172,11.7162,0.230002
2025-02-21,26.9166,38.15,3.29274,3.64153,-0.00763482,11.2334,0.230002
2025-02-24,27.3108,37.9,3.30728,3.63495,-0.0175538,10.5892,0.230002
2025-02-25,27.2615,37.35,3.30548,3.62033,-0.0317567,10.0885,0.230002
2025-02-26,26.542,37.04,3.27873,3.612,-0.0339394,10.498,0.230002
2025-02-27,26.3351,35.58,3.2709,3.57178,-0.0723535,9.24493,0.230002
2025-02-28,26.1084,36.7,3.26226,3.60278,-0.0393721,10.5916,0.230002
2025-03-03,24.1076,36.15,3.18253,3.58768,-0.0361342,12.0424,0.230002
2025-03-04,24.0781,36.52,3.1813,3.59786,-0.0256689,12.4419,0.230002
2025-03-05,23.674,36.38,3.16438,3.59402,-0.025617,12.706,0.230002
2025-03-06,23.812,33.78,3.17019,3.51987,-0.101104,9.96805,0.230002
2025-03-07,24.9947,33.64,3.21866,3.51572,-0.116406,8.64534,0.230002
2025-03-10,25.2805,34.69,3.23003,3.54645,-0.0882859,9.40951,0.230002
2025-03-11,24.8862,35.86,3.21432,3.57962,-0.0514998,10.9738,0.230002
2025-03-12,24.768,36.01,3.20955,3.5838,-0.04623,11.242,0.230002
2025-03-13,24.5216,36.37,3.19955,3.59374,-0.0339828,11.8484,0.230002
2025-03-14,25.6649,37.57,3.24512,3.62621,-0.0120023,11.9051,0.230002
2025-03-17,26.2759,38.9,3.26865,3.66099,0.0173741,12.6241,0.230002
2025-03-18,25.724,39.87,3.24742,3.68562,0.0468867,14.146,0.230002
2025-03-19,26.7096,41.02,3.28502,3.71406,0.0666746,14.3104,0.230002
2025-03-20,26.4435,40.97,3.27501,3.71284,0.0677579,14.5265,0.230002
2025-03-21,26.3154,40.77,3.27015,3.70795,0.0639815,14.4546,0.230002
2025-03-24,26.8673,41.21,3.29091,3.71868,0.0699418,14.3427,0.230002
2025-03-25,27.3404,41.42,3.30836,3.72376,0.07101,14.0796,0.230002
2025-03-26,27.9416,40.97,3.33012,3.71284,0.0550834,13.0284,0.230002
2025-03-27,28.0894,39.53,3.33539,3.67706,0.0180894,11.4406,0.230002
2025-03-28,27.9613,39.69,3.33082,3.6811,0.0231803,11.7287,0.230002
2025-03-31,27.9909,40.44,3.33188,3.69982,0.0416573,12.4491,0.230002
2025-04-01,28.3358,40.92,3.34413,3.71162,0.0506396,12.5842,0.230002
2025-04-02,28.7892,42,3.36,3.73767,0.0730395,13.2108,0.230002
2025-04-03,25.0439,38.79,3.22063,3.65816,0.0255874,13.7461,0.230002
2025-04-04,21.9985,33.46,3.09097,3.51035,-0.0924025,11.4615,0.230002
2025-04-07,21.1508,34.15,3.05168,3.53076,-0.0629532,12.9992,0.230002
2025-04-08,19.3374,32.24,2.96204,3.47321,-0.0998902,12.9026,0.230002
2025-04-09,22.8461,34.89,3.12878,3.5522,-0.0592485,12.0439,0.230002
2025-04-10,19.6823,31.92,2.97972,3.46323,-0.113932,12.2377,0.230002
2025-04-11,20.5693,33.1,3.0238,3.49953,-0.0877706,12.5307,0.230002
2025-04-14,20.2342,33.23,3.00738,3.50345,-0.0800729,12.9958,0.230002
2025-04-15,19.8302,33.1,2.9872,3.49953,-0.0793529,13.2698,0.230002
2025-04-16,20.2934,34.3,3.01029,3.53515,-0.0490518,14.0066,0.230002
2025-04-17,21.0621,34.42,3.04748,3.53864,-0.0541115,13.3579,0.230002
2025-04-21,20.5299,32.06,3.02188,3.46761,-0.119253,11.5301,0.230002
2025-04-22,21.0819,32.83,3.04841,3.49134,-0.101622,11.7481,0.230002
2025-04-23,20.2934,34.29,3.01029,3.53485,-0.0493433,13.9966,0.230002
2025-04-24,20.5299,34.54,3.02188,3.54212,-0.0447445,14.0101,0.230002
2025-04-25,20.7665,35.33,3.03334,3.56473,-0.0247649,14.5635,0.230002
2025-04-28,20.9044,35.93,3.03996,3.58157,-0.00944804,15.0256,0.230002
2025-04-29,20.9143,36.18,3.04043,3.58851,-0.00262257,15.2657,0.230002
2025-04-30,20.2342,34.83,3.00738,3.55048,-0.0330468,14.5958,0.230002
2025-05-01,20.8059,34.65,3.03524,3.5453,-0.0446359,13.8441,0.230002
2025-05-02,21.4662,35.76,3.06648,3.57683,-0.0202903,14.2938,0.230002
2025-05-05,20.3131,35.49,3.01127,3.56925,-0.0151694,15.1769,0.230002
2025-05-06,20.6975,35.5,3.03001,3.56953,-0.0191994,14.8025,0.230002
2025-05-07,20.6975,36.71,3.03001,3.60305,0.0143171,16.0125,0.230002
2025-05-08,21.072,37.39,3.04795,3.6214,0.0285465,16.318,0.230002
2025-05-09,21.5451,38.71,3.07015,3.6561,0.0581345,17.1649,0.230002
2025-05-12,22.6489,39.4,3.12011,3.67377,0.0643102,16.7511,0.230002
2025-05-13,22.9939,41.04,3.13523,3.71455,0.101615,18.0461,0.230002
2025-05-14,22.6489,40.5,3.12011,3.7013,0.0918463,17.8511,0.230002
2025-05-15,22.235,40.23,3.10167,3.69461,0.0893999,17.995,0.230002
2025-05-16,22.08,39.8,3.09467,3.68387,0.0802628,17.72,0.230002
2025-05-19,21.62,39.42,3.07362,3.67427,0.0755114,17.8,0.230002
2025-05-20,21.61,39.77,3.07316,3.68311,0.0844575,18.16,0.230002
2025-05-21,20.93,39.11,3.04118,3.66638,0.0750766,18.18,0.230002
2025-05-22,21,39.05,3.04452,3.66484,0.0727733,18.05,0.230002
2025-05-23,20.89,39.49,3.03927,3.67605,0.0851859,18.6,0.230002
2025-05-27,21.43,40.17,3.06479,3.69312,0.0963888,18.74,0.230002
2025-05-28,21.23,38.97,3.05542,3.66279,0.0682172,17.74,0.230002
2025-05-29,21.25,38.84,3.05636,3.65945,0.0646591,17.59,0.230002
2025-05-30,20.93,37.45,3.04118,3.62301,0.0317051,16.52,0.230002
2025-06-02,21.27,38.65,3.0573,3.65455,0.0595389,17.38,0.230002
2025-06-03,22.03,38.36,3.09241,3.64702,0.0439326,16.33,0.230002
2025-06-04,21.67,37.3,3.07593,3.61899,0.0197002,15.63,0.230002
2025-06-05,21.54,37.19,3.06991,3.61604,0.0181307,15.65,0.230002
2025-06-06,22.5,38.65,3.11352,3.65455,0.0466087,16.15,0.230002
2025-06-09,23.02,38.92,3.13636,3.66151,0.048315,15.9,0.230002
2025-06-10,23.79,38.39,3.16927,3.6478,0.0270363,14.6,0.230002
2025-06-11,24.32,39.22,3.1913,3.66919,0.0433583,14.9,0.230002
2025-06-12,24.41,40.04,3.19499,3.68988,0.0632009,15.63,0.230002
2025-06-13,25.43,41.66,3.23593,3.72954,0.0934478,16.23,0.230002
