Date,MUR Raw Price,ENB Raw Price,MUR Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,30.1631,42.98,3.40662,3.76073,-0.0138374,12.8169,-0.0884411
2025-01-03,30.0559,43.09,3.40306,3.76329,-0.0115961,13.0341,-0.0884411
2025-01-06,29.9682,42.99,3.40014,3.76097,-0.0141779,13.0218,-0.0884411
2025-01-07,30.8256,43.64,3.42834,3.77597,0.00332332,12.8144,-0.0884411
2025-01-08,31.9265,44.02,3.46344,3.78464,0.0150968,12.0935,-0.0884411
2025-01-10,32.3746,43.48,3.47738,3.7723,0.00398658,11.1054,-0.0884411
2025-01-13,32.9592,43.4,3.49527,3.77046,0.00372765,10.4408,-0.0884411
2025-01-14,33.0274,44.07,3.49734,3.78578,0.0192303,11.0426,-0.0884411
2025-01-15,32.5987,44.33,3.48427,3.79166,0.0239572,11.7313,-0.0884411
2025-01-16,32.1993,44.03,3.47194,3.78487,0.0160764,11.8307,-0.0884411
2025-01-17,31.4101,44.51,3.44713,3.79571,0.0247245,13.0999,-0.0884411
2025-01-21,30.6794,45.31,3.42359,3.81353,0.0404567,14.6306,-0.0884411
2025-01-22,30.0656,44.76,3.40338,3.80131,0.0264564,14.6944,-0.0884411
2025-01-23,29.6175,44.86,3.38836,3.80355,0.0273599,15.2425,-0.0884411
2025-01-24,28.9745,45.06,3.36642,3.80799,0.0298671,16.0855,-0.0884411
2025-01-27,28.7894,44.7,3.36001,3.79997,0.0212788,15.9106,-0.0884411
2025-01-28,28.4484,44.46,3.34809,3.79459,0.0148414,16.0116,-0.0884411
2025-01-29,28.4289,44.26,3.34741,3.79008,0.0102722,15.8311,-0.0884411
2025-01-30,26.7629,44.5,3.28702,3.79549,0.0103392,17.7371,-0.0884411
2025-01-31,25.9445,43.24,3.25596,3.76677,-0.0211306,17.2955,-0.0884411
2025-02-03,24.8923,42.92,3.21456,3.75934,-0.0322203,18.0277,-0.0884411
2025-02-04,25.7886,43.72,3.24993,3.77781,-0.0106239,17.9314,-0.0884411
2025-02-05,25.9932,43.93,3.25784,3.7826,-0.00513327,17.9368,-0.0884411
2025-02-06,25.623,44.2,3.24349,3.78872,-0.000274649,18.577,-0.0884411
2025-02-07,26.1296,44.45,3.26307,3.79436,0.00709711,18.3204,-0.0884411
2025-02-10,27.3085,44.81,3.3072,3.80243,0.0190662,17.5015,-0.0884411
2025-02-11,27.9905,45.25,3.33186,3.8122,0.031019,17.2595,-0.0884411
2025-02-12,26.9675,45.1,3.29463,3.80888,0.0244057,18.1325,-0.0884411
2025-02-13,27.2013,45.45,3.30327,3.81661,0.0328999,18.2487,-0.0884411
2025-02-14,27.5326,43.07,3.31537,3.76283,-0.0198157,15.5374,-0.0884411
2025-02-18,27.7839,42.75,3.32446,3.75537,-0.0264696,14.9661,-0.0884411
2025-02-19,27.981,42.31,3.33153,3.74502,-0.03619,14.329,-0.0884411
2025-02-20,27.7938,41.98,3.32481,3.73719,-0.0446141,14.1862,-0.0884411
2025-02-21,26.9166,41.78,3.29274,3.73242,-0.0522259,14.8634,-0.0884411
2025-02-24,27.3108,41.54,3.30728,3.72666,-0.0567008,14.2292,-0.0884411
2025-02-25,27.2615,41.65,3.30548,3.7293,-0.054216,14.3885,-0.0884411
2025-02-26,26.542,41.75,3.27873,3.7317,-0.0541834,15.208,-0.0884411
2025-02-27,26.3351,41.73,3.2709,3.73122,-0.055355,15.3949,-0.0884411
2025-02-28,26.1084,42.73,3.26226,3.7549,-0.0324386,16.6216,-0.0884411
2025-03-03,24.1076,42.67,3.18253,3.7535,-0.040895,18.5624,-0.0884411
2025-03-04,24.0781,41.55,3.1813,3.7269,-0.0676021,17.4719,-0.0884411
2025-03-05,23.674,42.49,3.16438,3.74927,-0.0467277,18.816,-0.0884411
2025-03-06,23.812,41.6,3.17019,3.7281,-0.0673824,17.788,-0.0884411
2025-03-07,24.9947,42,3.21866,3.73767,-0.0535257,17.0053,-0.0884411
2025-03-10,25.2805,42.68,3.23003,3.75373,-0.0364593,17.3995,-0.0884411
2025-03-11,24.8862,42.3,3.21432,3.74479,-0.0467927,17.4138,-0.0884411
2025-03-12,24.768,42.54,3.20955,3.75044,-0.0415563,17.772,-0.0884411
2025-03-13,24.5216,42.55,3.19955,3.75068,-0.0422055,18.0284,-0.0884411
2025-03-14,25.6649,42.83,3.24512,3.75724,-0.0316163,17.1651,-0.0884411
