Date,MUR Raw Price,KMI Raw Price,MUR Log Price,KMI Log Price,Residual,Spread,Beta
2025-01-02,30.1631,27.5159,3.40662,3.31476,-0.00842038,2.64719,0.0967669
2025-01-03,30.0559,27.6725,3.40306,3.32044,-0.00240019,2.3834,0.0967669
2025-01-06,29.9682,27.2418,3.40014,3.30475,-0.0178041,2.72642,0.0967669
2025-01-07,30.8256,27.2222,3.42834,3.30403,-0.0212525,3.60335,0.0967669
2025-01-08,31.9265,27.6921,3.46344,3.32115,-0.00753545,4.23441,0.0967669
2025-01-10,32.3746,27.5648,3.47738,3.31654,-0.0134902,4.80982,0.0967669
2025-01-13,32.9592,27.9172,3.49527,3.32924,-0.00251874,5.04198,0.0967669
2025-01-14,33.0274,28.5045,3.49734,3.35006,0.0181009,4.52286,0.0967669
2025-01-15,32.5987,28.8178,3.48427,3.36099,0.0302941,3.78094,0.0967669
2025-01-16,32.1993,29.4247,3.47194,3.38183,0.0523282,2.77461,0.0967669
2025-01-17,31.4101,29.6694,3.44713,3.39012,0.0630116,1.74074,0.0967669
2025-01-21,30.6794,30.5601,3.42359,3.4197,0.0948706,0.119278,0.0967669
2025-01-22,30.0656,30.1294,3.40338,3.4055,0.0826325,0.0638046,0.0967669
2025-01-23,29.6175,29.8358,3.38836,3.39571,0.0742912,0.218304,0.0967669
2025-01-24,28.9745,29.6302,3.36642,3.38879,0.0695017,0.655754,0.0967669
2025-01-27,28.7894,26.8796,3.36001,3.29137,-0.0273049,1.90974,0.0967669
2025-01-28,28.4484,26.8796,3.34809,3.29137,-0.0261519,1.56876,0.0967669
2025-01-29,28.4289,26.723,3.34741,3.28552,-0.0319294,1.70589,0.0967669
2025-01-30,26.7629,27.5061,3.28702,3.31441,0.00279728,0.743187,0.0967669
2025-01-31,25.9445,26.8992,3.25596,3.2921,-0.0165087,0.95467,0.0967669
2025-02-03,24.8923,27.283,3.21456,3.30626,0.00166569,2.39069,0.0967669
2025-02-04,25.7886,27.2039,3.24993,3.30336,-0.00466232,1.41523,0.0967669
2025-02-05,25.9932,27.3424,3.25784,3.30844,-0.000348997,1.34913,0.0967669
2025-02-06,25.623,26.4916,3.24349,3.27683,-0.0305695,0.868612,0.0967669
2025-02-07,26.1296,26.7488,3.26307,3.28649,-0.0228022,0.619196,0.0967669
2025-02-10,27.3085,26.7785,3.3072,3.2876,-0.0259634,0.529982,0.0967669
2025-02-11,27.9905,26.5015,3.33186,3.2772,-0.0387477,1.48895,0.0967669
2025-02-12,26.9675,25.997,3.29463,3.25798,-0.0543654,0.970482,0.0967669
2025-02-13,27.2013,26.274,3.30327,3.26858,-0.0446027,0.92732,0.0967669
2025-02-14,27.5326,26.2641,3.31537,3.2682,-0.0461506,1.26846,0.0967669
2025-02-18,27.7839,26.462,3.32446,3.27571,-0.0395252,1.32194,0.0967669
2025-02-19,27.981,26.6004,3.33153,3.28093,-0.0349893,1.38057,0.0967669
2025-02-20,27.7938,26.3037,3.32481,3.26971,-0.0455587,1.49007,0.0967669
2025-02-21,26.9166,26.1256,3.29274,3.26292,-0.049248,0.790956,0.0967669
2025-02-24,27.3108,26.185,3.30728,3.26519,-0.0483858,1.12584,0.0967669
2025-02-25,27.2615,25.819,3.30548,3.25111,-0.0622876,1.44258,0.0967669
2025-02-26,26.542,25.8882,3.27873,3.25379,-0.0570211,0.653847,0.0967669
2025-02-27,26.3351,25.9278,3.2709,3.25531,-0.0547363,0.407303,0.0967669
2025-02-28,26.1084,26.8082,3.26226,3.28871,-0.020507,0.699799,0.0967669
2025-03-03,24.1076,26.8478,3.18253,3.29018,-0.011317,2.74013,0.0967669
2025-03-04,24.0781,26.6994,3.1813,3.28464,-0.0167405,2.62131,0.0967669
2025-03-05,23.674,26.4422,3.16438,3.27496,-0.0247826,2.7682,0.0967669
2025-03-06,23.812,26.0267,3.17019,3.25912,-0.0411824,2.21474,0.0967669
2025-03-07,24.9947,25.8585,3.21866,3.25264,-0.0523556,0.863857,0.0967669
2025-03-10,25.2805,25.8585,3.23003,3.25264,-0.0534558,0.578035,0.0967669
2025-03-11,24.8862,26.1256,3.21432,3.26292,-0.0416589,1.23937,0.0967669
2025-03-12,24.768,26.2344,3.20955,3.26707,-0.0370414,1.46646,0.0967669
2025-03-13,24.5216,26.2542,3.19955,3.26783,-0.0353201,1.73264,0.0967669
2025-03-14,25.6649,26.8082,3.24512,3.28871,-0.018849,1.14332,0.0967669
2025-03-17,26.2759,27.4908,3.26865,3.31385,0.00401656,1.21482,0.0967669
2025-03-18,25.724,27.2237,3.24742,3.30409,-0.00369245,1.49966,0.0967669
2025-03-19,26.7096,27.5501,3.28502,3.31601,0.00458923,0.840511,0.0967669
2025-03-20,26.4435,27.7578,3.27501,3.32352,0.0130703,1.31436,0.0967669
2025-03-21,26.3154,27.6292,3.27015,3.31887,0.00889662,1.31389,0.0967669
2025-03-24,26.8673,28.4008,3.29091,3.34642,0.0344321,1.53355,0.0967669
2025-03-25,27.3404,28.5196,3.30836,3.35059,0.0369141,1.17918,0.0967669
2025-03-26,27.9416,28.1733,3.33012,3.33838,0.0225948,0.231733,0.0967669
2025-03-27,28.0894,27.926,3.33539,3.32956,0.0132673,0.163412,0.0967669
2025-03-28,27.9613,28.0645,3.33082,3.33451,0.0186568,0.103209,0.0967669
2025-03-31,27.9909,28.2228,3.33188,3.34013,0.0241784,0.231918,0.0967669
2025-04-01,28.3358,28.3217,3.34413,3.34363,0.0264921,0.0141182,0.0967669
2025-04-02,28.7892,28.6086,3.36,3.35371,0.0350343,0.180614,0.0967669
