Date,MUR Raw Price,MTDR Raw Price,MUR Log Price,MTDR Log Price,Residual,Spread,Beta
2025-01-02,30.1631,57.3103,3.40662,4.04848,-0.0323579,27.1472,0.973878
2025-01-03,30.0559,58.2872,3.40306,4.06538,-0.0119897,28.2313,0.973878
2025-01-06,29.9682,57.5767,3.40014,4.05312,-0.0214083,27.6085,0.973878
2025-01-07,30.8256,58.9286,3.42834,4.07633,-0.0256707,28.103,0.973878
2025-01-08,31.9265,59.2838,3.46344,4.08234,-0.0538355,27.3573,0.973878
2025-01-10,32.3746,60.4383,3.47738,4.10162,-0.0481241,28.0637,0.973878
2025-01-13,32.9592,61.1389,3.49527,4.11315,-0.0540264,28.1797,0.973878
2025-01-14,33.0274,61.8987,3.49734,4.1255,-0.0436887,28.8713,0.973878
2025-01-15,32.5987,62.7769,3.48427,4.13959,-0.0168774,30.1782,0.973878
2025-01-16,32.1993,62.5401,3.47194,4.13581,-0.00864996,30.3408,0.973878
2025-01-17,31.4101,62.9249,3.44713,4.14194,0.0216499,31.5148,0.973878
2025-01-21,30.6794,61.8888,3.42359,4.12534,0.0279706,31.2094,0.973878
2025-01-22,30.0656,62.2046,3.40338,4.13043,0.0527409,32.1389,0.973878
2025-01-23,29.6175,61.3757,3.38836,4.11701,0.0539525,31.7582,0.973878
2025-01-24,28.9745,60.31,3.36642,4.0995,0.0578128,31.3355,0.973878
2025-01-27,28.7894,58.8102,3.36001,4.07431,0.038871,30.0208,0.973878
2025-01-28,28.4484,59.4811,3.34809,4.08566,0.0618196,31.0328,0.973878
2025-01-29,28.4289,59.4614,3.34741,4.08533,0.062155,31.0325,0.973878
2025-01-30,26.7629,58.751,3.28702,4.07331,0.108946,31.9881,0.973878
2025-01-31,25.9445,57.2314,3.25596,4.0471,0.112986,31.2868,0.973878
2025-02-03,24.8923,56.7775,3.21456,4.03914,0.145343,31.8851,0.973878
2025-02-04,25.7886,57.5965,3.24993,4.05346,0.125214,31.8078,0.973878
2025-02-05,25.9932,57.2018,3.25784,4.04658,0.110642,31.2085,0.973878
2025-02-06,25.623,55.7216,3.24349,4.02037,0.0983962,30.0986,0.973878
2025-02-07,26.1296,55.9289,3.26307,4.02408,0.0830405,29.7992,0.973878
2025-02-10,27.3085,58.4747,3.3072,4.06859,0.0845789,31.1662,0.973878
2025-02-11,27.9905,58.5832,3.33186,4.07045,0.0624113,30.5927,0.973878
2025-02-12,26.9675,55.6723,3.29463,4.01948,0.047705,28.7048,0.973878
2025-02-13,27.2013,56.363,3.30327,4.03181,0.051628,29.1617,0.973878
2025-02-14,27.5326,56.4321,3.31537,4.03304,0.0410648,28.8995,0.973878
2025-02-18,27.7839,57.034,3.32446,4.04365,0.042825,29.2501,0.973878
2025-02-19,27.981,55.8795,3.33153,4.0232,0.0154902,27.8985,0.973878
2025-02-20,27.7938,55.7315,3.32481,4.02055,0.0193775,27.9378,0.973878
2025-02-21,26.9166,52.4062,3.29274,3.95902,-0.0109126,25.4896,0.973878
2025-02-24,27.3108,52.6923,3.30728,3.96447,-0.0196276,25.3815,0.973878
2025-02-25,27.2615,51.7648,3.30548,3.94671,-0.0356286,24.5032,0.973878
