Date,OXY Raw Price,AR Raw Price,OXY Log Price,AR Log Price,Residual,Spread,Beta
2025-01-02,49.2819,35.57,3.89756,3.5715,-0.0958872,13.7119,0.403597
2025-01-03,49.9745,34.94,3.91151,3.55363,-0.11939,15.0345,0.403597
2025-01-06,50.2317,36.01,3.91665,3.5838,-0.0912978,14.2217,0.403597
2025-01-07,51.0034,36.68,3.93189,3.60223,-0.0790162,14.3234,0.403597
2025-01-08,50.6472,37.86,3.92488,3.6339,-0.0445243,12.7872,0.403597
2025-01-10,50.7561,38.32,3.92703,3.64597,-0.0333138,12.4361,0.403597
2025-01-13,52.1214,38.3,3.95358,3.64545,-0.0445495,13.8214,0.403597
2025-01-14,51.5278,38.59,3.94212,3.65299,-0.032383,12.9378,0.403597
2025-01-15,52.1412,40.23,3.95396,3.69461,0.00446045,11.9112,0.403597
2025-01-16,51.7455,40.57,3.94634,3.70303,0.0159514,11.1755,0.403597
2025-01-17,51.419,40.46,3.94001,3.70031,0.015791,10.959,0.403597
2025-01-21,50.014,39.93,3.9123,3.68713,0.0137862,10.084,0.403597
2025-01-22,49.6677,40.74,3.90536,3.70721,0.0366729,8.92774,0.403597
2025-01-23,49.8063,40.55,3.90814,3.70254,0.0308742,9.25626,0.403597
2025-01-24,48.7674,40.15,3.88706,3.69262,0.0294683,8.61739,0.403597
2025-01-27,49.0345,36.35,3.89252,3.59319,-0.0721648,12.6845,0.403597
2025-01-28,48.4805,37.22,3.88116,3.61685,-0.0439263,11.2605,0.403597
2025-01-29,48.3123,37.35,3.87769,3.62033,-0.0390371,10.9623,0.403597
2025-01-30,48.4013,37.85,3.87953,3.63363,-0.0264822,10.5513,0.403597
2025-01-31,46.1554,37.32,3.83201,3.61953,-0.0214075,8.83538,0.403597
2025-02-03,45.8784,38.33,3.82599,3.64623,0.00772582,7.54835,0.403597
2025-02-04,47.0854,38.73,3.85196,3.65661,0.00762596,8.35542,0.403597
2025-02-05,46.8579,39.6,3.84712,3.67883,0.0317959,7.25786,0.403597
2025-02-06,46.4819,38.3,3.83906,3.64545,0.00166805,8.18188,0.403597
2025-02-07,46.284,37.85,3.8348,3.63363,-0.00842905,8.43401,0.403597
2025-02-10,47.867,40.02,3.86843,3.68938,0.0337461,7.84704,0.403597
2025-02-11,48.0946,40.02,3.87317,3.68938,0.0318319,8.0746,0.403597
2025-02-12,47.3229,39.38,3.85699,3.67326,0.0222393,7.94287,0.403597
2025-02-13,47.3723,40.15,3.85804,3.69262,0.041182,7.22234,0.403597
2025-02-14,47.5504,39.84,3.86179,3.68487,0.0319165,7.71043,0.403597
2025-02-18,48.3222,39.74,3.87789,3.68236,0.0229057,8.58216,0.403597
2025-02-19,50.4494,40.35,3.92097,3.69759,0.0207518,10.0994,0.403597
2025-02-20,51.5377,39.51,3.94231,3.67655,-0.0088999,12.0277,0.403597
2025-02-21,49.8854,38.15,3.90973,3.64153,-0.0307766,11.7354,0.403597
2025-02-24,49.3313,37.9,3.89856,3.63495,-0.0328435,11.4313,0.403597
2025-02-25,48.3716,37.35,3.87891,3.62033,-0.0395327,11.0216,0.403597
2025-02-26,48.0352,37.04,3.87193,3.612,-0.0450505,10.9952,0.403597
2025-02-27,48.1342,35.58,3.87399,3.57178,-0.0860957,12.5542,0.403597
2025-02-28,48.3222,36.7,3.87789,3.60278,-0.0566758,11.6222,0.403597
2025-03-03,45.9575,36.15,3.82772,3.58768,-0.0515258,9.8075,0.403597
2025-03-04,46.0367,36.52,3.82944,3.59786,-0.0420372,9.51665,0.403597
2025-03-05,45.0275,36.38,3.80727,3.59402,-0.0369323,8.64747,0.403597
2025-03-06,45.2253,33.78,3.81166,3.51987,-0.112852,11.4454,0.403597
2025-03-07,46.7391,33.64,3.84458,3.51572,-0.130293,13.0991,0.403597
