Date,OXY Raw Price,ET Raw Price,OXY Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,49.2819,19.0293,3.89756,2.94598,-0.00799167,30.2526,0.606653
2025-01-03,49.9745,18.9617,3.91151,2.94242,-0.0200156,31.0128,0.606653
2025-01-06,50.2317,18.9424,3.91665,2.9414,-0.0241492,31.2893,0.606653
2025-01-07,51.0034,18.8169,3.93189,2.93475,-0.0400466,32.1866,0.606653
2025-01-08,50.6472,19.0486,3.92488,2.94699,-0.0235563,31.5987,0.606653
2025-01-10,50.7561,18.7493,3.92703,2.93116,-0.0406954,32.0068,0.606653
2025-01-13,52.1214,18.7976,3.95358,2.93373,-0.0542277,33.3239,0.606653
2025-01-14,51.5278,19.2417,3.94212,2.95708,-0.0239273,32.2861,0.606653
2025-01-15,52.1412,19.3479,3.95396,2.96258,-0.0256024,32.7933,0.606653
2025-01-16,51.7455,19.5506,3.94634,2.97301,-0.0105558,32.1948,0.606653
2025-01-17,51.419,19.5893,3.94001,2.97498,-0.00474259,31.8297,0.606653
2025-01-21,50.014,20.1878,3.9123,3.00508,0.0421633,29.8262,0.606653
2025-01-22,49.6677,20.1975,3.90536,3.00556,0.0468565,29.4702,0.606653
2025-01-23,49.8063,20.3327,3.90814,3.01223,0.0518367,29.4736,0.606653
2025-01-24,48.7674,20.323,3.88706,3.01175,0.0641493,28.4444,0.606653
2025-01-27,49.0345,19.1258,3.89252,2.95104,0.00012156,29.9087,0.606653
2025-01-28,48.4805,19.6472,3.88116,2.97793,0.0339096,28.8333,0.606653
2025-01-29,48.3123,19.821,3.87769,2.98674,0.0448242,28.4913,0.606653
2025-01-30,48.4013,20.352,3.87953,3.01318,0.0701446,28.0493,0.606653
2025-01-31,46.1554,19.7727,3.83201,2.9843,0.0700927,26.3827,0.606653
2025-02-03,45.8784,20.043,3.82599,2.99788,0.0873242,25.8353,0.606653
2025-02-04,47.0854,20.0527,3.85196,2.99836,0.0720511,27.0327,0.606653
2025-02-05,46.8579,20.072,3.84712,2.99932,0.0759526,26.7859,0.606653
2025-02-06,46.4819,19.6665,3.83906,2.97892,0.0604309,26.8154,0.606653
2025-02-07,46.284,19.5537,3.8348,2.97316,0.0572654,26.7303,0.606653
2025-02-10,47.867,19.7106,3.86843,2.98116,0.0448592,28.1564,0.606653
2025-02-11,48.0946,19.4359,3.87317,2.96712,0.0279467,28.6587,0.606653
2025-02-12,47.3229,19.2789,3.85699,2.95901,0.0296505,28.0439,0.606653
2025-02-13,47.3723,19.4457,3.85804,2.96763,0.0376308,27.9266,0.606653
2025-02-14,47.5504,19.6125,3.86179,2.97617,0.0438951,27.9379,0.606653
2025-02-18,48.3222,19.9167,3.87789,2.99156,0.0495171,28.4055,0.606653
2025-02-19,50.4494,19.7401,3.92097,2.98265,0.014476,30.7093,0.606653
2025-02-20,51.5377,19.5635,3.94231,2.97366,-0.0074586,31.9742,0.606653
2025-02-21,49.8854,19.0239,3.90973,2.94569,-0.0156611,30.8616,0.606653
2025-02-24,49.3313,18.6118,3.89856,2.9238,-0.0307842,30.7196,0.606653
2025-02-25,48.3716,18.5627,3.87891,2.92116,-0.021505,29.8089,0.606653
2025-02-26,48.0352,18.7982,3.87193,2.93376,-0.00466616,29.237,0.606653
2025-02-27,48.1342,18.5824,3.87399,2.92221,-0.017463,29.5518,0.606653
2025-02-28,48.3222,18.9257,3.87789,2.94052,-0.00151691,29.3964,0.606653
2025-03-03,45.9575,18.6707,3.82772,2.92695,0.0153506,27.2868,0.606653
2025-03-04,46.0367,18.1212,3.82944,2.89708,-0.0155622,27.9154,0.606653
2025-03-05,45.0275,17.8563,3.80727,2.88236,-0.0168417,27.1711,0.606653
2025-03-06,45.2253,17.3658,3.81166,2.8545,-0.0473589,27.8596,0.606653
2025-03-07,46.7391,17.1303,3.84458,2.84085,-0.0809844,29.6088,0.606653
