Date,OXY Raw Price,FANG Raw Price,OXY Log Price,FANG Log Price,Residual,Spread,Beta
2025-01-02,49.2819,164.468,3.89756,5.10271,0.0133457,115.186,0.95561
2025-01-03,49.9745,168.59,3.91151,5.12747,0.0247637,118.615,0.95561
2025-01-06,50.2317,167.288,3.91665,5.11972,0.0121061,117.056,0.95561
2025-01-07,51.0034,170.029,3.93189,5.13597,0.0137913,119.026,0.95561
2025-01-08,50.6472,168.619,3.92488,5.12764,0.0121599,117.972,0.95561
2025-01-10,50.7561,172.347,3.92703,5.14951,0.0319743,121.591,0.95561
2025-01-13,52.1214,175.148,3.95358,5.16563,0.0227268,123.026,0.95561
2025-01-14,51.5278,175.217,3.94212,5.16602,0.0340673,123.689,0.95561
2025-01-15,52.1412,177.07,3.95396,5.17655,0.0332834,124.929,0.95561
2025-01-16,51.7455,176.637,3.94634,5.17409,0.0381109,124.891,0.95561
2025-01-17,51.419,177.682,3.94001,5.17999,0.0500598,126.263,0.95561
2025-01-21,50.014,174.497,3.9123,5.16191,0.0584447,124.483,0.95561
2025-01-22,49.6677,175.128,3.90536,5.16552,0.0686946,125.46,0.95561
2025-01-23,49.8063,174.181,3.90814,5.1601,0.0606128,124.375,0.95561
2025-01-24,48.7674,170.858,3.88706,5.14083,0.0614921,122.09,0.95561
2025-01-27,49.0345,169.221,3.89252,5.1312,0.0466447,120.186,0.95561
2025-01-28,48.4805,166.903,3.88116,5.11742,0.0437147,118.423,0.95561
2025-01-29,48.3123,168.491,3.87769,5.12688,0.0565033,120.179,0.95561
2025-01-30,48.4013,168.047,3.87953,5.12425,0.0521065,119.646,0.95561
2025-01-31,46.1554,162.081,3.83201,5.0881,0.0613626,115.926,0.95561
2025-02-03,45.8784,162.2,3.82599,5.08883,0.0678454,116.321,0.95561
2025-02-04,47.0854,163.994,3.85196,5.09983,0.0540327,116.909,0.95561
2025-02-05,46.8579,162.476,3.84712,5.09053,0.0493587,115.618,0.95561
2025-02-06,46.4819,157.811,3.83906,5.0614,0.0279286,111.329,0.95561
2025-02-07,46.284,155.938,3.8348,5.04946,0.0200618,109.654,0.95561
2025-02-10,47.867,159.419,3.86843,5.07153,0.0100017,111.552,0.95561
2025-02-11,48.0946,159.764,3.87317,5.0737,0.00763205,111.669,0.95561
2025-02-12,47.3229,153.305,3.85699,5.03243,-0.0181792,105.982,0.95561
2025-02-13,47.3723,154.005,3.85804,5.03698,-0.0146211,106.632,0.95561
2025-02-14,47.5504,154.813,3.86179,5.04222,-0.0129698,107.263,0.95561
2025-02-18,48.3222,154.587,3.87789,5.04075,-0.0298207,106.264,0.95561
2025-02-19,50.4494,158.038,3.92097,5.06284,-0.0489069,107.589,0.95561
2025-02-20,51.5377,159.843,3.94231,5.07419,-0.0579486,108.305,0.95561
2025-02-21,49.8854,153.955,3.90973,5.03666,-0.0643368,104.07,0.95561
2025-02-24,49.3313,153.078,3.89856,5.03095,-0.0593808,103.746,0.95561
2025-02-25,48.3716,149.814,3.87891,5.00939,-0.0621606,101.442,0.95561
2025-02-26,48.0352,150.317,3.87193,5.01274,-0.0521403,102.281,0.95561
2025-02-27,48.1342,153.433,3.87399,5.03326,-0.0335877,105.299,0.95561
2025-02-28,48.3222,156.756,3.87789,5.05469,-0.0158841,108.434,0.95561
2025-03-03,45.9575,145.948,3.82772,4.98325,-0.0393785,99.9906,0.95561
2025-03-04,46.0367,143.029,3.82944,4.96305,-0.0612257,96.9924,0.95561
2025-03-05,45.0275,140.722,3.80727,4.94678,-0.0563094,95.6941,0.95561
2025-03-06,45.2253,138.934,3.81166,4.934,-0.0732841,93.7086,0.95561
2025-03-07,46.7391,139.143,3.84458,4.9355,-0.103246,92.4034,0.95561
2025-03-10,47.0971,139.609,3.85221,4.93885,-0.107189,92.5122,0.95561
2025-03-11,46.0231,143.651,3.82914,4.96739,-0.0566049,97.628,0.95561
2025-03-12,45.8441,145.538,3.82525,4.98044,-0.0398312,99.6939,0.95561
2025-03-13,45.1977,144.793,3.81105,4.97531,-0.0313924,99.5955,0.95561
2025-03-14,46.2717,149.163,3.83453,5.00504,-0.0241024,102.891,0.95561
2025-03-17,46.9977,151.973,3.8501,5.0237,-0.020312,104.976,0.95561
2025-03-18,47.3855,153.93,3.85832,5.0365,-0.0153746,106.544,0.95561
2025-03-19,47.6938,156.512,3.8648,5.05313,-0.00493625,108.818,0.95561
2025-03-20,47.6938,157.386,3.8648,5.0587,0.000631927,109.692,0.95561
2025-03-21,47.6739,157.406,3.86438,5.05883,0.00115668,109.732,0.95561
2025-03-24,47.654,159.898,3.86397,5.07454,0.0172673,112.244,0.95561
2025-03-25,48.738,160.484,3.88646,5.0782,-0.000567992,111.746,0.95561
2025-03-26,49.4739,161.964,3.90144,5.08737,-0.00571086,112.49,0.95561
2025-03-27,49.2352,159.124,3.89661,5.06968,-0.0187816,109.888,0.95561
2025-03-28,48.559,156.452,3.88278,5.05275,-0.0224967,107.893,0.95561
2025-03-31,49.086,158.776,3.89357,5.06749,-0.0180687,109.69,0.95561
2025-04-01,48.917,159.759,3.89012,5.07367,-0.00859882,110.842,0.95561
2025-04-02,49.0562,160.375,3.89297,5.07751,-0.0074681,111.319,0.95561
2025-04-03,43.6563,140.304,3.77635,4.94381,-0.0297262,96.6481,0.95561
2025-04-04,40.315,122.518,3.69672,4.80826,-0.0891914,82.2031,0.95561
2025-04-07,38.5349,123.67,3.65156,4.81762,-0.0366788,85.1352,0.95561
2025-04-08,35.9096,118.427,3.581,4.77429,-0.0125746,82.517,0.95561
2025-04-09,40.0067,133.998,3.68905,4.89783,0.00771216,93.9916,0.95561
2025-04-10,36.2676,122.31,3.59092,4.80656,0.0102078,86.042,0.95561
2025-04-11,37.4609,128.119,3.6233,4.85296,0.0256764,90.6582,0.95561
2025-04-14,37.6896,126.759,3.62939,4.84228,0.0091834,89.069,0.95561
2025-04-15,37.5902,126.262,3.62674,4.83836,0.00778324,88.6719,0.95561
2025-04-16,38.2366,129.321,3.64379,4.8623,0.0154269,91.0842,0.95561
2025-04-17,39.4896,136.69,3.67604,4.91771,0.0400302,97.2,0.95561
2025-04-21,38.8034,131.436,3.65851,4.87852,0.0175892,92.6327,0.95561
2025-04-22,39.7481,135.597,3.68256,4.90969,0.0257697,95.849,0.95561
2025-04-23,39.6089,134.604,3.67905,4.90234,0.0217718,94.9951,0.95561
2025-04-24,40.1459,135.22,3.69252,4.9069,0.0134671,95.0739,0.95561
2025-04-25,40.136,135.816,3.69227,4.9113,0.0181006,95.6797,0.95561
2025-04-28,40.2851,136.868,3.69598,4.91902,0.0222768,96.5832,0.95561
2025-04-29,40.126,135.706,3.69203,4.91049,0.0175329,95.5804,0.95561
2025-04-30,39.1913,131.098,3.66845,4.87595,0.00551305,91.9072,0.95561
2025-05-01,40.2155,133.899,3.69425,4.89709,0.00199568,93.6834,0.95561
2025-05-02,40.3846,135.865,3.69845,4.91166,0.0125652,95.4807,0.95561
2025-05-05,38.5946,132.161,3.65311,4.88402,0.0282465,93.5665,0.95561
2025-05-06,39.062,131.069,3.66515,4.87572,0.00844319,92.0067,0.95561
2025-05-07,38.7935,128.675,3.65825,4.85729,-0.00339452,89.8818,0.95561
2025-05-08,41.21,135.24,3.71868,4.90705,-0.0113845,94.0297,0.95561
2025-05-09,41.926,136.938,3.73591,4.91953,-0.0153665,95.0119,0.95561
2025-05-12,43.6166,141.933,3.77544,4.95536,-0.0173137,98.3166,0.95561
2025-05-13,44.1436,145.161,3.78745,4.97784,-0.00630674,101.017,0.95561
2025-05-14,43.5768,143.82,3.77452,4.96856,-0.00323519,100.243,0.95561
2025-05-15,43.1293,141.95,3.7642,4.95547,-0.00645873,98.8207,0.95561
2025-05-16,42.8011,141.13,3.75656,4.94968,-0.00495315,98.3289,0.95561
2025-05-19,42.0752,139.35,3.73946,4.93699,-0.00129873,97.2748,0.95561
2025-05-20,41.6674,138.35,3.72972,4.92979,0.000804562,96.6826,0.95561
2025-05-21,40.9017,136.31,3.71117,4.91493,0.00367424,95.4083,0.95561
2025-05-22,40.852,136.29,3.70996,4.91478,0.00468983,95.438,0.95561
2025-05-23,41.0608,135.86,3.71505,4.91162,-0.00334269,94.7992,0.95561
2025-05-27,41.389,137.49,3.72301,4.92355,0.000976505,96.101,0.95561
2025-05-28,40.8918,136.28,3.71093,4.91471,0.00368651,95.3882,0.95561
2025-05-29,41.2299,137.81,3.71916,4.92588,0.0069819,96.5801,0.95561
2025-05-30,40.5536,134.55,3.70263,4.90194,-0.00115481,93.9964,0.95561
2025-06-02,41.21,137.59,3.71868,4.92428,0.00584533,96.38,0.95561
2025-06-03,42.453,142.28,3.7484,4.9578,0.0109651,99.827,0.95561
2025-06-04,41.6774,139.35,3.72996,4.93699,0.00777864,97.6726,0.95561
2025-06-05,41.5879,137.45,3.72781,4.92326,-0.00389562,95.8621,0.95561
2025-06-06,42.3039,140.56,3.74488,4.94563,0.00216616,98.2561,0.95561
2025-06-09,43,142.13,3.7612,4.95674,-0.00232277,99.13,0.95561
2025-06-10,43.91,145.57,3.78214,4.98066,0.00157984,101.66,0.95561
2025-06-11,44.84,148.92,3.8031,5.00341,0.00430378,104.08,0.95561
2025-06-12,44.76,149.33,3.80131,5.00616,0.00875966,104.57,0.95561
2025-06-13,46.45,154.91,3.83838,5.04284,0.0100289,108.46,0.95561
