Date,OXY Raw Price,MPC Raw Price,OXY Log Price,MPC Log Price,Residual,Spread,Beta
2025-01-02,49.2819,139.888,3.89756,4.94084,-0.0717359,90.606,0.3108
2025-01-03,49.9745,141.124,3.91151,4.94964,-0.0672776,91.1492,0.3108
2025-01-06,50.2317,138.939,3.91665,4.93403,-0.0844772,88.707,0.3108
2025-01-07,51.0034,140.056,3.93189,4.94204,-0.0812069,89.0525,0.3108
2025-01-08,50.6472,140.718,3.92488,4.94676,-0.0743103,90.0711,0.3108
2025-01-10,50.7561,140.659,3.92703,4.94634,-0.0753991,89.9029,0.3108
2025-01-13,52.1214,145.088,3.95358,4.97734,-0.0526455,92.9668,0.3108
2025-01-14,51.5278,147.728,3.94212,4.99537,-0.0310547,96.2002,0.3108
2025-01-15,52.1412,150.229,3.95396,5.01216,-0.0179424,98.0882,0.3108
2025-01-16,51.7455,149.982,3.94634,5.01052,-0.0172211,98.2367,0.3108
2025-01-17,51.419,150.971,3.94001,5.01709,-0.00868352,99.5519,0.3108
2025-01-21,50.014,149.112,3.9123,5.0047,-0.0124613,99.0981,0.3108
2025-01-22,49.6677,145.939,3.90536,4.98319,-0.0318153,96.2708,0.3108
2025-01-23,49.8063,152.563,3.90814,5.02758,0.0117091,102.756,0.3108
2025-01-24,48.7674,149.893,3.88706,5.00992,0.000608189,101.126,0.3108
2025-01-27,49.0345,150.872,3.89252,5.01643,0.00541904,101.837,0.3108
2025-01-28,48.4805,148.934,3.88116,5.0035,-0.00397631,100.454,0.3108
2025-01-29,48.3123,149.676,3.87769,5.00847,0.00207016,101.363,0.3108
2025-01-30,48.4013,148.262,3.87953,4.99898,-0.00799268,99.8606,0.3108
2025-01-31,46.1554,144.06,3.83201,4.97023,-0.0219759,97.9047,0.3108
2025-02-03,45.8784,145.335,3.82599,4.97904,-0.0112905,99.4571,0.3108
2025-02-04,47.0854,155.133,3.85196,5.04428,0.0458778,108.048,0.3108
2025-02-05,46.8579,155.529,3.84712,5.04683,0.0499295,108.671,0.3108
2025-02-06,46.4819,150.21,3.83906,5.01203,0.0176347,103.728,0.3108
2025-02-07,46.284,148.42,3.8348,5.00005,0.00697587,102.136,0.3108
2025-02-10,47.867,152.039,3.86843,5.02413,0.0206114,104.172,0.3108
2025-02-11,48.0946,153.541,3.87317,5.03397,0.0289731,105.447,0.3108
2025-02-12,47.3229,147.52,3.85699,4.99397,-0.00600328,100.198,0.3108
2025-02-13,47.3723,152.345,3.85804,5.02615,0.0258541,104.973,0.3108
2025-02-14,47.5504,154.293,3.86179,5.03885,0.0373916,106.742,0.3108
2025-02-18,48.3222,157.229,3.87789,5.0577,0.0512401,108.907,0.3108
2025-02-19,50.4494,155.758,3.92097,5.0483,0.0284467,105.308,0.3108
2025-02-20,51.5377,157.378,3.94231,5.05865,0.0321656,105.841,0.3108
2025-02-21,49.8854,152.874,3.90973,5.02961,0.0132534,102.988,0.3108
