Date,OXY Raw Price,OKE Raw Price,OXY Log Price,OKE Log Price,Residual,Spread,Beta
2025-01-02,49.2819,99.4384,3.89756,4.59954,0.0109814,50.1565,0.862345
2025-01-03,49.9745,100.542,3.91151,4.61058,0.00998921,50.568,0.862345
2025-01-06,50.2317,99.2918,3.91665,4.59806,-0.00695565,49.0601,0.862345
2025-01-07,51.0034,99.282,3.93189,4.59796,-0.0202019,48.2786,0.862345
2025-01-08,50.6472,100.494,3.92488,4.61009,-0.00202888,49.8464,0.862345
2025-01-10,50.7561,99.4188,3.92703,4.59934,-0.0146327,48.6628,0.862345
2025-01-13,52.1214,101.598,3.95358,4.62102,-0.015844,49.4763,0.862345
2025-01-14,51.5278,103.611,3.94212,4.64064,0.0136518,52.0827,0.862345
2025-01-15,52.1412,104.431,3.95396,4.64853,0.0113368,52.2901,0.862345
2025-01-16,51.7455,106.171,3.94634,4.66505,0.0344242,54.4251,0.862345
2025-01-17,51.419,106.464,3.94001,4.6678,0.0426395,55.0447,0.862345
2025-01-21,50.014,107.333,3.9123,4.67594,0.0746646,57.3192,0.862345
2025-01-22,49.6677,103.865,3.90536,4.64309,0.0478057,54.1969,0.862345
2025-01-23,49.8063,102.487,3.90814,4.62973,0.0320509,52.6806,0.862345
2025-01-24,48.7674,102.135,3.88706,4.6263,0.04679,53.3678,0.862345
2025-01-27,49.0345,98.1486,3.89252,4.58648,0.00226516,49.1141,0.862345
2025-01-28,48.4805,98.2952,3.88116,4.58798,0.0135568,49.8147,0.862345
2025-01-29,48.3123,98.0802,3.87769,4.58579,0.0143644,49.7679,0.862345
2025-01-30,48.4013,97.5819,3.87953,4.58069,0.00768307,49.1806,0.862345
2025-01-31,46.1554,94.9438,3.83201,4.55328,0.0212486,48.7884,0.862345
2025-02-03,45.8784,96.4152,3.82599,4.56866,0.0418194,50.5369,0.862345
2025-02-04,47.0854,95.8128,3.85196,4.5624,0.0131567,48.7274,0.862345
2025-02-05,46.8579,96.6917,3.84712,4.57153,0.026466,49.8339,0.862345
2025-02-06,46.4819,94.6278,3.83906,4.54995,0.0118359,48.1459,0.862345
2025-02-07,46.284,94.6179,3.8348,4.54985,0.0154104,48.3339,0.862345
2025-02-10,47.867,97.462,3.86843,4.57946,0.0160257,49.595,0.862345
2025-02-11,48.0946,97.6991,3.87317,4.58189,0.0143647,49.6045,0.862345
2025-02-12,47.3229,96.4054,3.85699,4.56856,0.0149841,49.0825,0.862345
2025-02-13,47.3723,97.7386,3.85804,4.5823,0.0278173,50.3662,0.862345
2025-02-14,47.5504,96.6325,3.86179,4.57092,0.0132005,49.0821,0.862345
2025-02-18,48.3222,97.4127,3.87789,4.57896,0.0073584,49.0905,0.862345
2025-02-19,50.4494,97.9657,3.92097,4.58462,-0.0241302,47.5163,0.862345
2025-02-20,51.5377,97.4028,3.94231,4.57885,-0.0482981,45.8651,0.862345
2025-02-21,49.8854,96.8794,3.90973,4.57347,-0.0255866,46.994,0.862345
2025-02-24,49.3313,96.8991,3.89856,4.57367,-0.0157513,47.5678,0.862345
2025-02-25,48.3716,94.5784,3.87891,4.54943,-0.0230514,46.2067,0.862345
2025-02-26,48.0352,94.5685,3.87193,4.54932,-0.0171378,46.5333,0.862345
2025-02-27,48.1342,95.4375,3.87399,4.55847,-0.00976444,47.3034,0.862345
2025-02-28,48.3222,99.1409,3.87789,4.59654,0.0249441,50.8187,0.862345
2025-03-03,45.9575,95.5561,3.82772,4.55971,0.0313819,49.5986,0.862345
2025-03-04,46.0367,92.623,3.82944,4.52854,-0.00127754,46.5864,0.862345
2025-03-05,45.0275,90.7269,3.80727,4.50785,-0.00284712,45.6994,0.862345
2025-03-06,45.2253,88.6234,3.81166,4.4844,-0.0300866,43.398,0.862345
2025-03-07,46.7391,88.4555,3.84458,4.4825,-0.0603744,41.7164,0.862345
2025-03-10,47.0971,90.2825,3.85221,4.50294,-0.0465107,43.1854,0.862345
2025-03-11,46.0231,91.4676,3.82914,4.51598,-0.0135772,45.4444,0.862345
2025-03-12,45.8441,91.8132,3.82525,4.51976,-0.00644485,45.9691,0.862345
2025-03-13,45.1977,92.3366,3.81105,4.52544,0.011485,47.1389,0.862345
2025-03-14,46.2717,95.2302,3.83453,4.5563,0.0220894,48.9584,0.862345
2025-03-17,46.9977,97.2152,3.8501,4.57693,0.0292951,50.2175,0.862345
2025-03-18,47.3855,96.7905,3.85832,4.57255,0.0178302,49.405,0.862345
2025-03-19,47.6938,98.8051,3.8648,4.59315,0.0328389,51.1113,0.862345
2025-03-20,47.6938,99.3977,3.8648,4.59913,0.0388179,51.7039,0.862345
2025-03-21,47.6739,98.104,3.86438,4.58603,0.0260767,50.43,0.862345
2025-03-24,47.654,101.027,3.86397,4.61539,0.0557979,53.3731,0.862345
2025-03-25,48.738,101.106,3.88646,4.61617,0.0371842,52.3682,0.862345
2025-03-26,49.4739,100,3.90144,4.60517,0.0132612,50.5262,0.862345
2025-03-27,49.2352,97.4522,3.89661,4.57936,-0.00837786,48.217,0.862345
2025-03-28,48.559,97.2547,3.88278,4.57733,0.00151929,48.6957,0.862345
2025-03-31,49.086,97.9855,3.89357,4.58482,-0.000303904,48.8994,0.862345
2025-04-01,48.917,98.262,3.89012,4.58764,0.0054892,49.345,0.862345
