Date,OXY Raw Price,SM Raw Price,OXY Log Price,SM Log Price,Residual,Spread,Beta
2025-01-02,49.2819,39.607,3.89756,3.67901,0.0954067,9.67485,2.19084
2025-01-03,49.9745,40.0213,3.91151,3.68941,0.0752362,9.95321,2.19084
2025-01-06,50.2317,40.2974,3.91665,3.69629,0.0708641,9.9343,2.19084
2025-01-07,51.0034,42.0923,3.93189,3.73987,0.0810401,8.91109,2.19084
2025-01-08,50.6472,42.0628,3.92488,3.73916,0.0956904,8.5845,2.19084
2025-01-10,50.7561,42.7531,3.92703,3.75544,0.107267,8.00297,2.19084
2025-01-13,52.1214,43.118,3.95358,3.76394,0.0576099,9.00343,2.19084
2025-01-14,51.5278,43.3153,3.94212,3.76851,0.0872697,8.21255,2.19084
2025-01-15,52.1412,44.0747,3.95396,3.78588,0.0787224,8.06658,2.19084
2025-01-16,51.7455,43.5125,3.94634,3.77305,0.0825781,8.23297,2.19084
2025-01-17,51.419,42.615,3.94001,3.75221,0.0756041,8.80394,2.19084
2025-01-21,50.014,41.3034,3.9123,3.72094,0.105035,8.71068,2.19084
2025-01-22,49.6677,41.2047,3.90536,3.71855,0.117866,8.46302,2.19084
2025-01-23,49.8063,40.6524,3.90814,3.70506,0.0982704,9.15382,2.19084
2025-01-24,48.7674,39.7308,3.88706,3.68213,0.121518,9.03662,2.19084
2025-01-27,49.0345,39.3344,3.89252,3.6721,0.099522,9.70018,2.19084
2025-01-28,48.4805,39.3244,3.88116,3.67185,0.124166,9.15602,2.19084
2025-01-29,48.3123,39.6911,3.87769,3.68113,0.141061,8.62115,2.19084
2025-01-30,48.4013,39.2551,3.87953,3.67008,0.12598,9.14624,2.19084
2025-01-31,46.1554,37.6199,3.83201,3.62753,0.187526,8.53553,2.19084
2025-02-03,45.8784,37.0451,3.82599,3.61213,0.185318,8.8333,2.19084
2025-02-04,47.0854,37.9271,3.85196,3.63567,0.151953,9.15834,2.19084
2025-02-05,46.8579,37.5108,3.84712,3.62463,0.151531,9.34702,2.19084
2025-02-06,46.4819,36.9063,3.83906,3.60838,0.152933,9.57557,2.19084
2025-02-07,46.284,37.0451,3.8348,3.61213,0.166032,9.23895,2.19084
2025-02-10,47.867,39.0569,3.86843,3.66502,0.145236,8.81018,2.19084
2025-02-11,48.0946,40.2461,3.87317,3.69501,0.16484,7.84849,2.19084
2025-02-12,47.3229,38.5613,3.85699,3.65225,0.157517,8.76153,2.19084
2025-02-13,47.3723,38.6208,3.85804,3.65379,0.156768,8.75154,2.19084
2025-02-14,47.5504,38.1748,3.86179,3.64218,0.136933,9.3756,2.19084
2025-02-18,48.3222,38.2739,3.87789,3.64477,0.104255,10.0482,2.19084
2025-02-19,50.4494,38.4821,3.92097,3.65019,0.0152963,11.9673,2.19084
2025-02-20,51.5377,36.7775,3.94231,3.60489,-0.0767704,14.7602,2.19084
2025-02-21,49.8854,34.0422,3.90973,3.5276,-0.0826662,15.8432,2.19084
2025-02-24,49.3313,33.517,3.89856,3.51205,-0.0737467,15.8144,2.19084
2025-02-25,48.3716,32.7836,3.87891,3.48993,-0.0528284,15.588,2.19084
2025-02-26,48.0352,32.0799,3.87193,3.46823,-0.0592362,15.9553,2.19084
2025-02-27,48.1342,32.2286,3.87399,3.47285,-0.0591207,15.9056,2.19084
2025-02-28,48.3222,32.4169,3.87789,3.47868,-0.0618347,15.9053,2.19084
2025-03-03,45.9575,29.7411,3.82772,3.39253,-0.0380635,16.2164,2.19084
2025-03-04,46.0367,28.5915,3.82944,3.35311,-0.0812541,17.4452,2.19084
2025-03-05,45.0275,27.2734,3.80727,3.30591,-0.0798906,17.7541,2.19084
2025-03-06,45.2253,26.9067,3.81166,3.29238,-0.103034,18.3186,2.19084
2025-03-07,46.7391,27.3428,3.84458,3.30845,-0.159088,19.3963,2.19084
2025-03-10,47.0971,27.1248,3.85221,3.30045,-0.183811,19.9724,2.19084
2025-03-11,46.0231,28.8095,3.82914,3.36071,-0.0730134,17.2136,2.19084
2025-03-12,45.8441,29.5132,3.82525,3.38484,-0.0403455,16.331,2.19084
2025-03-13,45.1977,28.5122,3.81105,3.35033,-0.0437393,16.6855,2.19084
2025-03-14,46.2717,29.7213,3.83453,3.39186,-0.0536589,16.5505,2.19084
