Date,OXY Raw Price,WMB Raw Price,OXY Log Price,WMB Log Price,Residual,Spread,Beta
2025-01-02,49.2819,54.9218,3.89756,4.00591,-0.0338311,5.63988,-0.0704748
2025-01-03,49.9745,55.6294,3.91151,4.01871,-0.0200452,5.65496,-0.0704748
2025-01-06,50.2317,54.853,3.91665,4.00466,-0.0337393,4.62126,-0.0704748
2025-01-07,51.0034,54.5974,3.93189,3.99999,-0.0373343,3.59399,-0.0704748
2025-01-08,50.6472,55.423,3.92488,4.01499,-0.0228199,4.77577,-0.0704748
2025-01-10,50.7561,54.5679,3.92703,3.99945,-0.0382171,3.81186,-0.0704748
2025-01-13,52.1214,55.0692,3.95358,4.00859,-0.0272025,2.94774,-0.0704748
2025-01-14,51.5278,57.0644,3.94212,4.04418,0.00757996,5.53656,-0.0704748
2025-01-15,52.1412,57.0152,3.95396,4.04332,0.0075524,4.874,-0.0704748
2025-01-16,51.7455,58.1652,3.94634,4.06329,0.0269837,6.4197,-0.0704748
2025-01-17,51.419,58.1259,3.94001,4.06261,0.0258615,6.70688,-0.0704748
2025-01-21,50.014,59.5903,3.9123,4.08749,0.0487914,9.57627,-0.0704748
2025-01-22,49.6677,58.1848,3.90536,4.06362,0.0244335,8.51709,-0.0704748
2025-01-23,49.8063,58.4699,3.90814,4.06851,0.0295165,8.66359,-0.0704748
2025-01-24,48.7674,58.5485,3.88706,4.06986,0.0293748,9.78109,-0.0704748
2025-01-27,49.0345,53.6146,3.89252,3.98182,-0.0582746,4.58004,-0.0704748
2025-01-28,48.4805,54.2534,3.88116,3.99367,-0.0472302,5.77296,-0.0704748
2025-01-29,48.3123,54.3812,3.87769,3.99602,-0.0451228,6.06892,-0.0704748
2025-01-30,48.4013,55.6196,3.87953,4.01854,-0.022476,7.21827,-0.0704748
2025-01-31,46.1554,54.4795,3.83201,3.99782,-0.0465359,8.32409,-0.0704748
2025-02-03,45.8784,55.2363,3.82599,4.01162,-0.0331643,9.35792,-0.0704748
2025-02-04,47.0854,54.7645,3.85196,4.00304,-0.0399117,7.67909,-0.0704748
2025-02-05,46.8579,55.8751,3.84712,4.02312,-0.0201761,9.01727,-0.0704748
2025-02-06,46.4819,55.0495,3.83906,4.00823,-0.0356298,8.56765,-0.0704748
2025-02-07,46.284,54.9807,3.8348,4.00698,-0.037181,8.69673,-0.0704748
2025-02-10,47.867,55.2068,3.86843,4.01109,-0.0307078,7.33974,-0.0704748
2025-02-11,48.0946,54.2927,3.87317,3.99439,-0.0470689,6.19814,-0.0704748
2025-02-12,47.3229,53.8799,3.85699,3.98676,-0.0558412,6.55707,-0.0704748
2025-02-13,47.3723,56.4747,3.85804,4.03379,-0.00873367,9.10232,-0.0704748
2025-02-14,47.5504,56.0029,3.86179,4.0254,-0.016858,8.45246,-0.0704748
2025-02-18,48.3222,56.8088,3.87789,4.03969,-0.00143494,8.48667,-0.0704748
2025-02-19,50.4494,57.2708,3.92097,4.04779,0.00969979,6.82141,-0.0704748
2025-02-20,51.5377,57.4477,3.94231,4.05087,0.0142883,5.90999,-0.0704748
2025-02-21,49.8854,56.455,3.90973,4.03344,-0.00543896,6.5696,-0.0704748
2025-02-24,49.3313,56.3469,3.89856,4.03153,-0.00814287,7.01555,-0.0704748
2025-02-25,48.3716,55.2166,3.87891,4.01126,-0.0297907,6.84498,-0.0704748
2025-02-26,48.0352,55.9243,3.87193,4.024,-0.017548,7.88903,-0.0704748
