Date,PSX Raw Price,ENB Raw Price,PSX Log Price,ENB Log Price,Residual,Spread,Beta
2025-01-02,112.306,42.98,4.72123,3.76073,-0.0343623,69.3261,-0.0981025
2025-01-03,113.955,43.09,4.73581,3.76329,-0.0303762,70.8652,-0.0981025
2025-01-06,113.052,42.99,4.72785,3.76097,-0.0334801,70.0621,-0.0981025
2025-01-07,113.072,43.64,4.72802,3.77597,-0.0184565,69.4318,-0.0981025
2025-01-08,114.112,44.02,4.73718,3.78464,-0.00888795,70.0923,-0.0981025
2025-01-10,111.835,43.48,4.71702,3.7723,-0.0232086,68.3549,-0.0981025
2025-01-13,113.847,43.4,4.73486,3.77046,-0.0233007,70.4472,-0.0981025
2025-01-14,115.114,44.07,4.74592,3.78578,-0.00689576,71.0435,-0.0981025
2025-01-15,116.812,44.33,4.76056,3.79166,0.000423324,72.4817,-0.0981025
2025-01-16,117.43,44.03,4.76584,3.78487,-0.00584918,73.4001,-0.0981025
2025-01-17,118.314,44.51,4.77334,3.79571,0.00572875,73.8036,-0.0981025
2025-01-21,118.274,45.31,4.77301,3.81353,0.0235101,72.9643,-0.0981025
2025-01-22,116.37,44.76,4.75677,3.80131,0.00970481,71.61,-0.0981025
2025-01-23,120.365,44.86,4.79053,3.80355,0.015248,75.5051,-0.0981025
2025-01-24,119.619,45.06,4.78431,3.80799,0.0190865,74.5591,-0.0981025
2025-01-27,120.817,44.7,4.79427,3.79997,0.0120423,76.1167,-0.0981025
2025-01-28,118.952,44.46,4.77872,3.79459,0.00513243,74.4916,-0.0981025
2025-01-29,119.914,44.26,4.78677,3.79008,0.00141402,75.6536,-0.0981025
2025-01-30,118.618,44.5,4.77591,3.79549,0.0057561,74.1179,-0.0981025
2025-01-31,115.702,43.24,4.75102,3.76677,-0.0254083,72.4625,-0.0981025
2025-02-03,115.693,42.92,4.75094,3.75934,-0.0328448,72.7727,-0.0981025
2025-02-04,121.337,43.72,4.79857,3.77781,-0.009704,77.6169,-0.0981025
2025-02-05,121.052,43.93,4.79622,3.7826,-0.00514265,77.1223,-0.0981025
2025-02-06,118.598,44.2,4.77574,3.78872,-0.00102452,74.3982,-0.0981025
2025-02-07,118.088,44.45,4.77143,3.79436,0.00419251,73.6378,-0.0981025
2025-02-10,121.435,44.81,4.79938,3.80243,0.015001,76.6251,-0.0981025
2025-02-11,127.168,45.25,4.84551,3.8122,0.0292975,81.9177,-0.0981025
2025-02-12,122.741,45.1,4.81007,3.80888,0.0225009,77.6406,-0.0981025
2025-02-13,123.231,45.45,4.81406,3.81661,0.030623,77.7814,-0.0981025
2025-02-14,125.685,43.07,4.83378,3.76283,-0.0212287,82.6155,-0.0981025
2025-02-18,127.884,42.75,4.85113,3.75537,-0.0269848,85.1343,-0.0981025
2025-02-19,127.57,42.31,4.84867,3.74502,-0.0375717,85.2602,-0.0981025
2025-02-20,129.131,41.98,4.86083,3.73719,-0.044209,87.1509,-0.0981025
2025-02-21,126.412,41.78,4.83955,3.73242,-0.0510723,84.6319,-0.0981025
2025-02-24,125.867,41.54,4.83523,3.72666,-0.0572569,84.3271,-0.0981025
2025-02-25,125.055,41.65,4.82875,3.7293,-0.0552474,83.4049,-0.0981025
2025-02-26,124.243,41.75,4.82224,3.7317,-0.0534885,82.4928,-0.0981025
2025-02-27,126.194,41.73,4.83782,3.73122,-0.052439,84.464,-0.0981025
2025-02-28,128.452,42.73,4.85556,3.7549,-0.027018,85.7222,-0.0981025
2025-03-03,123.797,42.67,4.81864,3.7535,-0.0320445,81.1271,-0.0981025
2025-03-04,121.123,41.55,4.79681,3.7269,-0.0607854,79.5728,-0.0981025
2025-03-05,118.597,42.49,4.77573,3.74927,-0.0404814,76.1072,-0.0981025
2025-03-06,121.618,41.6,4.80089,3.7281,-0.0591825,80.0181,-0.0981025
2025-03-07,124.976,42,4.82812,3.73767,-0.0469413,82.9757,-0.0981025
2025-03-10,124.926,42.68,4.82772,3.75373,-0.0309194,82.2462,-0.0981025
2025-03-11,122.371,42.3,4.80706,3.74479,-0.0418903,80.0708,-0.0981025
2025-03-12,122.797,42.54,4.81053,3.75044,-0.0358917,80.2567,-0.0981025
2025-03-13,121.331,42.55,4.79852,3.75068,-0.0368348,78.7808,-0.0981025
2025-03-14,125.52,42.83,4.83247,3.75724,-0.0269454,82.6905,-0.0981025
2025-03-17,127.957,43.5,4.85169,3.77276,-0.00953727,84.457,-0.0981025
2025-03-18,127.184,43.41,4.84564,3.77069,-0.0122025,83.7744,-0.0981025
2025-03-19,127.769,43.75,4.85022,3.77849,-0.00395098,84.0188,-0.0981025
2025-03-20,127.591,44.23,4.84883,3.7894,0.00682371,83.3605,-0.0981025
2025-03-21,124.292,43.87,4.82264,3.78123,-0.00391819,80.4223,-0.0981025
2025-03-24,125.263,44.26,4.83042,3.79008,0.00569556,81.0029,-0.0981025
2025-03-25,124.292,44.42,4.82264,3.79369,0.00854089,79.8723,-0.0981025
2025-03-26,125.362,44.52,4.83121,3.79594,0.0116303,80.842,-0.0981025
2025-03-27,123.53,44.36,4.81648,3.79234,0.00658549,79.1696,-0.0981025
2025-03-28,120.598,44.46,4.79246,3.79459,0.00648084,76.1379,-0.0981025
2025-03-31,122.301,44.31,4.80649,3.79121,0.00447749,77.9915,-0.0981025
2025-04-01,123.163,44.57,4.81351,3.79706,0.0110168,78.5932,-0.0981025
2025-04-02,122.876,45.14,4.81118,3.80977,0.0234955,77.7359,-0.0981025
2025-04-03,106.157,45.34,4.66492,3.81419,0.0135684,60.817,-0.0981025
2025-04-04,97.8669,43.35,4.58361,3.76931,-0.0392914,54.5169,-0.0981025
2025-04-07,95.6681,41.95,4.56089,3.73648,-0.0743488,53.7181,-0.0981025
2025-04-08,91.9836,41.09,4.52161,3.71576,-0.0989154,50.8936,-0.0981025
2025-04-09,102.146,41.77,4.6264,3.73218,-0.0722217,60.3757,-0.0981025
2025-04-10,96.0643,41.82,4.56502,3.73337,-0.0770472,54.2443,-0.0981025
2025-04-11,96.4506,43.24,4.56903,3.76677,-0.0432621,53.2106,-0.0981025
2025-04-14,96.8864,44.02,4.57354,3.78464,-0.0249418,52.8664,-0.0981025
2025-04-15,95.2917,44.28,4.55694,3.79053,-0.0206809,51.0117,-0.0981025
2025-04-16,95.6483,44.57,4.56068,3.79706,-0.0137866,51.0783,-0.0981025
2025-04-17,98.1542,45.37,4.58654,3.81485,0.00654052,52.7842,-0.0981025
2025-04-21,96.0841,44.99,4.56522,3.80644,-0.00396135,51.0941,-0.0981025
