Date,PSX Raw Price,ET Raw Price,PSX Log Price,ET Log Price,Residual,Spread,Beta
2025-01-02,112.306,19.0293,4.72123,2.94598,0.0661446,93.2768,0.59181
2025-01-03,113.955,18.9617,4.73581,2.94242,0.0539599,94.9935,0.59181
2025-01-06,113.052,18.9424,4.72785,2.9414,0.0576497,94.1097,0.59181
2025-01-07,113.072,18.8169,4.72802,2.93475,0.050899,94.2549,0.59181
2025-01-08,114.112,19.0486,4.73718,2.94699,0.0577168,95.0637,0.59181
2025-01-10,111.835,18.7493,4.71702,2.93116,0.0538102,93.0856,0.59181
2025-01-13,113.847,18.7976,4.73486,2.93373,0.0458274,95.0497,0.59181
2025-01-14,115.114,19.2417,4.74592,2.95708,0.0626326,95.8718,0.59181
2025-01-15,116.812,19.3479,4.76056,2.96258,0.0594701,97.4638,0.59181
2025-01-16,117.43,19.5506,4.76584,2.97301,0.0667696,97.8795,0.59181
2025-01-17,118.314,19.5893,4.77334,2.97498,0.0643074,98.7243,0.59181
2025-01-21,118.274,20.1878,4.77301,3.00508,0.0946031,98.0865,0.59181
2025-01-22,116.37,20.1975,4.75677,3.00556,0.104688,96.1725,0.59181
2025-01-23,120.365,20.3327,4.79053,3.01223,0.0913806,100.032,0.59181
2025-01-24,119.619,20.323,4.78431,3.01175,0.0945851,99.2961,0.59181
2025-01-27,120.817,19.1258,4.79427,2.95104,0.0279759,101.691,0.59181
2025-01-28,118.952,19.6472,4.77872,2.97793,0.0640772,99.3044,0.59181
2025-01-29,119.914,19.821,4.78677,2.98674,0.0681167,100.093,0.59181
2025-01-30,118.618,20.352,4.77591,3.01318,0.100984,98.2659,0.59181
2025-01-31,115.702,19.7727,4.75102,2.9843,0.086835,95.9298,0.59181
2025-02-03,115.693,20.043,4.75094,2.99788,0.100464,95.6497,0.59181
2025-02-04,121.337,20.0527,4.79857,2.99836,0.0727558,101.284,0.59181
2025-02-05,121.052,20.072,4.79622,2.99932,0.0751084,100.98,0.59181
2025-02-06,118.598,19.6665,4.77574,2.97892,0.0668202,98.9318,0.59181
2025-02-07,118.088,19.5537,4.77143,2.97316,0.0636192,98.5341,0.59181
2025-02-10,121.435,19.7106,4.79938,2.98116,0.0550733,101.724,0.59181
2025-02-11,127.168,19.4359,4.84551,2.96712,0.0137396,107.732,0.59181
2025-02-12,122.741,19.2789,4.81007,2.95901,0.0265998,103.462,0.59181
2025-02-13,123.231,19.4457,4.81406,2.96763,0.0328522,103.786,0.59181
2025-02-14,125.685,19.6125,4.83378,2.97617,0.0297234,106.073,0.59181
